seed_1_all,seed_2_all,seed_3_all,seed_4_all,seed_5_all,seed_6_all,seed_7_all,seed_8_all,seed_9_all,seed_10_all,seed_11_all,seed_12_all,seed_13_all,seed_14_all,seed_15_all,seed_16_all,seed_17_all,seed_18_all,seed_19_all,seed_20_all,seed_21_all,seed_22_all,seed_23_all,seed_24_all,seed_25_all,seed_26_all,seed_27_all,seed_28_all,seed_29_all,seed_30_all,seed_31_all,seed_32_all,seed_33_all,seed_34_all,seed_35_all,seed_36_all,seed_37_all,seed_38_all,seed_39_all,seed_40_all,seed_41_all,seed_42_all,seed_43_all,seed_44_all,seed_45_all,seed_46_all,seed_47_all,seed_48_all,seed_49_all,seed_50_all,seed_51_all,seed_52_all,seed_53_all,seed_54_all,seed_55_all,seed_56_all,seed_57_all,seed_58_all,seed_59_all,seed_60_all,seed_61_all,seed_62_all,seed_63_all,seed_64_all,seed_65_all,seed_66_all,seed_67_all,seed_68_all,seed_69_all,seed_70_all,seed_71_all,seed_72_all,seed_73_all,seed_74_all,seed_75_all,seed_76_all,seed_77_all,seed_78_all,seed_79_all,seed_80_all,seed_81_all,seed_82_all,seed_83_all,seed_84_all,seed_85_all,seed_86_all,seed_87_all,seed_88_all,seed_89_all,seed_90_all,seed_91_all,seed_92_all,seed_93_all,seed_94_all,seed_95_all,seed_96_all,seed_97_all,seed_98_all,seed_99_all,seed_100_all
GBP5,GBP5,IFNG,IFNG,GBP5,GBP5,GBP5,GBP5,GBP5,IFNG,GBP5,IFNG,GBP5,GBP5,IFNG,STAT1,GBP5,GBP5,GBP5,GBP5,GBP5,GBP5,GBP5,IFNG,STAT1,GBP5,GBP5,IFNG,IFNG,GBP5,CXCL10,GBP5,GBP5,GBP5,GBP5,IFNG,GBP5,IFI44L,GBP5,GBP5,IFNG,GBP5,IFNG,IFNG,GBP5,GBP5,GBP5,GBP5,BATF2,GBP5,GBP5,GBP5,GBP5,IFI27,GBP5,BATF2,GBP5,GBP5,GBP5,BATF2,GBP5,CXCL10,GBP5,GBP5,IFNG,GBP5,IFNG,GBP5,GBP5,IFI44L,GBP5,GBP5,IFNG,GBP5,GBP5,GBP5,IFNG,GBP5,GBP5,BATF2,GBP5,GBP5,GBP5,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,GBP5,BATF2,IFNG,BATF2,GBP5,GBP5,GBP5,GBP5,GBP5,IFNG,HLA-DRA
IFITM3,DUSP3,CXCL10,TNF,FCGR1A,DUSP3,FCGR1A,DUSP3,FCGR1A,CXCL10,FCGR1A,CXCL10,HLA-DRA,CXCL10,TNF,GBP5,DUSP3,FCGR1A,DUSP3,FCGR1A,BATF2,BATF2,IFI44L,TNF,CXCL10,GBP1,DUSP3,TNF,CXCL10,GBP1,IFI44L,GBP1,DUSP3,IFNG,DUSP3,STAT1,DUSP3,CXCL10,BATF2,FCGR1A,STAT1,FCGR1A,GBP5,CXCL10,DUSP3,GBP6,DUSP3,FCGR1A,GBP5,IFI27,IFI44L,BATF2,IFNG,GBP5,DUSP3,GBP5,DUSP3,DUSP3,CXCL10,FCGR1A,IFI44L,CXCL9,FCGR1A,GBP1,CXCL10,DUSP3,CXCL10,IFNG,BATF2,GBP5,FCGR1A,FCGR1A,CXCL10,GBP1,GBP1,FCGR1A,CXCL10,DUSP3,CXCL10,GBP5,CXCL10,DUSP3,DUSP3,CXCL10,CXCL10,IL2,CXCL10,CXCL10,STAT1,DUSP3,GBP5,CXCL10,GBP5,FCGR1A,DUSP3,FCGR1A,CXCL10,GBP1,CXCL10,HLA-DRB1
IFI44L,KLF2,CXCL9,IL6,CXCL10,KLF2,IFI44L,KLF2,BATF2,CXCL9,CXCL10,CXCL9,BATF2,IFNG,CXCL10,CXCL10,KLF2,CXCL10,KLF2,BATF2,GBP1,GBP1,FCGR1A,IL1B,CXCL9,GBP2,IFI27,IL6,GBP5,ISG15,IFI27,GBP2,KLF2,CXCL10,KLF2,STAT2,KLF2,GBP1,GBP6,DUSP3,STAT2,DUSP3,CXCL10,GBP5,KLF2,GBP1,KLF2,DUSP3,GBP1,RAB20,ISG15,FCGR1A,FCGR1A,BATF2,KLF2,GBP2,KLF2,KLF2,IFNG,GBP5,FCGR1A,CXCL11,GBP1,GBP2,CXCL9,KLF2,GBP5,CXCL10,DUSP3,FCGR1A,IFITM3,IFI44L,GBP1,IFITM3,FCGR1A,BATF2,IL6,KLF2,CXCL9,GBP1,IFNG,KLF2,KLF2,GBP5,CXCL9,CD3D,CXCL9,CXCL9,CXCL10,KLF2,FCGR1A,GBP5,CXCL10,IFI44L,KLF2,CXCL10,IFIT3,FCGR1A,CXCL9,HLA-DPA1
IFI44,GBP2,STAT1,IL1B,BATF2,FCGR1A,IFIT3,CXCL10,DUSP3,CXCL11,IFNG,GBP5,FCGR1A,GBP1,CXCL9,IFI44L,CXCL10,GBP1,GBP2,STAT1,FCGR1A,CXCL10,SERPING1,IL6,GBP5,GBP4,IFI44L,IL1B,GBP1,CXCL10,GBP5,GBP4,IFI44L,FCGR1A,IFNG,IRF1,STAT1,ISG15,GBP1,BATF2,IRF1,KLF2,CXCL9,FCGR1A,IFI44L,IFNG,IFNG,KLF2,STAT1,BATF2,CXCL10,STAT1,LRG1,CXCL10,IFI44L,FCGR1B,GBP1,CXCL10,GBP1,CXCL10,STAT1,GBP5,IFI27,CXCL10,CXCL11,IFI44L,STAT1,FCGR1A,FCGR1B,IFITM3,IFI44L,IFI44,STAT1,CXCL10,CXCL10,GBP6,TNF,BATF2,DUSP3,GBP4,FCGR1A,BATF2,GBP2,BATF2,GBP5,CD3E,CXCL11,GBP5,ISG15,GBP1,DUSP3,BATF2,CXCL9,CXCL10,BATF2,BATF2,FCGR1A,CXCL10,CXCL11,HLA-DPB1
IFI27,FCGR1B,GBP5,IL12B,ISG15,CXCL10,STAT1,GBP2,KLF2,GBP5,GBP6,FCGR1A,CXCL10,STAT1,GBP5,MX1,CXCL9,IFI44L,FCGR1A,CXCL10,FCGR1B,FCGR1A,IFIT3,CXCL8,GBP1,CXCL10,BATF2,CXCL10,CXCL9,OAS1,FCGR1A,CXCL10,CXCL10,LILRA2,CXCL10,IRF7,IRF1,IFIT1,IFITM3,KLF2,IRF8,CXCL10,GBP1,STAT1,ISG15,CXCL10,CXCL10,CXCL10,IRF7,FCGR1A,CXCL9,CXCL10,CXCL10,IFI44L,FCGR1A,FCGR1A,GBP2,FCGR1A,SIGLEC1,CXCL9,CXCL10,GBP1,CXCL10,CXCL9,GBP5,IFI44,IRF1,STAT1,GBP2,LAMP3,CXCL10,IFIT3,TNF,STAT1,IFI44L,GBP1,IL1B,GBP2,KLF2,STAT1,GBP2,CXCL10,FCGR1B,FCGR1A,GBP1,CD4,TNF,BATF2,GBP5,FCGR1A,KLF2,FCGR1A,FCGR1A,IFI44,FCGR1A,GBP1,GBP1,BATF2,GBP5,HLA-E
IFIT1,SERPING1,GBP1,CXCL10,IFNG,STAT1,DUSP3,GBP1,CXCL10,GBP1,DUSP3,IL1B,CXCL9,FCGR1A,DUSP3,OAS1,STAT1,CXCL9,SERPING1,IFI44L,FCGR3B,STAT1,CXCL10,IL12B,BATF2,CXCL9,CXCL10,CXCL9,IFI44L,MX1,GBP1,CXCL9,IFIT1,IFI44L,CXCL9,ISG15,IFI44L,IFI27,CXCL10,RAB33A,MX1,CXCL9,STAT1,CXCL9,FCGR1A,CXCL9,CXCL9,IFI27,IRF1,STAT1,FCGR1A,LAMP3,ISG15,FCGR1A,FCGR1B,SERPING1,BATF2,GBP6,CXCL9,CXCL11,GBP1,OAS1,DUSP3,CXCL11,GBP1,GBP1,BATF2,GBP1,ANKRD22,BATF2,DUSP3,ISG15,IL6,IRF1,CCL8,CXCL10,CXCL9,FCGR1A,IFNG,STAT2,CXCL9,IFNG,SERPING1,CXCL9,GBP2,CD8A,IL6,DUSP3,CXCL9,STAT1,ARG1,CXCL9,SERPING1,IFIT3,IFI44L,GBP2,DUSP3,SERPING1,GBP1,CCR5
IFIT3,TUBGCP6,ISG15,CXCL9,GBP1,IFIT3,KLF2,IFI44L,CXCL9,GBP2,KLF2,TNF,IFNG,CXCL9,KLF2,ISG15,IFNG,ISG15,IFITM3,GBP1,IFI44L,IFITM3,GBP1,IL18,FCGR1A,CXCL11,OAS1,CXCL11,FCGR1A,STAT1,CXCL9,CXCL11,ISG15,IFI44,CXCL11,MX1,IFI44,OAS3,STAT1,SERPING1,OAS1,STAT1,IFI44L,CCL2,IFI27,BATF2,IFITM3,IFI44L,IFITM3,CXCL10,IFIT3,IFITM3,IFI44L,GBP4,SERPING1,CXCL10,STAT1,GBP2,CXCL11,IFIT3,SIGLEC1,OAS2,KLF2,IFIT3,GBP4,RAB20,CXCL9,CXCL9,CXCL10,CXCL10,KLF2,OAS1,CXCL9,IFI44L,CXCL9,GBP4,CCL2,IFNG,STAT1,IRF1,GBP1,ISG15,TUBGCP6,ISG15,STAT1,CD19,GBP5,KLF2,IL1B,STAT2,PRDM1,STAT1,STAT1,IFIT2,SERPING1,IFI44,KLF2,IFITM3,GBP2,CCR7
OAS1,TRMT2A,CXCL11,CCL2,GBP6,IRF7,BATF2,BATF2,CXCL11,IRF1,ANKRD22,IL6,STAT1,CXCL11,IL6,CXCL9,BATF2,IFIT1,IFI27,CXCL9,CXCL10,ISG15,GBP6,IL15,RAB33A,IFI44,GBP1,CCL2,BATF2,IFIT3,IFIT3,IFIT1,IFIT3,IFIT3,CCL2,OAS1,ISG15,IFIT3,IFI44L,IFITM1,OASL,IRF1,IFIT3,IL6,GBP1,FCGR1A,GBP1,ISG15,IFITM1,GBP1,OAS1,GBP6,MX1,DUSP3,GBP1,CXCL9,FCGR1A,IFI44L,STAT1,IFIT1,IRF7,OAS3,STAT1,IFIT2,STAT1,FCGR1B,OAS1,GBP6,SERPING1,CXCL9,BATF2,RSAD2,ISG15,ISG15,IFIT1,CXCL9,CCL3,CXCL10,ISG15,IRF7,IFITM1,FCGR1A,TRMT2A,STAT1,ISG15,LAG3,BATF2,FCGR1A,TNF,STAT3,GBP6,IFIT3,ISG15,MX1,STAT1,ISG15,BATF2,IFIT2,GBP4,CXCL10
OAS2,SDR39U1,SOCS3,CCL3,USP18,OAS1,ANKRD22,HLA-DRA,IFIT3,IRF7,BATF2,CXCL11,IRF1,CCL2,IL1B,IL6,RAB20,IFIT3,TRMT2A,OAS1,STAT1,IRF7,ID3,IL23A,IRF7,IFI44L,MX1,CXCL8,IL6,CXCL9,SIGLEC1,IFIT2,OAS1,OAS1,IL6,OAS2,IFI27,MX1,IFI44,CXCL10,ISG15,GBP6,ISG15,IL1B,IFIT1,FCGR1B,FCGR1A,IFIT3,IFITM2,IFIT3,STAT1,CXCL9,LCN2,KLF2,GBP4,CCL2,FCGR1B,IFI27,IRF1,ISG15,IFITM3,IFIT1,IRF7,IFIT1,STAT2,SERPING1,ISG15,IFNGR1,LRG1,IFNG,LTF,STAT1,OAS1,CXCL9,IFI44,IFNG,CCL4,ISG15,IL6,CXCL10,DUSP3,FCGR1B,SDR39U1,OAS1,IFI44L,PDCD1,FCGR1A,STAT1,IL6,CXCL10,TMCC1,ISG15,IFI44L,ISG15,CXCL10,IFITM3,RAB33A,IFIT3,IFIT3,CXCL9
OAS3,IFIT1,OAS1,CCL4,STAT1,IL6,HLA-DRA,CXCL9,IFIT2,STAT1,STAT1,CCL2,IL1B,IRF1,CCL2,TNF,SERPING1,OAS1,BATF2,IFITM3,SERPING1,CXCL9,STAT1,IL27,ISG15,IFIT1,ISG15,IL10,TNF,IFIT1,OAS1,IFIT3,CXCL9,SERPING1,IL1B,OAS3,GBP1,STAT1,IFIT1,IFI44L,GBP5,ISG15,OAS1,GBP1,LTF,STAT1,ISG15,IRF7,IFI44L,OAS1,IRF1,IRF7,IDO1,ISG15,GBP2,IFNG,LRRN3,ISG15,ISG15,IFI44L,OAS1,IFIT3,IFIT3,IFIT5,STAT3,STAT1,SOCS3,IL1B,GBP1,ISG15,SIGLEC1,IRF7,IRF1,OAS1,OAS1,STAT1,CCL5,OAS1,OAS1,CXCL9,KLF2,LILRA2,GBP1,IFITM3,IFI44,CTLA4,GBP1,STAT2,IRF1,CXCL9,C1QB,GBP1,OAS1,OAS1,CXCL9,IFI27,FCGR1B,LAMP3,IFIT2,CXCL11
