"GeneName","Padj"
"DDX11L1",3.66789586002821e-23
"WASH7P",2.79881062328933e-22
"MIR6859-1",2.97227624454377e-20
"MIR1302-2HG",8.42594475062921e-19
"MIR1302-2",4.98894932357253e-17
"FAM138A",5.97919192235565e-17
"OR4G4P",6.17056143393078e-17
"OR4G11P",1.22412411375772e-16
"OR4F5",1.58725587113479e-16
"RP11-34P13.7",9.15010858326982e-16
"RP11-34P13.8",1.0886934550381e-15
"CICP27",1.1020946612438e-15
"RP11-34P13.15",1.15132488138825e-15
"RP11-34P13.16",3.64928275787651e-15
"RP11-34P13.14",3.64928275787651e-15
"RP11-34P13.13",5.03136221670008e-15
"RNU6-1100P",6.26874810075857e-15
"RP11-34P13.9",6.52182816453987e-15
"DDX11L17",8.49127113452864e-15
"WASH9P",1.26933832719543e-14
"MIR6859-2",3.27894761889053e-14
"AP006222.1",5.47541808792444e-14
"AP006222.3",6.44073804797374e-14
"RP4-669L17.2",1.92468852966589e-13
"RP4-669L17.4",1.92468852966589e-13
"WBP1LP7",2.97353920204592e-13
"OR4F29",3.03780392374285e-13
"CICP7",3.03780392374285e-13
"RP4-669L17.8",3.50131147339501e-13
"U6",3.9437270198422e-13
"RP11-206L10.17",7.83845294227055e-13
"RP5-857K21.2",3.8945312722089e-12
"MTND1P23",7.14289017238751e-12
"MTND2P28",7.62812836866041e-12
"MTCO1P12",1.00780565812372e-11
"ENSG00000278791",1.8211745759432e-11
"MTCO2P12",3.89836925775996e-11
"MTATP8P1",8.4195454818173e-11
"MTATP6P1",8.75231466532071e-11
"MTCO3P12",9.36474604442477e-11
"WBP1LP6",9.37407354707519e-11
"OR4F16",1.14625326384636e-10
"CICP3",1.54079781260542e-10
"RP11-206L10.2",1.73651575329763e-10
"RNU6-1199P",2.50221845811096e-10
"RP11-206L10.4",2.63979565804589e-10
"LINC01409",3.06080524451027e-10
"RP11-206L10.18",3.30604876034295e-10
"RP11-206L10.8",3.94725442508729e-10
"FAM87B",4.07669455774e-10
"LINC01128",4.07669455774e-10
"LINC00115",4.29084974270825e-10
"RP11-206L10.19",4.8081652796778e-10
"FAM41C",6.20835419860458e-10
"TUBB8P11",7.64703947385408e-10
"FAM166AP3",8.23722556254439e-10
"RP11-54O7.16",8.33050363240162e-10
"RP11-54O7.1",8.47980200409803e-10
"RP11-54O7.2",8.55653838702043e-10
"LINC02593",8.6963283900257e-10
"SAMD11",1.1897075031105e-09
"NOC2L",1.29449702020836e-09
"KLHL17",1.30071201135225e-09
"PLEKHN1",1.53195280213904e-09
"PERM1",1.56584329905272e-09
"RP11-54O7.17",1.78941567814131e-09
"HES4",2.10233100212004e-09
"ISG15",2.18676387074125e-09
