"GeneName","Padj"
"DDX11L1",3.4071390390186e-38
"WASH7P",6.55313049128578e-23
"MIR6859-1",1.71304783461981e-18
"MIR1302-2HG",6.75728399474015e-18
"MIR1302-2",2.13487042323679e-17
"FAM138A",3.74881474379381e-17
"OR4G4P",8.7331134293501e-16
"OR4G11P",5.85664055332172e-15
"OR4F5",6.13767339007243e-15
"RP11-34P13.7",3.7760637000848e-13
"RP11-34P13.8",1.00908775357651e-12
"CICP27",1.46280844189269e-12
"RP11-34P13.15",1.96876448448656e-12
"RP11-34P13.16",2.4556140891802e-12
"RP11-34P13.14",2.57879209726997e-12
"RP11-34P13.13",3.89552109516918e-12
"RNU6-1100P",4.17177043443399e-11
"RP11-34P13.9",4.61276220767387e-11
"DDX11L17",6.60917954330987e-11
"WASH9P",1.31360414492906e-10
"MIR6859-2",1.96069124429361e-10
"AP006222.1",1.99864696015462e-10
"AP006222.3",2.42535836076999e-10
"RP4-669L17.2",2.45453202677792e-10
"RP4-669L17.4",2.83273943742346e-10
"WBP1LP7",3.12511410669722e-10
"OR4F29",3.25197493315852e-10
"CICP7",3.7326980265006e-10
"RP4-669L17.8",3.96387660951421e-10
"U6",5.33859538617308e-10
"RP11-206L10.17",6.18553354538835e-10
"RP5-857K21.2",6.84315020659615e-10
"MTND1P23",9.03161794985551e-10
"MTND2P28",1.12344682911684e-09
"MTCO1P12",1.71129835835967e-09
"ENSG00000278791",2.04298408493459e-09
"MTCO2P12",2.7006572419259e-09
"MTATP8P1",2.77814906267299e-09
"MTATP6P1",3.07242738093193e-09
"MTCO3P12",5.42818270632972e-09
"WBP1LP6",5.42818270632972e-09
"OR4F16",5.77611551183832e-09
"CICP3",7.20302507617373e-09
"RP11-206L10.2",9.51971049360025e-09
"RNU6-1199P",9.51971049360025e-09
"RP11-206L10.4",1.22955885799695e-08
"LINC01409",1.35794933863397e-08
"RP11-206L10.18",1.3808250166343e-08
"RP11-206L10.8",1.77199735979568e-08
"FAM87B",1.94220688119027e-08
"LINC01128",2.33684848038469e-08
"LINC00115",2.33684848038469e-08
"RP11-206L10.19",2.474670257889e-08
"FAM41C",2.97962291201148e-08
"TUBB8P11",3.24456686566033e-08
"FAM166AP3",3.71840770646462e-08
"RP11-54O7.16",3.71840770646462e-08
"RP11-54O7.1",3.71840770646462e-08
"RP11-54O7.2",3.95885868450039e-08
"LINC02593",4.07673339334486e-08
"SAMD11",4.74211307670624e-08
"NOC2L",5.23193708443814e-08
"KLHL17",5.331259180067e-08
"PLEKHN1",8.67206841631526e-08
"PERM1",9.08116985267871e-08
"RP11-54O7.17",9.81550057724718e-08
"HES4",1.00446735510099e-07
"ISG15",1.01756349833142e-07
"RP11-54O7.10",1.10595982791591e-07
"RP11-54O7.11",1.14099013199077e-07
"AGRN",1.14247613577988e-07
"RP11-54O7.14",1.17664614662416e-07
"RP11-465B22.3",1.24547085284523e-07
"RP11-54O7.18",1.56279741362861e-07
"RNF223",1.58521416279775e-07
"C1orf159",1.64093935420792e-07
"RP11-465B22.9",1.66724816227406e-07
"LINC01342",2.26969636130907e-07
"MIR200B",2.31079494593062e-07
"MIR200A",2.59141675937412e-07
"MIR429",2.78049204308752e-07
"RP11-465B22.8",2.81804685512406e-07
"TTLL10-AS1",3.01296842613765e-07
"TTLL10",3.11534564636915e-07
"TNFRSF18",3.20562121849279e-07
"TNFRSF4",3.43311204200195e-07
"SDF4",3.74633587992262e-07
"B3GALT6",3.83244358411655e-07
"C1QTNF12",4.16583407045967e-07
"RP5-902P8.12",4.96753147425679e-07
"UBE2J2",5.00830186255419e-07
"LINC01786",5.25807813204811e-07
"SCNN1D",5.43495205540804e-07
"ACAP3",6.06094255980872e-07
"MIR6726",6.16696210390815e-07
"PUSL1",6.23198549696792e-07
"INTS11",6.27087216127981e-07
"MIR6727",6.85828159527467e-07
"RP5-890O3.9",8.30944369962112e-07
"CPTP",8.44771133331836e-07
"TAS1R3",8.82733259925738e-07
"DVL1",8.93065769784861e-07
"MIR6808",9.56228149954827e-07
"MXRA8",9.58096424904116e-07
"AURKAIP1",9.58096424904116e-07
"NDUFB4P8",9.89634326063979e-07
"CCNL2",9.89634326063979e-07
"MRPL20-AS1",1.05954460316071e-06
"RN7SL657P",1.10008059416903e-06
"MRPL20-DT",1.10310044934905e-06
"ANKRD65",1.13506846870118e-06
"RP4-758J18.7",1.25018980625514e-06
"TMEM88B",1.27655595962643e-06
"LINC01770",1.27655595962643e-06
"VWA1",1.2878590461708e-06
"ATAD3C",1.2878590461708e-06
"ATAD3B",1.6982851550699e-06
"RP5-832C2.8",1.86331003010479e-06
"ATAD3A",1.87853771810418e-06
"TMEM240",1.92827107516858e-06
"SSU72",2.15360489010381e-06
"RP5-832C2.5",2.23189388237906e-06
"RP11-345P4.11",2.41830465029031e-06
"FNDC10",2.55889760377589e-06
"RP11-345P4.12",2.87659875094128e-06
"RP11-345P4.9",3.32637453826919e-06
"MIB2",3.34083132416745e-06
"MMP23B",3.45915434737311e-06
"CDK11B",3.69936617717986e-06
"RP11-345P4.10",3.69936617717986e-06
"SLC35E2B",3.69936617717986e-06
"RP11-345P4.6",3.70360592426437e-06
"MMP23A",3.70360592426437e-06
"CDK11A",3.77207504362502e-06
"RP1-283E3.8",3.81358703397611e-06
"RP1-283E3.4",3.91370693122494e-06
"SLC35E2A",4.05530571341536e-06
"NADK",4.40626741667714e-06
"GNB1",4.67518102068043e-06
"RP1-140A9.1",4.71801716388407e-06
"CALML6",4.79728767309636e-06
"TMEM52",4.79728767309636e-06
"CFAP74",4.81299839462302e-06
"RP11-547D24.1",4.81299839462302e-06
"GABRD",5.01306324387769e-06
"RP11-547D24.3",5.02428214467391e-06
"PRKCZ",5.02428214467391e-06
"RP5-892K4.1",5.02428214467391e-06
"PRKCZ-AS1",5.06491539058687e-06
"FAAP20",5.16167610205062e-06
"RP11-181G12.4",5.17316962216429e-06
"SKI",5.47942285942798e-06
"RP11-181G12.8",5.47942285942798e-06
"MORN1",5.73952073703462e-06
"RP4-713A8.1",5.76011814976771e-06
"RP4-740C4.5",5.8522410413803e-06
"RP4-740C4.7",5.98979988282343e-06
"RER1",6.15652017102966e-06
"PEX10",6.2641335667926e-06
"PLCH2",6.85986880085336e-06
"RP3-395M20.2",6.85986880085336e-06
"RP3-395M20.3",6.85986880085336e-06
"PANK4",6.91088347056116e-06
"HES5",6.92437046530353e-06
"RP3-395M20.12",7.14346397556515e-06
"TNFRSF14-AS1",7.19332425903261e-06
"TNFRSF14",7.59545061147616e-06
"RP3-395M20.7",8.57860149738963e-06
"RP3-395M20.9",8.64110212015324e-06
"PRXL2B",8.65934232166681e-06
"MMEL1",8.67499512087245e-06
"MMEL1-AS1",9.49632810650156e-06
"TTC34",9.54241586389505e-06
"ABC14-1188822O7.2",9.83029332959519e-06
"ABC14-1188822O7.1",9.83029332959519e-06
"RP11-740P5.2",9.83029332959519e-06
"RP11-740P5.4",9.93798516164848e-06
"RP11-740P5.3",1.00178107979879e-05
"RP5-907A6.1",1.03483059415523e-05
"ACTRT2",1.06271054712124e-05
"PRDM16-DT",1.07902273955636e-05
"PRDM16",1.08098521710976e-05
"MIR4251",1.12538211926259e-05
"RP1-163G9.2",1.2857236937699e-05
"RP11-193J6.1",1.2857236937699e-05
"RP11-22L13.1",1.2857236937699e-05
"RP4-785P20.3",1.36579644777168e-05
"RP4-785P20.2",1.38099841590837e-05
"ARHGEF16",1.42518150196068e-05
"RP11-168F9.2",1.43294145001862e-05
"MEGF6",1.43294145001862e-05
"MIR551A",1.44348272247403e-05
"RP11-46F15.2",1.48397011862086e-05
"TPRG1L",1.57838663389055e-05
"WRAP73",1.6208882063611e-05
"TP73",1.67909957069737e-05
"TP73-AS3",1.70031209826181e-05
"TP73-AS2",1.72694193487073e-05
"TP73-AS1",1.72694193487073e-05
"ENSG10010138423.1",1.72694193487073e-05
"CCDC27",1.92162236689213e-05
"SMIM1",2.0993699954023e-05
"LRRC47",2.10608073394772e-05
"RN7SL574P",2.28911328559488e-05
"RP1-286D6.5",2.40510064126022e-05
"CEP104",2.40510064126022e-05
"DFFB",2.40688909322544e-05
"C1orf174",2.45338926307179e-05
"LINC01134",2.45524398254724e-05
"LINC01346",2.45524398254724e-05
"LINC01345",2.47068446210895e-05
"LINC02780",2.56087275568675e-05
"RP11-718D19.2",2.56834114741962e-05
"EEF1DP6",2.71686692314346e-05
"LINC01777",2.73921094083762e-05
"RP5-1166F10.2",2.78809151692578e-05
"RP1-37J18.1",3.15095483507347e-05
"LINC01646",3.310386564853e-05
"AJAP1",3.38266465991564e-05
"RP1-77N19.1",3.41379282605956e-05
"RP4-603B14.2",3.46206648745941e-05
"LINC02781",3.46206648745941e-05
"LINC02782",3.57868301560477e-05
"RP4-703E10.1",3.58797348508812e-05
"RP1-58B11.2",3.58797348508812e-05
"RP1-58B11.3",3.62651091447896e-05
"RP1-58B11.1",3.73313318922749e-05
"RP3-491M17.1",3.93782379842912e-05
"RP11-154H17.1",3.93782379842912e-05
"ENSG00000264341",4.02745469277037e-05
"MIR4689",4.05834774901219e-05
"NPHP4",4.09424215782198e-05
"KCNAB2",4.09499769265591e-05
"CHD5",4.17210580256279e-05
"RP1-120G22.12",4.37318137338298e-05
"RNF207-AS1",4.37318137338298e-05
"RNF207",4.37318137338298e-05
"ICMT",4.37318137338298e-05
"LINC00337",4.47648891204074e-05
"HES3",4.50495827985125e-05
"GPR153",4.66243255710623e-05
"ACOT7",4.67762099095623e-05
"RP1-202O8.3",4.7456027928786e-05
"HES2",4.86501338175482e-05
"ESPN",4.9617495399213e-05
"MIR4252",5.17767247207592e-05
"RP1-202O8.2",5.17767247207592e-05
"TNFRSF25",5.17767247207592e-05
"PLEKHG5",5.17767247207592e-05
"NOL9",5.29594899864182e-05
"RNU6-731P",5.44662176846289e-05
"RP11-58A11.2",5.6757937866923e-05
"TAS1R1",5.75037565468535e-05
"ZBTB48",5.86438230365155e-05
"KLHL21",5.86438230365155e-05
"PHF13",5.92508342547408e-05
"THAP3",6.41645901978663e-05
"DNAJC11",6.46191651811246e-05
"LINC01672",6.53659122554273e-05
"RP11-242F24.2",6.85673995563688e-05
"CAMTA1-DT",7.15889543912719e-05
"CAMTA1",7.15889543912719e-05
"RP11-312B8.2",7.15889543912719e-05
"RP11-334N17.1",7.16486905581639e-05
"RNU1-8P",7.21372727926687e-05
"CAMTA1-IT1",7.41443123269479e-05
"CAMTA1-AS2",7.48663708021948e-05
"CAMTA1-AS1",7.48663708021948e-05
"RP11-338N10.1",7.48918011003963e-05
"RP11-338N10.2",7.80224322695038e-05
"RP11-338N10.3",8.26710179233878e-05
"VAMP3",8.26710179233878e-05
"RP3-467L1.6",8.34967202623358e-05
"PER3",8.43000919193632e-05
"RP3-467L1.4",8.49088718518067e-05
"UTS2",8.63973146290654e-05
"TNFRSF9",8.63973146290654e-05
"RP5-892F13.2",8.68780925928283e-05
"PARK7",8.78938409127187e-05
"Y_RNA",8.78938409127187e-05
"CTA-215D11.6",8.80141819397835e-05
"CTA-215D11.5",9.58180231102115e-05
"ERRFI1",9.58180231102115e-05
"RP11-431K24.1",9.78730727984293e-05
"CTA-215D11.4",0.000101118026005687
"RP11-431K24.2",0.000102167422691114
"LINC01714",0.000105174617560676
"RNU1-7P",0.000108457784540283
"RP11-431K24.4",0.000108457784540283
"RNU6-991P",0.000109372614061567
"SLC45A1",0.000110342510806534
"Y_RNA",0.000110593502925406
"RERE",0.000110593502925406
"RERE-AS1",0.000112821886095394
"ENSG10010135148.1",0.000112873579827839
"RP5-1115A15.2",0.000114003212705915
"Y_RNA",0.000114816897492112
"RP4-633I8.3",0.000124698975865979
"RP4-633I8.4",0.000125191727978585
"ENO1",0.000126335991451648
"MIR6728",0.000129113767751108
"ENO1-AS1",0.0001295858664751
"RNU6-304P",0.000130555859343471
"HMGN2P17",0.000139155583822289
"RP3-477M7.5",0.000139176646466801
"RP3-477M7.6",0.000142978407599502
"CA6",0.000145080988990391
"RN7SL451P",0.000146355565888657
"SLC2A7",0.000149960377985887
"SLC2A5",0.000155745484333959
"ENSG10010139882.1",0.000156991449962626
"GPR157",0.00015805173547108
"MIR34AHG",0.000160302565539026
"MIR34A",0.000160835996989487
"LNCTAM34A",0.00016356306299374
"H6PD",0.00016356306299374
"SPSB1",0.000165854612034842
"CTD-2510L9.2",0.000170427870401475
"LINC02606",0.00017396591333735
"RNA5SP40",0.000178507841388311
"RP13-392I16.1",0.000180419593701008
"SLC25A33",0.000181137081049063
"RP13-15M17.1",0.000181357410675199
"TMEM201",0.000181357410675199
"PIK3CD",0.000184552099486884
"PIK3CD-AS1",0.000185003848237456
"RP11-558F24.2",0.000185003848237456
"PIK3CD-AS2",0.000185003848237456
"CLSTN1",0.000185003848237456
"MZT1P1",0.000190463653669786
"RP11-84A14.7",0.000190510261329237
"CTNNBIP1",0.000200606209987702
"RP11-84A14.5",0.000202861280898155
"RP11-84A14.8",0.000202861280898155
"LZIC",0.000208076608804744
"RP11-84A14.4",0.000209277842232195
"NMNAT1",0.000209632113509311
"RN7SKP269",0.000213192868722884
"TMEM274P",0.000216985474318104
"MIR5697",0.000216985474318104
"RP11-807G9.2",0.000217801925284857
"RBP7",0.000219770209733585
"UBE4B",0.000223277565871663
"RP11-496H15.2",0.000226867286717403
"PGAM1P11",0.000226867286717403
"RNU6-828P",0.000235996200039983
"KIF1B",0.000238035268368239
"ENSG00000264881",0.000244437652367663
"RNU6-37P",0.000248656969532582
"RN7SL731P",0.000248656969532582
"RP4-736L20.4",0.000252892411635677
"RP4-736L20.5",0.000261189415505857
"PGD",0.000263772845361811
"RP4-736L20.3",0.000266369406006962
"CENPS-CORT",0.000267710676801505
"CENPS",0.000269439742735123
"CORT",0.00027034925297887
"DFFA",0.00027745304981089
"RP5-1113E3.3",0.00027745304981089
"PEX14",0.000279336080068729
"RP4-734G22.4",0.00029304457723082
"RN7SL614P",0.000300357697727707
"CASZ1",0.000301107445078303
"RP4-734G22.3",0.000301107445078303
"HSPE1P24",0.000306940768166744
"C1orf127",0.000306940768166744
