seed_1_all,seed_2_all,seed_3_all,seed_4_all,seed_5_all,seed_6_all,seed_7_all,seed_8_all,seed_9_all,seed_10_all,seed_11_all,seed_12_all,seed_13_all,seed_14_all,seed_15_all,seed_16_all,seed_17_all,seed_18_all,seed_19_all,seed_20_all,seed_21_all,seed_22_all,seed_23_all,seed_24_all,seed_25_all,seed_26_all,seed_27_all,seed_28_all,seed_29_all,seed_30_all,seed_31_all,seed_32_all,seed_33_all,seed_34_all,seed_35_all,seed_36_all,seed_37_all,seed_38_all,seed_39_all,seed_40_all,seed_41_all,seed_42_all,seed_43_all,seed_44_all,seed_45_all,seed_46_all,seed_47_all,seed_48_all,seed_49_all,seed_50_all,seed_51_all,seed_52_all,seed_53_all,seed_54_all,seed_55_all,seed_56_all,seed_57_all,seed_58_all,seed_59_all,seed_60_all,seed_61_all,seed_62_all,seed_63_all,seed_64_all,seed_65_all,seed_66_all,seed_67_all,seed_68_all,seed_69_all,seed_70_all,seed_71_all,seed_72_all,seed_73_all,seed_74_all,seed_75_all,seed_76_all,seed_77_all,seed_78_all,seed_79_all,seed_80_all,seed_81_all,seed_82_all,seed_83_all,seed_84_all,seed_85_all,seed_86_all,seed_87_all,seed_88_all,seed_89_all,seed_90_all,seed_91_all,seed_92_all,seed_93_all,seed_94_all,seed_95_all,seed_96_all,seed_97_all,seed_98_all,seed_99_all,seed_100_all
IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,GBP5,CX3CL1,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFNG,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,FCGR1A,IFI44L,IFI44L,IFI44L,RP11-331H2.3,IFI44L,IFI44L,IFI44L,IFI44L,FCGR1A,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,IFI44L,FCGR1A,IFI44L,IFNG,FCGR1A,IFI44L,IFI44L,IFI44L,TLR2,IFI44L
NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP3,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,BATF2,NLRP12,NLRP12,NLRP12,NLRP12,DUSP3,JAK2,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,IL6,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,NLRP12,IL7R,NLRP3,NLRP12,NLRP12,RP13-262C2.3,NLRP12,NLRP12,NLRP12,NLRP12,GBP5,BATF2,NLRP12,NLRP12,BATF2,NLRP12,NLRP12,NLRP12,BATF2,NLRP12,NLRP3,NLRP12,NLRP12,NLRP12,NLRP3,NLRP12,NLRP12,IL7R,NLRP12,TNF,IL7R,NLRP12,NLRP3,FCGR1A,TLR4,AIM2
NLRP11,NLRP11,NLRP11,NLRP11,NLRP11,NLRP11,IL26,NLRP11,NLRP11,NLRP11,NLRP3,NLRP11,NLRP11,NLRP11,NLRP11,IL26,IL26,NLRP11,NLRP11,NLRP11,NLRP11,NLRP11,NLRP11,NLRP11,IL26,CYR61,NLRP11,IL26,NLRP11,IL26,NLRP11,NLRP11,NLRP11,NLRP11,NLRP11,NLRP11,NLRP11,NLRP11,NLRP11,NLRP11,NLRP11,NLRP11,NLRP11,NLRP11,NLRP11,FCGR1B,NLRP11,NLRP11,NLRP11,NLRP11,KLF2,MMP9,NLRP11,NLRP11,NLRP11,IL26,NLRP11,NLRP11,IL1B,NLRP11,NLRP11,NLRP11,NLRP11,NLRP11,NLRP11,CD3E,IL1B,NLRP11,NLRP11,RP11-19A24.1,NLRP11,IL26,NLRP11,NLRP11,SEPT4,FCGR1B,NLRP11,NLRP11,FCGR1B,NLRP11,NLRP11,NLRP11,FCGR1B,NLRP11,IL1B,NLRP11,IL26,NLRP11,IL1B,NLRP11,NLRP11,CD3E,NLRP11,IL6,CD3E,NLRP11,RAGE,TLR5,TLR9,BATF2
IL23A,NLRP3,TLR4,NLRP3,TLR4,TLR4,IL27,TLR4,TLR4,TLR4,NLRP11,IL23A,TLR4,TLR4,IL23A,IL27,IL27,TLR4,TLR4,TLR4,TLR4,TLR4,IL23A,IL23A,IL27,RAGE,IL23A,IL27,NLRP3,IL27,TLR4,NLRP3,TLR4,TLR4,TLR4,TLR4,TLR4,IL23A,IL23A,IL23A,TLR4,TLR4,TLR4,IL23A,TLR4,HP,NLRP3,TLR4,TLR4,TLR4,IFI44L,SERPINE1,IL23A,TLR4,TLR4,IL27,TLR4,TLR4,TNF,TLR4,NLRP3,TLR4,TLR4,IL23A,NLRP3,IL5,IL18,TLR4,IL23A,RP5-964C11.1,TLR4,IL27,IL23A,TLR4,ANKRD22,HP,IL23A,IL23A,HP,IL23A,IL23A,IL23A,HP,TLR4,IL18,IL23A,IL27,TLR4,IL6,TLR4,TLR4,IL5,TLR4,IL1B,IL5,TLR4,CYR61,NLRP12,NOD2,FCGR1B
NLRP3,IL23A,NLRP3,IL23A,NLRP3,NLRP3,STING1,NLRP3,NLRP3,NLRP3,IL23A,NLRP3,NLRP3,NLRP3,NLRP3,TMEM173,STING1,NLRP3,NLRP3,NLRP3,NLRP3,NLRP3,NLRP3,NLRP3,STING1,S100A12,NLRP3,STING1,IL23A,STING1,IL1B,IL23A,NLRP3,NLRP3,IL6,NLRP3,NLRP3,NLRP3,IL6,NLRP3,NLRP3,IL1B,IL1B,NLRP3,NLRP3,AIM2,IL23A,IL12B,NLRP3,NLRP3,NLRP12,CCL2,NLRP3,NLRP3,IL6,STING1,NLRP3,NLRP3,CXCL10,NLRP3,IL23A,NLRP3,NLRP3,NLRP3,IL23A,NLRP1,CASP1,NLRP3,NLRP3,ATP6V1FNB,NLRP3,STING1,NLRP3,NLRP3,BATF2,AIM2,NLRP3,NLRP3,AIM2,NLRP3,NLRP3,NLRP3,AIM2,IL6,CASP1,NLRP3,STING1,NLRP3,TNF,NLRP3,NLRP3,NLRP1,NLRP3,CXCL10,NLRP1,NLRP3,S100A8,IL26,Dectin-1,HP
AIM2,TNF,AIM2,IL1B,AIM2,AIM2,AIM2,IL1B,AIM2,AIM2,TNF,AIM2,AIM2,AIM2,AIM2,AIM2,AIM2,AIM2,IL1B,AIM2,AIM2,IL1B,AIM2,IFNG,AIM2,S100B,IL1B,AIM2,IL1B,AIM2,IL6,IL1B,AIM2,AIM2,TNF,AIM2,AIM2,AIM2,TNF,AIM2,AIM2,IL6,IL18,AIM2,AIM2,IL26,TNF,IL1B,AIM2,IL1B,IL26,NFKB1,AIM2,AIM2,TNF,AIM2,AIM2,IL1B,CCL2,AIM2,IL1B,ASC,AIM2,NLRC4,IL1B,PRF1,GSDMD,AIM2,AIM2,RP11-100G15.7,AIM2,AIM2,IL1B,AIM2,GBP1,NLRP12,IL18,NLRC4,IL26,AIM2,AIM2,AIM2,NLRP12,TNF,GSDMD,AIM2,FCGR1A,IL1B,CXCL10,AIM2,IL1B,PRF1,AIM2,CCL2,PRF1,AIM2,S100A9,IL27,Dectin-2,NLRP12
IFI16,IL6,PYDC1,IL18,IFI16,IFI16,BATF2,IL18,IFI16,IFI16,IL6,PYDC1,IFI16,IFI16,PYDC1,BATF2,BATF2,IFI16,IL18,IFI16,CASP1,TNF,PYDC1,TNF,BATF2,S100A7,IL18,BATF2,IL6,BATF2,TNF,IL6,PYDC1,IFI16,CXCL10,IFI16,IFI16,IFI16,CXCL10,IFI16,IFI16,TNF,CCL4,PYDC1,IFI16,IL19,IL6,TNF,IFI16,IL6,IL27,IFNG,PYDC1,IFI16,IFNG,BATF2,IFI16,IL18,STAT1,NLRC4,IL6,CASP1,IFI16,AIM2,IL18,TLR9,AIM2,CASP1,PYDC1,RP11-287D1.4,IFI16,BATF2,IL6,IFI16,GBP6,IL26,GSDMD,AIM2,IL19,IFI16,PYDC1,PYDC1,IL26,IFNG,AIM2,IFI16,TLR5,IL18,CXCL11,IFI16,IL18,TLR9,NLRC4,CXCL9,TLR9,IFI16,IL1B,STING1,CD14,IL26
PYCARD,IFNG,CASP1,GSDMD,PYDC1,PYDC1,FCGR1B,TNF,PYDC1,PYDC1,IL1B,CASP1,PYDC1,PYDC1,CASP1,FCGR1B,FCGR1B,PYDC1,GSDMD,PYDC1,IL1B,CXCL10,CASP1,IL6,FCGR1B,S100P,GSDMD,FCGR1B,TNF,FCGR1B,CXCL10,TNF,CASP1,PYDC1,CCL4,PYDC1,PYDC1,PYDC1,CCL4,PYDC1,PYDC1,CXCL10,CXCL10,CASP1,PYDC1,TGFB1,IL1B,CCL4,PYDC1,TNF,TMEM173,VEGFA,CASP1,PYDC1,IL1B,FCGR1B,PYDC1,GSDMD,NFKB1,CASP1,TNF,IL1B,PYDC1,PYDC1,GSDMD,CCR7,PYDC1,IL1B,CASP1,ENSG10010139445.1,PYDC1,FCGR1B,TNF,PYDC1,LHFPL2,IL27,CASP1,PYDC1,TGFB1,PYDC1,CASP1,CASP1,IL27,IL12B,IFI16,PYDC1,PPARG,GSDMD,CCL4,PYDC1,GSDMD,CCR7,CASP1,IL12B,CCR7,PYDC1,TNF,DPM1,FCGR1A,IL27
CASP1,CXCL10,IL1B,CASP1,CASP1,CASP1,HP,IL6,PYCARD,CASP1,CXCL10,IL1B,CASP1,CASP1,IL1B,HP,HP,CASP1,CASP1,CASP1,IL18,CCL2,IL1B,IL1B,HP,S100A8,CASP1,HP,IFNG,HP,CXCL11,CXCL10,IL1B,CASP1,CXCL11,CASP1,CASP1,CASP1,CXCL11,CASP1,CASP1,CCL4,CXCL11,IL1B,CASP1,TNF,CXCL10,CXCL10,CASP1,IFNG,FCGR1A,IL12B,IL1B,CASP1,CXCL10,HP,CASP1,CASP1,JAK2,IL1B,CCL2,IL18,CASP1,CASP1,CASP1,NLRP12,NLRP11,IL18,IL1B,GUCA2B,CASP1,HP,IFNG,CASP1,SERPING1,STING1,IL1B,CASP1,TNF,CASP1,IL1B,IL1B,STING1,IL1B,NLRP1,CASP1,CCL2,CASP1,IL18,CASP1,CASP1,NLRP12,IL1B,IL18,NLRP12,CASP1,IL6,SCYL3,C1QA,STING1
GSDMD,CCL2,IL18,ASC,IL1B,GSDMD,CCL2,CCL4,CASP1,IL1B,CCL2,IL18,GSDMD,GSDMD,IL18,PPARG,CCL2,IL1B,ASC,IL1B,GSDMD,IL6,IL18,CXCL10,PPARG,S100A9,ASC,PPARG,CXCL10,CCL2,CCL4,CCL4,IL18,IL1B,IL18,IL1B,IL1B,GSDMD,IL18,GSDMD,GSDMD,CCL2,IL6,IL18,IL1B,CCL4,CCL2,CXCL11,ASC,CXCL10,TLR5,STAT1,IL18,IL1B,CCL2,CCL2,IL1B,ASC,SOCS3,IL18,CXCL10,GSDMD,GSDMD,IL1B,ASC,TLR5,IL6,GSDMD,IL18,TRPM7,GSDMD,PPARG,CXCL10,GSDMD,C1QB,PPARG,TNF,CASP4,CCL4,IL1B,IL18,IL18,PPARG,CXCL10,NLRP6,GSDMD,CCL20,ASC,GBP1,IL1B,CASP4,TLR5,IL18,IL10,TLR5,GSDMD,CXCL10,C1orf112,C1QB,PPARG
