"","Seed","OffList","Filled","OffPct","Model","Condition","PromptLength","CondPrompt"
"1","seed_1_all",6,200,3,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"2","seed_2_all",6,200,3,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"3","seed_3_all",3,201,1.49253731343284,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"4","seed_4_all",6,200,3,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"5","seed_5_all",7,200,3.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"6","seed_6_all",6,200,3,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"7","seed_7_all",1,219,0.45662100456621,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"8","seed_8_all",7,200,3.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"9","seed_9_all",5,200,2.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"10","seed_10_all",0,200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"11","seed_11_all",2,200,1,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"12","seed_12_all",0,199,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"13","seed_13_all",0,200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"14","seed_14_all",4,218,1.8348623853211,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"15","seed_15_all",7,200,3.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"16","seed_16_all",5,200,2.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"17","seed_17_all",6,200,3,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"18","seed_18_all",5,200,2.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"19","seed_19_all",5,200,2.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"20","seed_20_all",0,224,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"21","seed_21_all",3,200,1.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"22","seed_22_all",0,195,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"23","seed_23_all",3,203,1.47783251231527,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"24","seed_24_all",6,200,3,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"25","seed_25_all",5,200,2.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"26","seed_26_all",4,200,2,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"27","seed_27_all",4,200,2,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"28","seed_28_all",3,200,1.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"29","seed_29_all",0,206,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"30","seed_30_all",5,200,2.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"31","seed_31_all",3,203,1.47783251231527,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"32","seed_32_all",0,199,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"33","seed_33_all",3,200,1.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"34","seed_34_all",8,200,4,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"35","seed_35_all",7,200,3.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"36","seed_36_all",6,200,3,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"37","seed_37_all",5,200,2.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"38","seed_38_all",6,200,3,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"39","seed_39_all",6,200,3,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"40","seed_40_all",4,199,2.01005025125628,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"41","seed_41_all",5,200,2.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"42","seed_42_all",4,199,2.01005025125628,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"43","seed_43_all",2,202,0.99009900990099,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"44","seed_44_all",0,200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"45","seed_45_all",0,203,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"46","seed_46_all",9,238,3.78151260504202,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"47","seed_47_all",5,200,2.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"48","seed_48_all",6,200,3,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"49","seed_49_all",5,200,2.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"50","seed_50_all",7,200,3.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"51","seed_51_all",6,200,3,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"52","seed_52_all",7,200,3.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"53","seed_53_all",6,200,3,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"54","seed_54_all",6,200,3,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"55","seed_55_all",4,200,2,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"56","seed_56_all",4,200,2,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"57","seed_57_all",0,200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"58","seed_58_all",0,200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"59","seed_59_all",0,201,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"60","seed_60_all",7,200,3.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"61","seed_61_all",4,200,2,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"62","seed_62_all",8,200,4,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"63","seed_63_all",3,200,1.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"64","seed_64_all",7,200,3.5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"65","seed_65_all",6,200,3,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
