"","Disease","ML_Model",".y.","group1","group2","p","p.adj","p.format","p.signif","method","n1","n2","t","df","y.position"
"1","KD/MIS-C","EXTRATREES","AUC","ChatGPT 4o","ChatGPT o3",0.00576640092010792,0.0155816115292729,"0.00577","*","T-test",100,56,-2.80789754510865,128.288900653373,1.06411764705882
"2","KD/MIS-C","GLMNETLasso","AUC","ChatGPT 4o","ChatGPT o3",0.000100323157808784,0.00041041291830866,"0.00010","***","T-test",100,58,-4.00598054127133,138.593117227642,1.06019607843137
"3","KD/MIS-C","GLMNETRidge","AUC","ChatGPT 4o","ChatGPT o3",0.00810983772227234,0.0192075103948555,"0.00811","*","T-test",100,59,-2.68868770181178,130.454664772205,1.06411764705882
"4","KD/MIS-C","NNET","AUC","ChatGPT 4o","ChatGPT o3",0.00224693461223322,0.00674080383669966,"0.00225","**","T-test",100,59,-3.11029404860414,146.426486574032,1.04843137254902
"5","KD/MIS-C","RF","AUC","ChatGPT 4o","ChatGPT o3",0.0210931006855235,0.0451995014689789,"0.02109","*","T-test",100,58,-2.33587570119508,124.757771041718,1.0621568627451
"6","ME/CFS","EXTRATREES","AUC","ChatGPT 4o","ChatGPT o3",0.380674990888178,0.535324205936501,"0.38067","ns","T-test",100,100,-0.878652447264296,194.30741328105,0.938347338935574
"7","ME/CFS","GLMNETLasso","AUC","ChatGPT 4o","ChatGPT o3",0.000546577352299055,0.00175685577524696,"0.00055","**","T-test",96,83,3.52246009981974,173.418833071279,0.91593837535014
"8","ME/CFS","GLMNETRidge","AUC","ChatGPT 4o","ChatGPT o3",0.264551130880082,0.396826696320123,"0.26455","ns","T-test",100,100,1.11888970286573,196.78388302594,0.887927170868347
"9","ME/CFS","NNET","AUC","ChatGPT 4o","ChatGPT o3",0.134679457223066,0.233099060578384,"0.13468","ns","T-test",100,100,1.50245704548123,185.509028855608,0.851512605042017
"10","ME/CFS","RF","AUC","ChatGPT 4o","ChatGPT o3",0.650685335889031,0.836595431857326,"0.65069","ns","T-test",100,100,-0.453500096334716,197.986634738881,0.929943977591036
"11","TB","EXTRATREES","AUC","ChatGPT 4o","ChatGPT o3",8.34201608465787e-12,6.25651206349341e-11,"8.3e-12","****","T-test",100,100,-7.39158664718867,155.69308137217,1.04802197802198
"12","TB","GLMNETLasso","AUC","ChatGPT 4o","ChatGPT o3",3.05110843754703e-13,2.74599759379233e-12,"3.1e-13","****","T-test",100,100,-7.96526619873832,158.018738305319,1.05443223443223
"13","TB","GLMNETRidge","AUC","ChatGPT 4o","ChatGPT o3",5.0991410524254e-15,7.6487115786381e-14,"5.1e-15","****","T-test",100,100,-8.61960927688024,165.984048639043,1.04893772893773
"14","TB","NNET","AUC","ChatGPT 4o","ChatGPT o3",2.37051242090832e-15,5.75507896418087e-14,"2.4e-15","****","T-test",100,100,-8.80178653698469,156.345183983301,1.04710622710623
"15","TB","RF","AUC","ChatGPT 4o","ChatGPT o3",6.93465184529414e-11,4.4579904719748e-10,"6.9e-11","****","T-test",100,100,-6.98077500547293,163.925646795144,1.04344322344322
"16","KD/MIS-C","EXTRATREES","AUC","Claude 3.7 Sonnet","Claude Opus4",0.969186214080613,0.980224933711653,"0.96919","ns","T-test",100,100,0.0386779251638788,197.639387986972,1.06411764705882
"17","KD/MIS-C","GLMNETLasso","AUC","Claude 3.7 Sonnet","Claude Opus4",0.516504897803444,0.70432486064106,"0.51650","ns","T-test",100,100,-0.64990809285448,197.998198739919,1.06019607843137
"18","KD/MIS-C","GLMNETRidge","AUC","Claude 3.7 Sonnet","Claude Opus4",0.838817021572136,0.967865794121696,"0.83882","ns","T-test",100,100,0.203674547475391,197.988438249602,1.06411764705882
"19","KD/MIS-C","NNET","AUC","Claude 3.7 Sonnet","Claude Opus4",0.927901618233314,0.979983912805729,"0.92790","ns","T-test",100,100,0.090609178719281,184.151195351686,1.04843137254902
"20","KD/MIS-C","RF","AUC","Claude 3.7 Sonnet","Claude Opus4",0.936429072236586,0.979983912805729,"0.93643","ns","T-test",100,100,0.0798603578448654,197.765111004077,1.0621568627451
"21","ME/CFS","EXTRATREES","AUC","Claude 3.7 Sonnet","Claude Opus4",0.302619428814429,0.439286267633849,"0.30262","ns","T-test",100,100,-1.03352404103565,197.999094229277,0.938347338935574
"22","ME/CFS","GLMNETLasso","AUC","Claude 3.7 Sonnet","Claude Opus4",0.7620247340676,0.926786838730865,"0.76202","ns","T-test",87,84,0.30331317247525,168.790635531579,0.91593837535014
"23","ME/CFS","GLMNETRidge","AUC","Claude 3.7 Sonnet","Claude Opus4",0.583050645262785,0.771684677553686,"0.58305","ns","T-test",100,100,0.54983766750196,197.919290545938,0.887927170868347
"24","ME/CFS","NNET","AUC","Claude 3.7 Sonnet","Claude Opus4",0.920454818949975,0.979983912805729,"0.92045","ns","T-test",100,100,0.0999891639177888,196.593040552871,0.851512605042017
