"ML_Model","Disease","LLM_1","LLM_2","n_seeds","mean_1","mean_2","df","p_value","q_value"
"EXTRATREES","KD/MIS-C","Claude 3.7 Sonnet Long","Claude 3.7 Sonnet Short",100,0.875245098039216,0.885549019607843,99,0.00780339505825625,0.0146112952736897
"EXTRATREES","KD/MIS-C","Claude 3.7 Sonnet Long","Claude Opus4 Long",100,0.875245098039216,0.87493137254902,99,0.929938151168826,0.947995202647832
"EXTRATREES","KD/MIS-C","Claude 3.7 Sonnet Long","Claude Opus4 Short",100,0.875245098039216,0.88178431372549,99,0.0601162434999758,0.0949753152516978
"EXTRATREES","KD/MIS-C","Claude 3.7 Sonnet Long","DESeq",100,0.875245098039216,0.912274509803922,99,1.35116071164525e-11,5.22474326174439e-11
"EXTRATREES","KD/MIS-C","Claude 3.7 Sonnet Long","GPT 4o Long",100,0.875245098039216,0.863764705882353,99,0.0123905695509234,0.0223718616891673
"EXTRATREES","KD/MIS-C","Claude 3.7 Sonnet Long","GPT 4o Short",100,0.875245098039216,0.806607843137255,99,5.01880081549687e-11,1.87689400360362e-10
"EXTRATREES","KD/MIS-C","Claude 3.7 Sonnet Long","GPT o3 Long",56,0.875122549019608,0.891141456582633,55,0.00368920025880998,0.00722183683608653
"EXTRATREES","KD/MIS-C","Claude 3.7 Sonnet Long","GPT o3 Short",100,0.875245098039216,0.889009803921569,99,0.00202219928170976,0.00412601198734503
"EXTRATREES","KD/MIS-C","Claude 3.7 Sonnet Long","Gemini 2.5 Pro Long",100,0.875245098039216,0.874186274509804,99,0.726002465134721,0.795985263002066
"EXTRATREES","KD/MIS-C","Claude 3.7 Sonnet Long","Gemini 2.5 Pro Short",98,0.876140456182473,0.8656262505002,97,0.103255697950947,0.156457069775863
"EXTRATREES","KD/MIS-C","Claude 3.7 Sonnet Long","Gemini Advanced 2.0 Flash Long",100,0.875245098039216,0.876598039215686,99,0.694352713061288,0.76933056382052
"EXTRATREES","KD/MIS-C","Claude 3.7 Sonnet Long","Gemini Advanced 2.0 Flash Short",100,0.875245098039216,0.857813725490196,99,0.00437750844753097,0.00849971412642928
"EXTRATREES","KD/MIS-C","Claude 3.7 Sonnet Long","Random",100,0.875245098039216,0.775274509803922,99,6.54888640259939e-21,4.3394320094894e-20
"EXTRATREES","KD/MIS-C","Claude 3.7 Sonnet Short","Claude Opus4 Long",100,0.885549019607843,0.87493137254902,99,0.0171914775578666,0.0300081417730025
"EXTRATREES","KD/MIS-C","Claude 3.7 Sonnet Short","Claude Opus4 Short",100,0.885549019607843,0.88178431372549,99,0.321116716299093,0.40585584976691
"EXTRATREES","KD/MIS-C","Claude 3.7 Sonnet Short","DESeq",100,0.885549019607843,0.912274509803922,99,9.27541793052434e-07,2.66546220529805e-06
"EXTRATREES","KD/MIS-C","Claude 3.7 Sonnet Short","GPT 4o Long",100,0.885549019607843,0.863764705882353,99,4.25954023822784e-05,0.000105522185574973
"EXTRATREES","KD/MIS-C","Claude 3.7 Sonnet Short","GPT 4o Short",100,0.885549019607843,0.806607843137255,99,1.32232084984951e-12,5.43665048206201e-12
"EXTRATREES","KD/MIS-C","Claude 3.7 Sonnet Short","GPT o3 Long",56,0.890458683473389,0.891141456582633,55,0.881356771563689,0.913479114035258
"EXTRATREES","KD/MIS-C","Claude 3.7 Sonnet Short","GPT o3 Short",100,0.885549019607843,0.889009803921569,99,0.434876022733086,0.524850372264069
