"Disease","ML_Model","Comparison","N_1","N_2","t_statistic","df","P_value","P_formatted","Significance","Test"
"KD/MIS-C","EXTRATREES","ChatGPT 4o vs ChatGPT o3",100,56,-2.80789754510865,128.288900653373,0.00576640092010792,"0.006","**","t.test"
"KD/MIS-C","EXTRATREES","Claude 3.7 Sonnet vs Claude Opus4",100,100,0.0386779251638788,197.639387986972,0.969186214080613,"0.969","ns","t.test"
"KD/MIS-C","EXTRATREES","Gemini Advanced 2.0 Flash vs Gemini 2.5 Pro",100,100,0.307097145915171,197.869780373128,0.759092383944247,"0.759","ns","t.test"
"KD/MIS-C","GLMNETLasso","ChatGPT 4o vs ChatGPT o3",100,58,-4.00598054127133,138.593117227642,0.000100323157808784,"<0.001","***","t.test"
"KD/MIS-C","GLMNETLasso","Claude 3.7 Sonnet vs Claude Opus4",100,100,-0.64990809285448,197.998198739919,0.516504897803444,"0.517","ns","t.test"
"KD/MIS-C","GLMNETLasso","Gemini Advanced 2.0 Flash vs Gemini 2.5 Pro",100,100,-1.22741855312774,197.669526409426,0.221125054759275,"0.221","ns","t.test"
"KD/MIS-C","GLMNETRidge","ChatGPT 4o vs ChatGPT o3",100,59,-2.68868770181178,130.454664772205,0.00810983772227234,"0.008","**","t.test"
"KD/MIS-C","GLMNETRidge","Claude 3.7 Sonnet vs Claude Opus4",100,100,0.203674547475391,197.988438249602,0.838817021572136,"0.839","ns","t.test"
"KD/MIS-C","GLMNETRidge","Gemini Advanced 2.0 Flash vs Gemini 2.5 Pro",100,100,-1.46071727674975,197.794434395054,0.145679700615702,"0.146","ns","t.test"
"KD/MIS-C","NNET","ChatGPT 4o vs ChatGPT o3",100,59,-3.11029404860414,146.426486574032,0.00224693461223322,"0.002","**","t.test"
"KD/MIS-C","NNET","Claude 3.7 Sonnet vs Claude Opus4",100,100,0.090609178719281,184.151195351686,0.927901618233314,"0.928","ns","t.test"
"KD/MIS-C","NNET","Gemini Advanced 2.0 Flash vs Gemini 2.5 Pro",100,100,-0.228490935753788,186.419503035965,0.819515050214698,"0.820","ns","t.test"
"KD/MIS-C","RF","ChatGPT 4o vs ChatGPT o3",100,58,-2.33587570119508,124.757771041718,0.0210931006855235,"0.021","*","t.test"
"KD/MIS-C","RF","Claude 3.7 Sonnet vs Claude Opus4",100,100,0.0798603578448654,197.765111004077,0.936429072236586,"0.936","ns","t.test"
"KD/MIS-C","RF","Gemini Advanced 2.0 Flash vs Gemini 2.5 Pro",100,100,0.0248182444584811,197.994455196806,0.980224933711653,"0.980","ns","t.test"
"TB","EXTRATREES","ChatGPT 4o vs ChatGPT o3",100,100,-7.39158664718867,155.69308137217,8.34201608465787e-12,"<0.001","***","t.test"
"TB","EXTRATREES","Claude 3.7 Sonnet vs Claude Opus4",100,100,2.71714939019394,188.188973562883,0.00719910923007563,"0.007","**","t.test"
"TB","EXTRATREES","Gemini Advanced 2.0 Flash vs Gemini 2.5 Pro",100,100,-6.39653849821528,196.602537735086,1.13565928935723e-09,"<0.001","***","t.test"
"TB","GLMNETLasso","ChatGPT 4o vs ChatGPT o3",100,100,-7.96526619873832,158.018738305319,3.05110843754703e-13,"<0.001","***","t.test"
"TB","GLMNETLasso","Claude 3.7 Sonnet vs Claude Opus4",100,100,2.36684232916629,193.976914454113,0.0189254214879172,"0.019","*","t.test"
"TB","GLMNETLasso","Gemini Advanced 2.0 Flash vs Gemini 2.5 Pro",99,100,-6.52886918048636,193.791510814143,5.67120144800707e-10,"<0.001","***","t.test"
"TB","GLMNETRidge","ChatGPT 4o vs ChatGPT o3",100,100,-8.61960927688024,165.984048639043,5.0991410524254e-15,"<0.001","***","t.test"
"TB","GLMNETRidge","Claude 3.7 Sonnet vs Claude Opus4",100,100,3.8434267676348,188.116504919154,0.000165852227235431,"<0.001","***","t.test"
"TB","GLMNETRidge","Gemini Advanced 2.0 Flash vs Gemini 2.5 Pro",100,100,-8.0776859698872,193.326241526707,6.96149098210392e-14,"<0.001","***","t.test"
"TB","NNET","ChatGPT 4o vs ChatGPT o3",100,100,-8.80178653698469,156.345183983301,2.37051242090832e-15,"<0.001","***","t.test"
"TB","NNET","Claude 3.7 Sonnet vs Claude Opus4",100,100,3.90665500205353,182.910738410286,0.000131593635830268,"<0.001","***","t.test"
"TB","NNET","Gemini Advanced 2.0 Flash vs Gemini 2.5 Pro",100,100,-8.61421339811617,191.985833908988,2.55781287296928e-15,"<0.001","***","t.test"
"TB","RF","ChatGPT 4o vs ChatGPT o3",100,100,-6.98077500547293,163.925646795144,6.93465184529414e-11,"<0.001","***","t.test"
"TB","RF","Claude 3.7 Sonnet vs Claude Opus4",100,100,2.78608991265266,186.438930980599,0.00588638657772534,"0.006","**","t.test"
"TB","RF","Gemini Advanced 2.0 Flash vs Gemini 2.5 Pro",100,100,-5.82330585577406,193.288141680064,2.37084521535431e-08,"<0.001","***","t.test"
"ME/CFS","EXTRATREES","ChatGPT 4o vs ChatGPT o3",100,100,-0.878652447264296,194.30741328105,0.380674990888178,"0.381","ns","t.test"
"ME/CFS","EXTRATREES","Claude 3.7 Sonnet vs Claude Opus4",100,100,-1.03352404103565,197.999094229277,0.302619428814429,"0.303","ns","t.test"
