"","condition","model_1","model_2","paired","t","df","p","p_adj_BH","p_adj_bonf"
"1","KD","EXTRATREES_accuracy","GLMNETLasso_accuracy",TRUE,-0.204297941896214,49,0.838966877459957,0.862937359673099,1
"2","KD","EXTRATREES_accuracy","GLMNETRidge_accuracy",TRUE,-1.37878787878787,49,0.174222274497441,0.224000067210996,1
"3","KD","EXTRATREES_accuracy","NNET_accuracy",TRUE,-1.78173092440542,49,0.0809908729383741,0.124798450394077,1
"4","KD","EXTRATREES_accuracy","RF_accuracy",TRUE,1.22683309945767,49,0.225747684101119,0.262158600891623,1
"5","KD","GLMNETLasso_accuracy","GLMNETRidge_accuracy",TRUE,-1.32956384274169,49,0.189818829021347,0.235637167060983,1
"6","KD","GLMNETLasso_accuracy","NNET_accuracy",TRUE,-1.84276339652469,49,0.0714175325614758,0.12017706665543,1
"7","KD","GLMNETLasso_accuracy","RF_accuracy",TRUE,0.952701531066471,49,0.345417484284525,0.376819073764936,1
"8","KD","GLMNETRidge_accuracy","NNET_accuracy",TRUE,-0.649933683619689,49,0.518770614605511,0.549286533111717,1
"9","KD","GLMNETRidge_accuracy","RF_accuracy",TRUE,2.35364530969792,49,0.0226458037387687,0.0407624467297836,0.815248934595672
"10","KD","NNET_accuracy","RF_accuracy",TRUE,2.62124711513852,49,0.0116365513552291,0.0246421087522499,0.418915848788248
"11","KD","claude_informed_accuracy","EXTRATREES_accuracy",TRUE,-22.6896234277953,49,1.20349131018203e-27,2.16628435832766e-26,4.33256871665532e-26
"12","KD","claude_informed_accuracy","GLMNETLasso_accuracy",TRUE,-19.7843245179527,49,5.1790774137701e-25,2.66352552708177e-24,1.86446786895724e-23
"13","KD","claude_informed_accuracy","GLMNETRidge_accuracy",TRUE,-22.0683569164306,49,4.16497052449303e-27,3.74847347204372e-26,1.49938938881749e-25
"14","KD","claude_informed_accuracy","NNET_accuracy",TRUE,-21.7915872783853,49,7.30864942407818e-27,4.38518965444691e-26,2.63111379266815e-25
"15","KD","claude_informed_accuracy","RF_accuracy",TRUE,-21.8967022652831,49,5.89908617654988e-27,4.24734204711592e-26,2.12367102355796e-25
"16","KD","claude_naive_accuracy","EXTRATREES_accuracy",TRUE,-17.421305982179,49,1.23058012272385e-22,4.0273531289144e-22,4.43008844180584e-21
"17","KD","claude_naive_accuracy","GLMNETLasso_accuracy",TRUE,-18.8615249255393,49,4.1211662284396e-24,1.64846649137584e-23,1.48361984223825e-22
"18","KD","claude_naive_accuracy","GLMNETRidge_accuracy",TRUE,-18.6495822888054,49,6.70915259562918e-24,2.41529493442651e-23,2.41529493442651e-22
"19","KD","claude_naive_accuracy","NNET_accuracy",TRUE,-22.0977242991604,49,3.92505162777403e-27,3.74847347204372e-26,1.41301858599865e-25
"20","KD","claude_naive_accuracy","RF_accuracy",TRUE,-17.2542029603246,49,1.84938030685092e-22,5.54814092055277e-22,6.65776910466333e-21
"21","KD","claude_naive_accuracy","claude_informed_accuracy",TRUE,1.62823888915329,49,0.10988791917577,0.146517225567693,1
"22","KD","gpt_informed_accuracy","EXTRATREES_accuracy",TRUE,-1.82930924701048,49,0.0734415407338736,0.12017706665543,1
"23","KD","gpt_informed_accuracy","GLMNETLasso_accuracy",TRUE,-1.68005376258061,49,0.099312445180962,0.137509539481332,1
"24","KD","gpt_informed_accuracy","GLMNETRidge_accuracy",TRUE,-2.5258160731619,49,0.0148259715186824,0.0284966756858901,0.533734974672568
"25","KD","gpt_informed_accuracy","NNET_accuracy",TRUE,-2.89265136824963,49,0.00568422481474049,0.0127895058331661,0.204632093330658
"26","KD","gpt_informed_accuracy","RF_accuracy",TRUE,-1.17359036331672,49,0.24623217200208,0.277011193502339,1
"27","KD","gpt_informed_accuracy","claude_informed_accuracy",TRUE,19.4998361024595,49,9.73680542722999e-25,4.38156244225349e-24,3.5052499538028e-23
"28","KD","gpt_informed_accuracy","claude_naive_accuracy",TRUE,14.4432019625346,49,2.75322323431255e-19,7.07971688823226e-19,9.91160364352517e-18
"29","KD","gpt_informed_accuracy","gpt_naive_accuracy",TRUE,-0.138989056460889,49,0.890028472115679,0.890028472115679,1
"30","KD","gpt_naive_accuracy","EXTRATREES_accuracy",TRUE,-1.76851903423969,49,0.0831989669293845,0.124798450394077,1
"31","KD","gpt_naive_accuracy","GLMNETLasso_accuracy",TRUE,-1.69511253194407,49,0.0964008146674219,0.137509539481332,1
"32","KD","gpt_naive_accuracy","GLMNETRidge_accuracy",TRUE,-2.52010638735952,49,0.0150399121675531,0.0284966756858901,0.541436838031912
"33","KD","gpt_naive_accuracy","NNET_accuracy",TRUE,-3.01404561839417,49,0.00407423901911017,0.00977817364586442,0.146672604687966
"34","KD","gpt_naive_accuracy","RF_accuracy",TRUE,-1.27945342003159,49,0.206762819338412,0.248115383206094,1
"35","KD","gpt_naive_accuracy","claude_informed_accuracy",TRUE,23.843106083481,49,1.29168197464805e-28,4.65005510873298e-27,4.65005510873298e-27
"36","KD","gpt_naive_accuracy","claude_naive_accuracy",TRUE,15.3267537474021,49,2.51713850878579e-20,6.97053740894527e-20,9.06169863162886e-19
"37","KD","EXTRATREES_accuracy","GLMNETLasso_accuracy",FALSE,-0.166962710572337,97.2169911008184,0.867746180941438,0.892538928968336,1
"38","KD","EXTRATREES_accuracy","GLMNETRidge_accuracy",FALSE,-1.18261630325429,97.3628026346418,0.239841198992149,0.308367255847048,1
"39","KD","EXTRATREES_accuracy","NNET_accuracy",FALSE,-1.63128153616043,97.4841221913708,0.106057541310904,0.166003108138807,1
"40","KD","EXTRATREES_accuracy","RF_accuracy",FALSE,0.658504607868514,97.9953574170146,0.511758123026895,0.558281588756613,1
"41","KD","GLMNETLasso_accuracy","GLMNETRidge_accuracy",FALSE,-0.951269956381744,95.2657698895156,0.343874590492808,0.39933823412068,1
"42","KD","GLMNETLasso_accuracy","NNET_accuracy",FALSE,-1.37893812961915,95.5108059333775,0.171134630439119,0.228179507252159,1
"43","KD","GLMNETLasso_accuracy","RF_accuracy",FALSE,0.795551875882129,97.0945425597197,0.428233162866813,0.481762308225165,1
"44","KD","GLMNETRidge_accuracy","NNET_accuracy",FALSE,-0.472498641568363,97.9934089899584,0.637621532329209,0.675128681289751,1
"45","KD","GLMNETRidge_accuracy","RF_accuracy",FALSE,1.87182316975098,97.4654602964806,0.0642296995395686,0.115613459171223,1
"46","KD","NNET_accuracy","RF_accuracy",FALSE,2.31950253844111,97.5763017171151,0.0224526855882176,0.0425419305882018,0.808296681175835
"47","KD","claude_informed_accuracy","EXTRATREES_accuracy",FALSE,-22.1551099729408,75.1191059607609,1.12563688982641e-34,1.01307320084377e-33,4.05229280337506e-33
"48","KD","claude_informed_accuracy","GLMNETLasso_accuracy",FALSE,-21.7959881661638,79.2605279079722,3.21854461944629e-35,4.13764082183794e-34,1.15867606300067e-33
"49","KD","claude_informed_accuracy","GLMNETRidge_accuracy",FALSE,-23.3107795661061,71.6930913872897,3.44803401819829e-35,4.13764082183794e-34,1.24129224655138e-33
"50","KD","claude_informed_accuracy","NNET_accuracy",FALSE,-23.5702922578193,72.0247348821958,1.37703533407364e-35,4.13764082183794e-34,4.95732720266509e-34
"51","KD","claude_informed_accuracy","RF_accuracy",FALSE,-21.7491512819976,74.8159610375384,4.45939992597951e-34,3.21076794670525e-33,1.60538397335262e-32
"52","KD","claude_naive_accuracy","EXTRATREES_accuracy",FALSE,-19.0952247487938,72.8337230970433,4.50035991855233e-30,1.47284506425349e-29,1.62012957067884e-28
"53","KD","claude_naive_accuracy","GLMNETLasso_accuracy",FALSE,-18.8287997532675,76.773748728046,1.68218876705817e-30,6.05587956140942e-30,6.05587956140942e-29
"54","KD","claude_naive_accuracy","GLMNETRidge_accuracy",FALSE,-20.1385782529993,69.6267873860646,9.43743272715571e-31,3.77497309086228e-30,3.39747578177606e-29
"55","KD","claude_naive_accuracy","NNET_accuracy",FALSE,-20.393425074813,69.9354766466886,3.76257756341303e-31,1.69315990353586e-30,1.35452792282869e-29
"56","KD","claude_naive_accuracy","RF_accuracy",FALSE,-18.7002672523757,72.5482444207409,1.82938240304551e-29,5.48814720913653e-29,6.58577665096384e-28
"57","KD","claude_naive_accuracy","claude_informed_accuracy",FALSE,1.75378634631502,97.7237820354652,0.0826023082470651,0.141603956994969,1
"58","KD","gpt_informed_accuracy","EXTRATREES_accuracy",FALSE,-1.51751793943842,82.6224467632952,0.132953106398833,0.18408891655223,1
"59","KD","gpt_informed_accuracy","GLMNETLasso_accuracy",FALSE,-1.60509934431063,87.0081939841508,0.112095655561277,0.167688979402253,1
"60","KD","gpt_informed_accuracy","GLMNETRidge_accuracy",FALSE,-2.42745730072255,78.7110428523573,0.0174888243035587,0.0349776486071173,0.629597674928112
"61","KD","gpt_informed_accuracy","NNET_accuracy",FALSE,-2.75885027705909,79.0996148691718,0.00720338051202104,0.0162076061520473,0.259321698432757
"62","KD","gpt_informed_accuracy","RF_accuracy",FALSE,-1.02466842063621,82.2859544171453,0.308522579328204,0.371712891873208,1
"63","KD","gpt_informed_accuracy","claude_informed_accuracy",FALSE,17.9753547145786,95.6090007322378,2.00640102044873e-32,1.03186338194506e-31,7.22304367361544e-31
"64","KD","gpt_informed_accuracy","claude_naive_accuracy",FALSE,15.5384460015667,93.8779893471984,1.07555986066546e-27,2.7657253559969e-27,3.87201549839566e-26
"65","KD","gpt_informed_accuracy","gpt_naive_accuracy",FALSE,-0.120671720755915,94.3377950850793,0.904207700488687,0.904207700488687,1
"66","KD","gpt_naive_accuracy","EXTRATREES_accuracy",FALSE,-1.58477325701522,91.9654214808448,0.116450680140453,0.167688979402253,1
"67","KD","gpt_naive_accuracy","GLMNETLasso_accuracy",FALSE,-1.67535723751923,95.2369476490275,0.0971446359238828,0.158963949693626,1
"68","KD","gpt_naive_accuracy","GLMNETRidge_accuracy",FALSE,-2.64037293403209,88.3645365154594,0.00979065173857586,0.0207331448581606,0.352463462588731
"69","KD","gpt_naive_accuracy","NNET_accuracy",FALSE,-3.02031068299058,88.7474516993719,0.00329784164441145,0.00791481994658749,0.118722299198812
"70","KD","gpt_naive_accuracy","RF_accuracy",FALSE,-1.02138290406212,91.6789020573294,0.309760743227673,0.371712891873208,1
"71","KD","gpt_naive_accuracy","claude_informed_accuracy",FALSE,19.4762446292432,87.6066903339558,1.38319071021461e-33,8.29914426128768e-33,4.97948655677261e-32
