seed_1_all,seed_2_all,seed_3_all,seed_4_all,seed_5_all,seed_6_all,seed_7_all,seed_8_all,seed_9_all,seed_10_all,seed_11_all,seed_12_all,seed_13_all,seed_14_all,seed_15_all,seed_16_all,seed_17_all,seed_18_all,seed_19_all,seed_20_all,seed_21_all,seed_22_all,seed_23_all,seed_24_all,seed_25_all,seed_26_all,seed_27_all,seed_28_all,seed_29_all,seed_30_all,seed_31_all,seed_32_all,seed_33_all,seed_34_all,seed_35_all,seed_36_all,seed_37_all,seed_38_all,seed_39_all,seed_40_all,seed_41_all,seed_42_all,seed_43_all,seed_44_all,seed_45_all,seed_46_all,seed_47_all,seed_48_all,seed_49_all,seed_50_all,seed_51_all,seed_52_all,seed_53_all,seed_54_all,seed_55_all,seed_56_all,seed_57_all,seed_58_all,seed_59_all,seed_60_all,seed_61_all,seed_62_all,seed_63_all,seed_64_all,seed_65_all,seed_66_all,seed_67_all,seed_68_all,seed_69_all,seed_70_all,seed_71_all,seed_72_all,seed_73_all,seed_74_all,seed_75_all,seed_76_all,seed_77_all,seed_78_all,seed_79_all,seed_80_all,seed_81_all,seed_82_all,seed_83_all,seed_84_all,seed_85_all,seed_86_all,seed_87_all,seed_88_all,seed_89_all,seed_90_all,seed_91_all,seed_92_all,seed_93_all,seed_94_all,seed_95_all,seed_96_all,seed_97_all,seed_98_all,seed_99_all,seed_100_all
IL15,IL15,IFIT1,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IFNG,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IL1B,IL15,IL15,S100A8,IL15,IL15,IL15,IL15,IL15,IFNG,IFNA1,IL15,IL6,IL15,IL15,IFNG,IL15,IL15,IFNG,IL15,IFNG,IL15,IL15,IL15,IL15,MYD88,IL15,IL15,IL15,IFNG,IL15,IFNG,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IL6,IFNG,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IL15,IFNG,IL1B,IL15,IL15
IL15RA,IL15RA,IFIT2,IL15RA,IL15RA,IL15RA,IL15RA,IL1B,IL15RA,IL15RA,IL6,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL6,IL15RA,IL15RA,S100A9,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL6,IFNA2,IL15RA,TNF,IL15RA,IL15RA,IFNGR1,IL15RA,IL15RA,TNF,IL15RA,IFNGR1,IL15RA,IL15RA,IL15RA,IL15RA,IRAK4,IL15RA,IL15RA,IL15RA,IL6,IL15RA,IL6,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IFNG,IFNA1,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL15RA,IL6,IL6,IL15RA,IL15RA
TNF,IL1B,IFIT3,IL2RB,STAT5A,IL6,TNF,TNF,TNF,IL1B,TNF,IFNA1,IL6,IL2RB,IL2RB,IL6,STAT3,IL2RB,STAT1,IL1B,IFNG,TNF,IL1B,IL1B,S100A12,IL1B,IL1B,IL1B,TNF,TNF,TNF,IFNB1,IL1B,IL1B,IL2RB,TNF,IFNGR2,STAT1,TNF,IL6,IL2RB,IFNGR2,TNF,TNF,TNF,CXCL10,IRAK2,IL1B,TNF,IL6,TNF,CXCL10,TNF,IFNG,TNF,TNF,IL1B,TNFA,TNFA,NFKB1,IFNG,CXCL10,IL6,STAT3,STAT1,IL1B,IFNAR2,IL1B,IL27,IL2RB,NLRP3,IL6,CD177,TNF,IFNB1,IL1B,IFNG,IL6,IL6,NFKB1,IL6,IL6,TNF,IL6,NFKB1,IL2RA,IL1B,IL1B,IFNG,IL1B,TNF,IL6,MYD88,TNF,IL1B,IFNG,TNF,TNF,TNF,IFNG
IFNG,IL6,IFIT5,TNF,STAT5B,STAT3,IFNG,IFNG,IFNG,TNF,IL1B,IFNB1,IL1B,IL2RG,JAK1,TNF,STAT5A,IL6,STAT2,TNF,TNF,CXCL8,IL18,IL6,IL1B,TNF,IL1A,TNF,IFNG,IL1B,IL1B,IFNAR1,IL6,IFNG,JAK1,IL6,STAT1,STAT3,IFNG,IL1B,JAK1,STAT1,IFNG,IL1B,IFNG,IL6,TLR5,TNF,IL1B,TNF,IL1B,TNF,IL1B,IL1B,IL1B,IL1B,TNF,IL1B,IL1B,RELB,IFNAR1,S100A8,TNF,STAT5A,STAT2,IFNG,IFNG,TNF,IL1B,IL1B,IL1B,TNF,S100A12,IL1B,IFNAR1,TNF,TNF,TNF,IL1B,RELA,TNF,TNF,IFNG,IL1B,RELA,NCR1,TNF,TNF,TNF,IL6,IFNG,IL1B,IRAK4,IL1B,TNF,STAT1,IL1B,IL18,IL1B,TNF
IL10,TNF,IRF7,IFNG,JAK1,IFNG,IL1B,S100A8,IL10,IL6,CXCL10,IFNG,TNF,TNF,JAK3,IFNG,STAT5B,IL17A,IRF9,S100A8,IL1B,IL1RN,IL6,TNF,CXCL8,IL6,IL1RN,NFKB1,IL1B,IL6,CXCL10,IFNAR2,TNF,IL10,JAK3,IL1B,STAT3,JAK1,IL1B,IL10,JAK3,STAT3,IL1B,IL1A,IL10,IFNG,TLR4,IL6,IL6,IL1B,IL10,IFNG,CXCL10,IL1R1,IL1A,IL6,IL6,IFNG,IL6,NFKB2,IFNAR2,S100A9,IL1B,STAT5B,JAK1,TNF,IFNB1,IL6,TNF,IL6,S100A8,IL1B,IL6,IL10,IFNGR1,IL6,IL6,IFNG,TNF,NFKB2,IFNG,IFNG,IL10,IL18,TNF,IFNG,IFNG,IFNG,IL6,TNF,IL6,TNF,NFKB1,IL6,IL6,STAT2,CXCL10,IL10,IL6,IL1B
IL1B,IFNG,IRF3,IFNGR1,JAK3,TNF,IL6,S100A9,IL1B,IFNG,IL10,IFNL1,IL10,TNFRSF1A,STAT5A,IL1B,TNF,IL17F,S100A8,S100A9,NLRP3,IL2RB,TNF,IFNG,CD177,IL17A,IL1R1,STAT1,IL10,IFNG,IL10,IRF3,IFNG,IL2,STAT5A,NLRP3,IRF3,JAK2,IL10,STAT3,STAT5A,IRF3,IL10,IFNAR1,IL1B,CXCL9,TLR2,IL17A,IL17A,IL1A,IFNAR1,IL1B,STAT1,IL1RAP,IL6,IFNG,IFNG,IL27,IL10,TNF,IRF3,S100A12,IL1A,JAK1,TYK2,STAT1,IFNA1,CXCL10,IL6,TNF,S100A9,IL18,TNF,IL27,IRF7,CXCL10,IL1B,IL1B,CXCL8,NFKBIA,IL1B,IL10,IL1B,TNF,NFKB2,IFNGR1,IL6,IL6,IL1B,IFNG,IL1B,IL18,IL1B,IL1R1,IFNG,IL1B,IL10,IL1RN,CXCL10,IFNAR1
IL6,IL10,IRF9,IFNGR2,IL1B,CXCL10,IL10,S100A12,CXCL8,IL12B,STAT1,IFNAR1,CXCL10,TNFRSF1B,STAT5B,IL10,TNFRSF1A,CXCL10,S100A9,S100A12,GSDMD,IL7R,IFNG,CCL2,IFNG,IL17F,IL1R2,STAT2,IL6,IFNAR1,STAT1,IRF7,NFKB1,IL4,STAT5B,ASC,IRF7,IRF1,IL6,CXCL10,STAT5B,IRF7,IL6,IFNAR2,IL6,TNF,TLR3,CXCL10,CXCL10,IL1R1,IFNAR2,TLR2,IL10,IL6,CXCL8,IL10,IL10,IL6,IFNG,IL1B,IRF7,NLRP3,IL1R1,JAK3,IRF9,STAT3,IFNA2,IL1RN,IL8,IFNG,STAT1,IFNG,IFNG,STAT1,IRF3,IL8,IL10,IL10,IL10,TNFAIP3,IL1A,IL1B,IL6,IFNG,REL,IFNGR2,CXCL8,IL18,IL10,IL10,CCL2,IL10,TNF,IL1RN,IL10,TNF,STAT1,IFNG,CCL2,IFNLR1
STAT1,IL2,STAT1,IL10,IL6,CXCL9,CXCL8,CXCR2,IL6,IL12A,IRF7,IFNAR2,IL18,IFNG,TNF,IL17A,TNFRSF1B,IL1B,S100A12,IL6,CXCL10,CD177,IL2,CCL5,IL6,CXCL10,IL6,IRF3,IL8,STAT1,IRF7,IRF9,NFKB2,IL17A,TNF,CASP1,IRF9,IRF7,IL8,ISG15,IL6,IRF9,IL8,STAT1,CXCL8,IL1B,TLR9,IL10,VEGFA,IL1R2,JAK1,TLR8,CCL2,TNF,IL17A,IL2,IL8,IL10,CXCL10,IL6,STAT1,IL1B,IL1R2,IL1B,NLRP3,JAK1,IRF3,IFNG,CXCL10,IL10,IFNG,IL17A,IL1B,STAT2,STAT1,IFNG,IL18,IL2,IL17A,REL,IL10,IL18,IFNAR1,IL10,RELB,TNF,S100A12,IL1A,IL18,IL2RA,IL2,IFNG,IL6,CCL2,IL2,IL6,IRF7,IL17A,CCL3,STAT1
STAT2,IL4,STAT2,IL1B,TNF,CCL2,TNFRSF1A,TLR4,IL2,IL23A,MX1,IFNGR1,IL17A,IFNGR1,TNFRSF1A,CXCL8,NFKB1,IL18,CXCR2,IFNG,CCL2,MYL9,IL4,CXCL10,TNF,IL18,IL6R,IRF7,S100A8,TLR4,MX1,STAT1,RELA,CXCL10,IFNG,ISG15,IFNAR1,IRF3,S100A8,MX1,TNF,IFNAR1,S100A8,STAT2,IL17A,CD177,TRAF6,IFNG,S100A8,IL1RAP,JAK2,IL6,CXCL8,IL10,IL17F,IL17A,S100A12,IL8,IL8,TNFAIP3,STAT2,CASP1,IL1RN,IL1A,TLR4,JAK2,IRF7,IFNAR1,MIP1A,IL17A,TNF,IL23A,FCGR2A,IRF3,STAT2,IL2,IL2,IL17A,IL2,IFNG,IL17A,IL8,IFNAR2,IL2,CD74,TNFRSF1A,S100A8,CXCL10,IL17A,STAT1,VEGFA,IL2,IFITM3,CCL3,IL4,VCAM1,MX1,IL2,CCL4,STAT3
STAT3,IL17A,ISG15,CXCL8,IFNG,CCL3,TNFRSF1B,TLR2,VEGFA,CXCL9,ISG15,IFNGR2,CXCL8,IFNGR2,TNFRSF1B,IL1A,NFKB2,TNF,IL6,IRF3,IL18,CD2,IL10,CXCL9,IL10,IL10,IL6ST,IRF9,S100A9,TLR7,ISG15,STAT2,TNFRSF1A,IL1A,IL10,MX1,IFNAR2,IRF9,S100A9,IFIT1,IL1B,IFNAR2,S100A9,JAK1,IL17F,VCAM1,IL15,IL2,S100A9,IL10,STAT1,CCL2,IRF7,IL18,CXCL10,IL18,S100A8,IL4,IL2,SQSTM1,TNF,IL6,CXCL10,IL1R1,TLR2,IRF1,IRF9,TLR7,IL2,CXCL10,TLR4,IL1A,IL17A,IRF7,ISG15,VEGFA,IFIT1,TLR3,IL1A,IFNAR1,IL2,IL1A,STAT1,IL17A,PECAM1,TNFRSF1B,S100A9,CXCL9,IL12B,STAT2,CXCL1,IL4,IFITM2,CXCL10,IL17A,ICAM1,IL2RA,IL4,CCL5,STAT5A
