seed_1_all,seed_2_all,seed_3_all,seed_4_all,seed_5_all,seed_6_all,seed_7_all,seed_8_all,seed_9_all,seed_10_all,seed_11_all,seed_12_all,seed_13_all,seed_14_all,seed_15_all,seed_16_all,seed_17_all,seed_18_all,seed_19_all,seed_20_all,seed_21_all,seed_22_all,seed_23_all,seed_24_all,seed_25_all,seed_26_all,seed_27_all,seed_28_all,seed_29_all,seed_30_all,seed_31_all,seed_32_all,seed_33_all,seed_34_all,seed_35_all,seed_36_all,seed_37_all,seed_38_all,seed_39_all,seed_40_all,seed_41_all,seed_42_all,seed_43_all,seed_44_all,seed_45_all,seed_46_all,seed_47_all,seed_48_all,seed_49_all,seed_50_all,seed_51_all,seed_52_all,seed_53_all,seed_54_all,seed_55_all,seed_56_all,seed_57_all,seed_58_all,seed_59_all,seed_60_all,seed_61_all,seed_62_all,seed_63_all,seed_64_all,seed_65_all,seed_66_all,seed_67_all,seed_68_all,seed_69_all,seed_70_all,seed_71_all,seed_72_all,seed_73_all,seed_74_all,seed_75_all,seed_76_all,seed_77_all,seed_78_all,seed_79_all,seed_80_all,seed_81_all,seed_82_all,seed_83_all,seed_84_all,seed_85_all,seed_86_all,seed_87_all,seed_88_all,seed_89_all,seed_90_all,seed_91_all,seed_92_all,seed_93_all,seed_94_all,seed_95_all,seed_96_all,seed_97_all,seed_98_all,seed_99_all,seed_100_all
IFNG,IFNG,TGFB1,CXCL10,IL1B,STAT1,STAT1,TGFB1,IFI27,S100A12,S100A12,IL1B,IFNGR1,NPPB,CXCL9,CASP3,PCSK9,STAT1,IFNGR1,HSPBAP1,IFI27,IFNG,TGFB1,IL6,IFNG,IL6,CASP1,IL6,IL6,TGFB1,UBD,STAT1,IL10,IL6,IL6,IFNG,IL15RA,A2M,IL6,TNF,IL1B,IFNG,NLRP3,HSPBAP1,STAT1,IL6,IL10,NPPB,IL6,IL6,STAT1,ITPKC,FLNC,IL27,SOCS1,IL6,TNNI3,CD177,IFNG,IFI27,ARG1,IFI27,IL1B,IL1B,STAT1,UBD,IFI44L,HSPBAP1,IFNG,IFNG,IL6,NPPB,IL6,IL6,HSPBAP1,IFNG,VPS37C,CD177,IL1B,FCGR3A,IFNG,IFNG,CXCL10,IL6,S100A12,NPPB,IL6,TGFB1,STAT1,HSPBAP1,IL1B,IL6,PRF1,TNF,IFIT1,IL1B,NFKB1,IL10,IL6,S100A12
TNF,IL6,IFNG,IFNG,IL6,STAT3,IL6,IL6,OAS1,CCL4,MYD88,IL6,IFNGR2,TNNI3,IFNG,CCL2,CD163,IRF7,IFNGR2,VPS37C,IFI44L,STAT1,MX2,CRP,CXCL10,TNF,CD177,IL6R,IL10,TRBV11-2,EBI3,IL6,TNF,CXCL10,IL1B,STAT1,S100A9,ACKR1,TNF,IL6,TNF,IL6,CASP1,VPS37C,IRF7,IL18,TNF,TNNI3,TNF,TNF,IRF7,CASP3,IL27,IDO1,ITPKC,TNF,NPPB,CXCL10,CXCL10,CXCL10,CD177,IFITM1,IL6,TNF,IFITM1,EBI3,HBEGF,VPS37C,IL6,CXCL10,CXCL10,TNNI3,IL1B,IL10,VPS37C,CXCL10,TRBV11-2,IL6,TNF,MYH7,CXCL10,STAT1,IFNG,TNF,CXCL9,TNNI3,STAT3,IL1R2,IL1B,VPS37C,IL6,TNF,GZMA,IL6,RSAD2,IL6,NFKB2,IL6,TNF,HP
IL6,CXCL8,IL6,IL6,TNF,IL6,IL10,CXCL10,MX1,CXCL10,IL27,TNF,JAK2,TNNT2,NPPB,CCL3,CXCL9,IFNG,IFNAR1,TGFB1,IFIT1,CXCL10,HSPBAP1,TNF,IL6,IL10,IFNB1,IL6ST,TNF,HSPBAP1,SQSTM1,CXCL10,NPPB,IFNG,TNF,STAT3,DDX60,ACKR3,IFNG,IL10,IL6,CXCL10,IL1B,TGFB1,OAS1,TNF,IL6,MYH7,IFNG,IFNG,IFI27,FCGR2A,LRG1,CXCL10,IFNG,IL1B,FTH1,IKBKB,IL6,STAT1,CEACAM8,IFI44L,IL10,CCL8,OAS1,SQSTM1,FCGR1A,TGFB1,IL10,CXCL9,IL10,IL17A,TNF,TNF,TGFB1,CXCL9,MX2,IFNG,IL6,TIE1,STAT1,CXCL9,STAT1,IFNG,CXCL10,S100A12,TNF,FCGR1A,IL6,TGFB1,TNF,IL1B,GZMB,IL10,OAS1,TNF,REL,IL1B,IL1B,FCGR1A
IL1B,CXCL10,TNF,IL10,IL18,TNF,TNF,TNF,IFIT1,IL1B,TNNI3,IL18,PTPN11,SYN2,TNNI3,CCL4,UBD,IL6,IFNAR2,MX2,ISG15,CXCL9,VPS37C,IL1B,IL10,IL1B,IFNG,TNF,IL1B,VPS37C,NFKB1,IFNG,TNNI3,TNF,STAT1,CXCL10,SQSTM1,ACKR4,CXCL10,IFNG,IFNG,CXCL9,IL18,MX2,CXCL10,STAT3,CXCL10,MYL2,IL1B,IL17A,ISG15,ORAI1,MEP1A,CXCL9,IL6,IL10,S100A9,IL10,IL10,IL6,DDX60,IFI6,IL18,CXCL10,MX1,ITPKC,BATF2,MX2,TNF,STAT1,IL1B,IL15,IFNG,IL17A,MX2,IL10,ITPKC,IL10,IFNG,PLAU,IL6,CXCL10,CXCL9,IRF3,FCGR1A,IL10,IL1B,HP,TNF,MX2,IFNG,CXCL10,GNLY,IFNG,STAT1,IFNG,RELA,TNF,IL10,ADM
IL10,TNF,IL1B,TNF,IL10,IL1B,IFNG,IFNG,RSAD2,IL18,SERPINA3,IL10,SOCS1,MFSD2A,IL6,CCL5,EBI3,TNF,STAT1,TRBV11-2,RSAD2,IRF1,TRBV11-2,IL10,S100A12,IFNG,IL18,TNFRSF1A,IL18,MX2,NFKB2,TNF,CRP,IL10,IFNG,CXCL8,UBD,ADAM17,CXCL9,CXCL8,CXCL8,IL1B,PYCARD,TRBV11-2,IFNG,ITPKC,IL1B,IL1B,IL10,IL10,RSAD2,BLK,CASP1,CXCL11,CXCL8,IL18,S100A8,IL1B,STAT1,IL1B,EBI3,IFIT1,TNF,IFNG,CXCL10,IL6,CD163,TRBV11-2,IL1B,IL18,TNF,IL15RA,STAT3,NPPB,TRBV11-2,IL6,HSPBAP1,TNFA,STAT1,HLA-DRA,TNF,CXCL11,IL6,IFI16,ADM,TNF,IFNG,S100A12,CXCL8,TRBV11-2,IL18,IL10,NKG7,CXCL10,IRF7,CXCL8,RELB,IFNG,IL17A,ALPL
CXCL8,STAT1,IL10,STAT1,CXCL8,IFNG,CXCL8,STAT1,SIGLEC1,HP,NPPB,CXCL8,SOCS3,IL6,STAT3,CD40,SQSTM1,IL1B,STAT2,SYNGR2,SIGLEC1,IRF7,UBD,CXCL10,STAT1,IL18,IL1B,TNFRSF1B,CXCL8,FCGR2A,REL,CXCL9,IL6,NPPB,SOCS3,IL6,IL15,ADGRE5,NPPB,CXCL10,CXCL10,TNF,GSDMD,UBD,CXCL9,CASP3,IL1RN,IL6,CXCL8,IL1B,IFIT1,CD40,CASP3,UBD,CXCL10,CXCL8,IL6,IL6,CXCL8,TNF,FCN1,OAS1,IFNG,STAT1,CCL8,IL10,NPPB,ADM,CRP,IL6,IFNG,FGB,CRP,TNNI3,IL6,TNF,TGFB1,STAT3,TNNI3,CCL2,IL1B,PRF1,TNF,CRP,ALPL,IL1B,CXCL8,ITPKC,CXCL9,IL1B,IL10,CRP,IL18,IL1B,CXCL10,CXCL9,BCL3,CXCL8,IL18,SLC22A4
CXCL10,IRF7,CXCL8,NLRP3,CCL2,CXCL8,CXCL10,IL1B,IRF7,EBI3,ORM1,CXCL10,STAT3,TNF,TNF,CXCL10,ADAMTS2,CXCL8,STAT3,MFSD2A,IRAK4,IRF9,EBI3,FTH1,IL1B,S100A12,IL6,IL1B,CXCL9,STAT3,RELA,CXCL8,FGB,TNNI3,CXCL8,TNF,SELL,ADRB2,TNNI3,STAT1,CCL2,IL10,IL6,EBI3,CXCL11,FCGR2A,IL17A,TNF,CXCL10,CRP,IFI44L,NLRP3,CD14,EBI3,TNF,CXCL10,CXCL8,NFKB1,IL1B,CCL8,IFI27,OAS2,CXCL10,IRF7,IL1RN,TNF,TNNI3,ALPL,NPPB,TNF,CASP4,FGA,FCGR2A,ITPKC,IFNG,IL1B,CASP1,CXCL10,TNNT2,IFNG,CRP,GZMB,IL1B,STAT3,HP,IFNG,IL10,CASP3,CXCL10,ADM,CXCL8,S100A8,CXCL9,STAT3,IFI44L,CXCL10,NFKBIA,CXCL10,CRP,CD177
CXCL9,IRF3,CCL2,CASP1,CXCL10,IL10,IL1B,ACE2,STAT1,FCGR1A,AZGP1,CCL2,STAT5A,IL10,PCSK9,CXCL8,ARG1,IL10,IRF1,IL10,IFI16,STAT2,SQSTM1,TNNT2,TNF,ITPKC,IRF7,IL1R1,CXCL10,IL6,RELB,IL10,CASP3,TNNT2,CRP,IL1B,S100A8,AGT,TNNT2,STAT3,IL10,IL18,TNF,SQSTM1,HLA-DRA,ORAI1,IFNG,IL18,CCL2,CXCL8,SIGLEC1,PYCARD,CD40,SQSTM1,IL10,CCL2,IFNG,NPPB,TNF,CXCL9,IFIT1,OAS3,CXCL9,OAS1,FCGR3B,IFNG,IL17A,FCGR1A,TNNI3,S100A12,CASP5,FGG,ITPKC,SOCS1,CXCL10,CRP,CRP,IRF7,SERPINE1,TNNI3,CXCL8,GNLY,IFI27,S100A8,SLC22A4,IL6,IL18,CD40,IFNG,PDGFC,CXCL10,S100A9,CXCL10,NFKB1,IFI6,NPPB,NFKBID,CCL2,IFNG,TSPO
IL18,OAS1,CXCL10,ANGPT2,IL1R1,CCL2,CRP,MX2,NLRP3,IL10,NLRP3,CCL3,STAT5B,CRP,CXCL10,CXCL9,CCL20,IL17A,IRF3,TNF,STAT3,IFI27,S100A8,TNNI3,NLRP3,STAT3,JAK1,IL1RN,CCL2,IL10,CHUK,IL18,ITPKC,S100A12,VEGFA,CXCL9,EBI3,ALCAM,TNNC1,IRF7,IL18,IL15,IFNG,CD163,HLA-DRB1,BLK,IL27,IFNG,IL18,CXCL10,CXCL10,CASP1,CD74,PDCD1,IL1B,CCL3,IL10,RELA,IFIT1,CXCL11,ISG15,MX1,CCL2,MX1,IL1B,IL1B,CXCL10,HP,IL18,FCGR1A,TIFA,CRP,CASP3,IL1B,IL1B,FCGR3B,IFNG,NFKB1,S100A12,UBD,CCL2,LAG3,ISG15,TLR6,MFSD2A,CXCL10,IL1R1,ITGAX,STAT3,TGFA,CXCL9,FCGR2A,CXCL11,CD177,GBP1,TNNI3,NFKBIE,CCL3,IL1R1,SPI1
STAT1,OAS2,STAT1,MMP9,IL6R,CXCL10,FCGR3A,HSPBAP1,CASP1,IL6,IL18,CCL4,CCL2,FTH1,CRP,DDX58,CORIN,IFNAR1,IRF7,TNNI3,PYCARD,IFI44L,S100A9,NPPB,CASP1,IL17A,NFKB1,IL18,CCL3,IFNG,IKBKB,NPPB,CD40,CRP,MMP9,IRF1,TMEM154,ANGPT1,FGA,NFKB1,CRP,IL15RA,IL10,CXCL9,IL6,CD40,STAT1,IL10,IL17A,IL18,CXCL9,IL6,CRP,CTLA4,STAT1,CCL4,TNF,TNF,MX1,IRF7,LCN2,MX2,CCL3,IFI6,TNF,CCL2,STAT1,S100A12,OAS1,IL1B,NLRP3,FTL,IL17A,IFNG,IL10,STAT1,PYCARD,TLR4,MMP9,NPPB,ICAM1,PDCD1,MX1,HLA-C,CD163,FCGR3A,IL6R,CD74,SOCS1,ITPKC,IL1R1,FCGR3A,CCR5,FCGR2A,CXCL9,TNNT2,NKIRAS1,CCL4,IL1RN,IL18
