seed_1_all,seed_2_all,seed_3_all,seed_4_all,seed_5_all,seed_6_all,seed_7_all,seed_8_all,seed_9_all,seed_10_all,seed_11_all,seed_12_all,seed_13_all,seed_14_all,seed_15_all,seed_16_all,seed_17_all,seed_18_all,seed_19_all,seed_20_all,seed_21_all,seed_22_all,seed_23_all,seed_24_all,seed_25_all,seed_26_all,seed_27_all,seed_28_all,seed_29_all,seed_30_all,seed_31_all,seed_32_all,seed_33_all,seed_34_all,seed_35_all,seed_36_all,seed_37_all,seed_38_all,seed_39_all,seed_40_all,seed_41_all,seed_42_all,seed_43_all,seed_44_all,seed_45_all,seed_46_all,seed_47_all,seed_48_all,seed_49_all,seed_50_all,seed_51_all,seed_52_all,seed_53_all,seed_54_all,seed_55_all,seed_56_all,seed_57_all,seed_58_all,seed_59_all,seed_60_all,seed_61_all,seed_62_all,seed_63_all,seed_64_all,seed_65_all,seed_66_all,seed_67_all,seed_68_all,seed_69_all,seed_70_all,seed_71_all,seed_72_all,seed_73_all,seed_74_all,seed_75_all,seed_76_all,seed_77_all,seed_78_all,seed_79_all,seed_80_all,seed_81_all,seed_82_all,seed_83_all,seed_84_all,seed_85_all,seed_86_all,seed_87_all,seed_88_all,seed_89_all,seed_90_all,seed_91_all,seed_92_all,seed_93_all,seed_94_all,seed_95_all,seed_96_all,seed_97_all,seed_98_all,seed_99_all,seed_100_all
PDCD1,TOX,CCL4,IL8,IFNA4,IFNG,IL8,ESRRA,IL1B,PDCD1,PDCD1,NFKB1,PDCD1,TGFB1,TGFB1,PDCD1,IL8,TRPM3,PDCD1,TLR4,TNF,TNF,PDCD1,PDCD1,CCL4,CD38,CXCL8,CTLA4,CD38,NDUFA3,PRF1,TNF,IFNG,PDCD1,IL8,IL8,NDUFS1,NFKBIA,PDCD1,ESRRA,TOX,IFNG,TOX,PDCD1,PDCD1,PDCD1,PRF1,NFKBIA,CCL4,IL1B,ESRRA,NFKB1,TIGIT,CD38,TNF,TOX,CD8A,IL8,CD8A,PDCD1,CCR7,TRPM3,NFKB1,CCL4,PDCD1,CD8A,IL6,CCL4,CD38,IL8,PDCD1,ESRRA,IL8,CTLA4,NDUFS1,PDCD1,TNF,WASF3,ATP5A1,IFNG,TNF,PDCD1,CD8A,IL8,PRF1,PDCD1,NFKB1,PDCD1,PRF1,PRF1,PDCD1,PDCD1,IL8,IFNG,NFKB1,PDCD1,CD79A,NFKBIA,PRF1,IL1B
CTLA4,PDCD1,CXCR4,NFKBIA,IFNA7,IL1B,NFKBIA,PDCD1,IL6,CTLA4,CTLA4,TLR4,CTLA4,IL10,IL1B,CTLA4,TNFAIP3,TRPM2,CTLA4,NLRP3,IL1B,IL1B,CTLA4,CTLA4,CSF2,CTLA4,NFKBIA,PDCD1,CTLA4,NDUFB8,GZMB,IL6,TNF,CTLA4,NFKBIA,NFKBIA,NDUFS2,TNFAIP3,CTLA4,CD38,PDCD1,TNF,PDCD1,CTLA4,HAVCR2,CTLA4,GZMB,TNFAIP3,CCL5,TNF,APP,TNF,PDCD1,PDCD1,IFNG,PDCD1,CD8B,NFKBIA,CD8B,CTLA4,CD28,PDCD1,TNF,CSF2,CTLA4,GZMB,TNF,CSF2,PDCD1,NFKBIA,CTLA4,APP,TNF,PDCD1,NDUFS2,CTLA4,IL1B,PPARGC1A,ATP5B,TNF,NFKB1,CTLA4,CD8B,NFKBIA,GZMB,CTLA4,TNF,CTLA4,GZMB,GZMB,LAG3,CTLA4,NFKBIA,TNF,TNF,CTLA4,EBF1,TNFAIP3,GZMB,IL6
LAG3,CTLA4,CSF2,TNFAIP3,IFNA10,TNF,TNFAIP3,IL8,TNF,LAG3,LAG3,TNF,LAG3,TNF,TNF,LAG3,NFKBIA,TRPM7,HAVCR2,IL1B,IL6,IL6,HAVCR2,LAG3,CCL5,PDCD1,TNFAIP3,CD38,PDCD1,NDUFS1,GZMA,IL1B,IL10,HAVCR2,TNFAIP3,TNFAIP3,NDUFS3,IL1B,LAG3,PRF1,CTLA4,KLRC2,CTLA4,LAG3,LAG3,CD38,GZMA,TNF,CCL3,IL6,CD74,IL1B,LAG3,CTLA4,IL1B,CTLA4,CD4,TNFAIP3,CD4,LAG3,LCK,CTLA4,IL1B,CCL3,LAG3,PRF1,IFNG,CXCR4,CTLA4,TNFAIP3,HAVCR2,CD74,NFKBIA,CD38,NDUFS3,HAVCR2,IL6,COX4I1,COX4I1,IL1B,IL6,LAG3,CD4,TNFAIP3,GZMA,CD38,IL6,LAG3,GZMA,GZMA,HAVCR2,TOX,TNFAIP3,IL1B,IL1B,CD38,FLT3,TNF,KLRG1,TNF
HAVCR2,LAG3,CCL20,CD4,IFNA17,IL6,CCR7,NFKBIA,IFNG,HAVCR2,TIGIT,IL1B,HAVCR2,IFNG,IL6,TIGIT,CCL4,TRPM8,LAG3,TNF,IFNG,IFNG,LAG3,HAVCR2,CCL3,HAVCR2,GZMA,HAVCR2,HAVCR2,NDUFS3,GZMK,IFNG,IL6,LAG3,IL1B,CCR7,NDUFS4,TNF,HAVCR2,GZMA,HAVCR2,TPPP,LAG3,TIGIT,CTLA4,HAVCR2,GZMK,IL1B,CCL20,IFNG,IL8,IL6,HAVCR2,HAVCR2,IL6,HAVCR2,GZMB,TNF,CD3E,TIGIT,SMAD3,LAG3,IL6,CCL5,TIGIT,EOMES,IL2,CCL20,HAVCR2,IL1B,LAG3,PRF1,TNFAIP3,HAVCR2,NDUFS4,CD38,IL10,COX5A,COX6B1,IL6,IL1B,HAVCR2,CD3E,TNF,KLRG1,CD39,IL1B,TIGIT,GZMH,GZMK,CTLA4,CD8A,TNF,CTLA4,IL6,HAVCR2,TNFRSF13C,IL1B,PDCD1,IFNG
TIGIT,HAVCR2,CCL5,CD8A,IFNA21,IL10,CD28,TNFAIP3,IL10,TIGIT,HAVCR2,IL6,TIGIT,IL6,IL10,CD38,CCL5,TRPA1,TIGIT,IL6,IL10,CD8A,CD38,TIGIT,CCL20,LAG3,PRF1,LAG3,LAG3,NDUFS8,NCAM1,IL10,IL1B,TIGIT,CCR7,CD28,NDUFS5,IL6,TIGIT,GZMB,LAG3,HLA-C,TIGIT,HAVCR2,TIGIT,LAG3,KLRG1,IL6,CXCR4,IL10,NFKBIA,IFNG,CTLA4,LAG3,IL10,LAG3,PRF1,IL1B,CD3D,CD244,EZR,TIM3,IFNG,CCL20,CD38,TOX,IL10,CCL5,KLRG1,TNFA,TIGIT,GZMA,IL1B,LAG3,NDUFS7,IFNG,IFNG,COX5B,NDUFS1,CD38,IFNG,TIGIT,CD3D,IL1B,KLRD1,HAVCR2,IFNG,HAVCR2,GZMK,GZMH,TIGIT,CD8B,IL6,CD38,IFNG,ENTPD1,CXCR5,IL6,LAG3,IL10
CD244,TIGIT,CCL3,CD8B,IFNG,CXCL10,LCK,CTLA4,TGFB1,CD226,CD244,IFNG,BTLA,IL1B,IFNG,CD69,CXCL9,TRPV1,CD38,IFNG,TLR4,GZMB,CD39,CD244,CXCR4,TIGIT,CD8A,TIGIT,TIGIT,ATP5A1,FCGR3A,TGFB1,CD8A,CD274,CD28,LCK,NDUFS6,IL10,BTLA,APP,TIGIT,HLA-DQB1,HAVCR2,TOX,TOX,CD274,NCAM1,IFNG,CSF2,CCL2,TNFAIP3,TLR4,CD274,TIGIT,IL2,TIGIT,NCAM1,IL6,CD3G,CD69,CSK,TIGIT,TLR4,CXCR4,CD39,TBX21,TGFB1,CCL3,CD4,IL6,BTLA,GZMB,IL6,TIGIT,NDUFS8,TNF,IL2,COX6A1,NDUFS3,NFKB1,IL10,CD244,CD3G,IL6,KLRF1,CD244,TLR4,CD38,NKG7,GNLY,BTLA,CD4,IL1B,CD274,TLR4,LAG3,CD19,CCL2,TIGIT,IL2
CD160,CD38,CD14,FOXP3,IL1B,CCL4,SMAD3,CD38,IL4,CD160,BTLA,CD8A,CD244,IL4,CCL2,IL2,GZMB,TRPC3,CD244,IL10,NFKB1,PRF1,HLA-DRA,BTLA,IL8,CD8A,CD4,TNF,CD274,ATP5B,KLRC1,IL4,CD4,PDCD1LG2,LCK,SMAD3,NDUFS7,IFNG,CD38,CD74,CD244,MTHFR,CD38,TOX2,CD244,TIGIT,FCGR3A,IL10,IL1B,CCL4,TNF,TLR3,PDCD1LG2,TOX,IL4,CD244,KLRG1,IL10,CD28,CD38,ACTB,TOX,TLR3,CD28,HAVCR2,IFNG,IL1B,CCR7,CD8A,CCL3,CD38,GZMK,IFNG,CD274,NDUFV1,GZMB,NFKB1,COX6B1,NDUFA5,IL10,TLR4,TOX,CD28,IL10,NCAM1,KLRG1,IL10,TOX,KLRD1,NKG7,CD244,HAVCR2,IL10,IL10,TLR3,TIGIT,MS4A1,CCL5,IL1B,IL17A
TOX,ENTPD1,CD68,CD25,IL6,CSF2,CCL4,CD39,IL13,BTLA,KLRD1,PRF1,PRF1,IL8,CXCL10,IL21,PRF1,TRPC6,TOX,IL17A,CCL4,IL10,HLA-DRB1,CD8A,NFKBIA,CD8B,IL2,TNFAIP3,KLRC1,ATP5C1,KLRK1,IL13,CXCR4,TOX,SMAD3,EZR,NDUFS8,CCL4,HLA-DRA,NDUFA3,KLRG1,ESRRA,CD39,CD38,ENTPD1,CD244,KLRC1,TLR4,TNF,CCL5,IL1B,CD8A,CD28,EOMES,IL17A,BTLA,CD69,TLR4,CTLA4,TNF,ITGB7,CD38,CD8A,LCK,CD244,TNF,IL4,CD28,CD3E,CCL4,TOX,TNF,IL1A,ENTPD1,NDUFV2,PRF1,STAT1,COX7A2,SDHB,TLR4,CD8A,EOMES,CTLA4,IL17A,FCGR3A,LAG3,CD8A,EOMES,KLRG1,FASLG,CD160,LAG3,CD8A,IL6,CD8A,KLRG1,PAX5,CXCL10,TNF,IL12B
TOX2,CD160,CD163,KLRG1,IL10,IL17A,CXCR4,HLA-DR,IL17A,IFNG,KLRG1,GZMB,GZMB,CCL2,NLRP3,IFNG,PDCD1,NCR1,EOMES,CD8A,CCL5,IL2,CD244,CD8B,TNFAIP3,CD4,IL10,NFKBIA,CD160,ATP5F1,NCR1,IL17A,CCL2,EOMES,STAT3,CSK,SDHA,CCL5,HLA-DRB1,NDUFB8,CD38,NFE2L2,BTLA,ENTPD1,EOMES,KLRG1,KLRD1,STAT3,IL6,CXCL10,IFNG,CD4,LCK,TBX21,CD8A,CD160,CD3E,IFNG,PDCD1,IFNG,GATA3,CD39,CD4,CCR7,CD160,PD1,IL17A,LCK,FOXP3,CCL5,EOMES,IL1B,IL2,CD244,NDUFA3,CD8A,STAT3,NDUFS1,UQCRC1,FOXP3,PRF1,TBX21,ICOS,IFNG,ZAP70,TIGIT,PRF1,TBX21,KLRC1,KIR2DL1,TOX,TIGIT,CD4,IFNA4,PRF1,CD244,CD79B,IL10,IL6,IL4
EOMES,CD244,TLR4,NKG2C,IL17A,CXCL8,CSF2,CD107a,IL17F,TNF,PRF1,CD4,GZMA,CXCL10,IL1A,CD8A,LAG3,NCR3,TBX21,CD4,CCL3,FOXP3,KLRC1,CD4,CD68,IFNG,TNF,IL6,CD244,COX4I1,KIR2DL3,IL12A,IL2,TBX21,EZR,ACTB,SDHB,CCL20,KLRC1,NDUFB4,ENTPD1,TSPO,CD160,NT5E,TBX21,CD160,KLRK1,NFKB1,CXCL8,IL17A,NOS2,GZMB,ZAP70,TCF7,CD4,KLRG1,CD3D,NFKB1,LAG3,IL1B,ZFPM1,HLA-DR,PRF1,IL18BP,IL8,CTLA4,CD8A,SMAD3,IL8,CXCL13,TBX21,IL6,IL4,LAMP1,NDUFB3,CD8B,CD8A,NDUFS2,CYC1,IL2,GZMB,BATF,PDCD1,CCL2,LCK,CD160,GZMB,GZMB,KLRB1,KIR2DL3,TOX2,CD38,FOXP3,IFNA17,GZMB,FCGR3A,CD22,IFNG,IFNG,NFKB1
