seed_1_all,seed_2_all,seed_3_all,seed_4_all,seed_5_all,seed_6_all,seed_7_all,seed_8_all,seed_9_all,seed_10_all,seed_11_all,seed_12_all,seed_13_all,seed_14_all,seed_15_all,seed_16_all,seed_17_all,seed_18_all,seed_19_all,seed_20_all,seed_21_all,seed_22_all,seed_23_all,seed_24_all,seed_25_all,seed_26_all,seed_27_all,seed_28_all,seed_29_all,seed_30_all,seed_31_all,seed_32_all,seed_33_all,seed_34_all,seed_35_all,seed_36_all,seed_37_all,seed_38_all,seed_39_all,seed_40_all,seed_41_all,seed_42_all,seed_43_all,seed_44_all,seed_45_all,seed_46_all,seed_47_all,seed_48_all,seed_49_all,seed_50_all,seed_51_all,seed_52_all,seed_53_all,seed_54_all,seed_55_all,seed_56_all,seed_57_all,seed_58_all,seed_59_all,seed_60_all,seed_61_all,seed_62_all,seed_63_all,seed_64_all,seed_65_all,seed_66_all,seed_67_all,seed_68_all,seed_69_all,seed_70_all,seed_71_all,seed_72_all,seed_73_all,seed_74_all,seed_75_all,seed_76_all,seed_77_all,seed_78_all,seed_79_all,seed_80_all,seed_81_all,seed_82_all,seed_83_all,seed_84_all,seed_85_all,seed_86_all,seed_87_all,seed_88_all,seed_89_all,seed_90_all,seed_91_all,seed_92_all,seed_93_all,seed_94_all,seed_95_all,seed_96_all,seed_97_all,seed_98_all,seed_99_all,seed_100_all
PIK3CG,TNF,TNF,PIK3R5,PDCD1,PIK3CD,CD38,S100PBP,TOX,WASF3,PDCD1,TNF,STAT1,STAT1,IDO1,IFNG,PDCD1,MTHFR,CD24,STAT1,TOX,CD38,PDCD1,NR3C1,STAT1,CTLA4,IFNG,NR3C1,TPH2,PIK3CA,CYP2D6,CYP2D6,CD244,CYP2D6,STAT1,PDCD1,IL6,NFKB1,WASF3,CCL2,TNF,STAT1,PDCD1,IFNG,AKR1C1,IDO1,CYP2D6,CTLA4,PRKN,STAT1,CTLA4,PDCD1,TOX,STAT1,GDF15,C9orf72,SDHA,CAT,IDO1,TOX,PDCD1,MTHFR,PDCD1,CTLA4,STAT1,CCL5,NKG7,STAT1,STAT1,HAVCR2,SLC25A15,STAT1,ACE,NFYA,IDO1,ATP5F1B,TNF,PIK3CA,SLC25A15,STAT1,FKBP5,TNF,SLC25A15,CREB1,PIK3CD,TSPO,CYP2D6,IRF7,STAT1,PDCD1,TNF,IFNG,TOX,ANKDD1B,PIK3CD,PDCD1,TNF,PDCD1,STAT1,PDCD1
PDCD1,NFKB1,CD4,AKT1,CTLA4,AKT1,ENTPD1,ATP9A,PDCD1,TGFB1,CTLA4,IL6,IRF7,IRF7,STAT1,IDO1,CTLA4,PDCD1,IL2,IL1B,PDCD1,NDUFS1,CTLA4,IFNG,IFIH1,CXCL10,TNF,TNF,SLC25A15,HLA-C,PRRT4,IFNA4,NCR1,PRRT4,PDCD1,TNF,TNF,TNF,TP53,COMT,IL6,TLR2,TOX,IL1B,AKR1C2,IDO2,PRRT4,PDCD1,NR3C1,IRF7,PDCD1,CTLA4,PDCD1,IRF7,NOS3,CD4,TBX21,SOD1,IDO2,SLAMF6,TOX,CYP2D6,CTLA4,NR3C1,STAT3,CD244,CD244,IL1B,TNF,CTLA4,EBF3,IFIH1,ATP5F1A,GCLC,NR3C1,ATP5F1C,IL6,MAX,COMT,IL1B,EBF3,IL6,NR3C1,NR3C1,AKT1,TOX,PRRT4,STAT1,STAT3,HAVCR2,IL6,BDNF,PDCD1,CPLX2,AKT1,CTLA4,IL6,CTLA4,STAT3,CTLA4
SHMT2,STAT3,CDKN1A,MTOR,NR3C1,MTOR,HAVCR2,KCNB1,CTLA4,IFNG,HAVCR2,IFNG,IRF1,IRF1,NFKB1,TGFB1,LAG3,IL2,TNF,TLR2,HAVCR2,MPC1,HAVCR2,TNF,TLR2,CCL5,IL6,IL6,TYK2,ACE,PRSS56,IFNA7,NCR3,PRSS56,IDO1,TOX,IFNG,IL6,TNF,CRHR1,IFNG,IL1B,HAVCR2,NOS3,CTLA4,TPH2,PRSS56,LAG3,TLR4,IRF9,TNFAIP3,HAVCR2,NOS3,IRF9,PDCD1,CRH,C1QTNF3,SDHB,PDCD1,PDCD1,CTLA4,PRRT4,HAVCR2,PTPN22,STAT4,CD69,LAG3,CCL2,IFNG,TIGIT,TNF,IL1B,ATP5F1B,SCYL3,COMT,UQCRC1,IL1B,HLA-C,ESRRA,CCL2,AKR1C1,IL1B,COMT,FKBP5,mTOR,TLR4,PRSS56,OAS1,NFKB1,CTLA4,IL1B,IDO1,HAVCR2,VARS2,MTOR,TNFAIP3,IL1B,LAG3,IRF1,HAVCR2
IDO1,AKT1,CDKN2A,HIF1A,COMT,NFKB1,HLA-DRB1,CLOCK,CD8A,TNF,INHBB,IL1B,OAS1,OAS1,TNF,CD38,TIGIT,TNF,ATP5B,CCL2,TBX21,PKM,TOX,IL17A,CCL2,IRF4,IL1B,IL1B,EBF3,S100PBP,ANKDD1B,IFNA10,KLRK1,ANKDD1B,IL6,IL1B,IL1B,TGFB1,PDCD1,CRHR2,TGFB1,CCL2,CTLA4,SLC25A15,FPR1,COMT,ANKDD1B,HAVCR2,TCF7,OAS1,ENTPD1,LAG3,COMT,OAS1,SLAMF6,CRHR1,HMOX1,SLC25A15,TOX,TBX21,LAG3,PRSS56,TIGIT,CD244,STAT6,CXCL10,PDCD1,TLR2,IL6,LAG3,IFNAR1,CCL2,ATP5F1C,FGR,TPH2,NDUFC1,IFNG,ACE,NOS3,TLR2,P4HA1,TGFB1,PDCD1,CRHR1,RPS6KB1,TGFB1,ANKDD1B,OAS2,TNF,TOX,TGFB1,CCL5,NR3C1,IFNAR2,NFKB1,IL8,IFNG,TIM3,IRF7,IFNG
FASLG,MAPK1,SPAG11B,VEGFA,TPH2,TNF,HLA-DRA,SLC15A4,CD4,IL2,TNF,TGFB1,OAS2,OAS2,IL6,PDCD1,TOX,IFNG,SOD2,IFIH1,IFNG,ACADVL,TBX21,IL17F,IL1B,IL6,TOX,IGHV3-30,NFKB1,ATP9A,GPBAR1,IFNA17,KLRC1,GPBAR1,TNF,AIF1,IL10,STAT1,LAG3,CTLA4,IL1B,IFIH1,LAG3,TNF,HAVCR2,NR3C1,GPBAR1,IDO1,TBX21,OAS2,HAVCR2,TIGIT,IFNG,OAS2,SLC25A15,CSF1R,GZMB,EBF3,CTLA4,TCF7,HAVCR2,ANKDD1B,LAG3,IL2RA,JAK1,EOMES,CTLA4,IFIH1,IL10,STAT1,IFNG,TLR2,ATP5F1D,CFH,GDF15,UQCRB,TGFB1,SLC25A15,APP,IFIH1,PIK3CD,TNFAIP3,CTLA4,CRHR2,EIF4EBP1,TCF7,GPBAR1,OAS3,IL6,SLAMF6,IDO1,CD38,TBX21,IFNAR1,TNF,NFKBIA,TGFB1,TIGIT,NFKB1,TNF
CD74,SOD2,RAB11A,TP53,HAVCR2,IL6,CTLA4,TMEM232,IFNG,IL6,IFNG,IL2,OAS3,OAS3,IL2,CTLA4,SLAMF6,CD38,IFNG,HLA-DRB1,TNF,SDHA,NR3C1,PDCD1,CTLA4,TNF,IDO1,TOX,SOD2,KCNB1,LHB,IFNA21,KLRC2,LHB,IFNG,IL6,TGFB1,IRF1,IL6,IDO1,IL10,CTLA4,TIGIT,AKR1C1,IDO1,TOX,LHB,TNF,SLAMF6,OAS3,IDO2,TOX,CTLA4,OAS3,SLC6A2,CTLA4,NFKB1,IL6,LAG3,SMPD1,TBX21,GPBAR1,TOX,STAT4,JAK2,GPX1,HAVCR2,TNF,TGFB1,TNF,CFTR,TNF,ATP5F1E,PTPN6,IFNG,SDHA,IDO1,AKR1C1,CD74,TGFB1,PKP2,HLA-DQA1,HAVCR2,POMC,HIF1A,TBX21,LHB,IFIT1,IL1B,TBX21,CTLA4,CXCL10,EOMES,NPAS2,IL6,HLA-DQB1,HLA-DQA1,IDO1,RELA,IL10
HAVCR2,BDNF,TRPC4,RELA,TGFB1,IFNG,KLRC1,GPC5,IL6,IL10,IL1B,IL10,MX1,MX1,IFNG,COMT,IL1B,CD69,TGFB1,HLA-DQA1,TLR4,LAG3,STAT1,HAVCR2,HLA-C,LAG3,PDCD1,PDCD1,NR3C1,CLOCK,ADAMTS19,IFNA6,KLRC3,ADAMTS19,IL10,PRF1,CXCL8,PDCD1,IL1B,IDO2,IL2,HLA-DQA1,IFNG,AKR1C2,IDO2,PDCD1,ADAMTS19,IL6,TOX,MX1,LAG3,IFNG,TLR4,MX1,SMPD1,ELP1,IL2,SETDB1,HAVCR2,NOS3,EOMES,LHB,SLAMF6,HAVCR2,TYK2,GZMB,KLRD1,IFNAR1,NFKB1,NLRP3,CTLA4,IL6,C4A,STAT1,PDCD1,SDHB,STAT1,AKR1C2,TGFB1,CD4,VARS2,HLA-DQB1,IDNA,MC2R,SIRT1,SMPD1,ADAMTS19,IFIT2,IL10,TCF7,PDCD1,TNF,SLAMF6,NR3C1,IFNG,MTCYB,HLA-DQB1,IFNG,TNF,IL1B
LAG3,NR3C1,TRPC2,NFKB1,TPSAB1,STAT1,LAMP1,PHACTR2,TNF,HLA-A,IL6,CXCL8,MX2,MX2,TGFB1,BDNF,TNF,TBX21,NR3C1,HLA-A,IDO1,GZMB,IFNG,CD69,AKR1C1,PDCD1,TSPO,CD69,IL1B,SLC15A4,VARS2,TGFB1,KLRD1,VARS2,CXCL8,CTLA4,CCL2,CTLA4,IGHV3-30,IFIH1,STAT1,HLA-DRB1,TNF,COMT,LAG3,TCF7,VARS2,IL1B,TNF,MX2,TOX,TNF,FKBP5,MX2,TCF7,FKBP5,PPARGC1A,TRIM28,TIGIT,SLC25A15,TCF7,ADAMTS19,TBX21,IFNG,SOCS1,HLA-DRB1,KLRG1,IFNAR2,IRF1,PPARGC1A,CSF2,IFNG,C4B,IRF1,TOX,ATP5F1A,TLR4,WASF3,SETDB1,CD8A,RELA,HLA-DRB1,ESRRA,CYP11A1,FOXO1,SLC6A2,VARS2,IFIT3,TGFB1,LAG3,LAG3,IL6,CD69,AKR1C1,STAT1,MT-ND4,TNFAIP3,TNF,IL6,CCL2
CTLA4,IDO1,TRPM3,IKBKG,LAG3,STAT3,PDCD1,AKAP1,IL1B,HLA-B,CXCL8,CCL5,IFIT1,IFIT1,CCL5,TNF,IFNG,TCF7,CRH,HLA-C,GPX1,TGFB1,TNF,CD38,AKR1C2,HAVCR2,CCL2,CD38,TPH1,TMEM232,CPLX2,TNF,CD3D,CPLX2,TLR4,LAG3,CCL5,HAVCR2,IDO1,IFNG,STAT3,PTPN22,IL2,EBF3,LYZ,TBX21,CPLX2,TGFB1,ACADL,IFIH1,TPSAB1,IL2,NR3C1,IFIT1,TGFB1,HAVCR2,IFNG,STAT1,KLRC2,CXCL1,CD247,VARS2,TCF7,IL2,SOCS3,IDO1,GZMB,IRF9,IDO1,KLRC2,CCR4,TGFB1,COMT,IKBKE,NAMPT,NDUFB1,TLR2,IFNA4,TRIM28,CD8B,CREB1,HLA-A,TGFB1,CYP11B1,FOXO3,SLC25A15,CPLX2,ISG15,IRF1,TIGIT,HAVCR2,STAT1,CTLA4,IL6,STAT3,LAG3,CD69,IL6,IL1B,STAT1
TLR4,VARS2,TRPM8,IRF7,TOX,IRF7,IL1B,USP6NL,CXCL8,HLA-C,TGFB1,CRP,IFIT2,IFIT2,CXCL8,IL10,CCL2,SLAMF6,BDNF,CTLA4,NR3C1,IL2,IL1B,CD28,SLC25A15,TIGIT,STAT1,CYP21A2,IDO1,GPC5,SLC25A15,TNFAIP3,CD3E,MTHFR,CD8A,HAVCR2,CD3D,LAG3,HLA-DQA1,IL1B,NFKB1,IKBKE,IL6,GPX1,PDCD1,GZMA,SLC25A15,IFNG,VARS2,DDX58,NOS3,IL10,SLC25A15,IFIT2,TNF,HLA-DRB1,SOD2,ANKDD1B,KLRD1,KLRC2,CD3E,CPLX2,IFNG,TNF,PTPN22,IRF5,PRF1,STAT2,STAT3,IDO1,CX3CR1,IRF7,COX4I1,CCL5,SOD2,IL6,CD8A,IFNA7,ADAMTS19,NCAM1,SETDB1,HLA-C,IL6,CYP17A1,NFKB1,PDCD1,GRIK2,MX1,IRF7,IFNG,PTPRC,TLR4,P2RX7,PRRT4,CD28,HAVCR2,PDCD1,IL1B,IFNG,IL6
CD28,PRRT4,CHRNA3,IRF3,CD8A,TGFB1,CCL2,CDON,HLA-DQA1,HLA-DQA1,CD40LG,CD28,IFIT3,IFIT3,SOCS1,STAT1,STAT1,IL17A,CCL5,PDCD1,EOMES,CPT1A,IL6,TGFB1,NOS3,STAT1,PRF1,TNXB,IL6,PHACTR2,P4HA1,HLA-A,CD3G,SLC25A15,FOXP3,CD8A,CD3E,TOX,HAVCR2,NR3C1,IRF1,IRF7,IL10,HMOX1,PF4,IFNG,NOS3,IFNA1,CD4,STAT2,SLC25A15,IL17A,SMPD1,IFIT3,TOX,IFNG,NR3C1,PRRT4,CD244,CRH,CD8A,PDCD1,TNF,CD28,IL2,KLRG1,CD38,JAK1,IL2,IRF1,IGHA1,STAT3,COX5A,CXCL10,IL6,IFNG,CD4,IFNA10,MTOR,KLRK1,IKZF1,CD4,TNF,CYP21A2,RELA,PCLO,NPAS2,MX2,SOCS1,TNF,CD4,CRH,TLR4,IL1B,CTLA4,NR3C1,CTLA4,CRH,TGFB1,KLRC1
CD4,PRSS56,CHRNA2,STAT1,CD4,CD244,TLR2,INSR,HLA-DRB1,HLA-DRB1,SERPINE1,CD38,ISG15,ISG15,SOCS3,NFKB1,TLR2,TOX,CXCL10,CD38,IL10,ATP5F1B,CCL2,POMC,TP53,STAT2,GZMB,C4A,VARS2,AKAP1,EBF3,HLA-C,CD8A,NOS3,STAT3,S100B,CD3G,MTOR,ENTPD1,PDCD1,IRF7,IRF9,CXCL8,IL6,PPBP,STAT1,TCF7,IFNA2,PTPN22,ISG15,SMPD1,IL6,TGFB1,ISG15,VARS2,IL1B,STAT1,IDO1,NCAM1,TRIM28,CD4,CTLA4,IL2,LAG3,IL6,MTHFR,ICOS,CD8A,CXCL8,SOD2,IL17RB,NFKB1,COX5B,IL6,TNF,CD28,PDCD1,IFNA17,SLC6A2,KLRD1,AKR1C2,PDCD1,IFNG,HSD11B1,TNF,NR3C1,TPPP,HLA-A,SOCS3,IL2,CD8A,NRF2,IL6,PRSS56,PDCD1,NOS3,HAVCR2,CRHR1,CTLA4,TBX21
CD8A,SLC25A15,CHRNB4,STAT3,IFNG,NCR1,STAT1,SLC6A11,HLA-C,AIF1,IL10RA,CD57,ISG20,HERC5,CTLA4,IL2,TLR4,LHB,IL6,TIM3,KLRC2,IFNG,TGFB1,CRHR1,IFNG,STAT3,MTOR,C4B,TIRAP,USP6NL,COX7B2,HLA-DRB1,CD8B,WASF3,NFKB1,KLRK1,CD4,PIK3CG,CXCL8,POMC,SOCS1,OAS1,CCL5,IRF9,S100A12,IRF1,TBX21,CD244,STAT1,IFIT1,WASF3,TGFB1,LAG3,ISG20,ADRB2,IL6,IRF1,TIGIT,CD3D,GPX1,IL2RA,TGFB1,IL10,PDCD1,IL10,PRF1,STAT1,CD4,CCL2,FKBP5,NOS3,CD244,COX6A1,TNF,BDNF,CD8B,CTLA4,IFNA21,CPLX2,PRF1,TGFB2,CTLA4,LAG3,HSD11B2,IL6,NOS3,SLC25A15,HLA-B,PTPN11,IL6,CD3D,SOD2,TNF,GRIK2,LAG3,IL6,SLAMF6,NR3C1,PDCD1,EOMES
CD14,CPLX2,CHRNA5,JAK1,IL6,EOMES,IFIH1,SULF2,SLAMF6,GFAP,IDO1,KLRG1,HERC5,IFI44L,PDCD1,IL6,CD4,CPLX2,IL1B,IFNG,NCAM1,COX4I1,IDO1,CRHR2,TNF,SOCS1,IFIH1,SLC25A15,HLA-DRB1,CDON,GRIK2,COMT,CD4,IL1B,CTLA4,GZMB,CD8A,NR3C1,CTLA4,SETDB1,SOCS3,OAS2,TGFB1,JAK1,S100A8,HLA-DRA,IFNG,KLRG1,STAT3,IFIT2,CD69,GZMB,HAVCR2,HERC5,APOE,IRF1,IDO1,IL10,CD8A,SETDB1,FOXP3,IFNA4,TGFB1,CD69,IL1B,SLAMF6,STAT4,NCAM1,CXCL10,PDCD1,KRAS,CD38,COX6B1,TGFB1,CTLA4,CD68,HAVCR2,IFNA6,VARS2,GZMB,CPLX2,LAG3,ADRA2A,ADCYAP1,IL1B,NFE2L2,NOS3,HLA-C,JAK2,IL1B,CD3E,NAMPT,IFNG,CD8A,TIM3,TNF,TOX,FKBP5,LAG3,TCF7
NFKB1,MIAT,CHRNE,JAK2,TNF,TBX21,PLA2G4A,NINJ2,TCF7,TLR4,IDO2,TIM3,IFI44,IFI44,LAG3,IL1A,CD8A,GPBAR1,IL10,TNF,CD8A,HAVCR2,TLR4,SLC6A4,TGFB1,SOCS3,TGFB1,NOS3,HLA-DQA1,INSR,NPAS2,NR3C1,CD28,IL6,GZMB,IFNG,CD8B,FKBP5,COMT,STAT1,PTPN22,OAS3,IDO1,MAPK1,S100A9,HLA-DQA1,TNF,EOMES,STAT4,IFIT3,GZMB,PRF1,TCF7,IFI6,BATF,NR3C1,C1QTNF6,IL27,CD4,SLC6A4,STAT1,IFNA6,IDO1,FOXP3,TNF,SOD2,TBX21,PDCD1,IL1B,BDNF,CCR5,CD69,COX6C,CD8A,HLA-DQA1,CAT,FOXP3,IGHG1,IFNG,GZMA,HDAC4,HAVCR2,ADRB2,VIP,IFNG,NAMPT,SMPD1,HLA-DPA1,IFNG,IL10,CD3G,IL1B,BDNF,PDCD1,CD8A,STAT1,ESRRA,COMT,HAVCR2,MS4A1
MYD88,NOS3,SLC25A15,TYK2,KLRC1,PRF1,CYP2D6,TXNRD1,TBX21,CRH,TPH2,CTLA4,IFI44L,IFI6,HAVCR2,IL1B,NCAM1,CYP2D6,IDO1,IL6,CD8B,IL10,SOD2,TPH2,IL6,IL10,CRH,IFNG,HLA-C,SLC6A11,ACADL,PRRT4,ICOS,TNF,PRF1,NR3C1,NCAM1,NFE2L2,CD8A,TLR2,CTLA4,SOCS1,CD274,MAPK10,SLAMF6,HLA-DQB1,IL17A,TBX21,IL2,EIF2AK2,HLA-DQA1,IDO1,TBX21,IFI27,CAT,PDCD1,KLRD1,NDUFS4,GZMA,TLR3,STAT3,IFNA7,STAT1,TGFB1,IFNG,STAT4,EOMES,CTLA4,CRP,IL1B,IL3,CD8A,COX7A2,IDO1,HLA-DRB1,CCR2,IL2RA,TNFAIP3,LHB,IFNG,GPBAR1,TIGIT,CRHR1,BDNF,STAT1,IFNG,CTLA4,HLA-DPB1,CD38,TGFB1,CD28,TGFB1,SOD2,SMPD1,CD4,IRF7,APP,TPH2,CD247,IKZF3
CBS,TPH2,NOS3,PTPN11,HLA-C,GZMB,PRRT4,BRWD1,EOMES,CRHR1,COMT,PDCD1,IFI6,IFIH1,CD8A,CXCL8,GZMB,VARS2,STAT1,IL2,NFIL3,ENTPD1,NOS3,TH,IL2,TGFB1,NR3C1,IL17A,HLA-A,SULF2,BRCA1,PRSS56,CD27,TSPO,KLRC2,KLRC2,KLRK1,KEAP1,TOX,TRIM28,PDCD1,SOCS3,SLAMF6,MAPK14,SLC25A15,CTLA4,CD8A,GZMB,IL4,RSAD2,HLA-DQB1,STAT1,EOMES,IFI35,CCL2,POLG,IL6,HMGB1,GZMB,FCGR3A,STAT4,IFNA10,STAT3,IL10,TGFB1,B2M,CCL5,TGFB1,BDNF,NR3C1,ATP8B1,CD4,COX8A,CREB1,SLC6A2,IL1B,IL7R,KIR2DL5A,GPBAR1,TNF,CACNA1C,IRF4,POMC,NGF,STAT3,HAVCR2,S100PBP,HLA-DQA1,CD2,STAT1,PRF1,NFKB1,PPARGC1A,GPBAR1,NCAM1,IDO1,CD74,BDNF,CD3E,BACH2
TRPA1,ANKDD1B,SMPD1,SOCS1,HLA-DQA1,GZMH,PRSS56,ATP9B,HAVCR2,NR3C1,NR3C1,LAG3,IFIH1,DDX58,CD4,HAVCR2,FASLG,ELP1,PIK3R5,CXCL8,PRF1,NDUFA9,TRPM3,HLA-A,CXCR4,NFKB1,TLR2,CD28,CD38,SLC25A15,CFTR,ANKDD1B,CD274,POMC,CD69,PFKM,NKG7,AIF1,TBX21,WASF3,LAG3,NFKB1,GZMB,MAPK3,TOX,LAG3,CD28,PRF1,IL6,HERC5,IFNA1,STAT3,IRF4,IFI44,CD14,STAT1,IL10,CD69,PRF1,POMC,JAK2,IFNA17,NFKB1,IL7R,CXCR4,CAT,CXCL9,IL6,TP53,TPH2,SMPD1,CTLA4,CRHR1,BDNF,PFKM,KLRK1,CCL2,HLADQA1,CYP2D6,IL6,ADAMTS19,BATF,MT-ND1,GDNF,IRF1,GPX1,ATP9A,HLA-DQB1,CD3E,STAT3,GZMB,IL10,CAT,TP53,KLRK1,CD69,NR3C1,SOD2,CD8A,IL12A
NGF,EMX2OS,SLAMF6,SOCS3,HLA-DRB1,IDO1,ANKDD1B,ASXL2,LAG3,FKBP5,ATP5F1B,HAVCR2,DDX58,CXCL10,CD244,ENTPD1,PRF1,LCK,RYR2,CD8A,GZMB,KLRG1,EOMES,HLA-C,IL10,RELA,ATP5J2,SLAMF6,ADRB1,P4HA1,COX10,GPBAR1,PDCD1,NR3C1,ADRB2,PRKAG2,PRF1,TLR4,STAT3,ADAMTS19,TIM3,RELA,PRF1,MAPK8,TP53,HAVCR2,KLRG1,CD8A,IL10,TRIM22,IFNG,IRF1,IL10,IFI44L,CD69,TMEM119,C1QTNF2,HLA-C,IFNG,NCAM1,PTPN11,IFNA21,CD38,GZMB,CCL5,CD28,CXCL10,IL10,VEGFA,HLA-DRB1,ACADL,PDCD1,CRHR2,NRF2,PKM,CD14,CXCL8,HLADQB1,PRRT4,IL2,PRSS56,NFATC1,MT-ND2,NTF3,IRF7,CTLA4,KCNB1,HLA-DRA,CD4,STAT4,GZMA,IL2,GPX1,AKR1C2,PRF1,FOXP3,FKBP5,GPX1,GZMB,IL12B
IRS1,MTHFR,TOX,TGFB1,STAT1,NT5C2,GPBAR1,HSPE1,GZMA,NCR1,ACO2,GZMA,RIGI,CXCL9,KLRG1,KLRK1,SETDB1,CD247,TRPM3,TP53,LAG3,RPTOR,HLA-DRB1,HLA-DQA1,IRF1,CD28,COX7C,AKR1C1,PRDM1,EBF3,HABP2,LHB,CTLA4,SLC6A4,CHRM3,TBX21,GZMA,TSPO,STAT1,ALDOA,HAVCR2,CD4,KLRK1,MAPK9,TSPO,SLAMF7,CD69,CD4,IL1B,TRIM25,IL2,NFKB1,IL1B,IFIH1,CHRM3,TNF,ATP5F1A,TNFRSF9,TNF,IL2RA,SOCS1,SETDB1,CD24,PRF1,CCL2,CD4,IFNG,CD3D,MMP9,MT-ND5,PCLO,LAG3,CTLA4,SOD2,SUCLA2,GPX1,CXCL10,MT-ATP8,PRSS56,IL10,LHB,TOX,MT-ND4,NTF4,CXCL9,CRHR1,CLOCK,HLA-DRB1,CD8A,STAT5A,KLRK1,CD244,NFE2L2,CXCL8,GZMB,TBX21,CRHR1,HMOX1,PRF1,SLAMF6
DDX58,COMT,TCF7,TNF,IRF7,BNIP3,LHB,HSPD1,PRF1,PDCD1,SETDB1,GZMB,TLR3,CCL5,KLRK1,GZMB,TRIM28,CD3G,CTLA4,IRF7,TIGIT,MPC2,ADRB2,HLA-DRB1,STAT3,CD3E,COX5B,AKR1C2,PTGS2,COX7B2,MFRP,ADAMTS19,LAG3,TH,NR3C1,CD69,GZMB,CD8A,SMPD1,ANKDD1B,TOX,CD8A,NCAM1,NFKB1,VCAN,CD244,CD38,CD3E,IL12B,HLA-A,IL21,CD28,IL6,IFITM1,CRH,TREM2,S100B,S100A8,LTA,IFNG,SOCS3,TRIM28,PTPN6,KLRK1,CD3D,CD8A,TNF,CD3E,SOD2,MT-ND1,IGHG1,HAVCR2,CYP21A2,GPX1,CAT,CD4,IRF7,MT-ND1,ANKDD1B,CXCR4,SLAMF7,EOMES,MT-ND5,TrkB,CXCL10,CRH,SLC15A4,CD3D,CD28,STAT5B,NCAM1,P2RX4,ACE,COMT,ATP5F1A,GZMB,MMP9,CAT,IDO1,TOX
