seed_1_all,seed_2_all,seed_3_all,seed_4_all,seed_5_all,seed_6_all,seed_7_all,seed_8_all,seed_9_all,seed_10_all,seed_11_all,seed_12_all,seed_13_all,seed_14_all,seed_15_all,seed_16_all,seed_17_all,seed_18_all,seed_19_all,seed_20_all,seed_21_all,seed_22_all,seed_23_all,seed_24_all,seed_25_all,seed_26_all,seed_27_all,seed_28_all,seed_29_all,seed_30_all,seed_31_all,seed_32_all,seed_33_all,seed_34_all,seed_35_all,seed_36_all,seed_37_all,seed_38_all,seed_39_all,seed_40_all,seed_41_all,seed_42_all,seed_43_all,seed_44_all,seed_45_all,seed_46_all,seed_47_all,seed_48_all,seed_49_all,seed_50_all,seed_51_all,seed_52_all,seed_53_all,seed_54_all,seed_55_all,seed_56_all,seed_57_all,seed_58_all,seed_59_all,seed_60_all,seed_61_all,seed_62_all,seed_63_all,seed_64_all,seed_65_all,seed_66_all,seed_67_all,seed_68_all,seed_69_all,seed_70_all,seed_71_all,seed_72_all,seed_73_all,seed_74_all,seed_75_all,seed_76_all,seed_77_all,seed_78_all,seed_79_all,seed_80_all,seed_81_all,seed_82_all,seed_83_all,seed_84_all,seed_85_all,seed_86_all,seed_87_all,seed_88_all,seed_89_all,seed_90_all,seed_91_all,seed_92_all,seed_93_all,seed_94_all,seed_95_all,seed_96_all,seed_97_all,seed_98_all,seed_99_all,seed_100_all
IL6,IL6,BRD7P6,RP11-252E2.2,IL6,DROSHA,CISD1P1,ACE,IL6,ADRB2,IL6,ABCD4,DPM1,ABCD4,RP11-178H8.3,BRD7P6,IL6,NOS2,IL2RA,IL6,IL6,RP11-252E2.2,UQCRC1,UPK3A,GZMB,IFNG,IL6,BRD7P6,AL133243.2,IL10,RP11-252E2.2,IL6,CTD-2509G16.1,CTD-2509G16.1,IL6,RNA5SP98,ABCD4,RP11-53L24.2,TAS2R6P,NFKBIL1,RP11-252E2.2,ARNILA,STAT3,CD38,IL6,TMEM160,RP11-252E2.2,IL12A,IL6,GZMB,IL6,BRD7P6,ADRA1B,HNRNPA1P16,LL22NC03-27C5.1,AC104984.4,ATP2B2,BRD7P6,IL6,ATP5MF-PTCD1,CCL4,IL6,IL6,SOD2,PROS1,AC009362.2,IFNG,BAHCC1,RP11-252E2.2,IL6,IL6,IL6,UQCRC1,UQCRC1,BRD7P6,CTD-3092A11.1,IL6,BRD7P6,RP11-252E2.2,COX7B2,AC091633.2,ATP5MF-PTCD1,MIR153-2,A1BG,AC104984.4,ACE,ANKIB1,BRD7P6,PCBD1,AC104984.4,DPM1,ESRRA,IL6,ESRRA,BRD7P6,TNF,ATP5MF-PTCD1,CCDC85A,HPAT5,GRXCR1
TNF,TNF,COILP1,IL21,TNF,HAGLROS,TRAF6,ADRB2,TNF,AIF1,TNF,ABCG5,SCYL3,ABCG5,MOB3B,COILP1,SOD2,IFNG,TNF,TNF,TNF,IL21,NDUFS1,ENSG10010135859.1,NR3C1,IL6,TNF,COILP1,SNORD117,TNF,IL21,TNF,RP11-260A9.6,RP11-260A9.6,TNF,RP11-45K10.2,ABCG5,DEFB104B,MRGPRX7P,ARNILA,IL21,ATP5MF-PTCD1,PDCD1,UQCRC1,TNF,SLAIN1,IL21,IL12B,TNF,IFNG,TNF,COILP1,AQP4,CTD-2547G23.2,CTC-270D5.1,SNORD14A,ATP5F1AP10,COILP1,TNF,CD38,CXCR4,TNF,TNF,IL6,PROSER2,RP11-364P22.2,IL6,KB-1433G4.1,IL21,TNF,TNF,TNF,NDUFS1,GSTP1,COILP1,INPP5K,TNF,COILP1,IL21,RNA5SP308,RNVU1-26,GCATP1,RP11-505E24.2,RN7SL751P,SNORD14A,AGT,ATP2C1,COILP1,RNU4-59P,SNORD14A,SCYL3,CD74,TNF,APP,COILP1,TLR4,SLC7A2,CD38,DPM1,ABLIM2
IFNG,IL10,MTREX,AURKA,IFNG,NRROS,TM4SF18,AGT,IFNG,ATP5F1A,IFNG,AC004854.5,C1orf112,AC004854.5,RP11-286N3.1,MTREX,COX4I1,GCLC,IFNG,IL1B,IFNG,AURKA,TNFRSF1A,DSCAML1,STAT1,TNF,IFNG,MTREX,ADAL,IL6,AURKA,IFNG,IGHV3-49,IGHV3-49,IFNG,RP11-149I9.2,AC004854.5,MIR6739,CTD-2526L21.2,ATP5MF-PTCD1,AURKA,AVIL,IL10,CD4,IFNG,NECTIN1-AS1,AURKA,IL1B,IFNG,STAT1,IFNG,MTREX,ATP5F1A,RNU4-59P,RP11-182L21.6,TCL6,MTATP6P20,MTREX,FKBP5,CDC27,IL12A,IL1B,IFNG,STAT1,NRROS,CTD-2283N19.1,TNF,B3GNT2,AURKA,IFNG,IFNG,IFNG,EDN1,LAG3,MTREX,BCO2,IFNG,MTREX,AURKA,AC002401.1,RP11-77K12.3,IL1B,NCBP1,RN7SL801P,TCL6,AIF1,ATP1A2,MTREX,MANEALP1,TCL6,C1orf112,APP,IFNG,CD74,MTREX,IL1B,CD38,CDK11A,SCYL3,EVX2
IL10,CXCL9,METTL4,ENSG10010134105.1,IL1B,PROS1,LIPG,AIF1,CXCL9,ATP5MC1,IL1B,AC010761.10,FGR,AC010761.10,GRHL3-AS1,METTL4,CXCL9,ADRB2,IL10,IFNG,IL10,ENSG10010134105.1,EDN1,TMEM275,TFAM,IL1B,IL10,METTL4,RNU7-140P,IFNG,ENSG10010134105.1,IL10,FBXO28,FBXO28,IL10,LINC01737,AC010761.10,CNGA1,AC007551.2,AVIL,ENSG10010134105.1,C1QTNF1,LAG3,NDUFS1,IL10,RP5-931K24.4,ENSG10010134105.1,TNF,IL1B,IL6,CXCL10,METTL4,AVP,IL21,ZNF615,GPX1P2,MTATP6P21,METTL4,IFNG,TNFRSF12A,IFNA4,IFNG,IL10,NDUFS1,DROSHA,SCAPER,CXCL10,CTB-14A14.2,ENSG10010134105.1,IL10,IL1B,IL1B,NOX4,ICAM1,METTL4,AP000997.3,IL10,METTL4,ENSG10010134105.1,FAM166AP3,LINC01309,CD14,RASSF8-AS1,RN7SL792P,GPX1P2,ATP5F1A,ANK1,METTL4,RP11-54O7.11,GPX1P2,FGR,IL12A,IL10,IL8,METTL4,GZMB,SLC22A16,CD4,C1orf112,ANAPC1P3
IL1B,CCL11,RP5-879K22.2,RNA5SP259,TGFB1,PROS2P,CHCHD2P2,ATP5F1A,CXCL10,AVP,IL10,AC016772.4,CFH,AC016772.4,CST9,RP5-879K22.2,VEGFA,C1QA,IL6,IL10,TGFB1,RNA5SP259,NOX4,INTS11,SOD2,STAT1,IL1B,RP5-879K22.2,FLVCR2,IL1B,RNA5SP259,TGFB1,ZBTB14,ZBTB14,IL1B,CTA-299D3.8,AC016772.4,WDR1,NKTR,CARMIL1,RNA5SP259,C1QTNF1-AS1,TIGIT,TNFRSF1A,IL1B,RP11-120K9.3,RNA5SP259,IFNG,IL10,CCR5,CCL2,RP5-879K22.2,CAT,LTV1,RP11-1012A1.11,RP11-588K22.2,ATP9A,RP5-879K22.2,SOD2,CDKL3,IFNA7,IL10,IL1B,NR3C1,ROS1,RNU7-30P,STAT1,RNU6-1071P,RNA5SP259,TGFB1,IL10,IL10,OAS1,FKBP5,RP5-879K22.2,RP11-815J4.1,IL1B,RP5-879K22.2,RNA5SP259,ANAPC1P3,DNAH8-AS1,TLR1,MAPK1IP1L,RN7SL789P,RP11-588K22.2,AVP,ATP6V0A1,RP5-879K22.2,ANKRD7,RP11-588K22.2,CFH,IL12B,TGFB1,TNF,RP5-879K22.2,CAT,SLC25A13,IL20RA,FGR,AP000350.8
TGFB1,VEGFA,RP4-796B4.3,RNU1-75P,NDUFS1,PROSER1,MIR4671,AVP,CXCL11,C1QA,IL4,AC079776.6,FUCA2,AC079776.6,LINC01277,RP4-796B4.3,PRDX1,CX3CR1,IL4,TGFB1,IL1B,RNU1-75P,FKBP5,RNMTL1P1,GPX1,CXCL10,IL2,RP4-796B4.3,RP11-529G21.3,TGFB1,RNU1-75P,IL2,HSD17B1-AS1,HSD17B1-AS1,TGFB1,MIR4314,AC079776.6,VDAC1P5,RP11-91K8.2,CARMIL2,MAP3K5,C1QTNF12,TNF,EDN1,TGFB1,CTB-43I4.1,RNU1-75P,IL6,CXCL9,CXCL10,IL10,RP4-796B4.3,CCL2,RP11-810K23.7,MARCHF4,RNU6-1062P,ATP5F1B,RP4-796B4.3,IL1B,CCDC124,IFNA10,TGFB1,IL4,IFNG,PROSER2-AS1,MRTFB,STAT3,RP11-33E15.1,RNU1-75P,IL1B,IL12A,IL2RA,ANGPT2,SIRT1,RP4-796B4.3,RN7SL706P,TGFB1,RP4-796B4.3,RNU1-75P,MACO1,RP11-466F5.9,TLR10,CTD-2054H24.1,RN7SL786P,RNU6-1062P,C1QA,PNKP,RP4-796B4.3,CTD-2561F5.1,RNU6-1062P,FUCA2,IFNG,IL1B,IL6,RP4-796B4.3,IL10,CDC27,TNFRSF12A,CFH,AC010967.3
STAT1,BCL6,MTCO2P12,FAM43B,NDUFS3,PROSER2,RP11-466A19.3,AVPR1A,CCL2,C1QB,IL2,AC124789.1,GCLC,AC124789.1,RNA5SP303,MTCO2P12,TLR2,CLDN5,IL1B,IL2,IL8,FAM43B,GZMB,CTD-2576F9.2,CXCL10,GZMB,IL4,MTCO2P12,HCG4P5,IL4,FAM43B,IL4,ARL2BP,ARL2BP,IL2,RP11-857B24.5,AC124789.1,LINC00609,AC107081.5,CARMIL3,SCFD1,C1QTNF2,HLA-DRB1,NOX4,STAT1,SPATA31A1,FAM43B,IL10,CXCL10,PRF1,STAT1,MTCO2P12,CD3D,RP11-96K14.1,AC004381.1,RP11-380J14.4,ATP5PD,MTCO2P12,TLR4,CD79B,IFNA17,IL2,IL2,TNF,PROS2P,GUSBP13,CD8A,DNAJA1P1,FAM43B,IL2,IL12B,CXCL9,SIRT1,MAPK1,MTCO2P12,PTCHD3P2,CXCL8,MTCO2P12,FAM43B,HRAS,Y_RNA,TLR12P,RPL12P5,RN7SL782P,RP11-380J14.4,CAT,ATP6V1H,MTCO2P12,SNORA70E,RP11-380J14.4,GCLC,TNF,IL8,IL10,MTCO2P12,AIF1,SLC4A1,CDH10,FUCA2,RN7SL143P
STAT3,EBF1,RP11-303E16.7,SCN3A,ATP5F1A,PROSER2-AS1,OR4L1,C1QA,CCL5,CAT,TGFB1,ADGRL1-AS1,NFYA,ADGRL1-AS1,ITGB1BP1,RP11-303E16.7,STAT1,PRDX3,TGFB1,IL4,CCL2,SCN3A,AVP,RP11-138C24.2,ATP5F1A,PRF1,IL12A,RP11-303E16.7,USP24,IL2,SCN3A,IL8,HSPE1,HSPE1,IL4,KB-152G3.2,ADGRL1-AS1,RP11-758I14.2,RP11-338E21.1,CILK1,GIMAP6,C1QTNF3,CXCL9,OAS1,STAT3,VSTM1,SCN3A,IL17A,CCL2,IRF7,STAT3,RP11-303E16.7,CD8A,FAM43B,USP32P2,RP11-378I6.2,PROS2P,RP11-303E16.7,NOS2,CDK11A,IFNA21,IL4,TGFB1,FOXP3,PROSER3,RP11-137F15.1,CD4,AC005550.5,SCN3A,IL4,IL17A,CXCL10,TSPO,HMOX1,RP11-303E16.7,RP11-681L4.4,CCL2,RP11-303E16.7,SCN3A,ATXN8OS,OR2AT2P,TLR2,RNA5SP443,RN7SL776P,RP11-378I6.2,CD14,ROS1,RP11-303E16.7,FCRL4,RP11-378I6.2,NFYA,IL6,CCL2,IFNG,RP11-303E16.7,IFNG,CCL26,CCDC88C,GCLC,CTD-2194F4.2
JAK1,CD79A,RP11-883G14.3,RP1-197B17.4,UQCRC1,PROSER3,KBTBD13,C1QB,CD8A,CD14,IL8,AL133243.2,STPG1,AL133243.2,RP4-591B8.3,RP11-883G14.3,STAT3,PRF1,STAT1,IL8,CXCL10,RP1-197B17.4,GSR,PPIF,TNF,CD8A,IL12B,RP11-883G14.3,AC015849.14,IL8,RP1-197B17.4,IL1B,FTH1P10,FTH1P10,IL8,NFIA-AS2,AL133243.2,LINC01516,RP11-151H2.1,CILP,RPA1,C1QTNF3-AMACR,CXCL10,FKBP5,JAK1,NOSIP,RP1-197B17.4,IL2,CCL4,HLA-DRA,IRF7,RP11-883G14.3,COX5A,RP11-1084J3.1,AP001347.6,FOXD4L4,MTATP6P5,RP11-883G14.3,HIF1A,IL32,IFNA6,IL8,CCL2,IL1B,UROS,RP11-256P1.1,PRF1,LINC02349,RP1-197B17.4,IL8,IL23A,CCL2,GZMB,HIF1A,RP11-883G14.3,ANO1,CCL5,RP11-883G14.3,RP1-197B17.4,ST13P19,LINC01828,TLR3,RP11-155G14.5,RN7SL775P,FOXD4L4,COX4I1,ATP9A,RP11-883G14.3,RPL12P5,FOXD4L4,STPG1,IL10,CXCL9,TGFB1,RP11-883G14.3,CRH,CDKL3,NCDN,NFYA,RP11-395I6.1
JAK2,CXCR5,RP11-5C23.1,RAB11FIP5,SOD2,ROS1,STOML2,C3,CD4,CD4,CCL2,ALX1,NIPAL3,ALX1,ATXN2L,RP11-5C23.1,AIF1,TFAM,STAT3,IL17A,CXCL9,RAB11FIP5,NKG7,CERS1,CD4,LAG3,IL17A,RP11-5C23.1,RP11-642D21.1,CCL2,RAB11FIP5,CCL2,NPEPL1,NPEPL1,IL12A,RP11-64K12.8,ALX1,CEP83-DT,SLC45A2,CILP2,ARHGAP10,C1QTNF4,ICOS,TSPO,JAK2,MTCO1P14,RAB11FIP5,IL4,CCL5,TNF,JAK1,RP11-5C23.1,CRH,FCRL4,CYP3A5,MTND4P2,PROSER1,RP11-5C23.1,AHR,CD9,IGHG1,IL12A,CXCL8,HSPD1,PROSER1,RNU7-116P,GZMB,ZNRF1,RAB11FIP5,IL12A,IL4,CCL5,HIF1A,AVP,RP11-5C23.1,INTS7,CXCL10,RP11-5C23.1,RAB11FIP5,DEFA6,LINC01148,TLR4,RP11-57G10.8,RN7SL760P,MTND4P2,CRH,ATP11B,RP11-5C23.1,ADGRL1-AS1,MTND4P2,NIPAL3,TGFB1,CXCL10,CXCL9,RP11-5C23.1,COX5A,CCDC124,CDK14,STPG1,RNU7-22P
