seed_1_all,seed_2_all,seed_3_all,seed_4_all,seed_5_all,seed_6_all,seed_7_all,seed_8_all,seed_9_all,seed_10_all,seed_11_all,seed_12_all,seed_13_all,seed_14_all,seed_15_all,seed_16_all,seed_17_all,seed_18_all,seed_19_all,seed_20_all,seed_21_all,seed_22_all,seed_23_all,seed_24_all,seed_25_all,seed_26_all,seed_27_all,seed_28_all,seed_29_all,seed_30_all,seed_31_all,seed_32_all,seed_33_all,seed_34_all,seed_35_all,seed_36_all,seed_37_all,seed_38_all,seed_39_all,seed_40_all,seed_41_all,seed_42_all,seed_43_all,seed_44_all,seed_45_all,seed_46_all,seed_47_all,seed_48_all,seed_49_all,seed_50_all,seed_51_all,seed_52_all,seed_53_all,seed_54_all,seed_55_all,seed_56_all,seed_57_all,seed_58_all,seed_59_all,seed_60_all,seed_61_all,seed_62_all,seed_63_all,seed_64_all,seed_65_all,seed_66_all,seed_67_all,seed_68_all,seed_69_all,seed_70_all,seed_71_all,seed_72_all,seed_73_all,seed_74_all,seed_75_all,seed_76_all,seed_77_all,seed_78_all,seed_79_all,seed_80_all,seed_81_all,seed_82_all,seed_83_all,seed_84_all,seed_85_all,seed_86_all,seed_87_all,seed_88_all,seed_89_all,seed_90_all,seed_91_all,seed_92_all,seed_93_all,seed_94_all,seed_95_all,seed_96_all,seed_97_all,seed_98_all,seed_99_all,seed_100_all
IFNG,IL6,IL6,CXCL10,IL2,PDCD1,IL6,STAT1,IL6,IFNG,STAT1,PDCD1,IL6,IFNG,PDCD1,PDCD1,PDCD1,IL6,IL6,PDCD1,IL6,PDCD1,PDCD1,IL6,PDCD1,IL6,IL6,IFNG,IL6,IL6,NR3C1,IL1B,IL6,IL6,IL6,IL6,IFNG,IFI44,IL6,IL6,IL6,TNF,CXCL8,IL6,IL6,IL6,IFNG,PDCD1,IL6,IL1B,IL6,CXCL10,STAT1,PDCD1,IFI27,PDCD1,PDCD1,CXCL10,CXCL10,IL6,PDCD1,IL6,IL6,IFNG,IL1B,IL6,PDCD1,PDCD1,IL2RA,IFNG,CD4,PDCD1,PDCD1,IL6,IFNG,TNF,STAT1,IFI27,PDCD1,PDCD1,PDCD1,ARL4C,GZMB,IL6,STAT1,IL6,IL6,PDCD1,IFNG,TNF,IL6,IL6,PDCD1,IL6,IFI27,PDCD1,IL6,IFNG,TNF,IL6
IL6,CXCL8,IFNG,IL6,IL4,CTLA4,TNF,IFNG,IFNG,IL6,STAT2,CTLA4,IFNG,IL6,CTLA4,CTLA4,CTLA4,TNF,TNF,CTLA4,TNF,CTLA4,CTLA4,IL1B,CTLA4,IL8,TNF,IL6,IL1B,TNF,IFNG,IL6,IFNG,TNF,TNF,TNF,TNF,IFI44L,TNF,IL8,IL1B,IFNG,IL6,TNF,TNF,IL1B,IL6,LAG3,TNF,IL6,TNF,CXCL9,STAT3,LAG3,ISG15,LAG3,CTLA4,STAT1,IL6,IFNG,LAG3,CXCL8,TNF,IL6,IFNG,TNF,LAG3,LAG3,IFNG,TNF,CD8A,CTLA4,CTLA4,TNF,TNF,IL6,IFNG,NKG7,CTLA4,CTLA4,CTLA4,ANAPC11,PRF1,TNF,IRF7,IL1B,IL1B,CTLA4,IL6,IFNG,IL1B,TNF,CTLA4,CXCL8,ISG15,CTLA4,IFNG,IL6,IL6,TNF
IL10,CXCL10,TNF,TNF,IL6,LAG3,IFNG,IL6,TNF,TNF,IRF7,LAG3,TNF,IL1B,LAG3,LAG3,IFNG,IFNG,IFNG,LAG3,IFNG,LAG3,LAG3,TNF,LAG3,TNF,IFNG,TNF,TNF,IL10,TNF,TNF,TNF,IFNG,IFNG,IFNG,IL6,IFIT1,IFNG,TNF,TNF,IL6,TNF,IFNG,IL1B,TNF,TNF,TIGIT,IFNG,IL10,IFNG,IL6,IL7R,TIGIT,CXCL10,HAVCR2,TIGIT,IFNG,IL8,TNF,HAVCR2,TNF,IFNG,IL1B,TNF,IL1B,CTLA4,CTLA4,TNF,IL6,LCK,LAG3,LAG3,IFNG,IL1B,IL1B,IL6,STAT1,LAG3,LAG3,HAVCR2,MX1,NKG7,IFNG,IFNG,IFNG,TNF,LAG3,TNF,IL6,TNF,IFNG,TIGIT,TNF,OAS1,IL6,TNF,IL1B,CXCL8,IFNG
TNF,TNF,CXCL10,IFNG,IL7,TIGIT,IL1B,TNF,CXCL10,IL1B,IRF9,TIGIT,IL1B,TNF,TIGIT,HAVCR2,TNF,PDCD1,IL1B,TIGIT,CXCL10,HAVCR2,HAVCR2,IFNG,TIGIT,IFNG,IL1B,IL1B,IFNG,IFNG,IL6,IFNG,CXCL8,IL1B,CXCL10,IL1B,IL1B,IFIT3,CXCL10,IFNG,IFNG,IL1B,IFNG,IL1B,IFNG,IFNG,PDCD1,HAVCR2,IL1B,TNF,IL1B,IL1B,IL17A,CTLA4,OAS1,TIGIT,LAG3,CXCL9,TNF,IL10,CTLA4,IFNG,IL1B,TNF,CXCL10,IFNG,HAVCR2,TIGIT,IRF1,CXCL10,ZAP70,TIGIT,TIGIT,IL1B,IL6,IFNG,IL1B,NFE2L2,HAVCR2,TIGIT,LAG3,OAS2,GNLY,IL1B,IL6,TNF,IFNG,TIGIT,IL1B,IL1B,IFNG,IL1B,LAG3,IFNG,OAS2,IFNG,IL1B,TNF,CXCL10,IL1B
IL1B,IFNG,CXCL9,IL1B,IL10,HAVCR2,CXCL10,CXCL10,STAT3,IL10,OAS1,HAVCR2,CXCL10,CXCL10,HAVCR2,TIGIT,IL6,CTLA4,IL10,HAVCR2,IL1B,TIGIT,TIGIT,CXCL10,HAVCR2,IL1B,CXCL10,CXCL10,IL10,IL1B,IL1B,STAT1,CXCL10,CXCL8,CXCL9,CXCL10,IL10,MX1,CXCL9,STAT1,CXCL8,IL10,IL1B,CXCL10,IL10,IL10,CTLA4,CTLA4,CXCL10,IFNG,CXCL10,IFNG,PDCD1,HAVCR2,IFIT3,CTLA4,HAVCR2,TNF,IFNG,CXCL10,TIGIT,IL1B,IL2,IL10,CXCL8,STAT1,TIGIT,IL6,STAT1,CXCL9,PDCD1,HAVCR2,HAVCR2,IL10,IL8,CXCL10,TNF,NR3C1,TIGIT,HAVCR2,TIGIT,STAT1,KLRD1,CXCL10,IL1B,TGFB1,TGFB1,HAVCR2,IL10,IL10,CXCL8,STAT1,HAVCR2,NR3C1,OAS3,TNF,IL10,CXCL10,IFNG,CXCL8
IL2,IL2,IL10,STAT1,IL13,TOX,CXCL9,STAT3,PDCD1,TGFB1,OAS2,TOX,IL17A,CXCL9,HLA-DRA,TNFRSF9,CXCL9,LAG3,CXCL10,CD274,IL10,CD28,CD274,CXCL8,CD8A,CXCL10,CXCL9,CXCL9,IL17A,NFKB1,IL10,STAT3,CXCL9,IL10,CCL2,CXCL9,CXCL9,OAS1,CXCL8,STAT3,CXCL10,IL4,IL10,CXCL9,IL17A,IL2,TIGIT,ICOS,CXCL9,IFNA1,CXCL9,CXCL11,NKG7,TOX,MX1,IFNG,IFNG,IL6,CCL2,CCL2,CD274,IL10,TGFB1,IL17A,IL6,STAT3,TOX,TNF,CXCL10,IL1B,LAG3,TOX,TBX21,CXCL8,IL10,CXCL9,CXCL10,PPARGC1A,TNF,BTLA,TOX,CXCL10,IFNG,CCL2,TNF,CXCL10,IL17A,CD274,IL17A,IL18,CXCL9,STAT3,TOX,PDK4,MX1,CXCL10,CXCL10,CXCL9,IL1B,CXCL10
IL4,IL1B,CCL5,STAT3,TNF,GZMB,STAT1,IL1B,CTLA4,PDCD1,OAS3,EOMES,IL10,CXCL8,HLA-DRB1,TNF,CXCL10,TIGIT,CXCL9,PDCD1LG2,IL2,CD3D,ICOS,CCL2,CD4,STAT1,STAT1,OAS1,IL21,STAT3,PDCD1,IRF1,IL1B,TGFB1,CCL5,CCL2,CXCL10,OAS2,OAS1,STAT5B,CCL2,IL2,CXCL10,IL8,IL2,IL4,LAG3,CXCL10,IL8,IFNB1,HLA-DRA,CCL20,PPARGC1A,EOMES,OAS2,GZMB,IL2,CXCL11,CCL5,CCL5,IFNG,IL17A,IL12B,IL2,IL18,IRF7,EOMES,IFNG,CXCL9,PDCD1,TIGIT,TOX2,EOMES,TGFB1,IL12B,IL10,PRF1,IL6,IL6,ICOS,NR3C1,IRF7,CXCL10,GZMB,IL10,CXCL8,CXCR4,LGALS9,IL2,IL12A,CXCL10,JAK1,EOMES,SOD2,MX2,OAS1,CXCL9,CXCL11,TGFB1,CCL2
IL17A,OAS1,CCR7,IL2,IFNG,PRF1,STAT3,CCL2,PPARGC1A,CTLA4,OASL,TBX21,STAT1,ISG15,HLA-DQA1,IFNG,CXCL11,HAVCR2,CCL2,CD244,IL17A,CD3E,BTLA,CCL5,CXCR3,STAT3,STAT3,MX1,CXCL8,STAT1,LAG3,IRF7,IL18,CCL2,IL1B,CXCL8,CXCL11,OAS3,ISG15,PRF1,CCL5,IL17A,CXCL9,IL17A,IL4,IL17A,HAVCR2,CXCL9,CXCL11,CXCL9,PDCD1,CCL4,NFE2L2,XBP1,STAT1,PRF1,TNF,IRF9,IL1B,PDCD1,IL6,IL21,CXCL10,IL4,STAT1,CXCL10,BATF,CXCL10,CCL5,CTLA4,CTLA4,EOMES,PRDM1,NFKB1,IL17A,STAT3,GZMB,TNF,IFNG,CD28,PPARGC1A,TNF,CXCL9,NKG7,CXCL10,IL10,CXCL10,IL1B,IL21,IL12B,CXCL11,JAK3,FOXP3,HMOX1,IFIT1,ISG15,IL8,CCL2,PDCD1,CCL5
CXCL10,OAS2,PDCD1,IL10,IFNA1,NKG7,NFKB1,PDCD1,NR3C1,LAG3,MX1,BATF,ISG15,OAS1,HLA-DQB1,IL2,IL12B,FOXP3,CCL5,PRF1,IL21,CD4,PTPN22,IL17A,CCR7,OAS1,IRF7,ISG15,CXCL10,CXCL10,CTLA4,OAS1,PDCD1,CXCL10,IL10,CCL5,CCL2,ISG15,MX1,GZMB,CXCL9,IL17F,CX3CL1,TGFB1,IL21,IL17F,LCK,IFNG,OAS1,CXCL10,LAG3,CCL5,PDK4,IFNG,STAT3,IL6,ISG15,STAT3,IL10,LAG3,TNF,IL13,CXCL9,IL12A,STAT3,CXCL9,IRF4,CXCL9,GZMB,LAG3,HAVCR2,TBX21,KLRD1,STAT1,IL21,STAT1,GNLY,PDCD1,IL1B,CD27,TFAM,IFNG,IL2RA,PDCD1,CXCL9,PDCD1,CCL2,IL6,CXCL9,IL2,CCL2,STAT5A,CXCL10,NFE2L2,IFIT2,IFIT3,ISG15,CCL5,CTLA4,CXCL9
CXCL8,ISG15,CTLA4,GZMB,IFNB1,IFNG,NR3C1,LAG3,NDUFS7,TIGIT,MX2,CXCL13,PDCD1,MX1,STAT1,IL10,LAG3,STAT1,PDCD1,GZMB,CCL2,CD8A,ZAP70,IFITM3,CD28,IRF7,IRF1,STAT1,CXCL9,IL7,TIGIT,OAS2,CTLA4,PDCD1,TGFB1,CXCL12,CCL5,STAT1,NFKB1,GZMA,IL10,IL22,CCL2,STAT3,CXCL10,IL21,ZAP70,TNF,OAS2,CCL2,CTLA4,PDCD1,ATP5F1A,TNF,TNF,TNF,MX1,IL1B,IL15,TOX,IL1B,CXCL10,CCL5,CXCL10,IRF7,HLA-DRA,PRDM1,CCL2,PRF1,TIGIT,CXCL10,IL7R,KLRK1,STAT3,TGFB1,OAS1,PDCD1,CTLA4,CXCL10,CD3D,NRF1,IL6,CTLA4,CPT1A,OAS1,CTLA4,CCL5,TNF,CXCL10,IL17A,CCL5,IL10,CXCL9,CXCL10,IFIT3,MX1,OAS1,OAS1,LAG3,CXCL11
