seed_1_all,seed_2_all,seed_3_all,seed_4_all,seed_5_all,seed_6_all,seed_7_all,seed_8_all,seed_9_all,seed_10_all,seed_11_all,seed_12_all,seed_13_all,seed_14_all,seed_15_all,seed_16_all,seed_17_all,seed_18_all,seed_19_all,seed_20_all,seed_21_all,seed_22_all,seed_23_all,seed_24_all,seed_25_all,seed_26_all,seed_27_all,seed_28_all,seed_29_all,seed_30_all,seed_31_all,seed_32_all,seed_33_all,seed_34_all,seed_35_all,seed_36_all,seed_37_all,seed_38_all,seed_39_all,seed_40_all,seed_41_all,seed_42_all,seed_43_all,seed_44_all,seed_45_all,seed_46_all,seed_47_all,seed_48_all,seed_49_all,seed_50_all,seed_51_all,seed_52_all,seed_53_all,seed_54_all,seed_55_all,seed_56_all,seed_57_all,seed_58_all,seed_59_all,seed_60_all,seed_61_all,seed_62_all,seed_63_all,seed_64_all,seed_65_all,seed_66_all,seed_67_all,seed_68_all,seed_69_all,seed_70_all,seed_71_all,seed_72_all,seed_73_all,seed_74_all,seed_75_all,seed_76_all,seed_77_all,seed_78_all,seed_79_all,seed_80_all,seed_81_all,seed_82_all,seed_83_all,seed_84_all,seed_85_all,seed_86_all,seed_87_all,seed_88_all,seed_89_all,seed_90_all,seed_91_all,seed_92_all,seed_93_all,seed_94_all,seed_95_all,seed_96_all,seed_97_all,seed_98_all,seed_99_all,seed_100_all
GBP5,SERPINE1,CXCL10,ICOS,TNF,IFNG,IFNG,ITGB3,IFNG,GBP5,CXCL10,GBP5,IFNG,IFNG,IFNG,IFI44L,CCL2,IFNG,IFNG,IFNG,IFNG,GBP5,GBP5,IFNG,IFNG,IL1B,FCGR1A,IFNG,IFNG,BATF2,TNF,STAT1,IFN-γ,IFNG,IFNG,MMP9,STAT1,IFNG,IL1B,TNF,IFNG,IFNG,GBP5,IFNG,IFNG,CD74,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,IFI44L,GBP5,CXCL10,STAT1,IFNG,IFNG,GBP5,IFNG,GBP5,IFN-γ,GBP5,GBP5,IFNG,IL1B,GBP5,GBP5,IFNG,GBP5,GBP5,GBP5,IFNG,IFNG,IL1B,GBP5,IFNG,IFNG,TNF,IFNG,GBP5,GBP5,IFNG,IL1B,IDO1,GBP5,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,GBP5,IFNG,IFNG,CD274,FCGR1A,GBP5,GBP5
FCGR1A,IL1B,IFNG,AIM2,IL1B,TNF,TNF,IFNG,TNF,BATF2,TNF,BATF2,TNF,BATF2,STAT1,GBP5,TNF,TNF,TNF,TNF,TNF,CD274,BATF2,CD4,TNF,TNF,FCGR1B,TNF,TNF,CD4,IFNG,CD274,TNF,TNF,TNF,CXCL9,NOD2,STAT1,TNF,IFNG,TNF,STAT1,BATF2,TNF,TNF,GBP5,TNF,TNF,STAT1,TNF,TNF,TNF,FCGR1A,BATF2,STAT1,STAT2,TNF,STAT1,BATF2,TNF,BATF2,TNF,BATF2,BATF2,TNF,IL6,BATF2,BATF2,TNF,BATF2,BATF2,BATF2,STAT1,TNF,TNF,BATF2,TNF,TNF,IL1B,STAT1,BATF2,BATF2,TNF,IL6,STAT1,STAT1,TNF,TNF,TNF,TNF,TNF,STAT1,STAT1,BATF2,STAT1,TNF,STAT1,SERPING1,BATF2,GBP1
FCGR1B,IL6,STAT1,ANKRD22,IL6,IL1B,IL6,STAT1,IL1B,FCGR1A,IL1B,FCGR1A,IL1B,GBP5,TNF,BATF2,IL17A,IL1B,IL1B,IL1B,IL1B,BATF2,FCGR1A,TNF,IL1B,IL6,GBP5,IL1B,IL1B,CXCL10,IL1B,FCGR1A,IL1B,IL1B,IL1B,CXCL10,IRF1,FCGR1A,IFNG,IL1B,IL1B,IL1B,FCGR1A,IL1B,IL1B,BATF2,IL2,IL1B,TNF,IL1B,IL1B,IL1B,GBP5,FCGR1A,TNF,IRF1,IL1B,GBP5,SERPING1,IL1B,FCGR1A,IL6,FCGR1A,AIM2,IL1B,TGFB1,STAT1,FCGR1A,IL1B,FCGR1A,FCGR1A,FCGR1A,TNF,IL1B,IL6,SERPING1,IL1B,STAT1,IL6,TNF,FCGR1A,FCGR1A,IL1B,IFNG,CXCL10,BATF2,IL1B,STAT1,IL1B,IL1B,IL1B,GBP5,TNF,FCGR1A,STAT2,IL1B,CXCL9,FCGR1B,FCGR1A,BATF2
BATF2,TLR4,CXCL9,BATF2,CIITA,IL6,STAT1,IL1B,IL6,FCGR1B,IL6,FCGR1B,CXCL10,GBP1,IL1B,FCGR1A,CCL5,IL6,IL6,STAT1,IL6,STAT1,FCGR1B,IL1B,STAT1,STAT1,BATF2,STAT1,IL6,GBP5,IL6,ICAM1,STAT1,IL6,IL6,CCL5,LCN2,FCGR1B,MMP9,IL1A,STAT1,TNF,STAT1,IL6,IL6,SCARF1,STAT1,IL6,IL1B,IL6,IL6,IL6,BATF2,FCGR1B,IL1B,IRF3,IL6,BATF2,FCGR1A,IL6,FCGR1B,IL1B,FCGR1B,FCGR1A,CXCL10,TNF,FCGR1A,FCGR1B,IL6,STAT1,FCGR1B,FCGR1B,IL1B,IL6,IFNG,AIM2,IL6,IL1B,IFNG,IL1B,FCGR1B,FCGR1B,IL6,IL17A,FCGR1A,AIM2,IL6,IL1B,IL6,IL6,STAT1,BATF2,IL1B,FCGR1B,FCGR1A,IL6,CXCL10,GBP5,FCGR1B,FCGR1A
STAT1,TNF,GBP1,CD274,STAT1,CXCL10,IL1B,IL6,IL10,ANKRD22,IFNG,ANKRD22,IL6,FCGR1A,CXCL10,STAT1,IL1B,IL12A,IL10,TLR2,CXCL10,CXCL10,ANKRD22,IL6,TLR2,CXCL10,SERPING1,CXCL10,STAT1,IFNG,IL10,IFNG,CD4,CXCL10,IL10,STAT1,IFNG,GBP5,IL6,IL1R1,IL6,CXCL10,IFNG,IL10,IL10,ANKRD22,CXCL10,IL12A,IL6,STAT1,IL10,STAT1,STAT1,ANKRD22,IL6,IRF7,STAT1,FCGR1A,FCGR1B,CXCL10,ANKRD22,CXCL10,STAT1,FCGR1B,STAT1,CD4,FCGR1B,STAT1,CXCL10,IRF7,STAT1,STAT1,TLR2,STAT1,IL12B,FCGR1A,STAT1,IL6,TLR2,IL6,STAT1,SERPING1,IL10,TNF,GBP5,FCGR1A,CXCL10,CXCL10,CXCL10,CXCL10,CD4,FCGR1A,IL6,ANKRD22,FCGR1B,IL10,CXCL11,CTLA4,GBP1,FCGR1B
ANKRD22,CALCA,CASP1,FCGR1A,CXCL9,STAT1,TLR2,TNF,STAT1,AIM2,CCL2,SERPING1,STAT1,FCGR1B,IL6,GBP1,IL6,IL12B,IL12B,CXCL10,STAT1,IFI44L,SERPING1,STAT1,CXCL10,CCL2,GBP1,IL6,CXCL10,IL1B,IL12A,TNF,FOXP3,STAT1,IL12A,STAT4,TNF,BATF2,IL17A,IL1RN,TLR2,CD4,CXCL10,IL12A,IL12A,SERPING1,IL1B,IL12B,CXCL10,TLR2,IL12A,CXCL10,ANKRD22,SERPING1,CCL2,GBP1,CXCL10,FCGR1B,STAT1,STAT1,SERPING1,IL12B,AIM2,STAT1,GBP5,JAK2,SERPING1,CXCL10,STAT1,IFIT3,GBP1,TAP1,IL6,TLR2,IL10,FCGR1B,CXCL10,CXCL10,TLR4,CD274,TAP1,AIM2,IL12A,STAT1,BATF2,FCGR1B,TLR2,CXCL9,STAT1,STAT1,TLR2,FCGR1B,CXCL10,STAT1,ANKRD22,IL12B,IDO1,CCL2,STAT1,SERPING1
SERPING1,CRP,FCGR1A,FCGR1B,CXCL10,GBP5,CXCL10,IL18,GBP5,STAT1,IL18,AIM2,CCL2,STAT1,TLR2,SERPING1,IL18,IL10,IL18,IL6,TLR2,IDO1,HP,CD8A,IL6,IFNG,ANKRD22,IL10,GBP5,NLRP3,IL12B,IL6,TLR2,TLR2,IL12B,CD8A,IL1B,CXCL10,CXCL9,IL22,CXCL10,IL6,CXCL9,IL12B,IL12B,FCGR1A,CD4,STAT1,TLR2,TLR4,IL12B,CXCL9,SERPING1,GBP2,CCL5,GBP2,TLR2,ANKRD22,TAP1,TLR2,WARS1,STAT1,GBP1,TAP1,BATF2,HIF1A,TAP1,CXCL9,TLR2,SERPING1,CXCL10,WARS1,CD4,TLR4,CCL2,ANKRD22,CXCL9,TLR2,CD274,CXCL10,SERPING1,ANKRD22,IL12B,IL10,IFNG,IRF1,TLR4,CCL2,TLR2,TLR2,TLR4,CXCL10,TLR2,TAP1,TNF,CXCL10,GBP5,HP,TAP1,STAT1
CXCL10,VWF,GBP5,GBP1,S100A8,GBP1,CD4,IL18BP,BATF2,IFNG,TGFB1,STAT1,CD14,TLR2,CD4,TAP1,IFNG,IL17A,CXCL10,CD14,TLR4,FCGR1A,WARS1,CXCL10,FOXP3,IL10,ETV7,CD4,STAT3,STAT1,IL17A,IL1B,TLR4,TLR4,IL17A,TNF,IL6,CXCL9,CXCL10,IL23A,IL10,FOXP3,NPC2,IL17A,IL17A,FCGR1B,IL6,STAT4,CD40,IL10,IL17A,CCL2,CARD17,GBP1,IFNG,GBP5,TLR4,CXCL10,GBP2,TLR4,AIM2,FCGR1A,SERPING1,CXCL10,FCGR1A,MMP9,AIM2,IDO1,TLR4,ANKRD22,CXCL9,SERPING1,MMP9,CD4,CXCL10,FCGR2A,TLR2,TLR4,STAT1,CXCL9,GBP1,SCARF1,IL17A,IL12A,TNF,CXCL10,STAT1,IL6,CD4,TLR4,IL6,CXCL9,TLR4,WARS1,IL1B,CCL2,BATF2,BATF2,GBP2,AIM2
IFNG,PLAU,GBP2,GBP5,S100A9,CD274,FOXP3,IL1RN,FCGR1A,IL1B,STAT1,GBP1,IL10,TLR4,CD8A,LY6E,CXCL10,IL22,CXCL9,FOXP3,CD4,FCGR1B,TAP1,TLR2,CD4,CCL5,STAT1,TLR2,FCGR1A,TLR2,IL18,IL10,CXCL10,CD14,IL18,IL1B,JAK1,CCL2,CCL2,IL27,CD14,TLR2,GBP1,IL18,IL18,APOL1,TLR2,TLR2,NLRP3,CXCL10,IL18,TLR2,AIM2,TAP1,GBP5,BATF2,NLRP3,CXCL9,GBP4,CD4,CXCL9,FCGR1B,ANKRD22,IFNG,FCGR1B,CCL2,GBP1,ANKRD22,NOD2,OAS1,IDO1,ANKRD22,IL10,NLRP3,STAT1,FCGR2B,TLR4,FOXP3,NLRP3,MMP9,WARS1,ETV7,IL18,IL12B,IL1B,CXCL9,GBP5,CD14,CCL2,IL10,IL10,GBP1,IL10,GBP2,IL6,STAT1,SCARF1,ANKRD22,IFNG,GBP2
AIM2,ITGB3,TAP1,GZMA,S100A12,TLR2,IL10,TNFRSF1A,AIM2,IL6,CXCL9,GBP2,TLR2,CD14,FOXP3,IFIT3,TGFB1,CXCL10,CCL2,IL10,NFKB1,LY6E,STAT1,TLR4,IL10,HIF1A,WARS1,TLR4,BATF2,TLR4,IL23A,IL12A,IL2,NLRP3,IL22,IL6,JAK2,ANKRD22,CCL5,MRC1,FOXP3,CD8A,FCGR1B,IL23A,IL23A,APOL4,STAT3,TLR4,CD14,CCL2,IL23A,TLR4,FCGR1B,STAT1,BATF2,FCGR1A,CD4,GBP1,AIM2,CD8A,CXCL10,GBP5,C1QB,IFNGR1,AIM2,NFKB1,WARS1,SERPING1,NLRP3,GBP1,AIM2,GBP2,CD8A,CXCL10,FCGR1A,FCGR3A,CD14,IL10,IL10,TLR2,CXCL10,GBP1,IL22,IL18,IL6,NLRC4,TGFB1,NLRP3,IL2,CCL2,CXCL10,AIM2,CD14,GBP1,CXCL9,GBP5,AIM2,GBP1,CXCL10,GBP4
