seed_1_all,seed_2_all,seed_3_all,seed_4_all,seed_5_all,seed_6_all,seed_7_all,seed_8_all,seed_9_all,seed_10_all,seed_11_all,seed_12_all,seed_13_all,seed_14_all,seed_15_all,seed_16_all,seed_17_all,seed_18_all,seed_19_all,seed_20_all,seed_21_all,seed_22_all,seed_23_all,seed_24_all,seed_25_all,seed_26_all,seed_27_all,seed_28_all,seed_29_all,seed_30_all,seed_31_all,seed_32_all,seed_33_all,seed_34_all,seed_35_all,seed_36_all,seed_37_all,seed_38_all,seed_39_all,seed_40_all,seed_41_all,seed_42_all,seed_43_all,seed_44_all,seed_45_all,seed_46_all,seed_47_all,seed_48_all,seed_49_all,seed_50_all,seed_51_all,seed_52_all,seed_53_all,seed_54_all,seed_55_all,seed_56_all,seed_57_all,seed_58_all,seed_59_all,seed_60_all,seed_61_all,seed_62_all,seed_63_all,seed_64_all,seed_65_all,seed_66_all,seed_67_all,seed_68_all,seed_69_all,seed_70_all,seed_71_all,seed_72_all,seed_73_all,seed_74_all,seed_75_all,seed_76_all,seed_77_all,seed_78_all,seed_79_all,seed_80_all,seed_81_all,seed_82_all,seed_83_all,seed_84_all,seed_85_all,seed_86_all,seed_87_all,seed_88_all,seed_89_all,seed_90_all,seed_91_all,seed_92_all,seed_93_all,seed_94_all,seed_95_all,seed_96_all,seed_97_all,seed_98_all,seed_99_all,seed_100_all
IFNG,IL6,IFNG,IFNG,IFNG,IFNG,STAT1,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,STAT1,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,TNF,TNF,IFNG,IFNG,GBP5,IFNG,IFNG,IFNG,IL1B,GBP5,IFNG,STAT1,IFNG,IFNG,IFNG,GBP5,IFNG,IFNG,STAT1,GBP5,IFNG,IFNG,IFNG,IFNG,TNF,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,TNF,IFNG,CXCL10,IFNG,IFNG,GBP5,IFNG,IFNG,IFNG,IFNG,IFNG,TNF,IFNG,IFNG,IFNG,STAT1,IFNG,STAT1,HLA-DRB5,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,GBP5,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,IL27,GBP5,IFNG,IL27,TNF,IFNG,IFNG,IFNG
TNF,TNF,TNF,TNF,TNF,TNF,IRF1,TNF,TNF,TNF,TNF,TNF,TNF,TNF,TNF,TNF,GBP5,TNF,IFNGR1,TNF,TNF,IFIT1,TNF,IL1B,IFNG,TNF,TNF,BNIP3L,TNF,IL27,TNF,TNF,BNIP3L,TNF,IRF1,TNF,TNF,TNF,BNIP3L,TNF,TNF,IFNG,STAT1,TNF,TNF,TNF,TNF,IL6,TNF,TNF,TNF,TNF,TNF,TNF,TNF,IL1B,IL12A,TNF,TNF,TNF,DUSP3,TNF,TNF,TNF,TNF,TNF,IL1B,TNF,TNF,TNF,IRF1,TNF,IRF1,IRF1,TNF,TNF,TNF,TNF,TNF,TNF,TNF,BNIP3L,TNF,TNF,TNF,TNF,TNF,IL12B,TNF,TNF,TNF,TNF,STAT1,BNIP3L,TNF,STAT1,IL6,TNF,IFNGR1,TNF
IL6,TNFRSF1A,IL1B,IL1B,IL6,IL1B,IFIT1,IL1B,IL1B,IL1B,IL1B,IL1B,IL1B,IL12B,IL1B,IL1B,GBP1,IL1B,IFNGR2,IL1B,IL1B,IFIT3,IL6,IL6,IL1B,IL6,IL1B,KLF6,IL1B,STAT1,IL1B,IL6,KLF6,IL1B,GBP5,IL6,IL1B,IL1B,KLF6,IL1B,IL1B,IFNGR1,IRF1,IL1B,IL6,IL27,IL6,IL10,IL1B,IL1B,IL1B,IL1B,IL6,IL1B,IL1B,IL6,IL12B,IL6,IL12B,IL6,KLF2,IL1B,IL1B,IL1B,IL1B,IL1B,IL6,IL1B,IL6,IL1B,TLR4,IL12B,TLR4,TNF,IL12B,IL12B,IL12B,IL1B,IL1A,IL6,IL12B,KLF6,IL1B,IL1B,IL1B,IL1B,IL12B,TNF,IL12B,IL1B,IL1B,IL12B,IRF1,KLF6,IL1B,TLR4,IL1B,IL1B,IFNGR2,IL12B
IL1B,TNFRSF1B,IL6,IL6,IL1B,IL6,IFIT2,IL6,IL6,IL6,IL6,IL1A,IL6,IL12A,IL6,IL6,GBP2,IL6,IFNAR1,IL6,IL6,OAS1,IL1B,IFNG,IL6,IL1B,IL6,DYSF,IL6,TLR4,IL6,IL27,DYSF,IL6,IL27,IL1B,IL6,IL1A,DYSF,IL6,IL6,IFNGR2,GBP1,IL6,CXCL10,STAT1,IL1B,IFNG,IL12B,IL1A,IL6,IL10,IL1B,IL6,IL6,IFNG,IL12RB1,IL1B,IL12RB1,IL1B,IDO1,IL6,IL6,STAT1,IL6,IL6,IFNG,IL6,IL1B,IL12B,IL27,IL12A,IL27,IL1B,IL12A,IL12A,IL12A,IL6,IL1B,IL1B,IL12A,DYSF,IL6,IL6,IL6,IL12B,IL12A,STAT1,IL12A,IL6,IL10,IL12RB1,TLR4,DYSF,IL6,IRF1,CXCL10,IL6,TNF,IL12A
IL10,IL1B,IL2,IL10,IL10,IL10,IFIT3,IL10,IL10,IL10,IL10,IL6,IL10,IL1B,IL10,IL10,IFITM3,IL10,IFNAR2,IL12B,IL10,GBP5,HLA-DRB1,IL12A,IL10,IL10,IL10,LASP1,IL10,IL1B,IL10,STAT1,LASP1,IL12B,TLR4,CXCL10,IL10,IL6,LASP1,IL10,IL10,IRF1,IFIT1,IL10,IL27,TLR4,IL10,IL1B,IL12A,IL6,IL10,IL6,IL12A,IL10,IL10,IL10,IL12RB2,IFNG,STAT1,IL10,IL1B,IL12B,IL12A,IRF1,IL12A,IL10,CCL2,IL10,IL1A,IL12A,HLA-DRB5,IL1B,HLA-DRB5,IL6,IL6,STAT1,IL1B,IL12A,IL6,IL12B,IL23A,LASP1,IL10,IL10,IL10,IL18,STAT1,IL1B,IL23A,IL10,IL6,IL23R,TNF,LASP1,IL10,IL15,CXCL9,IL10,TNFRSF1A,IL1B
IL12B,IL10,IL10,IFNGR1,IL12B,IL12A,ISG15,IL12A,IL12A,STAT1,IL17A,IL10,IL12B,STAT1,STAT1,STAT1,ISG15,IL12B,IFIT1,IL10,IL12B,GBP1,HLA-DRB5,IL12B,IL12A,IL12A,IL2,PCBP1,IL12B,TNF,IL17A,IRF1,PCBP1,IL10,CXCR4,IL10,IL12A,IL10,PCBP1,IL12A,IL12A,IRF9,OAS1,IL2,STAT1,IL12B,CXCL10,IL12B,IL6,IL10,IL17A,IL18,IL12B,IL12A,IL17A,IL12A,IFNGR1,IRF1,IRF1,IFNAR1,IFNG,IL12A,IL12B,IL27,IL12B,IL2,TLR2,IL12A,IL2,IL10,IL15,IL6,TNFA,IFNG,IL1B,IRF1,IL6,IL12B,IL10,IL12A,IL1B,PCBP1,IL27,IL12A,IL27,IL6,IRF1,IL12RB1,IFNGR1,IL12B,IL12B,TYK2,IFNG,PCBP1,IL12B,IL24,CCL2,IL4,TNFRSF1B,IL6
IL12A,IFNG,IL12A,IFNGR2,IL12A,IL12B,MX1,IL12B,IL12B,JAK2,IL12A,IL17A,IL12A,JAK2,STAT3,JAK2,OAS1,IL12A,IFIT2,TGFB1,IL23A,FCGR1A,TLR2,IRF1,IL12B,IL12B,IL17A,BATF2,IL23A,IL6,STAT1,TLR4,IFNG,TGFB1,VEGFA,CCL5,IL12B,IL12B,BATF2,IL12B,IL12B,ISG15,IFNG,IL17A,IRF1,IL10,CCL2,IL12A,IL10,IL12A,IL12B,IL12A,IL10,IL12B,IL12B,IL12B,IFNGR2,HLA-DRB5,IL1B,IFNAR2,TNF,IL23A,IL10,CXCL10,IL10,IL12B,HIF1A,IL12B,IL10,IL6,IL12B,CXCL8,IFNG,CXCL10,IL10,IRF8,IL10,TLR2,IL12A,IL10,IL1A,IFNG,IL17A,IL12B,IL17A,IL10,NOS2,TYK2,IFNGR2,IRF1,IL12A,IRF1,IL12B,BATF2,IL12A,IL2RA,CCL5,IL2,IL1B,IL10
IL23A,IL17A,IL12B,STAT1,IL23A,IL23A,OAS1,IL23A,IL17A,IL12B,IL12B,IL23A,IL23A,IFNGR1,IL12A,SOCS3,OAS2,IL18,IFIT3,IFNGR1,IL17A,ANKRD22,TLR4,HLA-DRB1,IL23A,IL18,IFNGR1,GBP1,IL17A,IL12B,STAT3,IL15,TNF,IL18,HIF1A,CCL2,IL18,IL12A,GBP1,IL18,IL18,ISG20,GBP2,IL1A,TLR4,IL1B,CXCL9,IL23A,IL2,IL12B,IL12A,IL12B,IL18,IL18,IL18,IL18,STAT1,CXCL9,IL6,STAT1,IL6,IL17A,IL17A,IL6,IL17A,IL12A,VEGFA,IL18,IL17A,IL2,IFNG,IL10,IL15,FCGR1A,IL23A,JAK2,IL17A,TLR4,IL12B,TGFB1,IL6,TNF,IL2,IL2,IL2,IL27,IL1B,IL23A,IL1B,HLA-DRB5,CXCL10,STAT1,IL1B,GBP1,IL18,TGFβ1,IL10,IL12A,IL1A,TLR2
IL27,IL17F,CXCL10,JAK2,IL27,IFNGR1,OAS2,IL17A,IL23A,IL12A,IL18,IL27,IL17A,IFNGR2,IL12B,ISG15,OAS3,IL27,OAS1,TNFRSF1A,CXCL10,SERPING1,IRF1,HLA-DRB5,IL17A,IL1A,TNFRSF1A,GBP2,STAT1,IL18,JAK1,IFNG,IL1B,IL17A,IL1B,IL12B,IL2,IL23A,GBP2,IL17A,TGFB1,OAS1,IFIT2,CXCL10,IL15,IL6,CCL5,IL17A,IL17A,IL18,IL2,CXCL8,CXCL10,IFNAR1,IL2,IL23A,STAT4,CCL5,IL10,STAT2,IL12B,IL10,STAT1,CCL5,STAT1,CXCL10,MMP2,IL23A,CXCL10,IL4,TNF,IL17A,IL1B,GBP5,IL17A,JAK1,IL2,TLR9,IL17A,IL17A,IL10,IL1B,IL12B,IL4,IL12B,IL15,IL6,NOS2,IL6,CXCL10,IL23A,IL10,IL6,GBP2,IL23A,CD80,IFNG,IL12B,IL1R1,TLR4
IL17A,CXCL10,CCL2,SOCS3,IL17A,IFNGR2,OAS3,IFNGR1,IL27,IL23A,IL23A,IL12A,IFNGR1,IL12RB1,IL18,IFIT1,IFIT1,IL4,OAS2,IL1R1,CXCL9,ETV7,STAT1,SOS1,TGFB1,CXCL10,IL1R1,GBP4,STAT3,IL10,JAK2,IL12A,IL6,IL2,TNF,IL12A,IL4,IL18,GBP4,IL17F,IL17A,OAS2,MX1,CXCL9,IL12B,CD274,IL12B,IL27,IL17F,IL17A,IL4,CCL2,CCL2,IFNAR2,STAT1,IL27,JAK1,CCL2,IL27,IRF9,IL10,TGFB1,IRF1,CXCL9,IRF1,IL17A,MMP9,IL17A,CXCL9,IL18,IL6,IL18,CD38,C1QB,IL18,IL1B,IL4,MYD88,IL17F,IL23A,IL18,IL1A,IL12A,IL17A,IL12A,IL2,IL27,CYBB,IL17A,CXCL9,CCL2,IL1B,CXCL10,IFNG,IL27,CD28,IL12B,IL18,IL12A,NOD2
