seed_1_all,seed_2_all,seed_3_all,seed_4_all,seed_5_all,seed_6_all,seed_7_all,seed_8_all,seed_9_all,seed_10_all,seed_11_all,seed_12_all,seed_13_all,seed_14_all,seed_15_all,seed_16_all,seed_17_all,seed_18_all,seed_19_all,seed_20_all,seed_21_all,seed_22_all,seed_23_all,seed_24_all,seed_25_all,seed_26_all,seed_27_all,seed_28_all,seed_29_all,seed_30_all,seed_31_all,seed_32_all,seed_33_all,seed_34_all,seed_35_all,seed_36_all,seed_37_all,seed_38_all,seed_39_all,seed_40_all,seed_41_all,seed_42_all,seed_43_all,seed_44_all,seed_45_all,seed_46_all,seed_47_all,seed_48_all,seed_49_all,seed_50_all,seed_51_all,seed_52_all,seed_53_all,seed_54_all,seed_55_all,seed_56_all,seed_57_all,seed_58_all,seed_59_all,seed_60_all,seed_61_all,seed_62_all,seed_63_all,seed_64_all,seed_65_all,seed_66_all,seed_67_all,seed_68_all,seed_69_all,seed_70_all,seed_71_all,seed_72_all,seed_73_all,seed_74_all,seed_75_all,seed_76_all,seed_77_all,seed_78_all,seed_79_all,seed_80_all,seed_81_all,seed_82_all,seed_83_all,seed_84_all,seed_85_all,seed_86_all,seed_87_all,seed_88_all,seed_89_all,seed_90_all,seed_91_all,seed_92_all,seed_93_all,seed_94_all,seed_95_all,seed_96_all,seed_97_all,seed_98_all,seed_99_all,seed_100_all
FGA,FCGR1A,STAT1,GBP5,FCGR1A,BATF2,GBP5,GBP1,STAT1,MARCO,CXCL10,TNF,IDO1,FCGR1A,IFNG,FCGR1A,TNF,IFNG,IFNG,GBP5,FCGR1A,IFNGR1,GBP5,TCIRG1,FCGR1A,IFNG,GBP5,IFNG,IL1B,GBP5,GBP5,GBP5,GBP5,IFNG,FCGR1B,IFNG,GBP5,FCGR1B,FCGR1A,STAT1,IL1B,GBP5,FCGR1B,FCGR1A,IFNG,TNF,TNF,TNF,TNF,IFNG,FCGR1A,FCGR1A,FCGR1A,IFNG,IFNG,IFNG,TNF,GBP1,TNF,TNF,FCGR1A,TNF,GBP5,GBP5,IFNG,TNF,TLR2,STAT1,FCGR1A,GBP5,FCGR1B,CFH,IFNG,IFNG,FCGR1A,IFNG,IFNA1,TNF,DUSP3,FCGR1A,GBP5,FCGR1A,CXCL10,CCL2,BATF2,IFNGR1,FCGR1A,IFNG,TNF,STAT1,STAT1,GBP5,FCGR1B,GBP5,TNF,CCL3,FCGR1A,TNF,FCGR1A,C1QB
CFH,STAT1,CXCL10,DUSP3,GBP5,FAM20A,DUSP3,FCGR1A,GBP5,SOCS3,STAT1,IFNG,TNF,GBP5,TNF,CXCL10,IFNG,TNF,TNF,DUSP3,GBP5,FCGR1A,ETV7,ATP6V0A2,GBP5,TNF,DUSP3,STAT1,IDO1,DUSP3,DUSP3,DUSP3,DUSP3,TNF,ANKRD22,CXCL10,DUSP3,AIM2,STAT1,IRF1,IFNG,DUSP3,ANKRD22,STAT1,STAT1,IL6,IFNG,IFNG,IFNG,TNF,GBP1,GBP5,IFNG,TNF,TNF,TNF,IL1B,STAT1,IFNG,IFNG,GBP5,IFNG,S100A12,DUSP3,TNF,IFNG,TLR4,FCGR1A,GBP5,DUSP3,GBP5,C1orf112,STAT1,TNF,BATF2,TNF,IFNA10,IFNG,HP,STAT1,DUSP3,BATF2,GBP5,IFNG,CXCL10,STAT1,GBP5,TNF,IFNG,TNF,GBP1,DUSP3,FCGR1A,GBP2,IFNG,CCL4,GBP5,IFNG,GBP5,CCL19
PTPRC,CXCL10,IL1B,KLF2,BATF2,FBLN2,KLF2,IFNG,DUSP3,FCGR1A,IDO1,IL6,CXCL10,DUSP3,GBP5,IL1B,IL6,IL1B,CXCL10,KLF2,FCGR1B,IL6,CD1C,ATP6V0D2,STAT1,IL1B,KLF2,CXCL10,CCL2,KLF2,KLF2,KLF2,KLF2,IL1B,CARD17,STAT1,KLF2,BATF2,CXCL10,IRF1-AS1,IL6,IFNG,IFITM3,S100A9,CCL2,IL1B,IL6,IL6,IL1B,GBP5,GBP2,STAT1,STAT1,CCL2,IL1B,IL1B,IFNG,FCGR1A,IL6,IL6,STAT1,MCEMP1,S100A8,KLF2,IL6,IL6,TLR9,TNF,BATF2,KLF2,DUSP3,FGR,IRF1,STAT1,FCGR1B,IL1B,IFNA13,CXCL10,KLF2,IFNG,KLF2,ETV7,FCGR1A,IL12B,DUSP3,GBP5,STAT1,GBP5,IL6,CCL2,CXCL10,KLF2,GBP2,FCGR1B,IL6,CXCL16,STAT1,IL6,DUSP3,CCL5
IDO1,IDO1,TNF,GBP2,DUSP3,AK5,IFNG,CXCL10,KLF2,MPO,DEFB4A,IL1B,CXCL8,KLF2,DUSP3,IL6,STAT1,IL6,CCL2,FCGR1A,STAT1,TNF,BLK,IL1B,GBP1,IL6,BATF2,TNF,STAT1,FCGR1A,IFNG,S100A12,STAT1,IL6,IFITM3,TNF,IFNG,HP,GBP5,IL1B,TNF,TNF,TNFAIP6,S100A8,CXCL8,CXCL8,IL1B,IL1B,CXCL10,DUSP3,SERPING1,CXCL10,CXCL10,IL6,IL6,IL6,FCGR1A,IL1B,IL1B,SP110,FCGR1B,AIM2,BATF2,IFNG,IL1B,IL1B,CLEC4E,SERPING1,IFNG,STAT1,STAT1,STAT1,GBP1,IL6,ANKRD22,IL6,IFNA14,STAT1,TLR5,CXCL10,FCGR1A,CD1C,DUSP3,STAT1,FCGR1A,DUSP3,CXCL10,DUSP3,IL1B,IL1B,FCGR1A,STAT1,GBP5,DUSP3,IL1B,IL7,DUSP3,IL1B,STAT1,CD4
HMOX1,TNF,IL6,FCGR1B,KLF2,VAMP5,TNF,STAT1,RAB24,C1QB,CFH,CXCL10,FCGR1A,BATF2,FCGR1B,IL1RN,CXCL10,CXCL10,STAT1,IFITM3,DUSP3,IFNGR2,P2RY14,LTF,CXCL10,IL10,FCGR1B,IL1B,NFKB1,STAT1,CXCL10,S100A8,GBP1,CXCL8,TNFAIP6,IL1B,TNF,TLR5,IDO1,CXCL9,CCL1,IL1B,FCGBP,IFNG,CXCL10,CXCL10,CXCL8,CXCL8,STAT1,FCGR1B,CD274,IFNG,GBP1,IL1B,CXCL10,IL10,BATF2,CXCL10,IL10,SP140,IFNG,BATF2,IFITM3,STAT1,CXCL8,CXCL10,MBL2,IL1B,STAT1,FCGR1A,IFNG,CXCL10,GBP2,CXCL10,CARD17,IL10,IFNA16,FCGR1A,FCGR1B,GBP1,FCGR1B,GBP1,IFNG,IRF1,GBP1,KLF2,IFNG,KLF2,CXCL8,IL6,IFITM3,IFNG,GBP1,BATF2,IL10,SHARPIN,IFNG,CCL2,CXCL10,GBP5
CXCL10,IFNG,IFNG,SERPING1,STAT1,MMP8,IL6,IL1B,DPP4,ELANE,FGR,IL10,FCGR1B,ETV7,BATF2,CXCL9,CXCL9,CXCL9,MMP9,GBP1,IFNG,GBP5,BATF2,BATF2,IDO1,IL12B,AIM2,IL6,IL1RN,CXCL10,FCGR1A,STAT1,IFNG,IL12B,FCGBP,IL6,FCGR1B,IFNG,IFNG,CXCL10,CD4,CXCL10,KLF12,TNF,IFITM3,IFNG,CXCL10,IL10,FCGR1A,AIM2,FCGR1B,IL1B,GBP5,CXCL10,CXCL9,IL12B,CXCL10,IDO1,STAT1,FCGR1B,TNF,FCGR1B,EPSTI1,FCGR1A,IL10,IL12B,IFNG,IFNG,DUSP3,S100A9,TNF,GBP1,GBP3,CXCL9,IFITM3,CCL2,IFNA17,IL1B,BATF2,GBP5,STAT1,GBP5,STAT1,IL1B,GBP5,TNF,TNF,FCGR1A,CCL2,IFNG,IFI6,TNF,CD274,SCARF1,CXCL10,NFKB1,TNF,CXCL10,IFNG,HLA-DMB
CCL2,IL1B,IRF1,TUBGCP6,CXCL10,KLHDC8B,CXCL10,TNF,APOL1,FCGR3A,LTF,VEGFA,GBP5,STAT1,AIM2,IDO1,IL1B,CXCL11,S100A9,CXCL10,TNF,CXCL10,IFNG,AKT3,FCGR1B,CXCL10,HP,CXCL8,CXCL10,CXCL1,STAT1,APOL1,CXCL10,CCL2,KLF12,CXCL9,STAT1,TNF,TNF,IL10RA,CXCL11,STAT1,BATF2,IL1B,S100A12,CXCL9,CCL2,STAT1,IL1RN,BATF2,IFNG,TNF,IRF1,GBP5,CXCL11,TGFB1,IL6,IRF1,CXCL8,CD14,CXCL10,TLR5,GBP2,SERPINE1,TGFB1,CXCL9,IFNAR1,GBP2,KLF2,S100A8,AIM2,IL1B,GBP4,CXCL11,TNFAIP6,CXCL10,IFNA2,IL6,AIM2,IL1B,CXCL10,P2RY14,TNF,IL6,ID3,IL1B,IL1B,STAT1,STAT1,IL10,IDO1,IL1B,CYP4F3,KLF2,IL12B,TNF,IL1B,IL10,TNF,MCEMP1
TLR4,CXCL9,GBP1,TRMT2A,IFNG,DEFA3,CRP,CXCL9,FCGR1A,S100A8,CXCL9,STAT1,IFNG,CXCL10,TBP,TNF,C1QA,STAT1,IL6,STAT1,GBP6,STAT1,TNF,CLEC4M,IFNG,CXCL9,TLR5,FCGR1B,TNF,MMP8,IL1B,RAB24,IL1B,CXCR3,BATF2,CXCL11,CXCL10,CXCL10,IL1B,IL12B,CXCL9,FCGR1A,FAM20A,CXCR2,EPSTI1,CCL5,CCL5,STAT3,GBP1,HP,TNF,IDO1,IDO1,TLR2,IL10,IL2,STAT1,UBC,CCL2,IL12B,DUSP3,HP,EIF2AK2,IFITM3,STAT1,IL18,IFNAR2,GBP1,FCGR1B,IFITM3,BATF2,TNF,GBP5,IL1B,FCGBP,IL12B,IFNA21,CXCL9,GBP5,TNF,IFNG,BLK,CXCL9,IL10,IFITM3,CXCL10,GBP1,CXCL10,IL10,IL12B,WDFY1,FCGR1A,TLR5,TUBGCP6,CXCL8,CFLAR,CXCL10,IL12B,KLF2,NELL2
TGFB1,MMP9,FCGR1A,SDR39U1,TNF,GBP6,STAT1,CXCL11,IFNG,S100A9,CXCL11,NFKB1,IL1B,SERPING1,HP,IFNG,C1QB,IRF1,CRP,P2RY14,AIM2,C1QA,IL1B,TLR6,IL1B,CXCR3,SCARF1,AIM2,IFNG,CARD17,TNF,DPP4,TNF,CCR5,FAM20A,IL10,IDO1,CXCL9,CXCL9,IL18R1,CXCL10,IL6,FBLN2,LTF,CCR2,CCL2,IL10,IRF1,SERPING1,TLR5,STAT1,IRF1,STAT2,STAT1,IL12B,IL15,S100A8,HCK,NFKB1,IL1B,KLF2,NELL2,IFIT2,CXCL10,NFKB1,STAT1,STAT1,CXCL10,IFITM3,GBP1,HP,IRF1,GBP6,IL10,KLF12,IL18,IFNA4,GBP1,FCGR1A,IDO1,IL1B,STAT1,IL1B,CXCL9,IL1B,STAT4,GBP6,IL1B,IL12B,MMP9,GBP5,CCL2,PLD4,SDR39U1,IL17A,TBK1,IRF1,STAT1,GBP1,ZNF354C
NFKB1,VEGFA,IDO1,GBP1,GBP1,MCEMP1,IL1B,IDO1,TNF,ERG,IRF1,S100A9,IL6,C1QB,TLR5,STAT1,C1QC,IDO1,CXCL9,C1QB,BATF2,HLA-DRA,IL6,CEBPB,TNF,CCL2,GBP6,BATF2,CCL5,S100A8,GBP1,BATF2,CXCL9,STAT1,FBLN2,IDO1,IL1B,C1QA,4-Sep,IL18RAP,IL23A,IL1RN,AK5,SERPING1,CSF2,MMP9,TGFB1,CXCL10,ETV7,TBP,IL1B,DUSP3,IL1B,IRGM,IL18,IL18,S100A9,TNF,TLR2,TLR2,CASP1,CD4,TAP1,IRF1,HIF1A,IRF1,IL12A,VEGFA,SCARF1,GBP2,TLR5,IDO1,IFNGR1,IL12B,GBP5,CXCL9,IFNA5,IRF1,GBP1,IRF1,TNF,IFITM3,IRF1,IL12A,KLF2,IL12RB1,BATF2,IDO1,CXCL10,CXCL10,SOCS3,CXCL10,TNFAIP6,SERPING1,STAT1,IL6,GBP1,HIF1A,BATF2,CXCL10
