seed_1_all,seed_2_all,seed_3_all,seed_4_all,seed_5_all,seed_6_all,seed_7_all,seed_8_all,seed_9_all,seed_10_all,seed_11_all,seed_12_all,seed_13_all,seed_14_all,seed_15_all,seed_16_all,seed_17_all,seed_18_all,seed_19_all,seed_20_all,seed_21_all,seed_22_all,seed_23_all,seed_24_all,seed_25_all,seed_26_all,seed_27_all,seed_28_all,seed_29_all,seed_30_all,seed_31_all,seed_32_all,seed_33_all,seed_34_all,seed_35_all,seed_36_all,seed_37_all,seed_38_all,seed_39_all,seed_40_all,seed_41_all,seed_42_all,seed_43_all,seed_44_all,seed_45_all,seed_46_all,seed_47_all,seed_48_all,seed_49_all,seed_50_all,seed_51_all,seed_52_all,seed_53_all,seed_54_all,seed_55_all,seed_56_all,seed_57_all,seed_58_all,seed_59_all,seed_60_all,seed_61_all,seed_62_all,seed_63_all,seed_64_all,seed_65_all,seed_66_all,seed_67_all,seed_68_all,seed_69_all,seed_70_all,seed_71_all,seed_72_all,seed_73_all,seed_74_all,seed_75_all,seed_76_all,seed_77_all,seed_78_all,seed_79_all,seed_80_all,seed_81_all,seed_82_all,seed_83_all,seed_84_all,seed_85_all,seed_86_all,seed_87_all,seed_88_all,seed_89_all,seed_90_all,seed_91_all,seed_92_all,seed_93_all,seed_94_all,seed_95_all,seed_96_all,seed_97_all,seed_98_all,seed_99_all,seed_100_all
IL15,IL15,IL1B,IL15,S100A8,IL1B,IL1B,IL6,IL15,IL1B,S100A8,IL1B,IL15,IL1B,IL1B,CD177,NLRP3,CD177,CD177,IL15,IFIT1,IL1B,IL15,IL15,S100A12,IL6,IFI27,IL1B,IL1B,IL1B,IL15,IL15,IL1B,IL1B,IL15,IL1B,IL1B,IL15,IFNG,IL15,IL15,IL15,IL6,IL1B,IL15,IL15,IL6,IL15,IL1B,IL1B,IL1B,IFIT1,IL1B,IL15,IL15,STAT3,IL15,IL1B,IL1B,IL15,IL15,S100A12,IL15,IL15,CD177,IL15,IL1B,IL1B,IL15,CD177,IL15,STAT1,TNF,IL15,S100A12,IL1B,HLA-DQB1,IL15,IL1B,IL1B,IL15,IL15,IL15,IL15,IL1B,IL1B,ADM,IL1B,IL15,IL1B,IL1B,IL1B,IL15,IL15,IL15,IL15,IL1B,IL1B,CD177,IL15
IL15RA,IL15RA,IL6,IL15RA,S100A9,IL1A,IL1A,TNF,IL15RA,IL1R1,S100A9,IL1A,IL15RA,IL6,IL1A,IL1B,IL1B,SELL,S100A8,IL15RA,IFIT2,IL6,IL15RA,IL15RA,S100A8,IL1B,IFI44L,IL6,TNF,TNF,IL15RA,IL15RA,IL1R1,IL1R1,IL15RA,TNF,IL6,IL15RA,IFNGR1,IL15RA,IL15RA,IL15RA,IL17A,IL1A,IL15RA,IL15RA,IL1B,IL15RA,IL6,IL1R1,IL6,IFIT2,IL15,IL15RA,IL15RA,NFKB1,IL15RA,IL1A,IL1A,IL15RA,IL15RA,IL15,IL15RA,IL15RA,S100A8,IL15RA,TNF,IL1R1,IL15RA,OLFM4,IL15RA,STAT2,TNFRSF1A,IL15RA,S100A8,IL1R1,HLA-DRA,IL15RA,IL1A,IL1A,IL15RA,IL15RA,IL15RA,IL15RA,IL1A,TNF,ALPL,IL1R1,IL15RA,TNF,IL1A,IL6,IL15RA,IL15RA,IL15RA,IL15RA,IL6,IL6,S100A12,IL15RA
TNFA,CXCL9,TNF,IFNG,S100A12,IL1R1,IL1RN,IL1B,CD177,IL1R2,S100A12,IL1R1,JAK1,IL10,IL1R1,CXCL8,IL1A,CXCL10,S100A9,IL6,IFIT3,TNF,TNF,IFNG,S100A9,IL1A,IFI44,TNF,IL6,IL6,STAT3,STAT3,IL1R2,IL1RAP,CXCL2,IL6,TNF,IL6,IFNGR2,S100A8,IL1B,TNFRSF13C,IL17F,IL1R1,CXCL9,HLA-DRB1,TNF,IL1B,TNF,IL1R2,TNF,IFIT3,IL15RA,S100A8,IL1B,IL6,CD177,IL1R1,IL1R1,TNF,TNF,IL15RA,S100A8,IFNG,S100A9,FCGR1A,IL15,IL1R2,IL2RB,MPO,IFNG,IRF9,TNFRSF1B,IL17A,S100A9,IL1R2,ZBTB48,ITPKC,IL1R1,IL1R1,IL17A,CD177,IL15RB,CD177,IL1R1,IL6,FCGR1A,IL1R2,CXCL2,IL6,IL1R1,TNF,CXCL10,S100A12,IL1B,IL6,TNF,TNF,IL1B,IL1B
IL6,CXCL10,IFNG,IL10,MPO,IL1R2,IL6,S100A8,CXCL10,IL1RAP,S100A6,IL1R2,JAK3,IL17A,IL1R2,S100A8,IL1R1,IL17A,S100A12,IL1B,IFI44,IFNG,IL1B,TNF,FCGR1A,IL1R1,IFIT1,IFNG,IFNG,CXCL8,IRAK4,STAT5A,IL1RAP,IL1RN,IL17A,IFNG,IL10,IL10,STAT1,S100A9,IL18,HLA-DQB1,IL1B,IL1R2,IL1B,HLA-DQB1,IFNG,TNF,CXCL8,IL15,IL10,IFI44,IL1R1,S100A9,IL6,TNF,S100A8,IL1R2,IL1R2,IFNG,IFNG,CD177,S100A9,STAT1,S100A12,TLR2,IL15RA,IL1RN,JAK1,ELANE,TNF,IRF1,TNFRSF4,IL17F,FCGR1A,IL6,TNFRSF13C,CASP3,IL1R2,IL1R2,IL17C,TNFRSF1B,IFIT1,S100A8,IL1R2,IFNG,HP,IL6,MMP9,CXCL2,IL1R2,IL1A,IL17A,S100A8,IL1R1,IL1B,IL10,IL1A,CXCL8,IL1A
IL1B,CXCL11,IL10,TNF,ELANE,IL1RN,IL6R,S100A9,IL6,IL1RN,S100A4,IL1RN,STAT3,IL18,IL6,S100A9,IL1R2,IL6,CXCL8,IL1A,IFI44L,IL2,IL6,S100A12,IL15,IL1R2,IFIT3,IL10,IL10,IL10,TLR2,STAT5B,IL1RN,IL1R2,IL17C,IL2RA,IL18,TNF,JAK1,S100A12,IL6,HLA-DRA,IL1A,IL1RN,IL1R1,HLA-DRA,IL10,IL6,IL1R1,IL15RA,IFNG,IFI44L,IL1R2,S100A12,TNF,IL1B,S100A9,IL1RN,IL1RN,IL10,IL6,FCGR2A,S100A12,STAT2,IL15,TLR8,IL6,IL6,JAK3,CTSG,IL1B,IRF7,TNFRSF9,IL17C,ADM,IL6R,CASD1,CXCL2,IL1RN,IL1RN,IL17F,IL1B,IFIT2,S100A9,IL1RN,IL10,S100A12,IL6R,S100A12,S100A8,IL1RN,IL18,IL6,S100A9,IL1R2,IL1A,IFNG,IL1R1,IL1R1,TNF
IL8,S100A8,IL2,IL1B,IL6,IL1RAP,IL6ST,CXCL8,IL17A,TNFAIP3,S100A11,IL6,STAT5A,IL21,IL6R,S100A12,IL1RAP,MMP9,IL1B,TNF,IFI27,IL4,IFNG,S100A8,IL15RA,IL1RN,RSAD2,IL17A,IL8,IFNG,S100A12,JAK1,IL6,IL6,IL17F,IL17A,IFNG,IFNG,JAK2,CXCL2,IL10,ZBTB48,IL1R1,IL6,IL1R2,HLA-DQA1,IL1A,S100A8,IL1RN,S100A8,IL18,IFI27,IL1RAP,CXCL8,IL1A,CXCL2,S100A12,IL6,IL6,IL8,IL10,ITGAX,IFI44L,IRF1,IL15RA,CXCL8,IL10,IL6R,STAT3,AZU1,IL6,IL6,TNFRSF11A,IL17D,ALPL,IL6ST,ADM,IL1B,IL6,IL2,CXCL8,IL1R1,IFIT3,S100A12,IL6,IL2,SLC22A4,IL6ST,IL1B,S100A9,IL2,IL10,TNF,CD177,IL1RAP,TNF,IL2,IL1R2,IL1RAP,IFNG
CXCL2,S100A9,IL4,CXCL8,TNF,IL6,TNF,MMP8,IL17F,S100A8,S100P,IL6R,STAT5B,IL1RN,IL6ST,FCGR1A,IL1RN,MMP8,MMP9,STAT3,IFI6,IL10,IL10,S100A9,CD177,IL10,ISG15,IL18,IL17A,IL17A,FCGR1A,JAK3,IL6R,IL6R,IL8,CXCL8,STAT1,IL1B,IRF1,IL8,TNF,CASD1,IL1R2,IL6R,IL1RN,CASP5,IL2,S100A9,STAT3,S100A9,IL1A,IFITM1,IL1RN,IL1B,IL17A,IL8,CXCL2,IL6R,IL6R,IL1B,IL1B,SPI1,RSAD2,IRF3,CXCL2,IL1B,IL17A,IL6ST,STAT5A,DEFA1,IL10,TNF,TRAF1,IL17B,SLC22A4,TNF,ALPL,IL6,IL6R,IL2RA,IL1B,IL1R2,IFI44,CXCL2,IL6R,IL4,IL15,TNF,ITGAM,S100A12,IL2RA,IL2,IFNG,SPI1,IL1RN,IL18,IL4,IL6R,FCGR2A,IL6
CASP5,IL6,IL17A,IL6,IL1B,IL6R,TNFRSF1A,ELANE,CXCR3,S100A9,TNF,IL6ST,IL2RB,TNF,TNF,FCGR2A,PYCARD,NGAL,ALPL,NFKB1,IFITM1,IL17A,IL8,IL6,VIM,IL17A,MX1,IL2,IL2,CCL2,ADM,S100A12,IL6ST,IL6ST,TRIM58,CCL2,STAT3,CXCL2,SOCS1,TNF,IFNG,IL1B,TNF,IL6ST,IL1RAP,CR1,IL4,S100A12,CXCL10,S100A12,IL1RN,IFITM3,NLRP3,FPR1,CXCL10,IRAK4,IL6,IL6ST,IL6ST,IL6,IL8,LILRB2,ISG15,IRF7,IL1B,S100A12,IL18,TNF,STAT5B,DEFA3,IL2,CXCL8,TRAF2,IL6,HP,TNFRSF1A,FCGR1A,IL8,IL6ST,IL2RB,IL6,IL6,IFI44L,IL8,IL6ST,IL17A,IL15RA,TNFRSF1A,TLR2,CCR1,IL2RB,IL4,IL1B,TSPO,CXCL10,IL10,IL17A,TNFRSF1A,TLR8,IL10
CR1,CXCL8,IL18,IL12A,IFNG,IL6ST,TNFRSF1B,IFIT1,IFNG,S100A12,IL1B,TNF,S100A8,TNFRSF1A,TNFRSF1A,FCGR3A,CASP1,IL15,ANXA3,NFKB2,IFITM3,IL18,CCL5,IL1B,CLIC1,IL17F,OAS1,IL4,IL4,CXCL10,ALPL,S100A8,TNF,TNF,IGSF3,IL10,JAK1,CXCL8,IFNA1,IL1B,SOCS1,TNF,TNFRSF1A,TNF,CD177,CXCL2,IL17A,CD177,FCGR1A,FCGR1A,IL2,ISG15,TREM1,CXCR2,IFN-G,MYD88,TNF,TNF,TNF,IL17A,CD177,MMP9,USP18,IRF9,IL1R1,S100A8,IL1R1,TNFRSF1A,STAT6,DEFA4,HLA-DQB1,IRAK1,TRAF3,IL1B,CXCL8,TNFRSF1B,HP,TNF,TNF,IL4,TNF,IL6R,IFI27,SPI1,TNF,IL8,IL1B,TNFRSF1B,TLR8,SELL,IL4,IL17A,STAT1,CXCL2,TNF,IFNG,IL18,TNFRSF1B,IL15,IL8
HLA-DQB1,CCL2,IL21,IL12B,IL10,TNF,IL10,IFIT3,STAT1,FCGR1A,IL6,TNFRSF1A,S100A9,TNFRSF1B,TNFRSF1B,TLR8,CASP4,IL15RA,FPR1,IFNG,ISG15,IL21,CCL4,IL17A,ALPL,IL17RA,OAS2,IL5,IL5,IL1RN,HP,S100A9,TNFRSF1A,TNFRSF1A,CASP5,TGFB1,JAK2,S100A8,IFNB1,MIP1A,NLRP3,IL6,TNFRSF1B,TNFRSF1A,IL18,IL8,IL12A,CD14,FCGR2A,FCGR2A,IL6R,ISG20,MMP9,IL6,IL10,TLR2,IL1B,TNFRSF1A,TNFRSF1A,CXCL10,CCR1,MAPK14,IFIT1,JAK1,IL1R2,S100A9,IL1R2,TNFRSF1B,NCR1,LCN2,HLA-DRA,IRAK4,TRAF5,IL23A,IL1B,IL18,S100A12,CD40,TNFRSF1A,IL4R,IFNG,IL6ST,IFIH1,ISG15,TNFRSF1A,CCL2,IL6,IL10,SPI1,XAF1,IL4R,IFNG,HLA-B,IL8,IL6,CASP1,IL1R1,IL18,IL15RA,IL2
