seed_1_all,seed_2_all,seed_3_all,seed_4_all,seed_5_all,seed_6_all,seed_7_all,seed_8_all,seed_9_all,seed_10_all,seed_11_all,seed_12_all,seed_13_all,seed_14_all,seed_15_all,seed_16_all,seed_17_all,seed_18_all,seed_19_all,seed_20_all,seed_21_all,seed_22_all,seed_23_all,seed_24_all,seed_25_all,seed_26_all,seed_27_all,seed_28_all,seed_29_all,seed_30_all,seed_31_all,seed_32_all,seed_33_all,seed_34_all,seed_35_all,seed_36_all,seed_37_all,seed_38_all,seed_39_all,seed_40_all,seed_41_all,seed_42_all,seed_43_all,seed_44_all,seed_45_all,seed_46_all,seed_47_all,seed_48_all,seed_49_all,seed_50_all,seed_51_all,seed_52_all,seed_53_all,seed_54_all,seed_55_all,seed_56_all,seed_57_all,seed_58_all,seed_59_all,seed_60_all,seed_61_all,seed_62_all,seed_63_all,seed_64_all,seed_65_all,seed_66_all,seed_67_all,seed_68_all,seed_69_all,seed_70_all,seed_71_all,seed_72_all,seed_73_all,seed_74_all,seed_75_all,seed_76_all,seed_77_all,seed_78_all,seed_79_all,seed_80_all,seed_81_all,seed_82_all,seed_83_all,seed_84_all,seed_85_all,seed_86_all,seed_87_all,seed_88_all,seed_89_all,seed_90_all,seed_91_all,seed_92_all,seed_93_all,seed_94_all,seed_95_all,seed_96_all,seed_97_all,seed_98_all,seed_99_all,seed_100_all
HSPBAP1,UBD,DPM1,DPM1,DPM1,TGFB1,ADM,DPM1,CXCL10,HSPBAP1,HSPBAP1,ADM,RP11-34P13.7,HSPBAP1,RN7SL752P,gene_1188,DPM1,DPM1,DPM1,SYNGR2,HSPBAP1,IL6,DPM1,ITGA2B,DPM1,ITPKC,DPM1,UBD,DPM1,DOCK8,DPM1,DPM1,DPM1,IFI27,DPM1,IFI27,DPM1,DPM1,DPM1,HSPBAP1,HSPBAP1,IL15,S100A12,UBD,IL27,DPM1,DPM1,ADAMTS2,UBD,HSPBAP1,HSPBAP1,DPM1,DPM1,HSPBAP1,IL27,HSPBAP1,DPM1,S100A12,HSPBAP1,DPM1,DPM1,HSPBAP1,DPM1,DPM1,DPM1,DPM1,DPM1,UBD,TRBV11-2,DPM1,DPM1,S100A12,DPM1,DPM1,DPM1,DPM1,DPM1,LYVE1,CXCL10,HSPBAP1,DPM1,CD163,UBD,DPM1,DPM1,DPM1,FCGR2B,HSPBAP1,UBD,DPM1,DPM1,UBD,IL27,GENE_1476,ACKR1,CARD9,PCSK9,UBD,EBI3,ADAMTS2
VPS37C,EBI3,SCYL3,SCYL3,SCYL3,HSPBAP1,ALPL,SCYL3,CNDP1,VPS37C,VPS37C,ALPL,RP11-54O7.3,VPS37C,TCF7,gene_3617,SCYL3,SCYL3,SCYL3,MFSD2A,VPS37C,TNF,SCYL3,PKP2,SCYL3,BLK,SCYL3,EBI3,SCYL3,CR1,SCYL3,SCYL3,SCYL3,CXCL10,SCYL3,IFITM1,SCYL3,SCYL3,SCYL3,VPS37C,VPS37C,IL15RA,CD177,EBI3,CD177,SCYL3,SCYL3,ADM,EBI3,VPS37C,VPS37C,SCYL3,SCYL3,VPS37C,TBX21,VPS37C,SCYL3,CXCL9,VPS37C,SCYL3,SCYL3,VPS37C,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,EBI3,BTNL8,SCYL3,SCYL3,CD177,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SQSTM1,IDO1,VPS37C,SCYL3,CXCL9,EBI3,SCYL3,SCYL3,SCYL3,OAS1,VPS37C,EBI3,SCYL3,SCYL3,EBI3,SYNGR2,GENE_3982,SELL,CD163,CD163,EBI3,HSPBAP1,ARG1
TGFB1,SQSTM1,C1orf112,C1orf112,C1orf112,VPS37C,FCGR1A,C1orf112,IL1R1,TGFB1,TGFB1,FCGR1A,IFI27,TGFB1,CA1,gene_2836,C1orf112,C1orf112,C1orf112,IL27,TGFB1,CRP,C1orf112,ACTN1,C1orf112,FCGR2A,C1orf112,SQSTM1,C1orf112,ALOX5AP,C1orf112,C1orf112,C1orf112,STAT1,C1orf112,OAS1,C1orf112,C1orf112,C1orf112,TGFB1,TGFB1,IL27,SPI1,SQSTM1,MFSD2A,C1orf112,C1orf112,ALPL,SQSTM1,TGFB1,TGFB1,C1orf112,C1orf112,TGFB1,UBD,TGFB1,C1orf112,CD163,TGFB1,C1orf112,C1orf112,TGFB1,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,SQSTM1,HSPBAP1,C1orf112,C1orf112,CXCL9,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,UBD,GBP5,TGFB1,C1orf112,PCSK9,SQSTM1,C1orf112,C1orf112,C1orf112,FCGRT,TGFB1,SQSTM1,C1orf112,C1orf112,SQSTM1,MFSD2A,GENE_4482,NAMPT,CEACAM1,CXCL9,SQSTM1,IL27,CCL20
MX2,PLD4,FGR,FGR,FGR,MX2,HP,FGR,LAP3,MX2,MX2,HP,RP11-356O9.1,MX2,IFIT2,gene_1641,FGR,FGR,FGR,UBD,MX2,CXCL8,FGR,ABCB1,FGR,KCNN2,FGR,PLD4,FGR,ITGAM,FGR,FGR,FGR,OAS1,FGR,MX1,FGR,FGR,FGR,MX2,MX2,CD177,S100A8,IL27,SQSTM1,FGR,FGR,ARG1,HSPBAP1,MX2,MX2,FGR,FGR,MX2,EBI3,MX2,FGR,PCSK9,MX2,FGR,FGR,MX2,FGR,FGR,FGR,FGR,FGR,SYN2,LYST,FGR,FGR,PCSK9,FGR,FGR,FGR,FGR,FGR,TRBV11-2,STAT1,MX2,FGR,IL1B,IL27,FGR,FGR,FGR,OAS3,MX2,SLC1A5,FGR,FGR,SYNGR2,BPI,GENE_4922,ITGAM,CXCL1,ADAMTS2,SYNGR2,MFSD2A,CD14
TRBV11-2,NPR1,CFH,CFH,CFH,TRBV11-2,S100A12,CFH,COL10A1,TRBV11-2,TRBV11-2,S100A12,SIGLEC1,TRBV11-2,GBP5,gene_139,CFH,CFH,CFH,EBI3,TRBV11-2,S100A12,CFH,GP6,CFH,CENPU,CFH,NPR1,CFH,CD48,CFH,CFH,CFH,RSAD2,CFH,HERC5,CFH,CFH,CFH,TRBV11-2,TRBV11-2,SPI1,S100A9,SOCS1,UBD,CFH,CFH,CASP1,VPS37C,TRBV11-2,TRBV11-2,CFH,CFH,TRBV11-2,SQSTM1,TRBV11-2,CFH,FCGR1A,TRBV11-2,CFH,CFH,TRBV11-2,CFH,CFH,CFH,CFH,CFH,MFSD2A,MX2,CFH,CFH,CD163,CFH,CFH,CFH,CFH,CFH,HSPBAP1,CXCL9,TRBV11-2,CFH,IL15,ADM,CFH,CFH,CFH,OAS2,TRBV11-2,MFSD2A,CFH,CFH,MFSD2A,CAMP,GENE_69,CD163,CXCL8,ARG1,MFSD2A,MX2,CD163
DDX60,COL21A1,FUCA2,FUCA2,FUCA2,SYNGR2,SLC22A4,FUCA2,CCL5,CD163,IFI44L,SLC22A4,CD163,CD177,MAP3K7CL,gene_1087,FUCA2,FUCA2,FUCA2,SQSTM1,CD163,FCGR1A,FUCA2,THPO,FUCA2,SLC35F5,FUCA2,COL21A1,FUCA2,FCGR1A,FUCA2,FUCA2,FUCA2,IFIT1,FUCA2,IL1B,FUCA2,FUCA2,FUCA2,,CD177,TSPO,TSPO,TOLLIP,EBI3,FUCA2,FUCA2,CCL20,TGFB1,CD163,ADM,FUCA2,FUCA2,CD163,IL15,UBD,FUCA2,HP,CD163,FUCA2,FUCA2,DPM1,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,IL27,TGFB1,FUCA2,FUCA2,IL27,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,NPR1,CXCL11,ADM,FUCA2,IL15RA,ALPL,FUCA2,FUCA2,FUCA2,IFNG,CD163,IL27,FUCA2,FUCA2,IL27,CD274,GENE_4457,MMP9,FCGR3B,CORIN,SYNGR1,SLC7A8,CD74
TMEM154,IL33,GCLC,GCLC,GCLC,MFSD2A,IL27,GCLC,MYC,CXCL9,IFI6,IL1B,CTD-2116N17.1,ITPKC,COL10A1,gene_861,GCLC,GCLC,GCLC,CD74,CXCL9,HP,GCLC,TRPM7,GCLC,IL1RAP,GCLC,IL33,GCLC,ADAM8,GCLC,GCLC,GCLC,IFIT3,GCLC,IL6,GCLC,GCLC,GCLC,,DDX60,S100A12,IFITM1,INPP5D,CXCL10,GCLC,GCLC,CD14,MX2,CXCL9,ALPL,GCLC,GCLC,CXCL9,IL15RA,EBI3,GCLC,IL27,CXCL9,GCLC,GCLC,SCYL3,GCLC,GCLC,GCLC,GCLC,GCLC,CD177,VPS37C,GCLC,GCLC,TSPO,GCLC,GCLC,GCLC,GCLC,GCLC,MFSD2A,IFIT3,ALPL,GCLC,IL1A,FCGR1A,GCLC,GCLC,GCLC,IL17A,CXCL9,TBX21,GCLC,GCLC,CD177,CXCR3,GENE_2365,CXCL8,IL1R1,CCL20,SLC1A4,SQSTM1,CORIN
COL10A1,LYVE1,NFYA,NFYA,NFYA,UBD,TBX21,NFYA,MAPK11,PCSK9,IFIT1,ITGAM,CEACAM16,CASP3,PLA2GA,gene_2939,NFYA,NFYA,NFYA,SFRP4,PCSK9,ADM,NFYA,DSP,NFYA,TECRL,NFYA,LYVE1,NFYA,P2RY13,NFYA,NFYA,NFYA,CXCL9,NFYA,TNF,NFYA,NFYA,NFYA,,TMEM154,S100A8,CD55,DDX60,PECAM1,NFYA,NFYA,CD163,TRBV11-2,PCSK9,FCGR1A,NFYA,NFYA,PCSK9,PLD4,SQSTM1,NFYA,SPI1,PCSK9,NFYA,NFYA,C1orf112,NFYA,NFYA,NFYA,NFYA,NFYA,ADM,RP11-436P7.1,NFYA,NFYA,SPI1,NFYA,NFYA,NFYA,NFYA,NFYA,VPS37C,IFIT1,FCGR1A,NFYA,IL1RN,HP,NFYA,NFYA,NFYA,IL17F,PCSK9,CD163,NFYA,NFYA,S100A8,DEFA1,GENE_629,S100A12,ITPKC,HP,SLC1A5,TGFB1,CXCL9
CCL5,CCL2,STPG1,STPG1,STPG1,EBI3,UBD,STPG1,IL1R2,UBD,IFIT3,TLR2,CAMP,BLK,DEFB4A,gene_1578,STPG1,STPG1,STPG1,ITGA4,S100A9,ALPL,STPG1,MYH9,STPG1,BUD31,STPG1,CCL2,STPG1,SELL,STPG1,STPG1,STPG1,ISG15,STPG1,IL10,STPG1,STPG1,STPG1,,TLR3,S100A9,FCER1G,TMEM154,IL6,STPG1,STPG1,CD36,ADAMTS2,ADM,HP,STPG1,STPG1,SYNGR2,NPR1,IL27,STPG1,TSPO,DDX60,STPG1,STPG1,FGR,STPG1,STPG1,STPG1,STPG1,STPG1,ALPL,TMED5,STPG1,STPG1,ITPKC,STPG1,STPG1,STPG1,STPG1,STPG1,TGFB1,IRF1,HP,STPG1,IL1R1,S100A12,STPG1,STPG1,STPG1,BTNL8,SYN2,CXCL9,STPG1,STPG1,S100A9,FCGR1B,GENE_2038,IL1R2,MMP8,S100A12,IL27,TRBV11-2,EBI3
IL1R1,CXCL9,NIPAL3,NIPAL3,NIPAL3,SQSTM1,EBI3,NIPAL3,MAX,EBI3,IRF7,CXCL8,IFITM3,FCGR2A,CCL17,gene_419,NIPAL3,NIPAL3,NIPAL3,IKZF1,S100A8,SLC22A4,NIPAL3,MMP9,NIPAL3,ZSCAN25,NIPAL3,CTGF,NIPAL3,CD163,NIPAL3,NIPAL3,NIPAL3,GBP1,NIPAL3,IL18,NIPAL3,NIPAL3,NIPAL3,,TLR6,CD74,MYD88,IRAK4,IL10,NIPAL3,NIPAL3,CORIN,ARG1,ALPL,S100A12,NIPAL3,NIPAL3,MFSD2A,COL21A1,CD163,NIPAL3,CD177,TMEM154,NIPAL3,NIPAL3,CFH,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,FCGR1A,MIR4512,NIPAL3,NIPAL3,CASP3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,IL33,GBP4,S100A12,NIPAL3,IL1RAP,SLC22A4,NIPAL3,NIPAL3,NIPAL3,IL15RA,MFSD2A,PCSK9,NIPAL3,NIPAL3,S100A12,IL1B,GENE_2178,FCGR3B,MMP9,FCGR1A,HSPBAP1,UBD,HSPBAP1
