seed_1_all,seed_2_all,seed_3_all,seed_4_all,seed_5_all,seed_6_all,seed_7_all,seed_8_all,seed_9_all,seed_10_all,seed_11_all,seed_12_all,seed_13_all,seed_14_all,seed_15_all,seed_16_all,seed_17_all,seed_18_all,seed_19_all,seed_20_all,seed_21_all,seed_22_all,seed_23_all,seed_24_all,seed_25_all,seed_26_all,seed_27_all,seed_28_all,seed_29_all,seed_30_all,seed_31_all,seed_32_all,seed_33_all,seed_34_all,seed_35_all,seed_36_all,seed_37_all,seed_38_all,seed_39_all,seed_40_all,seed_41_all,seed_42_all,seed_43_all,seed_44_all,seed_45_all,seed_46_all,seed_47_all,seed_48_all,seed_49_all,seed_50_all,seed_51_all,seed_52_all,seed_53_all,seed_54_all,seed_55_all,seed_56_all,seed_57_all,seed_58_all,seed_59_all,seed_60_all,seed_61_all,seed_62_all,seed_63_all,seed_64_all,seed_65_all,seed_66_all,seed_67_all,seed_68_all,seed_69_all,seed_70_all,seed_71_all,seed_72_all,seed_73_all,seed_74_all,seed_75_all,seed_76_all,seed_77_all,seed_78_all,seed_79_all,seed_80_all,seed_81_all,seed_82_all,seed_83_all,seed_84_all,seed_85_all,seed_86_all,seed_87_all,seed_88_all,seed_89_all,seed_90_all,seed_91_all,seed_92_all,seed_93_all,seed_94_all,seed_95_all,seed_96_all,seed_97_all,seed_98_all,seed_99_all,seed_100_all
DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,RYR3,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1
SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,MIR6835,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3
C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,SLC17A9,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112
FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,RSU1P3,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR
CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CTD-2308N23.4,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH
FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,RP11-386G21.2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2
GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,RP11-163O19.1,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC
NIPAL3,NIPAL3,NIPAL3,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NIPAL3,HSPA6,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,HSPA6,HSPA6,NIPAL3,NIPAL3,NIPAL3,HSPA6,NIPAL3,NIPAL3,NIPAL3,HSPA6,NIPAL3,NIPAL3,NFYA,NIPAL3,NIPAL3,HSPA6,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,HSPA6,HSPA6,HSPA6,HSPA6,NFYA,NFYA,NFYA,NFYA,NFYA,NIPAL3,NIPAL3,NFYA,NIPAL3,NIPAL3,NFYA,NFYA,NIPAL3,NFYA,NFYA,NFYA,NIPAL3,NIPAL3,NFYA,LOXL1,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NIPAL3,NFYA,NIPAL3,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NIPAL3,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA
LAS1L,LAS1L,LAS1L,STPG1,STPG1,STPG1,STPG1,STPG1,STPG1,STPG1,STPG1,LAS1L,PAX8,LAS1L,LAS1L,LAS1L,ATP6V1H,LAS1L,LAS1L,LAS1L,LAS1L,TNFRSF14,TNFRSF14,LAS1L,LAS1L,LAS1L,TNFRSF14,LAS1L,LAS1L,LAS1L,TNFRSF14,LAS1L,LAS1L,STPG1,LAS1L,LAS1L,TNFRSF14,ATP6V1H,LAS1L,LAS1L,LAS1L,ATP6V1H,LAS1L,KCNIP4,KCNIP4,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,TNFRSF14,TNFRSF14,TNFRSF14,TNFRSF14,STPG1,STPG1,STPG1,STPG1,STPG1,LAS1L,ATP6V1H,STPG1,LAS1L,ATP6V1H,STPG1,STPG1,RTN4,STPG1,STPG1,STPG1,LAS1L,LAS1L,STPG1,RP4-705F19.1,STPG1,STPG1,STPG1,STPG1,STPG1,STPG1,STPG1,LAS1L,STPG1,LAS1L,STPG1,STPG1,STPG1,STPG1,STPG1,STPG1,STPG1,STPG1,LAS1L,STPG1,STPG1,STPG1,STPG1,STPG1,STPG1,STPG1
ENPP4,CD99,CD99,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,CD99,GUCD1,CD99,CD99,CD99,CDRT4,ENPP4,ENPP4,CD99,CD99,IGHG1,IGHG1,ENPP4,CD99,CD99,IGHG1,CD99,CD99,CD99,CSRP1,CD99,ENPP4,NIPAL3,CD99,CD99,IGHG1,CDRT4,CD99,CD99,CD99,CDK5R1,ENPP4,LAS1L,LAS1L,ENPP4,ENPP4,CD99,CD99,ENPP4,CDCA7,IGHG1,CSRP1,IGHG1,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,CD99,CDRT4,NIPAL3,ENPP4,CDRT4,NIPAL3,NIPAL3,PRSS53,NIPAL3,NIPAL3,NIPAL3,CD99,CD99,NIPAL3,LINC01889,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,CD99,NIPAL3,CD99,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,CD99,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3
