seed_1_all,seed_2_all,seed_3_all,seed_4_all,seed_5_all,seed_6_all,seed_7_all,seed_8_all,seed_9_all,seed_10_all,seed_11_all,seed_12_all,seed_13_all,seed_14_all,seed_15_all,seed_16_all,seed_17_all,seed_18_all,seed_19_all,seed_20_all,seed_21_all,seed_22_all,seed_23_all,seed_24_all,seed_25_all,seed_26_all,seed_27_all,seed_28_all,seed_29_all,seed_30_all,seed_31_all,seed_32_all,seed_33_all,seed_34_all,seed_35_all,seed_36_all,seed_37_all,seed_38_all,seed_39_all,seed_40_all,seed_41_all,seed_42_all,seed_43_all,seed_44_all,seed_45_all,seed_46_all,seed_47_all,seed_48_all,seed_49_all,seed_50_all,seed_51_all,seed_52_all,seed_53_all,seed_54_all,seed_55_all,seed_56_all,seed_57_all,seed_58_all,seed_59_all,seed_60_all,seed_61_all,seed_62_all,seed_63_all,seed_64_all,seed_65_all,seed_66_all,seed_67_all,seed_68_all,seed_69_all,seed_70_all,seed_71_all,seed_72_all,seed_73_all,seed_74_all,seed_75_all,seed_76_all,seed_77_all,seed_78_all,seed_79_all,seed_80_all,seed_81_all,seed_82_all,seed_83_all,seed_84_all,seed_85_all,seed_86_all,seed_87_all,seed_88_all,seed_89_all,seed_90_all,seed_91_all,seed_92_all,seed_93_all,seed_94_all,seed_95_all,seed_96_all,seed_97_all,seed_98_all,seed_99_all,seed_100_all
RP11-252E2.2,MIR4538,MIR4538,COX7B2,COX7B2,AC104984.4,MIR4538,MIR4538,MTCO1P10,CTA-204B4.2,MIR4538,DPM1,DPM1,DPM1,DPM1,MIR4538,RP5-1166H10.4,MIR4538,5S_rRNA,MIR4538,ZNF34,COX7B2,MTCO1P10,MIR4538,DPM1,RP5-1166H10.4,DPM1,DPM1,RP5-1166H10.4,EIF4EP4,MIR4538,COX7B2,MIR4538,5S_rRNA,DPM1,MIR6068,LIN54,RP5-1166H10.4,RP5-1166H10.4,PCBD1,LINC01688,RP5-1166H10.4,DPM1,MIR4538,RP5-1166H10.4,DPM1,RYR3,MIR4538,5S_rRNA,5S_rRNA,DPM1,AC104984.4,RP11-252E2.2,RP5-1166H10.4,DPM1,5S_rRNA,MIR4538,COX7B2,DPM1,CNTLN,MIR4538,5S_rRNA,DPM1,5_8S_rRNA,TPT1P1,DPM1,RP11-252E2.2,DPM1,COX7B2,DPM1,DPM1,MTCO1P10,MIR4538,DPM1,LINC01975,DPM1,5S_rRNA,COX7B2,RYR3,COX7B2,ZNF517,DPM1,MIR4538,DPM1,ZNF84-DT,IL15,RP11-252E2.2,CTA-204B4.2,MTCO1P10,COX7B2,DPM1,DPM1,IMMP1LP3,DPM1,RP11-252E2.2,DPM1,MIR4538,AC104984.4,RP11-252E2.2,PCBD1
IL21,RP11-119F7.6,RP11-119F7.6,RNA5SP308,RNA5SP308,SNORD14A,RP11-119F7.6,RP11-119F7.6,PIPOX,IL21,RP11-119F7.6,SCYL3,SCYL3,SCYL3,SCYL3,RP11-119F7.6,TLX1NB,RP11-119F7.6,5_8S_rRNA,RP11-119F7.6,Y_RNA,RNA5SP308,PIPOX,RP11-119F7.6,SCYL3,TLX1NB,SCYL3,SCYL3,TLX1NB,ILRUN-AS1,RP11-119F7.6,RNA5SP308,RP11-119F7.6,5S_rRNA,SCYL3,LA16c-314G4.4,EPB41L4A-DT,TLX1NB,TLX1NB,RNU4-59P,POM121L13P,TLX1NB,SCYL3,RP11-119F7.6,TLX1NB,SCYL3,MIR6835,RP11-119F7.6,5_8S_rRNA,5S_rRNA,SCYL3,SNORD14A,IL21,TLX1NB,SCYL3,5_8S_rRNA,RP11-119F7.6,RNA5SP308,SCYL3,CTD-2515O10.5,RP11-119F7.6,5_8S_rRNA,SCYL3,5S_rRNA,RP11-626I20.2,SCYL3,IL21,SCYL3,RNA5SP308,SCYL3,SCYL3,PIPOX,RP11-119F7.6,SCYL3,SCAI,SCYL3,5S_rRNA,RNA5SP308,MIR6835,RNA5SP308,Y_RNA,SCYL3,RP11-119F7.6,SCYL3,ZNF804B,IL15RA,IL21,IL21,PIPOX,RNA5SP308,SCYL3,SCYL3,RN7SL549P,SCYL3,IL21,SCYL3,RP11-119F7.6,SNORD14A,IL21,RNU4-59P
AURKA,TCL6,TCL6,AC002401.1,AC002401.1,TCL6,TCL6,TCL6,RN7SL260P,AURKA,TCL6,C1orf112,C1orf112,C1orf112,C1orf112,TCL6,AC073094.4,TCL6,7SK,TCL6,Y_RNA,AC002401.1,RN7SL260P,TCL6,C1orf112,AC073094.4,C1orf112,C1orf112,AC073094.4,FAM225B,TCL6,AC002401.1,TCL6,5S_rRNA,C1orf112,CTB-157D17.2,RPS15AP28,AC073094.4,AC073094.4,MANEALP1,OR7E10P,AC073094.4,C1orf112,TCL6,AC073094.4,C1orf112,SLC17A9,TCL6,7SK,5S_rRNA,C1orf112,TCL6,AURKA,AC073094.4,C1orf112,7SK,TCL6,AC002401.1,C1orf112,RP4-560B9.4,TCL6,7SK,C1orf112,7SK,MTREX,C1orf112,AURKA,C1orf112,AC002401.1,C1orf112,C1orf112,RN7SL260P,TCL6,C1orf112,PRKD3,C1orf112,5S_rRNA,AC002401.1,SLC17A9,AC002401.1,Y_RNA,C1orf112,TCL6,C1orf112,ZNF439,JAK1,AURKA,AURKA,RN7SL260P,AC002401.1,C1orf112,C1orf112,LINC01040,C1orf112,AURKA,C1orf112,TCL6,TCL6,AURKA,MANEALP1
ENSG10010134105.1,RP11-301G23.1,RP11-301G23.1,FAM166AP3,FAM166AP3,GPX1P2,RP11-301G23.1,RP11-301G23.1,LINC01082,MIR6792,RP11-301G23.1,FGR,FGR,FGR,FGR,RP11-301G23.1,IQSEC3,RP11-301G23.1,A1BG,RP11-301G23.1,Y_RNA,FAM166AP3,LINC01082,RP11-301G23.1,FGR,IQSEC3,FGR,FGR,IQSEC3,AC027124.3,RP11-301G23.1,FAM166AP3,RP11-301G23.1,5S_rRNA,FGR,ZNF69,RP11-30G8.2,IQSEC3,IQSEC3,RP11-54O7.11,CTC-507E2.2,IQSEC3,FGR,RP11-301G23.1,IQSEC3,FGR,RSU1P3,RP11-301G23.1,A1BG,5S_rRNA,FGR,GPX1P2,ENSG10010134105.1,IQSEC3,FGR,A1BG,RP11-301G23.1,FAM166AP3,FGR,COMMD4P1,RP11-301G23.1,A1BG,FGR,A1BG,METTL4,FGR,ENSG10010134105.1,FGR,FAM166AP3,FGR,FGR,LINC01082,RP11-301G23.1,FGR,RP5-860P4.2,FGR,5S_rRNA,FAM166AP3,RSU1P3,FAM166AP3,Y_RNA,FGR,RP11-301G23.1,FGR,ZMYM4,JAK3,ENSG10010134105.1,MIR6792,LINC01082,FAM166AP3,FGR,FGR,RNY4P25,FGR,ENSG10010134105.1,FGR,RP11-301G23.1,GPX1P2,ENSG10010134105.1,RP11-54O7.11
RNA5SP259,NPM1P20,NPM1P20,ANAPC1P3,ANAPC1P3,RP11-588K22.2,NPM1P20,NPM1P20,TAS2R18,Y_RNA,NPM1P20,CFH,CFH,CFH,CFH,NPM1P20,LINC01975,NPM1P20,A1BG-AS1,NPM1P20,Y_RNA,ANAPC1P3,TAS2R18,NPM1P20,CFH,LINC01975,CFH,CFH,LINC01975,UBE2K,NPM1P20,ANAPC1P3,NPM1P20,5S_rRNA,CFH,SPA17,BRWD1P2,LINC01975,LINC01975,ANKRD7,RP11-17J14.2,LINC01975,CFH,NPM1P20,LINC01975,CFH,CTD-2308N23.4,NPM1P20,A1BG-AS1,5S_rRNA,CFH,RP11-588K22.2,RNA5SP259,LINC01975,CFH,A1BG-AS1,NPM1P20,ANAPC1P3,CFH,PPIC-AS1,NPM1P20,A1BG-AS1,CFH,A1BG-AS1,RP11-68O1.1,CFH,RNA5SP259,CFH,ANAPC1P3,CFH,CFH,TAS2R18,NPM1P20,CFH,IL3,CFH,5S_rRNA,ANAPC1P3,CTD-2308N23.4,ANAPC1P3,VSTM5,CFH,NPM1P20,CFH,ZFAND4,STAT3,RNA5SP259,Y_RNA,TAS2R18,ANAPC1P3,CFH,CFH,UBE2Q2,CFH,RNA5SP259,CFH,NPM1P20,RP11-588K22.2,RNA5SP259,ANKRD7
RNU1-75P,FAM216A,MIR365B,MACO1,BOLA1,RNU6-1062P,FAM216A,FAM216A,RP11-401E14.3,RNU1-75P,FAM216A,FUCA2,RAB32,FUCA2,FAM110C,FAM216A,AC087241.3,FAM216A,A1CF,FAM216A,XPO5,MACO1,RP11-401E14.3,LRRC37A6P,FUCA2,AL049758.2,FUCA2,FUCA2,AL049758.2,RIMKLA,FAM216A,MACO1,FAM216A,5S_rRNA,FUCA2,RP11-646I6.5,ARFRP1,AL049758.2,FCRLA,CTD-2561F5.1,METTL22,AL049758.2,CCL22,FAM216A,RPS27P5,FUCA2,RP11-386G21.2,FAM216A,A1CF,A1BG,FUCA2,RNU6-1062P,CD320,RPL3,FUCA2,A1CF,FAM216A,MACO1,FUCA2,PABPC1L2A,PSAPL1,A1CF,FUCA2,A1CF,RPL13AP5,FUCA2,RNU1-75P,FUCA2,MACO1,FUCA2,FUCA2,RP11-401E14.3,FAM216A,FUCA2,CCL14,FUCA2,5S_rRNA,MACO1,RP11-386G21.2,MACO1,VSTM2L,FUCA2,FAM216A,FUCA2,ZDHHC14,STAT5A,RNU1-75P,RNU1-75P,LOC102724210,MACO1,FUCA2,FUCA2,RP11-13J12.2,FUCA2,RNU1-75P,FUCA2,FAM216A,RNU6-1062P,PLEKHO2,CD244
FAM43B,RP11-218M11.7,RNY3P1,HRAS,C5orf64,RP11-380J14.4,RP11-218M11.7,RP11-218M11.7,KCNJ1,FAM43B,RP11-218M11.7,GCLC,HLA-DQB1,GCLC,CSDC2,RP11-218M11.7,MTND5P30,RP11-218M11.7,A2M,RP11-218M11.7,WDR77,HRAS,KCNJ1,SCARNA6,GCLC,AC002383.2,GCLC,GCLC,AC002383.2,SLC12A5,RP11-218M11.7,HRAS,RP11-218M11.7,5S_rRNA,GCLC,MIR2681,C17orf50,AC002383.2,DNAI2,SNORA70E,MIR106A,AC002383.2,LGALS3,RP11-218M11.7,CYP2F1,GCLC,RP11-163O19.1,RP11-218M11.7,A2M,A1CF,GCLC,RP11-380J14.4,CNOT3,KLHL32,GCLC,A2M,RP11-218M11.7,HRAS,GCLC,MYO16-AS1,C9orf85,A2M,GCLC,A2M,FAM160A2,GCLC,FAM43B,GCLC,HRAS,GCLC,GCLC,KCNJ1,RP11-218M11.7,GCLC,S1PR5,GCLC,5S_rRNA,HRAS,RP11-163O19.1,HRAS,VPS53,GCLC,RP11-218M11.7,GCLC,ZCCHC6,STAT5B,FAM43B,FAM43B,STK19B,HRAS,GCLC,GCLC,RAC1P5,GCLC,FAM43B,GCLC,RP11-218M11.7,RP11-380J14.4,SAMD3,MRPL27
SCN3A,IFNL3P1,AL358113.1,ATXN8OS,SH2D3C,RP11-378I6.2,IFNL3P1,IFNL3P1,PPP6R2P1,SCN3A,IFNL3P1,NFYA,NDUFS5,NFYA,C1QB,IFNL3P1,RPS10P15,IFNL3P1,A2M-AS1,IFNL3P1,WARS1,ATXN8OS,PPP6R2P1,MIR3150BHG,NFYA,GPX2,NFYA,NFYA,GPX2,ZNF33A,IFNL3P1,ATXN8OS,IFNL3P1,5S_rRNA,NFYA,MIR1321,TRDN-AS1,GPX2,CLEC2L,FCRL4,RP11-317N8.3,GPX2,PLBD1,IFNL3P1,CXCL5,NFYA,LOXL1,IFNL3P1,A2M-AS1,A2M,NFYA,RP11-378I6.2,RP11-196E1.4,IL21,NFYA,A2M-AS1,IFNL3P1,ATXN8OS,NFYA,FOXL1,GOLGA6L9,A2M-AS1,SLC35B1,A2M-AS1,RNF113B,NFYA,SCN3A,NFYA,ATXN8OS,NFYA,NFYA,PPP6R2P1,IFNL3P1,NFYA,ARHGEF6,NFATC2IP,5S_rRNA,ATXN8OS,LOXL1,ATXN8OS,VPS41,NFYA,IFNL3P1,NFYA,ZBTB44,STAT6,SCN3A,SCN3A,MUSK,ATXN8OS,NFYA,NFYA,DDHD2,NFYA,SCN3A,NFYA,IFNL3P1,RP11-378I6.2,RPAIN,WDR66
RP1-197B17.4,FOXD4L4,AC004477.3,ST13P19,MTND5P18,FOXD4L4,FOXD4L4,FOXD4L4,OR5M13P,RP11-422P24.10,FOXD4L4,STPG1,SLC1A2,STPG1,AC116533.1,FOXD4L4,AC019055.1,FOXD4L4,A2ML1,FOXD4L4,WARS,ST13P19,OR5M13P,LINC00630,STPG1,TRAV41,STPG1,STPG1,TRAV41,NDUFB2,FOXD4L4,ST13P19,FOXD4L4,5S_rRNA,STPG1,FAM8A6P,RP5-850E9.3,TRAV41,GPR1,RPL12P5,MIR9-1,TRAV41,S100A12,FOXD4L4,GRM1,STPG1,RP4-705F19.1,FOXD4L4,A2ML1,A2ML1,STPG1,FOXD4L4,CCDC150,MORF4L1P8,STPG1,A2ML1,FOXD4L4,ST13P19,STPG1,ST8SIA6-AS1,AC144530.1,A2ML1,KDM5D,A2ML1,STX3,STPG1,RP1-197B17.4,STPG1,ST13P19,STPG1,STPG1,OR5M13P,FOXD4L4,STPG1,TIGIT,RPA3,5S_rRNA,ST13P19,RP4-705F19.1,ST13P19,VPS37A,STPG1,FOXD4L4,STPG1,ZBTB17,CACNA1E,RP1-197B17.4,RP11-422P24.10,HAGHL,ST13P19,STPG1,STPG1,RP11-85B7.5,STPG1,RP1-197B17.4,STPG1,FOXD4L4,FOXD4L4,KIF9,PCSK6
RAB11FIP5,RP11-466H18.1,AP001462.6,DEFA6,U2AF1L4,MTND4P2,RP11-466H18.1,RP11-466H18.1,SLC46A3,RAB11FIP5,RP11-466H18.1,NIPAL3,ARID1B,NIPAL3,ANXA3,RP11-466H18.1,KCNJ2,RP11-466H18.1,A2ML1-AS1,RP11-466H18.1,WAS,DEFA6,SLC46A3,CTD-3193O13.9,NIPAL3,IL3,NIPAL3,NIPAL3,IL3,MAFG-DT,RP11-466H18.1,DEFA6,RP11-466H18.1,5S_rRNA,NIPAL3,UBE2Q2,RP11-416O18.4,IL3,PIP,ADGRL1-AS1,DAGLA,IL3,CLEC4D,RP11-466H18.1,ZNF114,NIPAL3,LINC01889,RP11-466H18.1,A2ML1-AS1,A4GALT,NIPAL3,MTND4P2,AC005696.1,FAM163B,NIPAL3,A2ML1-AS1,RP11-466H18.1,DEFA6,NIPAL3,RPL36A,RP11-440L14.1,A2ML1-AS1,RABAC1,A2ML1-AS1,NAA16,NIPAL3,RAB11FIP5,NIPAL3,DEFA6,NIPAL3,NIPAL3,SLC46A3,RP11-466H18.1,NIPAL3,LAMA1,MXRA7,5S_rRNA,DEFA6,LINC01889,DEFA6,VPS13B,NIPAL3,RP11-466H18.1,NIPAL3,ZBTB11,DDIAS,RAB11FIP5,RAB11FIP5,ZNF746,DEFA6,NIPAL3,NIPAL3,RNU6-831P,NIPAL3,RAB11FIP5,NIPAL3,RP11-466H18.1,MTND4P2,RPS3A,UGT2B10
