seed_1_all,seed_2_all,seed_3_all,seed_4_all,seed_5_all,seed_6_all,seed_7_all,seed_8_all,seed_9_all,seed_10_all,seed_11_all,seed_12_all,seed_13_all,seed_14_all,seed_15_all,seed_16_all,seed_17_all,seed_18_all,seed_19_all,seed_20_all,seed_21_all,seed_22_all,seed_23_all,seed_24_all,seed_25_all,seed_26_all,seed_27_all,seed_28_all,seed_29_all,seed_30_all,seed_31_all,seed_32_all,seed_33_all,seed_34_all,seed_35_all,seed_36_all,seed_37_all,seed_38_all,seed_39_all,seed_40_all,seed_41_all,seed_42_all,seed_43_all,seed_44_all,seed_45_all,seed_46_all,seed_47_all,seed_48_all,seed_49_all,seed_50_all,seed_51_all,seed_52_all,seed_53_all,seed_54_all,seed_55_all,seed_56_all,seed_57_all,seed_58_all,seed_59_all,seed_60_all,seed_61_all,seed_62_all,seed_63_all,seed_64_all,seed_65_all,seed_66_all,seed_67_all,seed_68_all,seed_69_all,seed_70_all,seed_71_all,seed_72_all,seed_73_all,seed_74_all,seed_75_all,seed_76_all,seed_77_all,seed_78_all,seed_79_all,seed_80_all,seed_81_all,seed_82_all,seed_83_all,seed_84_all,seed_85_all,seed_86_all,seed_87_all,seed_88_all,seed_89_all,seed_90_all,seed_91_all,seed_92_all,seed_93_all,seed_94_all,seed_95_all,seed_96_all,seed_97_all,seed_98_all,seed_99_all,seed_100_all
IL6,CXCL9,CXCL9,CXCL9,CXCL9,IL6,IL15,IL15,IFNG,IL1B,CXCL9,IL1B,IFI27,IL15,CXCL9,DPM1,IL1B,CXCL9,CXCL10,IL1B,CXCL9,IL1B,IL1B,IFNG,IL6,CXCL10,CXCL9,IL1B,IL1B,TRBV11-2,IFI27,IL1B,IL15,IL1B,TRBV11-2,CXCL9,CXCL9,IL1B,IFI44L,IL17A,IFNG,IL27,HSPBAP1,CXCL10,IL27,CXCL9,DPM1,IL17A,IL1B,IL1B,IL1B,IFI27,IL6,CXCL10,CXCL10,CXCL9,DPM1,IL6,IFIT3,CXCL9,IFI27,IFI44L,TRBV11-2,DPM1,IL15,CXCL9,TGFB1,CXCL9,IFI27,IL1B,IL6,DPM1,IFI27,ISG15,CXCL9,IFNG,CXCL10,CXCL9,IL1B,IL1B,OAS1,IL1B,IFI27,IL6,IL15RA,IL6,IL15,IL6,IL6,CXCL9,IL1B,IFI27,IL6,TGFB1,IL1B,IL1B,CXCL9,CXCL10,CACNA1E,DPM1
CXCL10,CXCL10,CXCL10,CXCL10,CXCL10,IL1B,IL15RA,IL15RA,CXCL10,IL6,CXCL10,IL6,IFIT1,IL15RA,CXCL10,SCYL3,CXCL8,CXCL10,IFI44L,IL6,CXCL10,IL6,IL6,CXCL10,CXCL10,CXCL9,CXCL10,IL6,IL6,IL1B,CXCL10,IL6,IL15RA,IL6,HSPBAP1,CXCL10,CXCL10,IL6,IFI27,IL17F,CXCL9,IL15,VPS37C,IFI44L,CXCL10,CXCL10,SCYL3,IL17F,CXCL10,IL6,IL6,IFI44L,IL1B,CXCL9,CXCL9,IFNG,SCYL3,IL1B,IFIT1,CXCL10,ISG15,IFI27,HSPBAP1,SCYL3,IL15RA,IFI27,CXCL10,CXCL10,IFI44L,IL6,IL1B,SCYL3,IFI44L,IFIT1,CXCL10,CXCL9,CXCL9,CXCL10,IL6,IL6,OAS2,IL6,IFI44L,IL1B,CXCL9,IL1B,IL15RA,IL1B,IL1B,CXCL10,IL6,IFI27L1,IL1B,HSPBAP1,IL6,TNF,CXCL10,S100A8,DDIAS,SCYL3
IFI44L,IL1B,CXCL11,CXCL11,CXCL11,TNF,S100A8,IFNG,CXCL9,CXCL10,IDO1,CXCL8,IFIT3,IFNG,IFI27,C1orf112,IL6,CXCL11,ISG15,IL10,IFI44L,CXCL10,IL10,CXCL9,IFNG,IL1B,CXCL11,TNF,S100A8,IL6,IFI44L,TNF,CXCL10,IL10,VPS37C,CXCL11,IL6,IL10,ISG15,PLA2G2A,CXCL10,IL15RA,TGFB1,ISG15,CXCL9,CXCL11,C1orf112,IL6,IFNG,IL15,TNF,IFI44,TNF,IFIT3,IFIT3,IL1B,C1orf112,TNF,IFIT2,IFNG,MX1,CXCL10,VPS37C,C1orf112,IFNG,IL1B,IFNG,CXCL11,ISG15,IFNG,TNF,C1orf112,IFI44,IFIT2,CXCL11,CXCL10,IFI44L,CXCL11,CXCL10,CXCL10,OAS3,CXCL10,IFI6,TNF,CXCL10,IL10,CXCL9,TNF,CXCL8,S100A8,IL10,IFI6,TNF,VPS37C,TNF,IL6,IFNG,S100A9,KLHL2,C1orf112
CXCL9,IFNG,CXCL13,CD163,ISG15,IFNG,S100A9,IL17A,IL6,ISG15,IFNG,TNF,MX1,IL6,IFI44L,FGR,IL18,IFI44L,IFIT1,IL17A,IFI27,IFNG,IFNG,CXCL11,IL1B,S100A8,IL17A,IL1A,S100A9,ISG15,IFIT3,IFNG,CXCL9,IFNG,TGFB1,IFNG,IL1B,IL17A,CXCL10,CXCL10,CXCL11,IL17A,MX2,IFIT1,IL15,IFNG,FGR,IL1B,IL6,IL15RA,IFNG,IFIT1,IFNG,IFI27,IFI27,IL6,FGR,CXCL10,ISG15,CD177,OAS1,ISG15,TGFB1,FGR,CXCL9,CXCL10,IL6,CXCL13,MX1,CXCL10,IL10,FGR,IFIT1,IFIT3,IFNG,CXCL11,IFI44,IFIT1,IFI44L,CXCL9,OASL,IL1RN,ISG15,IFNG,IFI27,IL15,CXCL10,IFNG,TNF,S100A9,IL18,IFI44,IFNG,MX2,CXCL10,IL10,CXCL11,ISG15,PYROXD2,FGR
IL1B,IL17A,IFNG,PCSK9,IFIT3,CXCL10,S100A12,CXCL10,IL1B,IFI27,IL17A,CXCL10,OAS1,IL10,IFI44,CFH,IL18BP,IFIT3,IFIT3,IL18,ISG15,IL1RN,TNF,CCL2,TNF,S100A9,IL1B,CSF2,S100A12,CXCL10,ISG15,IL18,CXCL11,TNF,MX2,IL1B,TNF,IL18,CXCL9,IL6,CXCL13,IL1B,TRBV11-2,IFIT3,IL15RA,IDO1,CFH,IL10,IL10,TNF,IL10,IFIT2,CXCL9,ISG15,ISG15,S100A12,CFH,CXCL9,IFI44,IL1B,OAS2,IFIT3,MX2,CFH,CXCL10,IFNG,IL1B,CCL2,OAS1,CXCL9,IL18,CFH,IFIT2,IFI44,IL10,IL1B,ISG15,IFIT2,ISG15,IFNG,IFIT1,CXCL8,IFIT1,IL10,ISG15,IL18,CXCL11,IL10,IFNG,IFI27,IL1RN,IFI44L,IL10,TRBV11-2,CXCL9,IFNG,MMP8,IFI27,SMOX,CFH
TNF,IL6,IL15,IL6,IFIT1,CXCL9,CXCL10,CXCL9,TNF,IFI44L,S100A8,CXCL9,RSAD2,CXCL9,IFIT1,FUCA2,IL10,ISG15,IL17A,IL27,MX1,S100A8,IL17A,CCL3,CXCL9,IL6,IL6,CSF3,CXCL8,S100A12,IFIT1,CXCL10,IFNG,IL18,IL27,IL6,IFNG,IL12B,IL6,TNF,IL2RA,TNF,S100A12,OAS1,TNF,GBP5,FUCA2,MMP8,IFI27,IFNG,IL2,IFIT3,CXCL10,RSAD2,RSAD2,TNF,FUCA2,IFNG,IFI44L,IL6,OAS3,IFIT1,CACNA1E,FUCA2,CXCL11,IL6,GZMB,CCL3,OAS2,IL18,IFNG,FUCA2,IFIT3,IFI44L,IFI44L,IL6,IFIT3,IFIT3,CXCL8,TNF,IFIT2,CXCL9,IFIT2,IL1RN,OAS1,TNF,IL1B,CXCL8,IL10,ISG15,TNF,IFIT1,IL18,IL15,CCL2,CXCL10,MMP9,OASL,LINC02035,FUCA2
IFIT1,S100A8,IL27,IL10,IFI6,CCL2,IFIT3,CXCL11,IL10,CXCL9,S100A9,CCL2,CXCL10,CXCL10,IFIT3,GCLC,TNF,OAS1,S100A8,CXCL8,OAS1,S100A9,IL18,CCL4,CCL2,IFNG,TNF,CXCL1,TNF,S100A8,RSAD2,CXCL9,IFNA1,IL17A,CXCL9,IL10,IL18,IL1RN,IL10,IFI27,IL10,CXCL9,IL1B,MX1,IFNG,ISG15,GCLC,MMP9,IFI44,CXCL10,IL4,ISG15,CXCL11,IFI44L,IFI44L,CXCL10,GCLC,IL10,MX1,TNF,OASL,IFIT2,DDIAS,GCLC,IL10,IL18,PRF1,CCL4,OAS3,TNF,CXCL10,GCLC,IFIT5,IFI27,MX1,IL1RN,MX1,ISG15,TNF,CCL2,IFIT3,CCL2,IFIT3,CXCL9,OAS3,CXCL10,IL6,CXCL10,IL18,S100A12,IFNG,IFIT2,IL17A,IL15RA,IFNG,CXCL9,S100A12,MMP9,CLIC3,GCLC
OAS1,S100A9,IL18,IFNG,MX1,IL10,ISG15,IL6,IL17A,IFIT1,IL1B,CCL3,IL1B,CXCL11,IFIT2,NFYA,IL1RN,IFI44,S100A9,CXCL9,OAS2,S100A12,CXCL10,CCL5,IL17A,IL10,IFNG,CXCL2,MMP9,S100A9,MX1,CXCL11,IFNB1,IL1RN,CXCL10,TNF,IL10,TNF,IFNG,ISG15,IL6,CD163,IL1RN,SIGLEC1,ISG15,IFIT1,NFYA,S100A8,IFI44L,CXCL9,IL17A,OAS1,IL10,IFI44,IFI44,CXCL11,NFYA,IL17A,MX2,S100A8,IFIT1,OAS1,KLHL2,NFYA,IL10RA,IL10,CXCL9,CCL5,OASL,IL10,CXCL9,NFYA,ISG15,IFI6,ISG15,TNF,OAS1,IFI44L,IL10,IL10,IFIT5,CCL5,RSAD2,CXCL10,IFIT1,CXCL9,TNF,CXCL9,IL2RA,IDO1,CXCL10,IFIT3,IL17F,IL1B,CXCL8,CXCL8,IL1B,IL1B,S100P,NFYA
CCL2,ISG15,IL18BP,IL17A,OAS1,IL8,IL6,IL1B,ISG15,TNF,TNF,CCL4,IL6,CCL2,ISG15,STPG1,CXCL10,IFIT2,S100A12,CXCL10,OAS3,TNF,CXCL9,IL18,IL10,CXCL11,IL18,CXCL3,MMP8,SIGLEC1,OAS1,CCL2,IL6,IL1A,IFNG,IL17A,CXCL8,IFNG,TNFSF13B,CXCL11,IL1B,PCSK9,IL6,CXCL9,IFI44,IFIT3,STPG1,S100A9,IFIT1,CCL2,IL18,OAS2,CXCL8,OAS1,OAS1,IFIT1,STPG1,CXCL11,OAS1,S100A9,IFIT2,OAS2,PYROXD2,STPG1,IL6,TNF,CXCL8,CCL19,IFIT1,IFI44L,CCL2,STPG1,ISG20,OAS1,OAS1,IL10,RSAD2,IFI44,CCL2,NLRP3,ISG15,IFNG,OAS1,CXCL11,IFIT2,CXCL11,IFI27,IL18,IL1RN,IFI44L,CXCL9,IFIT5,IL12B,IL6,IL10,IL17A,TNF,IL6,IFI27,STPG1
CCL19,RSAD2,CXCL8,IL15,OAS2,IL1RN,IL1B,TNF,OAS1,CCL2,IL1RN,CCL5,TNF,CCL3,SIGLEC1,NIPAL3,CXCL9,IFIT1,IL1B,CXCL11,RSAD2,CXCL9,CXCL11,IL1RN,IL18,TNF,IL12B,CXCL5,CXCL1,CXCL9,IL1B,CXCL8,IL1B,CXCL10,STAT1,CCL2,CCL2,IL2RA,MMP8,IFIT3,TNF,CXCL10,CXCL9,DDX58,IFIT1,IFI44L,NIPAL3,S100A12,IFIT2,CXCL8,IL12B,OAS3,IL17A,OAS3,OAS3,ISG15,NIPAL3,CCL2,OAS2,S100A12,IFIT3,OAS3,SMOX,NIPAL3,IL6R,S100A8,TNF,CCL20,IFIT2,IFI27,CCL3,NIPAL3,MX1,OAS2,OAS2,CXCL8,IFI27,IFI27,IL18,STAT1,RSAD2,TNF,OAS2,IFIT1,IFIT3,CCL2,IFI44L,IL12B,IL1A,IFIT3,CCL2,ISG15,IL23A,CXCL9,IL18,IL18,IDO1,IFIT3,CD163,NIPAL3
