seed_1_all,seed_2_all,seed_3_all,seed_4_all,seed_5_all,seed_6_all,seed_7_all,seed_8_all,seed_9_all,seed_10_all,seed_11_all,seed_12_all,seed_13_all,seed_14_all,seed_15_all,seed_16_all,seed_17_all,seed_18_all,seed_19_all,seed_20_all,seed_21_all,seed_22_all,seed_23_all,seed_24_all,seed_25_all,seed_26_all,seed_27_all,seed_28_all,seed_29_all,seed_30_all,seed_31_all,seed_32_all,seed_33_all,seed_34_all,seed_35_all,seed_36_all,seed_37_all,seed_38_all,seed_39_all,seed_40_all,seed_41_all,seed_42_all,seed_43_all,seed_44_all,seed_45_all,seed_46_all,seed_47_all,seed_48_all,seed_49_all,seed_50_all,seed_51_all,seed_52_all,seed_53_all,seed_54_all,seed_55_all,seed_56_all,seed_57_all,seed_58_all,seed_59_all,seed_60_all,seed_61_all,seed_62_all,seed_63_all,seed_64_all,seed_65_all,seed_66_all,seed_67_all,seed_68_all,seed_69_all,seed_70_all,seed_71_all,seed_72_all,seed_73_all,seed_74_all,seed_75_all,seed_76_all,seed_77_all,seed_78_all,seed_79_all,seed_80_all,seed_81_all,seed_82_all,seed_83_all,seed_84_all,seed_85_all,seed_86_all,seed_87_all,seed_88_all,seed_89_all,seed_90_all,seed_91_all,seed_92_all,seed_93_all,seed_94_all,seed_95_all,seed_96_all,seed_97_all,seed_98_all,seed_99_all,seed_100_all
CD38,TNF,TNF,CD38,TNF,NFKB1,CFH,CD38,IFNG,CD160,CD38,TNF,CFH,TNF,NDUFAB1,IL1B,TNF,IFNG,NFKB1,TNF,TNF,NFKB2,IL1B,TNF,IFNG,TNF,NFKB1,TNF,NFKB1,NDUFA2,TNF,TRPC4AP,TNF,TNF,ATP1A1,IFNG,TNF,IFNG,TNF,TNF,TNF,CFH,IFNG,IGHV3-30,TNF,TNF,IFNG,NFKB1,NFKB1,CD38,CD38,NFKB1,IFNG,PINK1-AS,WASF3,TNF,IL6,STAT1,IFNG,NFKB1,COMT,IFNG,TNF,CFH,IFNG,IL1B,IL1B,TLR4,NFKB1,IL1B,IFNG,NFKB1,NFKB1,TNF,EIF2AK2,ESRRA,TNF,TNF,TNF,TNF,NFKB1,TNF,WASF3,IL1B,DRD4,TNF,ESRRA,IFNG,TNF,CD38,NFKB1,TNF,IFNG,IFNG,TNF,NFKB1,TNF,CD38,NFKB2,NFKB1
CD69,IL1B,IL1B,TNFRSF12A,IL1B,TNF,GCLC,IFNG,IL1B,CD38,IFNG,IL1B,CFLAR,IL1B,NDUFA2,IL1A,IL1B,TNF,TNF,TNFRSF1A,IFNG,NFKB1,IL6,IL6,TNF,IL1B,NFKB2,IL1B,NFKB2,NDUFA3,IL1B,CD38,IFNG,IL1B,CD19,TNF,IL1B,TNF,IL6,IL1B,IL1B,CFLAR,TNF,CD40L,IL1B,IL1B,NFKB2,TNF,NFKB2,UQCRC1,FGR,TNF,TNF,PINK1,PRKACA,IL1B,TNF,IFNG,TNF,TNF,MTHFR,IL1B,IL1B,CD38,IL1B,IL6,TNF,NFKB1,TNF,IL2,IL1B,NFKB2,NFKB2,IL1B,NFKB2,APP,IL1B,IL1B,IL1B,IL1B,TNF,IL6,PANK2,IL6,HTR2A,IL1B,APP,TNF,IL1B,CFH,TNF,IL1B,IL1B,IL1B,IL1B,NFKB2,IL1B,CD4,NFKB1,TNF
NFKB1,IL6,IL6,CCL26,IL6,IL6,CYCSP38,TNF,IL6,CD69,IL10,IL6,CASP10,IL6,NDUFA4,IL2,IL6,IL1B,IL1B,TNFRSF1B,IL1B,IFNG,TNF,IL1B,IL1B,IL6,TNF,IL6,TNF,NDUFA4,IL6,TNFRSF12A,IL1B,IL6,SLC6A2,IL1B,IL6,IL1B,IL1B,IL6,IL6,CD38,IL6,IFN-gamma,IL6,IL6,NRF1,IL6,TNF,CD4,CFH,IL6,IL1B,SPINK1,PDE4B,IL6,IL1B,IL10,IL1B,IL1B,IDH3B,IL6,IL6,FGR,IL6,IL10,IL6,TNF,IL1B,IL4,IL6,RELA,TNF,IL6,NFKB1,CD74,IL6,IL6,IL6,IL6,IL1B,IL1B,TPH2,TNF,DRD2,IL6,CD74,IL1B,IL6,CASP10,IL1B,IL6,TNF,TNF,IL6,RELA,IL6,CD8A,ATP5MF-PTCD1,IL6
STAT1,IL10,IL10,CD79B,IL10,IL1B,PRKAR2B,IL1B,TNF,CCR7,IL17A,IL10,CD38,IL10,NDUFA5,IL4,IL10,IL6,IL6,IL1B,IL6,IL1B,IFNG,IL10,IL6,IL10,IL1B,IL10,IL1B,NDUFA5,IL10,CCL26,IL6,IL10,SLC6A4,IL6,IL10,IL6,IFNG,IL10,IL10,FGR,IL1B,TRPM3,IL10,IL10,TFAM,IL1B,IL1B,NDUFS1,TFPI,IL1B,IL6,SPINK14,CAMK2D,IL10,IFNG,TNF,IL6,IL6,IDH1,IL10,IL10,TFPI,IL10,IL17A,NFKB1,IL6,IL6,IL6,IL10,RELB,IL1B,IL10,IFNG,IFNG,IL10,IL10,IL10,IL10,IL6,IFNG,COMT,IFNG,HTR1A,IL10,ATP5A1,IL6,IL10,CFLAR,IL6,IL10,IL6,IL6,IL10,RELB,IL10,CD8B,GSTCD,IL1B
STAT3,IL17A,IFNG,IL32,IL17A,TLR4,PRKACA,IL6,GZMB,IL2RA,IL1B,IL17A,FGR,IFNG,NDUFA6,IL6,IFNG,CXCL10,IFNG,IL6,IL10,IL6,IL10,IL17A,IL10,IL17A,IL6,IL17A,IL6,NDUFA6,IL17A,RTEL1-TNFRSF6B,IL10,IL17A,NFKB2,TLR4,IFNG,IL10,IL10,IL17A,IL2,CASP10,IL10,ESRRA,IL17A,IL17A,NFKB1,IFNG,IL6,CCL2,CASP10,IFNG,IL10,SPINK13,PRKAR2A,IL17A,IL10,IL6,IL10,IFNG,IDH3A,TNF,IL17A,CALCR,TNF,IL18,TLR4,IL1B,IFNG,IL10,TNF,TNF,IL6,IL17A,IL17A,IL2,IFNG,IL17A,IL17A,IL17A,IFNG,IL10,MTHFR,IL10,ATP5MF-PTCD1,IFNG,NDUFS1,IL10,IL17A,TLR4,IL10,IFNG,IL10,IL1A,IL17A,REL,IL17A,CD19,GSTCD-AS1,IFNG
IRF3,IL18,IL17A,CD9,IL18,IFNG,ACOX3,IL10,NFKB1,CD27,IL2,IL18,TFPI,IFNA1,NDUFA7,IL10,IFNA1,CCL2,TLR4,IL10,IL2,IL10,IL17A,IL18,TLR4,IL2,IL10,IL18,IL10,NDUFA7,IL2,IFNGR1,IL17A,IL17F,NFKB1,NFKB1,CXCL10,IL17A,IL2,IL17F,IL4,TFPI,IL17A,APP,IFNG,IL2,STAT1,TLR4,TLR4,CD69,CFLAR,IL10,TGFB1,SYNJ2BP-COX16,PRKAR1A,IL18,TLR4,IL1B,IL17A,TLR4,PDHB,TGFB1,IL18,CASP10,TGFB1,TNF,IL10,IL10,TLR4,IL12A,TGFB1,IL1B,IL10,IL2,IL1B,IL1B,TGFB1,IFNG,IL2,IL18,STAT1,IL2,VDR,IL17A,IL17RB,IL2,COX7A2,IL2,IFNG,TLR3,IFNG,TGFB1,IL2,IL12B,IL4,NFKBIA,IFNG,CD3E,GCATP1,TLR4
IRF7,IFNG,IL4,CD4,IL2,IL10,PRKAR1A,IL2,IL2,IL7R,IL4,IFNG,IL1B,IFNB1,NDUFA8,IL12A,IFNB1,NFKB1,STAT1,IL17A,IL4,TNF,IL2,IFNG,TLR3,IL4,IL17A,IFNG,IFNG,NDUFA8,IL4,TNFRSF1B,IL4,IL23A,IFNG,STAT1,CCL2,IL2,IL4,IL18,IL17A,CD274,IL2,CD74,IFNA1,IL4,IRF3,STAT1,TLR7,SOD2,BAD,TLR4,CCL2,STAG3L5P-PVRIG2P-PILRB,PRKACB,IL2,TLR3,NFKB1,IL18,CD14,IDH2,IL17A,IL2,CFLAR,CCL2,TNFRSF1A,IFNG,IFNG,TLR3,IL12B,IL17A,IL6,IL17A,IL4,IL6,TNF,NFKB1,TGFB1,IL4,IL2,JAK2,IL4,PTGS2,IL2,IL10RA,IL4,SDHA,IL4,TGFB1,NFKB1,TLR4,NFKB1,IL4,IL10,IL2,TNF,CXCL10,CD3D,SYNJ2BP-COX16,STAT1
TLR4,TGFB1,IL13,CD22,IL4,TLR2,PRKAR2A,IL4,PPARGC1A,CD28,IL6,IFNA1,IL6,IL2,NDUFA9,IL12B,NFKB1,TLR4,IL10,IL23A,IL17A,CD4,IL4,CD38,TLR7,CXCL8,IFNG,IFNA1,IFNA1,NDUFA9,CXCL8,TNFRSF17,IL2,IFNG,IL17A,IRF7,CCL5,IL4,IL17A,IL1RN,IFNG,PDCD1,IL4,CCL4,IFNB1,CXCL8,IL6,IRF3,TLR9,IL17A,TNF,STAT1,CCL5,IFNGR1,IL1B,IL4,TLR7,TLR4,IL4,HLA-DRB1,TRPM3,IL2,IL4,NDUFAB1,CCL5,IFNG,IL17A,STAT1,STAT1,IL17A,IL4,IL10,IL18,CXCL10,IL10,IL6,NFKB2,IL2,IFNG,IL4,TLR4,IL17A,NOS2,IL4,IL17A,CXCL8,UQCRC1,IL8,CCL2,STAT1,TLR7,TLR4,IL17A,IL4,IFNG,TNFRSF1A,CCL2,CD3G,CYCSP38,IRF3
TLR9,CCL2,IL2,CD6,IL5,STAT1,ACOXL,IL12A,SOD2,CD244,TNF,IFNB1,TNF,IL4,NDUFA10,IL17A,NFKB2,TLR3,CD4,IFNG,NFKB1,NDUFS1,TLR4,TLR4,TLR9,IFNG,TGFB1,IFNB1,IFNB1,NDUFA10,CCL2,TNFRSF9,CXCL8,IFNA1,STAT1,HLA-DRB1,TLR4,CXCL10,IL12A,IL2,IFNA1,CTLA4,CXCL10,CXCR4,TLR3,IFNG,IL10,IL10,IFNG,STAT1,IFNG,IRF3,CXCL10,IFNGR2,IL6,IFNG,TLR9,TLR3,IL5,HLA-DQB1,ITPR3,IL4,IFNG,PDK4,CXCL10,IFNA1,IL2,STAT3,IRF3,IL18,IL2,IL17A,IFNG,CCL2,TLR4,IL4,RELA,IL4,IFNA1,CXCL8,NLRP3,CCL2,NOS3,IFNA1,IL17F,CCL2,MT-CO1,CXCL10,CCL5,IRF3,CD4,CD38,TGFB1,TGFB1,TGFB1,TNFRSF1B,CCL5,CD69,PRKAR2B,CXCL10
IL1B,CCL3,CXCL10,IL20RA,IL12A,IL2,ACOX1,IL17A,PRKAA1,CD164,TGFB1,NFKB1,IFNG,IL17A,NDUFB1,IL18,TLR4,TLR7,CD8A,IFNA1,NFKB2,NRF1,TLR2,NFKB1,NFKB1,IFNA1,CD4,TLR3,TLR4,NDUFAB1,CCL5,IL17RB,CCL2,IFNB1,IL1B,CD38,NFKB1,CCL2,IL12B,IL4,IFNB1,LAG3,CCL2,CSF2,TLR4,IFNA1,TLR4,CXCL10,IL10,IL1B,IL1B,IRF7,NFKB1,UQCRH,IL10,IFNA1,NFKB1,IRF7,IL13,HLA-DPA1,CYP2D6,CXCL10,IFNA1,AK2,CD4,IFNB1,CXCL10,IRF3,IRF7,IFNG,CD8A,IL2,IFNA1,CCL5,TLR3,IL10,TLR4,IL5,IFNB1,IFNG,IL18,CCL5,TLR4,IFNA2,IL17C,CCL5,MT-ND1,CCL2,CXCL10,IRF7,CD8A,CD8A,CCL2,CSF2,CCL2,IL1B,NFKB1,TNF,PRKACA,CCL2
