seed_1_all,seed_2_all,seed_3_all,seed_4_all,seed_5_all,seed_6_all,seed_7_all,seed_8_all,seed_9_all,seed_10_all,seed_11_all,seed_12_all,seed_13_all,seed_14_all,seed_15_all,seed_16_all,seed_17_all,seed_18_all,seed_19_all,seed_20_all,seed_21_all,seed_22_all,seed_23_all,seed_24_all,seed_25_all,seed_26_all,seed_27_all,seed_28_all,seed_29_all,seed_30_all,seed_31_all,seed_32_all,seed_33_all,seed_34_all,seed_35_all,seed_36_all,seed_37_all,seed_38_all,seed_39_all,seed_40_all,seed_41_all,seed_42_all,seed_43_all,seed_44_all,seed_45_all,seed_46_all,seed_47_all,seed_48_all,seed_49_all,seed_50_all,seed_51_all,seed_52_all,seed_53_all,seed_54_all,seed_55_all,seed_56_all,seed_57_all,seed_58_all,seed_59_all,seed_60_all,seed_61_all,seed_62_all,seed_63_all,seed_64_all,seed_65_all,seed_66_all,seed_67_all,seed_68_all,seed_69_all,seed_70_all,seed_71_all,seed_72_all,seed_73_all,seed_74_all,seed_75_all,seed_76_all,seed_77_all,seed_78_all,seed_79_all,seed_80_all,seed_81_all,seed_82_all,seed_83_all,seed_84_all,seed_85_all,seed_86_all,seed_87_all,seed_88_all,seed_89_all,seed_90_all,seed_91_all,seed_92_all,seed_93_all,seed_94_all,seed_95_all,seed_96_all,seed_97_all,seed_98_all,seed_99_all,seed_100_all
NTT,DPM1,MATR3,LTF,IFNG,DPM1,NBPF1,DPM1,S100PBP,ARID1B,DPM1,TPH2,DPM1,IL1B,SLC25A15,RPS4Y1,S100PBP,AKAP1,S100PBP,DPM1,MATR3,NFKBIA,DPM1,MATR3,DPM1,IL1B,ACE,DPM1,CREB1,IGHV3-30,MATR3,DPM1,C14orf37,IL1B,DPM1,PER2,ABCD4,DPM1,RP11-34P13.7,DPM1,SLC25A15,GRIK2,ESRRA,DPM1,ACAT1,ACE,DPM1,CCL5,FGR,RP11-34P13.7,S100PBP,CYP2D6,AC005258.1,CFH,PIK3CD,PIK3R5,ACADL,DPM1,DPM1,DPM1,DPM1,ZNF516,DPM1,AADACL4,PIK3CA,MPO,SEC24A,ACE,DPM1,RP11-521O16.3,ZNF831,SLC25A15,IRF1,PIK3CA,MATR3,RPAP3,VEGFA,DPM1,RPS4Y1,STAT1,DPM1,DPM1,DPM1,DPM1,A2M,RPS2,SLC25A15,DPM1,CREB1,DPM1,AAR2,DPM1,VARS2,DPM1,MIR16-2,CREBBP,FGR,RPS4Y1,MATR3,ABCA1
MIAT,SCYL3,Y_RNA,DEFA1,STAT1,SCYL3,NBPF10,SCYL3,ATP9A,ASH1L,SCYL3,UNC79,SCYL3,IL12A,NOS3,XIST,ATP9A,ATP9A,ATP9A,SCYL3,Y_RNA,TNFAIP3,SCYL3,Y_RNA,SCYL3,CXCL8,ADAMTS19,SCYL3,BDNF,TPPP,Y_RNA,SCYL3,CYP2D6,CCL2,SCYL3,NR1D1,ACTR3,SCYL3,RPS27,SCYL3,EBF3,NPAS2,APP,SCYL3,ACLY,ADAMTS19,SCYL3,CXCL10,CFH,GABRG3,ATP9A,PRRT4,AC012313.1,FGR,AKT1,PIK3R1,ADAMTS19,SCYL3,SCYL3,SCYL3,SCYL3,ZNF814,SCYL3,ABCA1,MAX,CAMP,UQCRC1,ADAMTS19,SCYL3,RP11-473E2.3,ORC2,MTHFR,STAT1,MAX,Y_RNA,POLR2A,EGF,SCYL3,EIF1AY,IRF7,SCYL3,SCYL3,SCYL3,SCYL3,ABCA1,RPS3,NOS3,SCYL3,BDNF,SCYL3,ABCB10,SCYL3,TXNRD1,SCYL3,TRIM71,CXCR4,CFH,XIST,Y_RNA,ABCA7
EmX2OS,C1orf112,Y_RNA,CLC,IL6,C1orf112,ATR,C1orf112,KCNB1,ASXL3,C1orf112,VARS2,C1orf112,IL12B,SMPD1,RPS4Y2,KCNB1,CDON,KCNB1,C1orf112,SNORA70,NLGN1,C1orf112,Y_RNA,C1orf112,CYP2D6,AKR1C1,C1orf112,NRG1,PDCD1,Y_RNA,C1orf112,PRRT4,TLR2,C1orf112,NR1D2,AKAP10,C1orf112,RPL31,C1orf112,NOS3,HLA-DRB1,CD74,C1orf112,ACO2,ADRB2,C1orf112,IDO1,DPM1,TRIM3,KCNB1,PRSS56,AC092171.5,DPM1,PIK3R1,PIK3CA,ANKDD1B,C1orf112,C1orf112,C1orf112,C1orf112,ZNF728,C1orf112,ABCB1,HLA-C,CEACAM8,MASP2,ANKDD1B,C1orf112,RP11-680G24.6,STIM1,GRIK2,OAS1,HLA-C,Y_RNA,ZNF592,FGF2,C1orf112,DDX3Y,IRF9,C1orf112,C1orf112,C1orf112,C1orf112,ABCB1,RPL3,SMPD1,C1orf112,NRF2,C1orf112,ABCB7,C1orf112,TLR4,C1orf112,LINC00518,EBI2,FCGR3A,KDM5D,Y_RNA,ACADVL
CR933609,FGR,SNORA70,HBG1,TNF,FGR,RSPH10B,FGR,CLOCK,CACNA1H,FGR,AKR1C1,FGR,IL21,MTHFR,EIF1AY,CLOCK,CLOCK,CLOCK,FGR,Vault,NRXN1,FGR,Y_RNA,FGR,PRRT4,AKR1C2,FGR,DISC1,ADRB2,SNORA70,FGR,PRSS56,STAT1,FGR,ID1,ANAPC11,FGR,RPL3,FGR,AKR1C1,HLA-DQA1,HAVCR2,FGR,ACOT7,AKAP1,FGR,IFNG,SCYL3,ZNF292,CLOCK,C14orf37,AC104820.2,SCYL3,PTEN,PIK3CB,BRCA1,FGR,FGR,FGR,FGR,ZNF525,FGR,ABCB4,ACE,OLFM4,ZMYND10,C14orf37,FGR,TCF7L1-IT1,PIK3R1,NPAS2,MX1,ACE,Y_RNA,TCOF1,IGF1,FGR,CD24,OAS1,FGR,FGR,FGR,FGR,ABCB4,RPL4,CYP2D6,FGR,FOXO1,FGR,ABCF3,FGR,TEX14,FGR,TMEM121,EGR1,NCF4,EIF1AY,Y_RNA,ACOX1
His-RNA,CFH,Y_RNA,CEACAM8,IL1B,CFH,ADGRE5,CFH,SLC15A4,CHD8,CFH,AKR1C2,CFH,CXCL13,CYP2D6,KDM5D,SLC15A4,GPC5,SLC15A4,CFH,SNORA63,TPPP,CFH,Y_RNA,CFH,PRSS56,ANKDD1B,CFH,CACNA1C,CHRM4,Y_RNA,CFH,ANKDD1B,IFIH1,CFH,CRISPLD2,ANAPC5,CFH,RPL11,CFH,AKR1C2,CFTR,NTT,CFH,ADAMTS19,ANKDD1B,CFH,IL1B,C1orf112,PCSK2,SLC15A4,ANKDD1B,ADGRB2,C1orf112,MTOR,PIK3CD,CD8A,CFH,CFH,CFH,CFH,SP1,CFH,ABCG1,NLGN1,LTF,E2F3,COX7B2,CFH,BRF2,CACNA1C,TPPP,IFIT1,NME1,Y_RNA,SMG1,BDNF,CFH,CXCR2,OAS2,CFH,CFH,CFH,CFH,ABCC1,RPL7,PRRT4,CFH,SIRT1,CFH,ACAD9,CFH,STK17B,CFH,CD24,ETS1,DPM1,RPS2,Y_RNA,ADAMTS3
AK124742,FUCA2,SNORA70,ITGA2B,IRF7,FUCA2,NTRK2,FUCA2,TMEM232,CREBBP,FUCA2,AKR1C3,FUCA2,TGFB1,PRRT4,DDX3Y,TMEM232,INSR,TMEM232,FUCA2,SNORA62,IFNG,FUCA2,SNORA70,FUCA2,ANKDD1B,ARHC,FUCA2,ANK3,CHRM3,SNORA70,FUCA2,GPBAR1,PLA2G4A,FUCA2,CD177,APP,FUCA2,MT-RNR2,FUCA2,SMPD1,COX10,MIAT,FUCA2,ADCYAP1,ATP9A,FUCA2,IL6,FUCA2,ZBTB20,TMEM232,GPBAR1,ADGRL2,ICAM1,NFKB1,PIK3CG,CFTR,FUCA2,FUCA2,FUCA2,FUCA2,ZNF844,FUCA2,ABHD17B,S100PBP,ARG1,CACNA1G,CPLX2,FUCA2,PJA2,RYR2,HLA-C,CXCL10,NME2,SNORA70,GTF2H2,GDNF,FUCA2,KLRB1,OAS3,FUCA2,FUCA2,FUCA2,FUCA2,ABCC2,RPL6,PRSS56,FUCA2,AMPK,FUCA2,ACADVL,FUCA2,RPS6KA2,FUCA2,HLA-E,GABPA,SCYL3,RPS3,SNORA70,ADGRB3
GNAS-AS1,GCLC,Vault,HBG2,NFKB1,GCLC,PTPRD,GCLC,GPC5,CTCF,GCLC,AKR1C4,GCLC,NFKB1,PRSS56,LINC00278,GPC5-AS1,KCNB1,GPC5,GCLC,SNORD33,IRF1,GCLC,Y_RNA,GCLC,GPBAR1,ATP5J2,GCLC,GRIN2A,SLC25A15,Vault,GCLC,LHB,CYP2D6,GCLC,CXCL1,ARL4C,GCLC,RPS24,GCLC,TP53,BRCA1,EMX2OS,GCLC,ADORA2A,C14orf37,GCLC,TNF,GCLC,PCDHGA10,GPC5,LHB,AGBL1,CD38,RELA,AKT1,COX10,GCLC,GCLC,GCLC,GCLC,ZNF595,GCLC,ABL1,ATP9A,DEFA5,DNAJC4,CYP2D6,GCLC,RP11-112N19.1,ADCY9,CYP2D6,IL6,NME3,Y_RNA,XAB2,FGF1,GCLC,SELL,MX1,GCLC,GCLC,GCLC,GCLC,ABCC3,RPL5,ANKDD1B,GCLC,MTOR,GCLC,ACSL3,GCLC,RBM25,GCLC,HLA-F,HIF1A,C1orf112,RPL3,Y_RNA,ADGRE5
TUG1,NFYA,Y_RNA,DEFA4,TGFB1,NFYA,CSMD3,NFYA,PHACTR2,CUL3,NFYA,ALDH18A1,NFYA,ESRRA,ANKDD1B,ZFY,GPC5,NLGN1,PHACTR2,NFYA,SNORD63,MAP2K3,NDUFAF7,SNORA70,NFYA,LHB,C14orf37,NFYA,TP53,NOS3,Y_RNA,NFYA,ADAMTS19,PRRT4,NFYA,NAMPT,ARPC5,NFYA,RPS29,NFYA,CYP2D6,IKZF2,JAK1,NFYA,AGER,CDON,NFYA,TGFB1,NFATC2,FAM177A1,PHACTR2,ADAMTS19,AKAP13,HLA-DRA,TNF,AKT2,COX7B2,NFYA,NFYA,NDUFAF7,NFYA,MYC,NFYA,ACAA1,KCNB1,RETN,MYH13,EBF3,NFYA,ENSG10010138905.1,PLCB1,PRRT4,TNF,ZC3H13,SNORA70,DDX23,PDGFA,NFYA,FCGR3B,MX2,NFYA,NFYA,NFYA,NFYA,ABCC4,RPS4X,GPBAR1,NFYA,PI3K,NFYA,ACSL5,NFYA,RAD51C,NFYA,GNLY,IL6R,LYN,RPL11,SNORA70,AGAP2
NEAT1,STPG1,SNORA63,ITGB3,BDNF,STX4,RAPGEF5,STPG1,AKAP1,DDX3X,STPG1,ANKDD1B,STPG1,TPPP,GPBAR1,USP9Y,GPC5-IT1,PHACTR2,AKAP1,STPG1,SNORA74,MAP2K6,OSBPL7,Vault,STPG1,ADAMTS19,CD8A,STPG1,TNF,SMPD1,SNORA63,STPG1,VARS2,PRSS56,STPG1,ID3,ARSD,STPG1,RPL39,STPG1,PRRT4,ATP9A,SMAD3,STPG1,AKAP13,CFTR,STPG1,STAT1,STK11,KCNG1,AKAP1,VARS2,ANK2,STAT1,IL6,AKT3,CPLX2,STPG1,STPG1,STPG1,STPG1,MAX,STPG1,ACAT1,CLOCK,CRISP3,ETV7,GPBAR1,STPG1,RP4-620E11.5,ITPR1,PRSS56,IL1B,CAMK2A,Vault,HSP90AB1,HGF,STPG1,CEACAM8,IFIT1,STPG1,STPG1,STPG1,STPG1,ABCC5,RPS6,LHB,STPG1,AKT1,STPG1,ADGRB2,STPG1,RAD51,STPG1,GZMH,IL7R,RIN3,RPL31,Vault,AHR
MALAT1,NIPAL3,SNORA62,CXCR4,COMT,RPL37A,DCC,NIPAL3,USP6NL,DNMT3A,NIPAL3,APP,NIPAL3,RIN3,LHB,UTY,GPC5-AS2,S100PBP,USP6NL,NIPAL3,SNORD27,MAPK14,ING1,SNORA63,NIPAL3,VARS2,COX5B,NIPAL3,IL6,CYP2D6,SNORA62,NIPAL3,CPLX2,ANKDD1B,NIPAL3,FOS,ATP6V1C1,NIPAL3,RPL13A,NIPAL3,PRSS56,CDON,LMX1A,NIPAL3,ALAS1,CHRM3,NIPAL3,NFKB1,TRIM21,CACNA1E,USP6NL,CPLX2,ANKRD11,IL-1B,IL1B,MTOR,CXCL8,NIPAL3,NIPAL3,NIPAL3,NIPAL3,ZNF780B,NIPAL3,ACE,SLC15A4,LCN2,UTP25,GRIK2,NIPAL3,RP11-711M9.2,CAMK2A,ANKDD1B,TGFB1,SNTB1,SNORA63,POLR2B,TGFB1,NIPAL3,GPR84,IFIT2,NIPAL3,NIPAL3,NIPAL3,NIPAL3,ABCC6,RPL8,ADAMTS19,NIPAL3,MAPK1,NIPAL3,ADGRE2,NIPAL3,PRSS56,NIPAL3,GZMB,JAK1,TNFRSF1A,RPL13,SNORA63,AKAP13
