seed_1_all,seed_2_all,seed_3_all,seed_4_all,seed_5_all,seed_6_all,seed_7_all,seed_8_all,seed_9_all,seed_10_all,seed_11_all,seed_12_all,seed_13_all,seed_14_all,seed_15_all,seed_16_all,seed_17_all,seed_18_all,seed_19_all,seed_20_all,seed_21_all,seed_22_all,seed_23_all,seed_24_all,seed_25_all,seed_26_all,seed_27_all,seed_28_all,seed_29_all,seed_30_all,seed_31_all,seed_32_all,seed_33_all,seed_34_all,seed_35_all,seed_36_all,seed_37_all,seed_38_all,seed_39_all,seed_40_all,seed_41_all,seed_42_all,seed_43_all,seed_44_all,seed_45_all,seed_46_all,seed_47_all,seed_48_all,seed_49_all,seed_50_all,seed_51_all,seed_52_all,seed_53_all,seed_54_all,seed_55_all,seed_56_all,seed_57_all,seed_58_all,seed_59_all,seed_60_all,seed_61_all,seed_62_all,seed_63_all,seed_64_all,seed_65_all,seed_66_all,seed_67_all,seed_68_all,seed_69_all,seed_70_all,seed_71_all,seed_72_all,seed_73_all,seed_74_all,seed_75_all,seed_76_all,seed_77_all,seed_78_all,seed_79_all,seed_80_all,seed_81_all,seed_82_all,seed_83_all,seed_84_all,seed_85_all,seed_86_all,seed_87_all,seed_88_all,seed_89_all,seed_90_all,seed_91_all,seed_92_all,seed_93_all,seed_94_all,seed_95_all,seed_96_all,seed_97_all,seed_98_all,seed_99_all,seed_100_all
DPM1,MIR4538,DPM1,MIR4538,DPM1,DPM1,5S_rRNA,DPM1,DPM1,MIR4538,DPM1,TPT1P1,MIR4538,DPM1,RP11-413H22.3,ZNF826P,RP5-1166H10.4,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,MIR4538,DPM1,DPM1,GS1-273L24.6,MIR4538,DPM1,DPM1,DPM1,ENSG10010139745.1,RP5-1166H10.4,5S_rRNA,DPM1,MIR4538,DPM1,DPM1,RP11-293K19.1,DPM1,MIR4538,NDUFB8,DPM1,MIR4538,DPM1,DPM1,5S_rRNA,MIR4538,DPM1,CTA-204B4.2,DPM1,DPM1,MIR4538,MIR4538,DPM1,DPM1,RYR3,MIR4538,DPM1,AC104984.4,MIR4538,DPM1,DPM1,AC104984.4,TPT1P1,DPM1,MIR4538,DPM1,DPM1,DPM1,DPM1,MIR4538,MIR4538,DPM1,DPM1,MIR4538,DPM1,DPM1,MIR4538,DPM1,DPM1,MIR4538,RYR3,DPM1,DPM1,DPM1,DPM1,MIR4538,MIR4538,DPM1,DPM1,RP11-289I10.2,DPM1,DPM1,DPM1,MIR4538
SCYL3,RP11-119F7.6,SCYL3,RP11-119F7.6,SCYL3,SCYL3,5_8S_rRNA,SCYL3,SCYL3,RP11-119F7.6,SCYL3,RP11-626I20.2,RP11-119F7.6,SCYL3,RP13-546I2.2,CYFIP1,TLX1NB,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,RP11-119F7.6,SCYL3,SCYL3,REEP5,RP11-119F7.6,SCYL3,SCYL3,SCYL3,CLDN7,TLX1NB,5_8S_rRNA,SCYL3,RP11-119F7.6,SCYL3,SCYL3,ANGPT4,SCYL3,RP11-119F7.6,COX7C,SCYL3,RP11-119F7.6,SCYL3,SCYL3,5S_rRNA,RP11-119F7.6,SCYL3,IL21,SCYL3,SCYL3,RP11-119F7.6,RP11-119F7.6,SCYL3,SCYL3,MIR6835,RP11-119F7.6,SCYL3,SNORD14A,RP11-119F7.6,SCYL3,SCYL3,SNORD14A,RP11-626I20.2,SCYL3,RP11-119F7.6,SCYL3,SCYL3,SCYL3,SCYL3,RP11-119F7.6,RP11-119F7.6,SCYL3,SCYL3,RP11-119F7.6,SCYL3,SCYL3,RP11-119F7.6,SCYL3,SCYL3,RP11-119F7.6,MIR6835,SCYL3,SCYL3,SCYL3,SCYL3,RP11-119F7.6,RP11-119F7.6,SCYL3,SCYL3,RBM24,SCYL3,SCYL3,SCYL3,RP11-119F7.6
C1orf112,TCL6,C1orf112,TCL6,C1orf112,C1orf112,7SK,C1orf112,C1orf112,TCL6,C1orf112,MTREX,TCL6,C1orf112,RP11-553N16.6,B3GALT6,AC073094.4,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,TCL6,C1orf112,C1orf112,ENSG10010137846.1,TCL6,C1orf112,C1orf112,C1orf112,WDR20,AC073094.4,7SK,C1orf112,TCL6,C1orf112,C1orf112,DDB2,C1orf112,TCL6,RPL3,C1orf112,TCL6,C1orf112,C1orf112,5S_rRNA,TCL6,C1orf112,AURKA,C1orf112,C1orf112,TCL6,TCL6,C1orf112,C1orf112,SLC17A9,TCL6,C1orf112,TCL6,TCL6,C1orf112,C1orf112,TCL6,MTREX,C1orf112,TCL6,C1orf112,C1orf112,C1orf112,C1orf112,TCL6,TCL6,C1orf112,C1orf112,TCL6,C1orf112,C1orf112,TCL6,C1orf112,C1orf112,TCL6,SLC17A9,C1orf112,C1orf112,C1orf112,C1orf112,TCL6,TCL6,C1orf112,C1orf112,ANAPC13,C1orf112,C1orf112,C1orf112,TCL6
FGR,RP11-301G23.1,FGR,RP11-301G23.1,FGR,FGR,A1BG,FGR,FGR,RP11-301G23.1,FGR,METTL4,RP11-301G23.1,FGR,F8A1,SLC45A1,IQSEC3,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,RP11-301G23.1,FGR,FGR,AC009237.11,RP11-301G23.1,FGR,FGR,FGR,ATP6V0C,IQSEC3,A1BG,FGR,RP11-301G23.1,FGR,FGR,AC007091.1,FGR,RP11-301G23.1,ATP5F1A,FGR,RP11-301G23.1,FGR,FGR,5S_rRNA,RP11-301G23.1,FGR,MIR6792,FGR,FGR,RP11-301G23.1,RP11-301G23.1,FGR,FGR,RSU1P3,RP11-301G23.1,FGR,GPX1P2,RP11-301G23.1,FGR,FGR,GPX1P2,METTL4,FGR,RP11-301G23.1,FGR,FGR,FGR,FGR,RP11-301G23.1,RP11-301G23.1,FGR,FGR,RP11-301G23.1,FGR,FGR,RP11-301G23.1,FGR,FGR,RP11-301G23.1,RSU1P3,FGR,FGR,FGR,FGR,RP11-301G23.1,RP11-301G23.1,FGR,FGR,CCDC51,FGR,FGR,FGR,RP11-301G23.1
CFH,NPM1P20,CFH,NPM1P20,CFH,CFH,A1BG-AS1,CFH,CFH,NPM1P20,CFH,RP11-68O1.1,NPM1P20,CFH,RP5-973N23.5,Y_RNA,LINC01975,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,CFH,NPM1P20,CFH,CFH,RP11-784D7.1,NPM1P20,CFH,CFH,CFH,RNA5SP443,LINC01975,A1BG-AS1,CFH,NPM1P20,CFH,CFH,LCN1,CFH,NPM1P20,RPS13,CFH,NPM1P20,CFH,CFH,5S_rRNA,NPM1P20,CFH,Y_RNA,CFH,CFH,NPM1P20,NPM1P20,CFH,CFH,CTD-2308N23.4,NPM1P20,CFH,RP11-588K22.2,NPM1P20,CFH,CFH,RP11-588K22.2,RP11-68O1.1,CFH,NPM1P20,CFH,CFH,CFH,CFH,NPM1P20,NPM1P20,CFH,CFH,NPM1P20,CFH,CFH,NPM1P20,CFH,CFH,NPM1P20,CTD-2308N23.4,CFH,CFH,CFH,CFH,NPM1P20,NPM1P20,CFH,CFH,PIGL,CFH,CFH,CFH,NPM1P20
FUCA2,FAM216A,FUCA2,KCNK3,FUCA2,FUCA2,A1CF,FUCA2,FUCA2,FAM216A,FUCA2,RP4-604G5.5,FAM216A,FUCA2,C22orf34,DCTN1-AS1,AL049758.2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,Z98885.1,FUCA2,FUCA2,MSLN,FAM216A,FUCA2,FUCA2,FUCA2,RP11-44D5.1,AL049758.2,A1CF,FUCA2,FAM216A,FUCA2,FUCA2,FAM166C,FUCA2,CH507-513H4.3,RPL7,FUCA2,FAM216A,FUCA2,KLF6,5S_rRNA,CD27-AS1,FUCA2,RNU1-75P,FUCA2,FUCA2,RP11-352D13.6,FAM216A,FUCA2,FUCA2,RP11-386G21.2,FAM216A,FUCA2,RNU6-1062P,FAM216A,FUCA2,FUCA2,RNU6-1062P,RP4-604G5.5,FUCA2,FAM216A,FUCA2,FUCA2,FUCA2,FUCA2,FAM216A,FAM216A,FUCA2,FUCA2,FAM216A,FUCA2,FUCA2,FAM216A,FUCA2,FUCA2,FAM216A,RP11-386G21.2,FUCA2,FUCA2,FUCA2,FUCA2,FAM216A,FAM216A,FUCA2,FUCA2,ELOBP4,FUCA2,FUCA2,FUCA2,FAM216A
GCLC,RP11-218M11.7,GCLC,BCL2A1,GCLC,GCLC,A2M,GCLC,GCLC,RP11-218M11.7,GCLC,MTND1P17,RP11-218M11.7,GCLC,RP11-525K10.1,RP11-139I14.2,AC002383.2,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,FAM138F,GCLC,GCLC,RP11-8P13.6,RP11-218M11.7,GCLC,GCLC,GCLC,RNU1-75P,AC002383.2,A2M,GCLC,RP11-218M11.7,GCLC,GCLC,NPAP1P7,GCLC,AP003774.2,NDUFA6,GCLC,RP11-218M11.7,GCLC,NUDT19,5S_rRNA,RNU6-254P,GCLC,FAM43B,GCLC,GCLC,LOC100506688,RP11-218M11.7,GCLC,GCLC,RP11-163O19.1,RP11-218M11.7,GCLC,RP11-380J14.4,RP11-218M11.7,GCLC,GCLC,RP11-380J14.4,MTND1P17,GCLC,RP11-218M11.7,GCLC,GCLC,GCLC,GCLC,RP11-218M11.7,RP11-218M11.7,GCLC,GCLC,RP11-218M11.7,GCLC,GCLC,RP11-218M11.7,GCLC,GCLC,RP11-218M11.7,RP11-163O19.1,GCLC,GCLC,GCLC,GCLC,RP11-218M11.7,RP11-218M11.7,GCLC,GCLC,KARS1P3,GCLC,GCLC,GCLC,RP11-218M11.7
NFYA,IFNL3P1,NFYA,TRIM64B,NFYA,NFYA,A2M-AS1,NFYA,NFYA,IFNL3P1,NFYA,RN7SL40P,IFNL3P1,NFYA,CTD-2540I7.4,RP11-697E2.10,GPX2,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,TRBJ2-3,NFYA,NFYA,RP11-133F8.2,IFNL3P1,NFYA,NFYA,NFYA,RP11-175E9.1,GPX2,A2M-AS1,NFYA,IFNL3P1,NFYA,NFYA,DAZAP2,NFYA,RPSAP9,UQCRC1,NFYA,IFNL3P1,NFYA,DSG2,5S_rRNA,CTD-2006K23.2,NFYA,SCN3A,NFYA,NFYA,SNORD14C,IFNL3P1,NFYA,NFYA,LOXL1,IFNL3P1,NFYA,RP11-378I6.2,IFNL3P1,NFYA,NFYA,RP11-378I6.2,RN7SL40P,NFYA,IFNL3P1,NFYA,NFYA,NFYA,NFYA,IFNL3P1,IFNL3P1,NFYA,NFYA,IFNL3P1,NFYA,NFYA,IFNL3P1,NFYA,NFYA,IFNL3P1,LOXL1,NFYA,NFYA,NFYA,NFYA,IFNL3P1,IFNL3P1,NFYA,NFYA,RNU6-314P,NFYA,NFYA,NFYA,IFNL3P1
STPG1,FOXD4L4,STPG1,HNRNPA1P69,STPG1,STPG1,A2ML1,STPG1,STMN1,FOXD4L4,STPG1,LINC02205,FOXD4L4,STPG1,CTD-2066L21.3,RP4-587D13.1,TRAV41,STPG1,STPG1,STPG1,STPG1,STPG1,STPG1,STPG1,STPG1,STPG1,STPG1,OR4K1,STPG1,STPG1,MUC19,FOXD4L4,STPG1,STPG1,STPG1,RP11-347C12.8,TRAV41,A2ML1,STPG1,FOXD4L4,STPG1,STPG1,RNA5SP123,STPG1,MIR6503,COX5A,STPG1,FOXD4L4,STPG1,PLOD1,5S_rRNA,PRB1,STPG1,RP11-422P24.10,STPG1,STPG1,MIR6087,FOXD4L4,STPG1,STPG1,RP4-705F19.1,FOXD4L4,STPG1,FOXD4L4,FOXD4L4,STPG1,STPG1,FOXD4L4,LINC02205,STPG1,FOXD4L4,STPG1,STPG1,STPG1,STPG1,FOXD4L4,FOXD4L4,STPG1,STPG1,FOXD4L4,STPG1,STPG1,FOXD4L4,STPG1,STPG1,FOXD4L4,RP4-705F19.1,STPG1,STPG1,STPG1,STPG1,FOXD4L4,FOXD4L4,STPG1,STPG1,AC005703.2,STPG1,STPG1,STPG1,FOXD4L4
NIPAL3,RP11-466H18.1,NIPAL3,RP11-59F13.2,NIPAL3,NIPAL3,A2ML1-AS1,NIPAL3,NIPAL3,RP11-466H18.1,NIPAL3,RP11-629P16.1,RP11-466H18.1,NIPAL3,AC107884.2,RP11-159H10.1,IL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,RP11-399J13.2,NIPAL3,NIPAL3,RP1-71H19.2,RP11-466H18.1,NIPAL3,NIPAL3,NIPAL3,RP11-644A7.3,IL3,A2ML1-AS1,NIPAL3,RP11-466H18.1,NIPAL3,NIPAL3,UGP2,NIPAL3,GAGE8,SDHB,NIPAL3,RP11-466H18.1,NIPAL3,TGFBR3,5S_rRNA,RP11-619P4.8,NIPAL3,RAB11FIP5,NIPAL3,NIPAL3,RP11-350N15.2,RP11-466H18.1,NIPAL3,NIPAL3,LINC01889,RP11-466H18.1,NIPAL3,MTND4P2,RP11-466H18.1,NIPAL3,NIPAL3,MTND4P2,RP11-629P16.1,NIPAL3,RP11-466H18.1,NIPAL3,NIPAL3,NIPAL3,NIPAL3,RP11-466H18.1,RP11-466H18.1,NIPAL3,NIPAL3,RP11-466H18.1,NIPAL3,NIPAL3,RP11-466H18.1,NIPAL3,NIPAL3,RP11-466H18.1,LINC01889,NIPAL3,NIPAL3,NIPAL3,NIPAL3,RP11-466H18.1,RP11-466H18.1,NIPAL3,NIPAL3,CEP170B,NIPAL3,NIPAL3,NIPAL3,RP11-466H18.1
