seed_1_all,seed_2_all,seed_3_all,seed_4_all,seed_5_all,seed_6_all,seed_7_all,seed_8_all,seed_9_all,seed_10_all,seed_11_all,seed_12_all,seed_13_all,seed_14_all,seed_15_all,seed_16_all,seed_17_all,seed_18_all,seed_19_all,seed_20_all,seed_21_all,seed_22_all,seed_23_all,seed_24_all,seed_25_all,seed_26_all,seed_27_all,seed_28_all,seed_29_all,seed_30_all,seed_31_all,seed_32_all,seed_33_all,seed_34_all,seed_35_all,seed_36_all,seed_37_all,seed_38_all,seed_39_all,seed_40_all,seed_41_all,seed_42_all,seed_43_all,seed_44_all,seed_45_all,seed_46_all,seed_47_all,seed_48_all,seed_49_all,seed_50_all,seed_51_all,seed_52_all,seed_53_all,seed_54_all,seed_55_all,seed_56_all,seed_57_all,seed_58_all,seed_59_all,seed_60_all,seed_61_all,seed_62_all,seed_63_all,seed_64_all,seed_65_all,seed_66_all,seed_67_all,seed_68_all,seed_69_all,seed_70_all,seed_71_all,seed_72_all,seed_73_all,seed_74_all,seed_75_all,seed_76_all,seed_77_all,seed_78_all,seed_79_all,seed_80_all,seed_81_all,seed_82_all,seed_83_all,seed_84_all,seed_85_all,seed_86_all,seed_87_all,seed_88_all,seed_89_all,seed_90_all,seed_91_all,seed_92_all,seed_93_all,seed_94_all,seed_95_all,seed_96_all,seed_97_all,seed_98_all,seed_99_all,seed_100_all
IL6,CD79A,MAPK4,IL6,IL6,MAPK4,IL6,MAPK4,IL6,IL1B,OGG1,S100PBP,CXCL8,CXCL8,DPM1,IL6,IL6,STAT1,LTF,IL6,STAT1,IL6,IFI27,ABCE1,CXCL8,IL6,IL1B,GZMA,IL1A,IL6,IL6,IL2RB,TNF,OAS1,SLC6A11,MAPK4,IL1B,DPM1,IL6,IL6,IL6,IFIT1,DPM1,GZMA,IL6,CXCL10,IL6,IL6,IFI44L,MIR21,IL6,IL6,ARL4C,IL6,ABCE1,MAPK4,IL6,IL2RB,IL1A,IL1A,TRPM3,IL6,IL6,IL6,IL6,DPM1,NR3C1,yR211F11.2,IL6,IL6,IL6,IL1B,IL6,TRPM3,MAPK4,IL1B,DPM1,ABCE1,IL6,MAPK4,CXCL8,CXCL8,MAPK4,IL6,DPM1,IL6,IL6,IL6,MAPK4,IFI27,NFKB1,OAS1,IL6,DPM1,IRF1,PPARA,IFI27,IL6,CXCL10,MAPK4
IL1B,TNFRSF13C,ARRB1,TNF,IL1B,ARRB1,IL1B,ARRB1,TNF,IL6,IL2RB,ATP9A,CXCL9,IL6,SCYL3,CXCL8,CXCL8,STAT3,DEFA1,TNF,IRF7,TNF,IFI44,ARRB1,IL6,IL1B,IL6,PSMA4,IL1B,TNF,TNF,CCR4,IFNG,OAS2,ATP9A,CCR4,IL6,SCYL3,TNF,TNF,CXCL10,IFIT2,SCYL3,STAT5A,CXCL8,CXCL9,IL1B,TNF,IFIT1,MIR34A,TNF,IL1B,CITED2,TNF,ADAM22,ARRB1,TNF,CCR4,IL1B,IL1B,IL6,TNF,IL1B,TNF,TNF,SCYL3,IL6,snoZ196,IL1B,TNF,TNF,IL1A,TNF,CXCL8,ARRB1,IL6,SCYL3,PHKA2,IL1B,ARRB1,IL6,IL6,ARRB1,TNF,SCYL3,TNF,TNF,TNF,ARRB1,IFI44,EGR1,OAS2,TNF,SCYL3,RELA,PPARGC1A,IFI44,IL1B,CXCL9,ARRB1
TNF,FLT3,GOLGA4,IFNG,CXCL8,GOLGA4,IL10,GOLGA4,IFNG,TNF,HLA-DQA1,KCNB1,CXCL10,TNF,C1orf112,TNF,TNF,IRF7,CXCR4,IL1B,ISG15,IL1B,IFI44L,IL2RB,IL1B,TNF,CXCL8,PSMA3,IL2,CXCL10,IFNG,HLA-DQA1,IL6,OAS3,SULF2,IL2RB,TNF,C1orf112,IL1B,IFNG,TNF,IFIT3,C1orf112,COX5B,TNF,CXCL12,TNF,IL1B,IFIT3,MIR92A1,IFNG,TNF,APP,IL1B,ARRB1,GOLGA4,IL1B,HLA-DQA1,IL2,IL2,TNF,IL1B,TNF,IFNG,IFNG,C1orf112,TNF,hsa-mir-423,TNF,IFNG,IFNG,IL6,IFNG,TNF,GOLGA4,TNF,C1orf112,IL2RB,TNF,GOLGA4,TNF,TNF,GOLGA4,IFNG,C1orf112,IL1B,IL1B,IFNG,GOLGA4,IFI44L,STAT1,OAS3,IL1B,C1orf112,KLF2,ESRRA,IFI44L,TNF,IL6,GOLGA4
IFNG,EBF1,ABCE1,IL1B,IL10,ABCE1,IL18,ABCE1,IL1B,IFNG,CCR4,CLOCK,CXCL11,IFNG,FGR,IFNG,IFNG,IRF1,ITGA2B,IFNG,MX1,IFNG,IFI6,CCR4,TNF,IFNG,IL10,COX5B,IL4,CXCL8,IL1B,MAPK4,IL1B,OASL,GPC5,HLA-DQA1,CXCL8,FGR,IFNG,IL1B,IL1B,IFI6,FGR,DBI,IL10,CXCL2,IFNG,IFNG,ISG15,MIR126,IL1B,IFNG,AKAP10,IFNG,BRAT1,ABCE1,IFNG,MAPK4,IL4,IL3,IFNG,IFNG,CXCL8,IL1B,IL1B,FGR,IFNG,hsa-mir-1253,IFNG,IL1B,IL1B,IL8,IL1B,IFNG,ABCE1,IL10,FGR,CCR4,IFNG,ABCE1,OAS1,OAS1,ABCE1,IL1B,FGR,IFNG,IFNG,IL1B,ABCE1,IFIT1,STAT3,OASL,IL2RB,FGR,FOS,HLA-DQA1,IFIT1,IL10,IL1B,ABCE1
CXCL8,CXCR5,PHKB,IL10,TNF,IL2RB,IL17A,IL2RB,IL10,IL10,MAPK4,SLC15A4,CCL2,TGFB1,CFH,IL1B,IL10,OAS1,ITGB3,IL10,OAS1,IL10,IFI16,HLA-DQA1,TGFB1,IL10,IL17A,DBI,IL6,IFNG,IL10,ABCE1,CXCL8,IFIT1,USP6NL,ARRB1,IL18,CFH,IL10,IL10,IFNG,IFI16,CFH,PSMA3,IFNG,CXCL5,CXCL8,IL10,MX1,MIR200C,CXCL8,IL10,ANAPC11,IL10,CCR4,IL2RB,IL10,ARRB1,IL5,IL4,CXCL10,CXCL8,CD8A,CXCL8,IL10,CFH,CXCL10,bP-2189O9.5,IL10,IL10,IL10,TNF,CXCL10,IL6,IL2RB,IFNG,CFH,HLA-DQA1,IL10,IL2RB,HSPA1A,HSPA1A,PHKA2,CXCL8,CFH,CXCL10,CXCL8,IL18,IL2RB,IFIT2,IRF7,MX1,IL10,CFH,ZBTB7A,HLA-DQB1,IFIT3,IFNG,TNF,IL2RB
IL10,IRF4,IL2RB,CXCL10,IFNG,CCR4,IFNG,CCR4,CXCL10,IL2,ARRB1,TMEM232,CCL5,IL10,FUCA2,IL10,IL1B,OAS3,OGG1,IL17A,IFIT1,IL17A,IFIT1,MAPK4,IFNG,IL17A,IL12B,HINT1,IL10,IL1B,CXCL8,ARRB1,CXCL10,IFIT2,CLOCK,ABCE1,IL17A,FUCA2,TGFB1,CXCL8,ISG15,IFI27,FUCA2,PSMA4,IL1B,CXCL8,CXCL10,CXCL10,OAS1,MIR146A,STAT1,MAPK4,ANAPC5,CXCL8,COL3A1,CCR4,IL17A,GOLGA4,IL6,IL5,CXCL9,IL10,TP53,CXCR4,CXCL8,FUCA2,IL1B,bP-2189O9.2,IL12B,CXCL10,CXCL10,IFNG,CXCL9,IL10,CCR4,CXCL8,FUCA2,PRG4,IL2,CCR4,HSPA6,HSPA6,IL2RB,TGFB1,FUCA2,CXCL9,IL10,CXCL8,CCR4,IFIT3,OAS1,MX2,CXCL8,FUCA2,FLT1,IGHG1,IFIT2,IL1RN,IFI27,CCR4
IL2,HIPK2,CCR4,CXCL9,IFNA1,HLA-DQA1,TNF,HLA-DQA1,CCL2,IL17A,ABCE1,GPC5,IL1B,IL1B,GCLC,IL2,IL1A,MX1,MAPK4,IL2,CXCL10,IL2,IFIT2,GOLGA4,IL10,IL2,TNF,RHOC,IL12A,CCL2,TLR4,GOLGA4,CXCL9,IFIT3,KCNB1,GOLGA4,IL12A,GCLC,CXCL10,CXCL10,OAS1,IFI27L1,GCLC,HINT1,TGFB1,CCL2,CCL2,CXCL9,OAS2,MIR155,STAT3,ARRB1,ARPC5,CXCL10,CORO6,HLA-DQA1,IL2,ABCE1,IL7,IL6,CCL2,TGFB1,IL10,HLA-DQA1,IL2,GCLC,IL10,bP-2171C21.5,IL17A,ISG15,CXCL9,IL10,CXCL11,PDK4,HLA-DQA1,CXCL10,GCLC,OGG1,IL4,HLA-DQA1,IRF7,IRF7,CCR4,IL10,GCLC,IL10,IL2,IL10,HLA-DQA1,ISG15,OAS2,IFIT1,IFNG,GCLC,JUND,IGHG3,IFITM3,CXCL8,IFI44L,HLA-DQA1
IL12A,SLC25A6,HLA-DQA1,CXCL11,IFNA2,PRG4,CXCL10,PRG4,CXCL9,IL12A,GOLGA4,PHACTR2,IL6,IL17A,NFYA,IL4,IL2,ISG15,ARRB1,IL4,IFI27,IL12A,IFIT3,PRG4,IL17A,IL4,IFNG,STAT5A,IL13,CCL5,TLR3,PHKB,CCL2,IFIT5,S100PBP,OGG1,IL12B,NFYA,CCL2,CXCL9,TLR4,IFI35,NFYA,RHOH,ISG15,CCL5,IL10,CXCL8,OAS3,MIR16,JAK1,GOLGA4,ATP6V1C1,CCL2,DENND5A,PRG4,IL4,PRG4,CXCL8,IL7,IL1B,IL17A,CXCL10,IL2RB,IL4,NFYA,TGFB1,bP-2171C21.3,IL18,OAS1,CCL2,IL13,OAS1,PPARGC1A,PRG4,CXCL9,NFYA,MAPK4,IL17A,PRG4,STAT1,STAT1,HLA-DQA1,IL2,NFYA,TGFBR2,IL12B,TGFB1,PRG4,MX1,OAS3,IFIT2,IL12B,NFYA,USF2,IFNA4,ISG15,CXCL10,ISG15,PRG4
IL12B,EEF2,PRG4,CXCL8,IFNB1,OGG1,CXCL9,OGG1,CCL5,IL18,PHKA1P1,AKAP1,IL10,CXCL10,STPG1,IL17A,IL4,IFIT1,GOLGA4,IL18,IFIT3,IL12B,IFIT5,OGG1,IL2,CXCL8,TGFB1,COX7C,IL15,IL18,STAT1,PRG4,CCL5,ISG15,AKAP1,PRG4,IL23A,STPG1,CXCL9,CCL2,STAT1,IFI44,STPG1,GZMB,OAS1,CCR5,TGFB1,CCL2,IFI27,MIR22,TYK2,ABCE1,CD2BP2,CCL4,ECT2,OGG1,IL12A,OGG1,IL10,IL9,IL17A,IL2,IL17A,CCR4,IL17A,STPG1,CXCL8,bP-2171C21.2,IL2,STAT1,CCL5,IL4,OAS2,NR3C1,OGG1,CXCL11,STPG1,ARRB1,IL18,OGG1,IFNG,IFNG,PRG4,IL12B,STPG1,STAT1,IL18,CXCL10,OGG1,MX2,IFIT1,IFIT3,IL18,STPG1,KDM5A,IFNA6,MX1,CCL2,MX1,OGG1
IL17A,ST6GAL1,OGG1,CCL2,IFNL1,HBG2,CCL2,TNF,IL6R,TGFB1,PRG4,USP6NL,IL18,CXCL9,NIPAL3,IL12B,IL7,IFIT3,ABCE1,IL12B,IFI44L,IL18,ISG15,STAT4,IL4,CXCL10,PRF1,HSPA2,IL18,IL15,STAT3,OGG1,CCL7,DDX58,CDON,TNF,TGFB1,NIPAL3,CSF2,CCL5,STAT2,IFI44L,NIPAL3,IRF7,MX1,CCR2,IL17A,CCL5,CXCL10,MIR210,NFKB1,IL2RB,CD47,CCL5,GOLGA4,IL1B,IL12B,HLA-DPB1,IL12A,IL10,IL10,IL12B,IFNG,MAPK4,IL12B,NIPAL3,IL17A,bP-2168N6.3,IL4,STAT3,TLR4,IL12A,OAS3,IL17A,TNF,CCL2,NIPAL3,GOLGA4,IL21,IL6,IFNA1,IFNA1,OGG1,IL17A,NIPAL3,JAK1,IL17A,CXCL9,TLR4,OAS1,IFIT3,IFIT5,CCL2,NIPAL3,STAT4,IFNA7,OAS1,CCL4,IRF7,MAPKAPK2
