seed_1_all,seed_2_all,seed_3_all,seed_4_all,seed_5_all,seed_6_all,seed_7_all,seed_8_all,seed_9_all,seed_10_all,seed_11_all,seed_12_all,seed_13_all,seed_14_all,seed_15_all,seed_16_all,seed_17_all,seed_18_all,seed_19_all,seed_20_all,seed_21_all,seed_22_all,seed_23_all,seed_24_all,seed_25_all,seed_26_all,seed_27_all,seed_28_all,seed_29_all,seed_30_all,seed_31_all,seed_32_all,seed_33_all,seed_34_all,seed_35_all,seed_36_all,seed_37_all,seed_38_all,seed_39_all,seed_40_all,seed_41_all,seed_42_all,seed_43_all,seed_44_all,seed_45_all,seed_46_all,seed_47_all,seed_48_all,seed_49_all,seed_50_all,seed_51_all,seed_52_all,seed_53_all,seed_54_all,seed_55_all,seed_56_all,seed_57_all,seed_58_all,seed_59_all,seed_60_all,seed_61_all,seed_62_all,seed_63_all,seed_64_all,seed_65_all,seed_66_all,seed_67_all,seed_68_all,seed_69_all,seed_70_all,seed_71_all,seed_72_all,seed_73_all,seed_74_all,seed_75_all,seed_76_all,seed_77_all,seed_78_all,seed_79_all,seed_80_all,seed_81_all,seed_82_all,seed_83_all,seed_84_all,seed_85_all,seed_86_all,seed_87_all,seed_88_all,seed_89_all,seed_90_all,seed_91_all,seed_92_all,seed_93_all,seed_94_all,seed_95_all,seed_96_all,seed_97_all,seed_98_all,seed_99_all,seed_100_all
GBP5,GBP5,BATF2,IRF1,GBP5,GBP5,MAPT,IFNG,GBP5,CFH,IFNG,IFNG,GBP5,GBP5,IFI16,GBP5,IFNG,GBP5,BATF2,IFNG,MPO,IFNG,GBP5,GBP5,IL12RB2,GBP5,GBP5,BATF2,TLR4,CYP51A1,TNFSF12-TNFSF13,STAT1,GBP5,GBP5,GBP5,TBCD,GBP5,IFNG,GBP5,IFNG,GBP5,FCGR1A,GBP5,RAB20,GBP5,GBP5,GBP5,IL27,GBP5,GBP5,IL32,H1-12P,GBP1,GBP5,GBP5,GBP5,IL2,FCGR1A,ANKRD22,GBP5,GBP5,IFNGR1,GBP5,CFH,ARG1,IFNG,IFNG,RAB20,FCGR1A,GBP5,CXCL10,STAT1,FCGR1A,STAT1,GBP5,GBP1,IL27,GBP1,IFNG,GBP5,FCGR1A,GBP5,GBP5,STAT1,STAT1,BATF2,GBP5,GBP5,IL10,BATF2,IL1B,GBP5,PPIAP63,GBP5,FCGR1A,NCOR2,GBP5,ARHGAP27P1-BPTFP1-KPNA2P3,GBP5,TNF
BATF2,BATF2,GBP5,STAT1,BNIP3L,IFITM3,CDC42P2,TNF,BATF2,CASP10,TNF,TNF,FCGR1A,GBP1,IFI27,GBP1,TNF,BNIP3L,INSL3,TNF,ITGAL,TNF,BATF2,FCGR1A,ABCD4,GBP1,FCGR1A,GBP1,NOD2,CYP26B1,TNFRSF10A-AS1,TNFAIP3,TNF,STAT1,BATF2,TBILA,FCGR1B,TNF,DUSP3,IFNA6,FCGR1A,GBP5,BNIP3L,INSL3,DUSP3,LASP1,BATF2,IL2,DUSP3,FCGR1A,CD38,FBXW4P1,GBP2,BATF2,AIM2,BATF2,IFNG,GBP5,BLK,DUSP3,BNIP3L,IFNGR2,GBP1,NOS2,IFNG,TNF,TNF,INSL3,FCGR1B,BATF2,CD4,FCGR1B,GBP5,BATF2,FCGR1A,GBP2,IL15,GBP2,TNF,BATF2,FCGR1B,BNIP3L,BNIP3L,CASP1,GBP5,GBP5,GBP1,BATF2,IL12A,GBP5,IL6,BATF2,RNA5SP406,BATF2,GBP5,LINC01091,DUSP3,TBC1D3P1-DHX40P1,BNIP3L,GBP5
FCGR1A,SERPING1,C1QB,IL27,KLF6,BATF2,PTMAP5,IL1B,STAT1,CD38,IL1B,IL1B,BATF2,GBP2,IFI30,GBP2,IL1B,KLF6,RAB20,IL1B,NOS2,IL1B,FCGR1A,FCGR1B,CD48,GBP2,BATF2,GBP2,NFKB1,CASP10,TNFRSF14-AS1,GBP5,IFNG,IRF1,STAT1,CD6,STAT1,IL1B,KLF2,IFNA8,BATF2,GBP6,KLF6,FCGR1A,KLF2,KLF6,FCGR1A,TNF,KLF2,FCGR1B,CD74,LINC01287,GBP4,SCARF1,BATF2,FCGR1A,IL17A,BATF2,CCR6,KLF2,KLF6,IL17RC,GBP2,CD4,TGFB1,IL1B,IL1B,BLK,GBP5,FCGR1A,CCL2,IRF1,BATF2,IL17REL,BATF2,GBP5,IL2RA,GBP5,IL1B,SCARF1,BATF2,KLF6,KLF6,NLRP3,BATF2,FCGR1A,GBP2,FCGR1A,IL12B,FCGR1A,TNF,IDO1,RP11-876N24.1,UBE2L6,BATF2,CEMIP,BATF2,STAG3L5P-PVRIG2P-PILRB,KLF6,GBP1
FCGR1B,FCGR1A,GBP6,TLR4,DYSF,GBP1,CCDC25,IL6,AIM2,CDC27,IL6,IL6,CXCL10,GBP4,IFI35,GBP4,IL6,DYSF,FCGR1A,IL6,CD4,IL2,FCGR1B,BATF2,C2CD4D-AS1,GBP4,SERPING1,GBP5,TLR2,CD38,IL20RB-AS1,IFNG,IL1B,TAP1,IDO1,CD44,ANKRD22,IL6,SCARF1,IFNA21,SERPING1,C1QB,DYSF,FCGR1B,FCGR1A,BNIP3L,FCGR1B,IL17A,FCGR1A,STAT1,CD44,RP11-463J10.2,GBP5,FCGR1A,FCGR1A,FCGR1B,IL4,FCGR1B,ATP1A1,GBP1,DYSF,IFNA10,GBP4,LTF,PTGS2,IL6,IL6,CD1C,GBP1,FCGR1B,IL2,SERPING1,GBP1,CCL1,GBP1,IFNG,IL24,IFI16,IL6,SERPING1,RAB33A,DYSF,DYSF,IFIT3,SERPING1,CXCL10,GBP6,GBP6,IL17A,C1QB,IFNG,GBP1,RP11-452E5.1,SERPING1,SERPING1,ZZZ3,KLF2,SUGT1P4-STRA6LP-CCDC180,DYSF,OAS1
SERPING1,FCGR1B,DUSP3,IL15,LASP1,IRF1,PTCD2,STAT1,FCGR1A,CREBBP,IL10,CXCL10,CXCL9,GBP1P1,IFI44,GBP7,CXCL10,LASP1,SCARF1,IL10,MARCO,IL4,SERPING1,STAT1,TLR2,STAT1,VAMP5,FCGR1A,TNF,CDC27,TNFAIP8L2,IRF1,IL2,FCGR1A,FCGR1A,PTCD2,C1QB,IL10,FCGR1A,IFNAR1,UBE2L6,FCGR1B,LASP1,GBP1,FCGR1B,DYSF,SERPING1,IL23A,FCGR1B,GBP1,IFN1,RP11-537D2.1,GBP6,FCGR1B,STAT1,SERPING1,IL1B,GBP6,DARS2,GBP2,LASP1,IFNA13,GBP6,MARCO,IL18,CXCL10,CXCL10,GAS6,STAT1,GBP1,STAT1,FCGR1A,SERPING1,IL2,IFITM3,STAT1,TGFB1,IFI27,IL12A,FCGR1A,TMEM91,LASP1,LASP1,IFIT2,IRF1,IRF1,GBP1P1,STAT1,IL18,GBP6,CXCL10,GBP6,AP000688.29,VAMP5,IFI27,RN7SL57P,SERPING1,Telomerase-vert,LASP1,OAS2
GBP1,STAT1,GAS6,IL2RA,PCBP1,FCGR1A,MAPK6P2,TLR2,FCGR1B,CROT,IL12A,STAT1,BNIP3L,IFNG,IFI44L,IFI27,STAT1,PCBP1,NEMF,IL12A,IFNGR1,IL6,STAT1,GBP1,TLCD4-RWDD3,IRF1,SCARF1,FCGR1B,HLA-DRB1,CALCR,TNFAIP8L3,IL15,IL12B,FCGR1B,FCGR1B,CDHR2,TAP1,IL12A,ANKRD22,IFNA5,VAMP5,4-Sep,PCBP1,GBP2,BATF2,PCBP1,ANKRD22,CXCL10,GBP6,GBP6,TNF,AP000436.4,GBP7,TAP1,GBP1,STAT1,IL6,C1QB,EXOC2,GBP4,PCBP1,IFNA14,GBP7,SERPINB1,IL23R,IL12B,STAT1,C1QC,SCARF1,CARD16,IL1B,GBP5,FCGR1B,IL17B,STAT1,IRF1,STAT1,IFI44,IL12B,FCGR1B,VAMP5,PCBP1,PCBP1,IFITM3,IL1B,UBE2L6,IFITM3,FCGR1B,IL22,DUSP3,CCL2,IL1B,LINC02413,PTPRC,STAT1,RP11-860B13.3,GBP1,TNFSF12-TNFSF13,PCBP1,OAS3
GBP2,GBP1,IDO1,IL24,IRF1,STAT1,CD81-AS1,TLR4,TLR5,CRLF1,IL12B,IRF1,KLF6,STAT1,IFI6,IFI27L1,IRF1,NEMF,DHX29,IL12B,TNFRSF1B,IL10,GBP1,SERPING1,CD86,BATF2,GBP1,STAT1,STAT1,CREBBP,TNFAIP8L1,IL27,CXCL10,IFI35,CXCL10,CARMIL1,SERPING1,IL12B,BATF2,IFNA16,GBP1,ANKRD22,FCGR1A,GBP4,GBP1,GBP1,HP,IL10,C1QB,BATF2,CCL5,ANKRD30BP2,STAT1,GPI,IFIT3,TAP1,IL10,ANKRD22,GBP5,GBP6,FCGR1A,IFNA16,FCGR1A,FAS,MMP9,TLR2,TLR2,TRAV27,APOL1,RAB20,TLR4,BATF2,ANKRD22,IL36A,OAS1,IRF7,NFATC1,IFI44L,IL10,GBP1,LPCAT2,STAT1,NEMF,OAS1,TNF,GBP1,IFIT3,C1QB,IL23A,UBE2L6,CCL5,STAT1,MED1,DHX29,GBP1,IP6K2,GAS6,DTX2P1-UPK3BP1-PMS2P11,MARCO,JAK1
STAT1,GBP2,IL1B,TGFB1,HLA-DRB5,GBP2,TNFRSF6B,IL10,CXCL10,TNFRSF12A,IL17A,TLR2,DYSF,IRF1,IFIH1,IFIT2,TLR2,DHX29,PTPRC,IL17A,MSR1,IL12A,GBP2,LY6E,C2CD4D,FCGR1A,IFITM3,SCARF1,CD4,MPO,IL10RB-DT,TLR4,IL10,IFI44,CXCL9,CDC14B,RAB20,IL17A,STAT1,IFNK,GBP2,BNIP3L,FCGR1B,BATF2,ANKRD22,GBP2,LY6E,IL12B,ANKRD22,NLRP3,CCL4,SNORA74D,STAT2,CEBPD,SERPING1,GBP1,TLR4,UBE2L6,FCGR1A,GBP7,FCGR1B,IFNA17,FCGR1B,TIMP2,TNF,TLR4,TLR4,ANKRD22,TAP1,INSL3,TLR2,GBP2,STAT1,CXCL14,SCARF1,OAS1,TLR4,IFIT1,IL17A,GBP2,DUSP3,IRF1,DHX29,OAS3,CXCL10,VAMP5,IFIT2,DUSP3,TLR2,SERPING1,TLR2,IRF1,EIF5A,NEMF,FCGR1B,RP11-657G5.2,CD1C,Hammerhead_HH10,SOCS3,JAK2
TAP1,GBP4,HLA-DRB5,CD28,NEMF,TAP1,COILP1,IL8,CXCL9,CCL26,IL18,TLR4,LASP1,IRF7,IFIT1,IFIT3,TLR4,PTPRC,GBP5,IL18,TNFRSF1A,IL12B,GBP4,ANKRD22,IL6ST,FCGR1B,P2RY14,MARCO,CD14,CROT,ILRUN-AS1,CXCL13,CCL2,IFI44L,GBP1,IL5RA,FCGR1A,IL18,TAP1,IFNAR2,GBP4,KLF6,ANKRD22,ANKRD22,AIM2,GBP4,IFI27,IL18,BATF2,AIM2,CCL3,RNA5SP266,STAT3,SERPING1,IDO1,TRAFD1,TLR2,SERPING1,FCGR1B,ANKRD22,BATF2,IFNA21,BATF2,MSR1,IL1B,NLRP3,NLRP3,OSBPL10,IFNG,ADM,CD8A,SCARF1,TAP1,IL9RP3,AIM2,OAS2,IRF1,IFIT2,IL22,GBP4,GBP4,GBP1,PTPRC,OAS2,FCGR1A,C1QB,IRF1,KLF2,TLR4,VAMP5,TLR4,CXCL10,RP11-481C4.2,HLA-DRB5,ANKRD22,ULBP3,BLK,XXbac-BPGBPG24O18.1,FCGR1A,STAT1
CXCL10,CXCL9,IRF1,CD80,DHX29,CARD17,CCDC198,CXCL10,CXCL11,CDKL3,IL23A,NLRP3,PCBP1,IFIT3,IFIT2,IFITM3,CD4,IFNG,STAT1,IL22,VPS35,TLR2,TAP1,IFI44L,CD8A,FCGR3A,ID3,SOCS3,IL10,ITGAL,TNFRSF12A,CCL5,IL6,IFIT3,GBP2,PPIL2,GBP1,IL22,CXCL10,IFNB1,GBP6,DYSF,SLC26A8,STAT1,GBP6,IRF1,CARD17,TLR2,STAT1,ANKRD22,IL1B,KCNA3,STAT4,APOL1,IFIT2,ANKRD22,TNF,VAMP5,STAT1,APOL1,ANKRD22,IFNAR1,STAT1,EIF2AK2,CXCL10,IL17A,IL12B,GBP5,GBP2,ANKRD22,TLR6,GBP1,C1QB,IL6STP1,IFIT3,OAS3,CD80,IFIT3,IL23A,GBP6,ANKRD22,GBP2,BATF2,IRF1,TAP1,ANKRD22,STAT1,SERPING1,TLR9,GAS6,NOD2,CXCL9,MIR4307,IRF1,CARD17,CH17-262O2.4,PRDM1,XXbac-BPGBPG55C20.6,MPO,STAT3
