seed_1_all,seed_2_all,seed_3_all,seed_4_all,seed_5_all,seed_6_all,seed_7_all,seed_8_all,seed_9_all,seed_10_all,seed_11_all,seed_12_all,seed_13_all,seed_14_all,seed_15_all,seed_16_all,seed_17_all,seed_18_all,seed_19_all,seed_20_all,seed_21_all,seed_22_all,seed_23_all,seed_24_all,seed_25_all,seed_26_all,seed_27_all,seed_28_all,seed_29_all,seed_30_all,seed_31_all,seed_32_all,seed_33_all,seed_34_all,seed_35_all,seed_36_all,seed_37_all,seed_38_all,seed_39_all,seed_40_all,seed_41_all,seed_42_all,seed_43_all,seed_44_all,seed_45_all,seed_46_all,seed_47_all,seed_48_all,seed_49_all,seed_50_all,seed_51_all,seed_52_all,seed_53_all,seed_54_all,seed_55_all,seed_56_all,seed_57_all,seed_58_all,seed_59_all,seed_60_all,seed_61_all,seed_62_all,seed_63_all,seed_64_all,seed_65_all,seed_66_all,seed_67_all,seed_68_all,seed_69_all,seed_70_all,seed_71_all,seed_72_all,seed_73_all,seed_74_all,seed_75_all,seed_76_all,seed_77_all,seed_78_all,seed_79_all,seed_80_all,seed_81_all,seed_82_all,seed_83_all,seed_84_all,seed_85_all,seed_86_all,seed_87_all,seed_88_all,seed_89_all,seed_90_all,seed_91_all,seed_92_all,seed_93_all,seed_94_all,seed_95_all,seed_96_all,seed_97_all,seed_98_all,seed_99_all,seed_100_all
BATF2,STAT1,STAT1,STAT1,IFIT2,LAP3,IFITM3,GBP5,GBP5,BATF2,IFNG,IFIT1,IFNG,GBP1,GBP5,BATF2,GBP5,IFIT1,GBP5,GBP5,GBP5,GBP5,GBP5,GBP5,FCGR1A,GBP5,IFNG,IFNG,GBP5,IFIT1,GBP5,GBP1,IFNG,IFNG,GBP5,GBP5,FCGR1A,GBP5,FCGR1A,GBP5,FCGR1A,STAT1,GBP5,IFNG,FCGR1A,GBP5,CD14,GBP5,GBP5,BATF2,GBP1,IFNG,IL27,GBP5,GBP5,GBP5,IFIT1,BATF2,BATF2,GBP5,CXCL10,B2M,OAS1,GBP5,BATF2,IFNG,STAT1,GBP5,GBP5,BATF2,GBP5,GBP1,IFNG,GBP5,GBP5,GBP5,GBP5,GBP5,GBP5,STAT1,IFIT1,GBP5,GBP5,IFNG,IFNG,STAT1,GBP5,BATF2,BATF2,GBP5,GBP1,GBP5,BATF2,GBP5,GBP5,STAT1,ISG15,FCGR1A,IFIT1,IFNG
FCGR1A,STAT2,STAT2,GBP5,IFIT3,STAT1,IFITM2,BATF2,FCGR1A,GBP5,STAT1,IFIT2,IFNGR1,GBP2,STAT1,GBP5,BNIP3L,IFIT3,FCGR1A,BATF2,STAT1,GBP1,BATF2,BNIP3L,GBP5,FCGR1A,TNF,CCL20,BATF2,IFIT2,FCGR1A,GBP5,TNF,TNF,FCGR1A,BNIP3L,GBP5,BNIP3L,FCGR1B,BATF2,GBP5,IFIT1,BATF2,TNF,GBP5,FCGR1A,CD68,BNIP3L,BATF2,UBE2L6,GBP2,IFNGR1,STAT1,BATF2,ISG15,FCGR1A,IFIT2,GBP5,GBP5,BATF2,IFN-γ,NOS2,OAS3,BATF2,GBP5,TNF,IRF1,FCGR1A,BNIP3L,GBP5,GBP1,GBP2,IFNGR1,GBP1,FCGR1B,BATF2,BNIP3L,BATF2,BNIP3L,IRF1,IFIT2,IFIT3,FCGR1A,TNF,IFNGR1,STAT2,BNIP3L,GBP5,GBP1,BNIP3L,GBP2,STAT1,GBP5,GBP1,STAT1,STAT2,IFIT1,GBP5,IFIT2,IFNA1
FCGR1B,IRF1,IRF1,FCGR1A,IFIT1,TNF,IFITM1,FCGR1A,FCGR1B,GBP1,IRF1,IFIT3,IFNGR2,GBP5,GBP1,GBP1,KLF6,OAS1,STAT1,ANKRD22,GBP1,GBP2,FCGR1A,KLF6,BATF2,IFITM3,IL2,CXCL10,FCGR1A,IFIT3,FCGR1B,GBP2,IL1B,IL1B,DUSP3,KLF6,BATF2,KLF6,GBP5,FCGR1A,BATF2,IFIT2,SCARF1,IL2,BATF2,IFITM3,CD163,KLF6,FCGR1A,SERPING1,GBP3,IFNGR2,TLR4,DUSP3,IFIT1,GBP1,IFIT3,FCGR1B,FCGR1A,FCGR1A,TNF-α,CD4,OAS2,FCGR1A,ANKRD22,IL1B,IRF7,BATF2,KLF6,GBP1,GBP2,GBP4,IFNGR2,GBP2,BATF2,IFNG,KLF6,GBP1,KLF6,IRF7,IFIT3,STAT1,FCGR1B,IL2,IFNGR2,IRF1,KLF6,FCGR1A,GBP2,KLF6,GBP4,IFIT3,SCARF1,GBP2,KLF6,IRF1,IFIT2,BATF2,IFIT3,IFNA2
GBP5,IRF7,IRF7,BATF2,STAT1,IL12B,IFITM3P3,ANKRD22,BATF2,STAT1,GBP1,MX1,STAT1,GBP4,IFI44,GBP2,DYSF,OAS2,GBP1,FCGR1A,GBP6,GBP4,CD64,DYSF,SCARF1,BATF2,IL6,CCL2,FCGR1B,IFI44,BATF2,GBP4,IL6,IL2,KLF2,DYSF,STAT1,DYSF,BATF2,FCGR1B,ANKRD22,IFIT3,FCGR1A,IL6,ANKRD22,BATF2,CD4,DYSF,FCGR1B,VAMP5,GBP4,IRF1,IRF1,FCGR1A,IFIT3,BATF2,IFI44,FCGR1A,CD274,GBP1,IL-1β,MARCO,IFNG,FCGR1B,FCGR1A,CXCL10,IFNG,GBP1,DYSF,FCGR1A,GBP4,GBP5,STAT1,GBP4,OAS1,TNF,DYSF,FCGR1A,DYSF,IRF9,IFIT5,IRF1,BATF2,IL10,STAT1,IRF7,DYSF,FCGR1B,GBP4,DYSF,GBP5,IFITM3,UBE2L6,GBP4,DYSF,IRF7,IFIT3,SERPING1,IFI44L,IFNB1
GBP1,IRF9,IRF9,GBP1,GBP1,IL23A,IFITM5,SERPING1,SERPING1,IFITM3,GBP2,MX2,IRF1,GBP6,IFIH1,GBP4,LASP1,OAS3,GBP2,GBP1,FCGR1A,GBP6,FCGR1B,LASP1,GBP1,GBP1,IL10,CXCL11,ANKRD22,IFI44L,GBP1,FCGR1A,IL12A,IL4,IFIT1,LASP1,GBP1,LASP1,ANKRD22,ANKRD22,SERPING1,IFIH1,FCGR1B,CXCL10,SERPING1,IFI44L,CD8A,LASP1,GBP1,GBP5,GBP5,IRF2,IL15,FCGR1B,OAS1,STAT1,IFI44L,GBP1,STAT1,IFITM3,IL-6,ATG5,IFIH1,ANKRD22,FCGR1B,CXCL9,IFNGR1,GBP2,LASP1,ANKRD22,FCGR1A,GBP6,IRF1,GBP7,IFIT1,IL1B,LASP1,C1QB,LASP1,IFI44L,IFITM1,IFITM3,ANKRD22,IL6,IRF1,IRF9,LASP1,GBP1,GBP5,LASP1,GBP6,IFIT1,SERPING1,GBP6,BNIP3L,IRF9,OAS1,ANKRD22,IFI44,IFNAR1
ANKRD22,ISG15,IFNG,FCGR1B,GBP5,IFNG,IFITM9P,SCARF1,SCARF1,EPSTI1,GBP4,OAS1,IRF9,ANKRD22,TNF,GBP6,PCBP1,MX1,GBP4,SERPING1,FCGR1B,FCGR1A,S100A8,PCBP1,GBP2,ANKRD22,IL1B,TNFAIP6,STAT1,IFI6,GBP6,HERC5,IL12B,IL6,OAS1,PCBP1,ANKRD22,PCBP1,GAS6,GBP1,GBP1,MX1,ANKRD22,STAT1,IFITM3,SERPING1,CD8B,PCBP1,GBP2,SCARF1,GBP6,IRF3,IL24,SCARF1,LASP1,FCGR1B,IFI27,ANKRD22,ISG15,EPSTI1,IL-12,TFRC,STAT1,CD64,GBP1,CXCL11,JAK2,GBP4,PCBP1,STAT1,FCGR1B,FCGR1A,IRF7,STAT1,IFIT3,CXCL10,PCBP1,DUSP3,PCBP1,IFI44,IFITM2,GBP1,SERPING1,CXCL10,IRF2,MX1,PCBP1,GBP2,GBP6,PCBP1,ANKRD22,IFIT2,VAMP5,BATF2,LASP1,IFITM1,OAS2,GBP1,IFI6,IFNAR2
SERPING1,ISG20,IFNGR1,IFIT1,IFI44,FCGR1A,IFITM8P,GBP1,ANKRD22,GBP2,GBP5,OAS2,JAK1,BATF2,LASP1,FCGR1A,BATF2,MX2,IFITM3,SCARF1,IFITM3,FCGR1B,S100A9,STAT1,GBP6,SERPING1,IL12B,CCL3,GBP1,IFI27,SERPING1,RSAD2,IL10,IL10,IFIT3,DUSP3,SERPING1,STAT1,SEPT4,GBP2,GBP4,OAS1,GBP1,IRF1,STAT1,IFI27,IFNG,GBP2,DUSP3,STAT1,GBP7,IRF4,IL2RA,GBP2,STAT1,ANKRD22,STAT1,SERPING1,GBP1,SCARF1,MX1,FTL,IFIT3,STAT1,GBP2,GBP1,SOCS1,GBP6,IFIT1,IL27,IFIT1,FCGR1B,IRF9,IRF1,IFITM1,CXCL9,S100A8,KLF2,GBP6,IFI27,IFITM3,GBP2,STAT1,CCL2,IRF3,MX2,BATF2,GBP4,FCGR1A,OAS1,BATF2,OAS1,GBP1,FCGR1A,PCBP1,IFITM3,OAS3,STAT1,IFI27,IFNGR1
STAT1,IFI44,IFNGR2,IFIT2,IFI44L,SIGLEC1,IFITM3P2,GBP4,GBP1,FCGR1A,GBP6,OAS3,JAK2,SCARF1,CXCR4,FCGR1B,GBP1,ISG15,IFI27,ETV7,GBP2,ANKRD22,ANKRD22,IRF1,ANKRD22,FCGR1B,IL12A,CCL5,BNIP3L,IFITM1,SCARF1,EPSTI1,IL17A,IL12B,BATF2,KLF2,TAP1,STAT2,CD1C,GBP4,STAT1,OAS2,GBP2,GBP1,GBP1,OAS1,IRF1,FCGR3B,KLF2,TAP1,C1QB,IRF5,TGFB1,GBP1,IRF1,GBP6,IRF1,C1QC,GBP6,UBE2L6,IFIT1,TF,IFIT2,GBP1,SCARF1,GBP5,SOCS3,STAT1,IFIT2,TLR4,IFIT2,ANKRD22,GBP1,IFI27,IFI44L,NOS2,S100A9,IRF1,FCGR1A,IFI6,ISG15,SERPING1,GBP1,STAT1,IRF7,OAS1,GBP1,GBP6,FCGR1B,IFIT1,FCGR1A,OAS2,IFITM3,FCGR1B,FCGR3B,IFI44,MX1,GBP4,IFI35,IFNGR2
GBP2,IFI44L,JAK1,IFIT3,IFIH1,CLEC7A,IFITM3P4,IDO1,GBP4,SERPING1,FCGR1A,ISG15,GBP1,SERPING1,CXCL8,IFITM1,GBP2,ISG20,IFIT1,KLF6,IFIT3,BATF2,STAT1,HLA-DRB5,FCGR1B,GBP2,CXCL10,CCL19,KLF6,IFITM3,ANKRD22,APOL1,IL2,IL17A,GBP1,GBP1,IFITM3,IRF1,BLK,GBP6,IFI44L,OASL,GBP4,GBP5,GBP4,ISG15,IRF7,GPI,UBE2L6,PSMB9,C1QC,IRF7,CD28,GBP4,TLR4,GBP2,IRF7,C1QB,SERPING1,SERPING1,IFIT2,GZMB,IRF1,GBP2,ETV7,GBP2,ISG15,IRF1,IFIT3,IRF1,IFIT3,BATF2,GBP2,IFIT1,IFI44,STAT1,CXCL1,STAT1,FCGR1B,IFIT1,ISG20,BATF2,GBP4,IRF1,IRF9,OAS2,GBP2,SCARF1,ANKRD22,IFIT3,FCGR1B,MX1,P2RY14,STAT1,DUSP3,IFI44L,MX2,IFITM3,IFIH1,IRF1
GBP4,IFIT1,JAK2,IFI44,MX1,NCF1,IFITM3P7,STAT1,GBP2,UBE2L6,FCGR1B,ISG20,GBP2,FCGR1A,IL12B,IFITM3,GBP4,RSAD2,IFIT2,BNIP3L,TAP1,SERPING1,GBP1,OAS1,SERPING1,S100A8,CCL2,CXCL13,DYSF,ISG15,C1QB,ANKRD22,NOS2,IL18,GBP2,GBP2,WARS,IRF7,STAT1,DUSP3,IFI44,ISG15,GBP6,FCGR1A,EPSTI1,IFIT1,STAT1,MPO,SERPING1,GBP6,C1QA,IRF8,CD80,IFI44L,IL27,C1QB,OAS1,STAT1,UBE2L6,VAMP5,IFIT3,PYCARD,IFI6,GBP6,SERPING1,GBP4,ISG20,IRF7,MX1,SERPING1,IFITM1,SERPING1,GBP4,IFIT2,IFI27,GBP1,CXCL10,HLA-DRB5,C1QB,IFIT2,MX1,UBE2L6,EPSTI1,GBP1,IFIT1,OAS3,GBP4,DUSP3,SERPING1,STAT1,SERPING1,EPSTI1,ID3,STAT2,KLF2,IFIT1,GBP1,TAP1,IFIT5,IRF2
