seed_1_all,seed_2_all,seed_3_all,seed_4_all,seed_5_all,seed_6_all,seed_7_all,seed_8_all,seed_9_all,seed_10_all,seed_11_all,seed_12_all,seed_13_all,seed_14_all,seed_15_all,seed_16_all,seed_17_all,seed_18_all,seed_19_all,seed_20_all,seed_21_all,seed_22_all,seed_23_all,seed_24_all,seed_25_all,seed_26_all,seed_27_all,seed_28_all,seed_29_all,seed_30_all,seed_31_all,seed_32_all,seed_33_all,seed_34_all,seed_35_all,seed_36_all,seed_37_all,seed_38_all,seed_39_all,seed_40_all,seed_41_all,seed_42_all,seed_43_all,seed_44_all,seed_45_all,seed_46_all,seed_47_all,seed_48_all,seed_49_all,seed_50_all,seed_51_all,seed_52_all,seed_53_all,seed_54_all,seed_55_all,seed_56_all,seed_57_all,seed_58_all,seed_59_all,seed_60_all,seed_61_all,seed_62_all,seed_63_all,seed_64_all,seed_65_all,seed_66_all,seed_67_all,seed_68_all,seed_69_all,seed_70_all,seed_71_all,seed_72_all,seed_73_all,seed_74_all,seed_75_all,seed_76_all,seed_77_all,seed_78_all,seed_79_all,seed_80_all,seed_81_all,seed_82_all,seed_83_all,seed_84_all,seed_85_all,seed_86_all,seed_87_all,seed_88_all,seed_89_all,seed_90_all,seed_91_all,seed_92_all,seed_93_all,seed_94_all,seed_95_all,seed_96_all,seed_97_all,seed_98_all,seed_99_all,seed_100_all
DPM1,IFIT1,DPM1,MPO,DPM1,MPO,CCL2,HSPA8,DPM1,LTF,DPM1,IFNGR1,ISG20,LTF,DPM1,CCL2,LTF,IFNGR1,DPM1,CXCL10,IFIT1,ISG20,IFNGR1,DPM1,DPM1,LTF,DPM1,DPM1,IFRD1,DPM1,IFNGR1,DPM1,DPM1,MPO,DPM1,DPM1,TFPI,DPM1,DPM1,DPM1,ISG15,DPM1,DPM1,DPM1,DPM1,DPM1,TFEC,DPM1,ISG20,DPM1,DPM1,DPM1,TF,DPM1,DPM1,DPM1,TF,MPO,DPM1,DPM1,DPM1,TFPI,LTF,DPM1,HGF,DPM1,DPM1,TFEC,DPM1,DPM1,MPO,DPM1,DPM1,DPM1,LTF,MPO,DPM1,TFPI,DPM1,DPM1,DPM1,DPM1,IFRD1,DPM1,DPM1,DPM1,IFRD1,IFNG,DPM1,DPM1,IFI35,DPM1,ISG20,DPM1,IFNGR1,DPM1,DPM1,MPO,DPM1,DPM1
SCYL3,IFIT3,SCYL3,LTF,SCYL3,TFAP2B,CXCL10,IL17RB,SCYL3,MPO,SCYL3,IL12RB2,CD38,CX3CL1,SCYL3,CCL8,CCL26,CD38,SCYL3,CXCL9,IFIT3,GBP3,CD4,SCYL3,SCYL3,CX3CL1,SCYL3,SCYL3,CCL26,SCYL3,LTF,SCYL3,SCYL3,LYZ,SCYL3,SCYL3,MPO,SCYL3,SCYL3,SCYL3,IFI44L,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,H2AZ2,SCYL3,IL32,SCYL3,SCYL3,SCYL3,GBP1,SCYL3,SCYL3,SCYL3,CCL2,TFPI,SCYL3,SCYL3,SCYL3,MPO,CX3CL1,SCYL3,CXCL1,SCYL3,SCYL3,DHX8,SCYL3,SCYL3,CCL26,SCYL3,SCYL3,SCYL3,CXCL1,LYZ,SCYL3,CX3CL1,SCYL3,SCYL3,SCYL3,SCYL3,LYZ,SCYL3,SCYL3,SCYL3,GBP3,CXCL10,SCYL3,SCYL3,USP2,SCYL3,IL32,SCYL3,IL12RB2,SCYL3,SCYL3,CXCL1,SCYL3,SCYL3
C1orf112,IFIT2,C1orf112,CX3CL1,C1orf112,TFAP2D,CCL8,TF,C1orf112,CCL2,C1orf112,CD38,GBP1,CCL26,C1orf112,IL32,TFPI,NOS2,C1orf112,CCL8,GBP1,GBP1,CCR6,C1orf112,C1orf112,CCL26,C1orf112,C1orf112,CX3CL1,C1orf112,TF,C1orf112,C1orf112,CD38,C1orf112,C1orf112,CD38,C1orf112,C1orf112,C1orf112,IFI44,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,CAV2,C1orf112,USP2,C1orf112,C1orf112,C1orf112,GBP3,C1orf112,C1orf112,C1orf112,CXCL10,CFH,C1orf112,C1orf112,C1orf112,MMP2,CD38,C1orf112,CCL2,C1orf112,C1orf112,IL32,C1orf112,C1orf112,CD38,C1orf112,C1orf112,C1orf112,CXCL2,CCL2,C1orf112,CXCL2,C1orf112,C1orf112,C1orf112,C1orf112,IL32,C1orf112,C1orf112,C1orf112,GBP1,IL12B,C1orf112,C1orf112,GBP3,C1orf112,TFPI,C1orf112,CD38,C1orf112,C1orf112,CXCL2,C1orf112,C1orf112
FGR,CCL2,FGR,CD38,FGR,PRSS22,CXCL9,CXCL1,FGR,CX3CL1,FGR,TNFRSF1B,GBP3,CCL7,FGR,CCL7,CX3CL1,CD4,FGR,CCL2,GBP3,IL32,CD38,FGR,FGR,TFPI,FGR,FGR,IL32,FGR,CD74,FGR,FGR,CCL2,FGR,FGR,LYZ,FGR,FGR,FGR,RIPK2,FGR,FGR,FGR,FGR,FGR,CAV1,FGR,ITGAL,FGR,FGR,FGR,CCL2,FGR,FGR,FGR,IL1B,FUCA2,FGR,FGR,FGR,PON1,TFPI,FGR,CXCL2,FGR,FGR,MYDGF,FGR,FGR,LUC7L,FGR,FGR,FGR,CCL2,CXCL1,FGR,CCL26,FGR,FGR,FGR,FGR,TFAP2B,FGR,FGR,FGR,CCL26,IL32,FGR,FGR,UBE2I,FGR,CD38,FGR,CD74,FGR,FGR,CCL2,FGR,FGR
CFH,IL32,CFH,CD3D,CFH,MEOX1,IL32,MPO,CFH,CD38,CFH,CD4,CD6,CCL2,CFH,TF,CD38,FCGRT,CFH,CD38,IL12RB1,IL12B,CEACAM7,CFH,CFH,CCL2,CFH,CFH,MPO,CFH,BIRC3,CFH,CFH,CCL7,CFH,CFH,HGF,CFH,CFH,CFH,GBP3,CFH,CFH,CFH,CFH,CFH,MET,CFH,CD38,CFH,CFH,CFH,IL32,CFH,CFH,CFH,RSAD2,SERPINB1,CFH,CFH,CFH,LTF,MPO,CFH,CCL7,CFH,CFH,TMEM176A,CFH,CFH,CALCR,CFH,CFH,CFH,CCL7,ARG1,CFH,CCL2,CFH,CFH,CFH,CFH,TNFAIP3,CFH,CFH,CFH,IL32,CD38,CFH,CFH,HLA-DQA1,CFH,MPO,CFH,CD4,CFH,CFH,CCL1,CFH,CFH
FUCA2,CXCL10,FUCA2,CD6,FUCA2,HOXA11,CCL26,IFIT3,FUCA2,ADAM22,FUCA2,IRF1,ST6GAL1,CCL8,FUCA2,CXCL10,CD38,LTF,FUCA2,HLA-DRA,IL32,MPO,TGFBR1,FUCA2,FUCA2,CCL7,FUCA2,FUCA2,LYZ,FUCA2,CD38,FUCA2,FUCA2,CCL8,FUCA2,FUCA2,CCL2,FUCA2,FUCA2,FUCA2,GBP1,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,RNF32,FUCA2,TFPI,FUCA2,FUCA2,FUCA2,USP18,FUCA2,FUCA2,FUCA2,IFIT1,AOC1,FUCA2,FUCA2,FUCA2,TF,CCL26,FUCA2,CXCL10,FUCA2,FUCA2,TLE2,FUCA2,FUCA2,CD74,FUCA2,FUCA2,FUCA2,CCL8,IL32,FUCA2,CCL7,FUCA2,FUCA2,FUCA2,FUCA2,SPP2,FUCA2,FUCA2,FUCA2,CCL2,TNF,FUCA2,FUCA2,PSMB5,FUCA2,LTF,FUCA2,CTLA4,FUCA2,FUCA2,CCL7,FUCA2,FUCA2
GCLC,CXCL9,GCLC,TFPI,GCLC,HOXA13,CX3CL1,CD38,GCLC,MMP2,GCLC,TFEC,DUSP3,CCL1,GCLC,CXCL9,CX3CL1,CD6,GCLC,MPO,TAP1,PLA2G15,NOS2,GCLC,GCLC,CCL8,GCLC,GCLC,TF,GCLC,RSF1,GCLC,GCLC,CXCL2,GCLC,GCLC,CCL7,GCLC,GCLC,GCLC,CD38,GCLC,GCLC,GCLC,GCLC,GCLC,LMBR1,GCLC,ANGEL1,GCLC,GCLC,GCLC,IDO1,GCLC,GCLC,GCLC,GBP1,PON1,GCLC,GCLC,GCLC,MMP9,ITGAL,GCLC,IL32,GCLC,GCLC,CYP26B1,GCLC,GCLC,NOS2,GCLC,GCLC,GCLC,GZMB,CRP,GCLC,CCL8,GCLC,GCLC,GCLC,GCLC,CCL2,GCLC,GCLC,GCLC,CX3CL1,CCL2,GCLC,GCLC,IRF1,GCLC,CX3CL1,GCLC,NOS2,GCLC,GCLC,CCL8,GCLC,GCLC
NFYA,CCL8,NFYA,CCL2,NFYA,HOXC8,CD38,CD44,NFYA,IL32,NFYA,GPRC5A,SOCS2,CCL22,NFYA,SERPINA4,CCL26,TYMP,NFYA,IL32,RSAD2,NLRP2,IL12RB1,NFYA,NFYA,CCL1,NFYA,NFYA,CD38,NFYA,CD44,NFYA,NFYA,CXCL1,NFYA,NFYA,MMP9,NFYA,NFYA,NFYA,MPO,NFYA,NFYA,NFYA,NFYA,NFYA,NHP2P1,NFYA,TFAP2B,NFYA,NFYA,NFYA,NLRC4,NFYA,NFYA,NFYA,MMP9,TFPI2,NFYA,NFYA,NFYA,HGF,UPF1,NFYA,LTF,NFYA,NFYA,CD38,NFYA,NFYA,MMP25,NFYA,NFYA,NFYA,GZMH,MMP9,NFYA,CCL1,NFYA,NFYA,NFYA,NFYA,TP53,NFYA,NFYA,NFYA,MMP25,LYZ,NFYA,NFYA,GBP1,NFYA,CXCL2,NFYA,FCGR2B,NFYA,NFYA,CXCL9,NFYA,NFYA
STPG1,CXCL1,STPG1,IL32,STPG1,IBTK,MPO,LAG3,STPG1,TFPI,STPG1,SELL,CEACAM6,CCL17,STPG1,CD84,SELE,FAS,STPG1,CD6,HLA-DQA1,CD38,CD74,STPG1,STPG1,CXCL2,STPG1,STPG1,CD74,STPG1,SLAMF7,STPG1,STPG1,ARG1,STPG1,STPG1,SELE,STPG1,STPG1,STPG1,CXCL1,STPG1,STPG1,STPG1,STPG1,STPG1,WNT2,STPG1,TFAP2D,STPG1,STPG1,STPG1,CCL7,STPG1,STPG1,STPG1,CXCL9,BAD,STPG1,STPG1,STPG1,ANGPT2,CAMKK1,STPG1,CD38,STPG1,STPG1,CCL26,STPG1,STPG1,IL32,STPG1,STPG1,STPG1,CCL26,IL8,STPG1,CCL22,STPG1,STPG1,STPG1,STPG1,NLRP2,STPG1,STPG1,STPG1,PLA2G10,MPO,STPG1,STPG1,CSTA,STPG1,CCL2,STPG1,IFNGR2,STPG1,STPG1,CXCL10,STPG1,STPG1
NIPAL3,IL1B,NIPAL3,UPF1,NIPAL3,SOX8,TFPI,IL32,NIPAL3,ARG2,NIPAL3,CD86,MPO,IL32,NIPAL3,IL12B,TFPI,NLRP2,NIPAL3,TFPI,IDO1,CEACAM7,MPO,NIPAL3,NIPAL3,FCGRT,NIPAL3,NIPAL3,NOS2,NIPAL3,IFRD1,NIPAL3,NIPAL3,IL32,NIPAL3,NIPAL3,SERPINB1,NIPAL3,NIPAL3,NIPAL3,CCL8,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,HOXA1,NIPAL3,ADAM22,NIPAL3,NIPAL3,NIPAL3,TAP1,NIPAL3,NIPAL3,NIPAL3,CD38,AASS,NIPAL3,NIPAL3,NIPAL3,CRP,CD38,NIPAL3,TF,NIPAL3,NIPAL3,IBTK,NIPAL3,NIPAL3,MAP3K14,NIPAL3,NIPAL3,NIPAL3,LTBP1,MMP2,NIPAL3,CCL17,NIPAL3,NIPAL3,NIPAL3,NIPAL3,TFAP2D,NIPAL3,NIPAL3,NIPAL3,SELE,CXCL9,NIPAL3,NIPAL3,HSPA1A,NIPAL3,CCL7,NIPAL3,ARG1,NIPAL3,NIPAL3,CCL22,NIPAL3,NIPAL3
