seed_1_all,seed_2_all,seed_3_all,seed_4_all,seed_5_all,seed_6_all,seed_7_all,seed_8_all,seed_9_all,seed_10_all,seed_11_all,seed_12_all,seed_13_all,seed_14_all,seed_15_all,seed_16_all,seed_17_all,seed_18_all,seed_19_all,seed_20_all,seed_21_all,seed_22_all,seed_23_all,seed_24_all,seed_25_all,seed_26_all,seed_27_all,seed_28_all,seed_29_all,seed_30_all,seed_31_all,seed_32_all,seed_33_all,seed_34_all,seed_35_all,seed_36_all,seed_37_all,seed_38_all,seed_39_all,seed_40_all,seed_41_all,seed_42_all,seed_43_all,seed_44_all,seed_45_all,seed_46_all,seed_47_all,seed_48_all,seed_49_all,seed_50_all,seed_51_all,seed_52_all,seed_53_all,seed_54_all,seed_55_all,seed_56_all,seed_57_all,seed_58_all,seed_59_all,seed_60_all,seed_61_all,seed_62_all,seed_63_all,seed_64_all,seed_65_all,seed_66_all,seed_67_all,seed_68_all,seed_69_all,seed_70_all,seed_71_all,seed_72_all,seed_73_all,seed_74_all,seed_75_all,seed_76_all,seed_77_all,seed_78_all,seed_79_all,seed_80_all,seed_81_all,seed_82_all,seed_83_all,seed_84_all,seed_85_all,seed_86_all,seed_87_all,seed_88_all,seed_89_all,seed_90_all,seed_91_all,seed_92_all,seed_93_all,seed_94_all,seed_95_all,seed_96_all,seed_97_all,seed_98_all,seed_99_all,seed_100_all
ZNF296,DUSP3,SCYL3,GBP5,GBP5,GBP1,DPM1,GBP5,DPM1,GBP5,ADGRL2,FCGR1B,GBP5,DPM1,DPM1,AIM2,GBP5,BATF2,DPM1,GBP5,STAT1,DPM1,DPM1,BATF2,GBP5,GBP1,FCGR1A,IFIT3,FGR,FCGR1B,BATF2,DPM1,DPM1,DHRS4,AIM2,GBP5,FCGR1A,ABLIM2,GBP5,AIM2,DPM1,NEDD4,DPM1,DPM1,IFNG,GBP5,DPM1,FPR1,DPM1,DUSP3,DPM1,BATF2,FCGR1B,FCGR1A,FCGR1B,STAT1,GBP5,FCGR1A,IFITM3,FCGR1B,DPM1,FCGR1A,IFI6,GBP5,Gene_500,FCGR1A,EXOC3L4,FCGR1A,GBP5,FCGR1B,IFITM3,FCGR1A,DPM1,SOCS3,FCGR1A,STAT1,DPM1,DPM1,DPM1,GBP1,LYN,DPM1,Gene_4019,GBP5,DPF1,DPM1,IL2,BATF2,GBP5,GBP5,IFITM3,GBP5,MARCO,gene_name1,SNORD22,DUSP3,STAT1,DPM1,GBP5,DHRS4
C1QB,KLF2,FGR,DUSP3,DUSP3,FCGR1A,SCYL3,IFITM3,SCYL3,FCGR1A,AIF1,C1QB,STAT1,SCYL3,SCYL3,BATF2,FCGR1B,DUSP3,SCYL3,DUSP3,IFI44L,SCYL3,SCYL3,ETV7,STAT1,STAT1,IFITM3,CXCL10,CFH,ANKRD22,FCGR1B,SCYL3,SCYL3,EYA3,BATF2,DUSP3,FCGR1B,BATF2,FCGR1A,BATF2,SCYL3,PLTP,SCYL3,SCYL3,CXCL10,DUSP3,SCYL3,SELL,SCYL3,KLF2,SCYL3,SERPING1,ANKRD22,RAB20,BATF2,GBP5,DUSP3,BATF2,STAT1,C1QC,SCYL3,GBP1,NAT2,FCGR1A,Gene_697,STAT1,KIAA2013,GBP5,DUSP3,ANKRD22,AGMO,FCGR1B,SCYL3,ICAM1,GZMB,GBP1,SCYL3,SCYL3,SCYL3,STAT1,CFB,SCYL3,Gene_12676,IFITM3,CCDC124,SCYL3,IFNG,GBP5,C1QB,DUSP3,GBP5,FCGR1A,SOCS3,gene_name2,ERVK-28,TUBGCP6,IFITM3,SCYL3,DUSP3,EYA3
FAS,FCGR1B,CFH,KLF2,KLF2,STAT1,C1orf112,EPSTI1,C1orf112,DUSP3,ALDH1A1,C1QA,FCGR1B,C1orf112,C1orf112,HP,BATF2,GBP5,C1orf112,KLF2,IFIT3,C1orf112,C1orf112,CD1C,FCGR1A,IFIT3,BATF2,IRF1,FUCA2,CARD17,KLF12,C1orf112,C1orf112,CMIP,FCGR1B,KLF2,GBP5,BCL2,IFNG,FCGR1B,C1orf112,RNASEL,C1orf112,C1orf112,STAT1,KLF2,C1orf112,GADD45B,C1orf112,TNFRSF10C,C1orf112,FCGR1A,BATF2,HK3,IFITM3,GBP1,KLF2,SERPING1,GBP1,SERPING1,C1orf112,GBP5,IFIT1,STAT1,Gene_656,GBP5,ARG1,GBP6,KLF2,CARD17,BLK,GBP5,C1orf112,CEBPD,GBP1,GBP5,C1orf112,C1orf112,C1orf112,GBP5,ARG1,C1orf112,Gene_14478,DUSP3,ADAM22,C1orf112,CXCL9,FCGR1B,FCGR1A,KLF2,P2RY14,GBP1,FCGR1A,gene_name3,MIR489,SDR39U1,IFI44L,C1orf112,KLF2,CMIP
DUSP3,SERPING1,TNFRSF10C,FCGR1A,IFITM3,OAS1,FGR,EIF2AK2,FGR,KLF2,ANKRD20A9P,FCGR1A,GBP1,FGR,FGR,TLR5,IFITM3,KLF2,FGR,TNFAIP6,IFITM3,FGR,FGR,NEDD4,IFITM3,IFIT1,BLK,STAT1,GCLC,IFITM3,GBP5,FGR,FGR,UBTF,HP,FCGR1A,DUSP3,C20orf197,STAT1,HP,FGR,SEMA7A,FGR,FGR,IL1B,FCGR1A,FGR,IFNG,FGR,EBF3,FGR,GBP5,STAT1,GBP1,GBP1,IFITM3,CCL5,CXCL10,IFNG,ETV7,FGR,TRIM22,STAT1,BATF2,Gene_233,FCGR1B,APOL4,C1QB,FCGR1B,IFITM3,ASAP1,STAT1,FGR,IRAK3,IL1B,FCGR1B,FGR,FGR,FGR,IFITM3,TLR1,FGR,Gene_19790,KLF2,VPS41,FGR,CXCL11,ANKRD22,GBP1,FCGR1B,BATF2,C1QB,MPO,gene_name4,VSTM5,SERPING1,GBP5,FGR,BATF2,UBTF
GBP1,TUBGCP6,IFNG,C1QB,BLK,IFITM3,CFH,GBP2,CFH,TYMP,APOC1,C1QC,IDO1,CFH,CFH,ANKRD22,KLF2,C1QB,CFH,ANKRD22,IRF7,CFH,CFH,PLTP,IRF1,IRF1,ANKRD22,FCGR1A,NFYA,TNFAIP6,FCGBP,CFH,CFH,CDKN2B,TLR5,C1QB,KLF2,CASP8,GBP1,TLR5,CFH,TAPBP,CFH,CFH,TNF,GZMA,CFH,IL1R1,CFH,A2ML1,CFH,DUSP3,IFITM3,LTF,P2RY14,IRF1,CCL19,GBP5,CXCL10,BATF2,CFH,CXCL9,TNFSF10,IFITM3,Gene_546,IFITM3,RORC,FCGR1B,GBP2,TNFAIP6,CD1C,GBP1,CFH,IL1R1,IFITM3,IFITM3,CFH,CFH,CFH,TAP1,LAG3,CFH,Gene_641,FCGR1B,PAX6,CFH,CXCL10,CARD17,IFITM3,SERPING1,GBP1,FCGR1B,C1QB,gene_name5,TSG101,FCGR1B,IFIT3,CFH,ETV7,TMEM164
INSL3,TRMT2A,PGM5,ZNF296,STAT1,RSAD2,FUCA2,IFIT2,FUCA2,STAT1,APOC1P1,SERPING1,CXCL10,FUCA2,FUCA2,C1QB,VAMP5,CD1C,FUCA2,KLF12,IRF1,FUCA2,FUCA2,RNASEL,GBP1,IDO1,CD1C,CXCL9,STPG1,FCGBP,ANKRD22,FUCA2,FUCA2,PTK2,GBP1,GBP6,GBP2,CCL2,IFITM3,ABCB9,FUCA2,THBS1,FUCA2,FUCA2,IRF1,GBP1,FUCA2,TNFRSF1B,FUCA2,RIN3,FUCA2,KLF2,GBP1,CD274,C1QB,FCGR1A,C1Qb,IFITM3,IRF1,DUSP3,FUCA2,CD274,A1BG,DUSP3,Gene_883,DUSP3,IL1B,45904,SDR39U1,FCGBP,C1QB,IFITM3,FUCA2,CREB5,GBP5,IFI44L,FUCA2,FUCA2,FUCA2,PSMB9,CCL20,FUCA2,Gene_13317,ANKRD22,PDK2,FUCA2,GZMA,IFITM3,ANKRD22,BATF2,GBP6,GBP2,ELANE,gene_name6,LINC01046,TRMT2A,IFIT1,FUCA2,CD1C,CDKN2B
TRIM5,SDR39U1,EBF3,BATF2,FCGR1B,IFI44L,GCLC,BATF2,GCLC,GBP6,APOC2,ADAMDEC1,IFITM3,GCLC,GCLC,CARD16,SDR39U1,CXCL10,GCLC,CARD17,OAS1,GCLC,GCLC,SEMA7A,GBP2,GBP2,GBP1,IDO1,NIPAL3,KLF12,GBP1,GCLC,GCLC,ACOX3,GBP5,TMCC1,SDR39U1,CCL5,S100A9,ACTR3,GCLC,GBP4,GCLC,GCLC,CXCL9,IFITM3,GCLC,FCGR1A,GCLC,LY6G6D,GCLC,UBE2L6,IFNG,MARCKS,STAT1,STAT2,HLA-DMB,STAT1,GBP5,KLF2,GCLC,OAS1,GBP5,KLF2,Gene_590,KLF2,DEFA3,ANKRD22,SERPING1,KLF12,CCL2,DUSP3,GCLC,PDGFC,GBP6,IFI44,GCLC,GCLC,GCLC,FCGR1A,HLA-G,GCLC,Gene_5713,CARD17,E2F2,GCLC,IDO1,EPSTI1,ARG1,ETV7,KLF2,IDO1,FCGR3A,gene_name7,SPNS2,PCBP1,GBP1,GCLC,FcGR1A,PTK2
FCGR1A,RAB20,A2ML1,ETV7,KLF12,IFIT1,NFYA,TAP1,NFYA,PRDM1,APOL1,STAT1,IRF1,NFYA,NFYA,CEACAM1,SERPING1,ETV7,NFYA,IFITM3,ISG15,NFYA,NFYA,TAPBP,IDO1,TAP1,P2RY14,IRF7,ENPP4,AIM2,AIM2,NFYA,NFYA,MLKL,FCGR1A,PRDM1,SERPING1,CCR7,BATF2,ADA,NFYA,SERPING1,NFYA,NFYA,CXCL11,P2RY14,NFYA,STAT1,NFYA,TEX264,NFYA,VAMP5,CXCL10,STAT1,DUSP3,IDO1,SYWC,IRF1,FCGR1A,GENE_299,NFYA,IFI35,A2M,PTPRC,Gene_173,TAPBP,CD177,BATF2,TRMT2A,GBP5,CCL5,KLF2,NFYA,FCGR1A,TYMP,ISG15,NFYA,NFYA,NFYA,CD274,FCAR,NFYA,Gene_7331,TNFAIP6,TFAP2B,NFYA,WARS,TNFAIP6,AZU1,CD1C,DUSP3,IFITM3,S100A8,gene_name8,RNU6-875P,BNIP3L,RSAD2,NFYA,STAT1,ACOX3
GBP2,INSL3,CASP1,CD1C,BATF2,IFI6,STPG1,GBP1,STPG1,TMCC1,BATF2,IFITM3,CXCL9,STPG1,STPG1,CR1,TRMT2A,SERPING1,STPG1,FCGR1B,MX1,STPG1,STPG1,THBS1,IRF7,PSMB9,GBP5,OAS1,SEMA3F,BATF2,ETV7,STPG1,STPG1,STX6,STAT1,ARG1,TRMT2A,CD163,CXCL10,ADAM17,STPG1,ATF3,STPG1,STPG1,IL6,ID3,STPG1,IL1B,STPG1,KIAA2013,STPG1,CXCL10,TNFAIP6,IFI44L,KLF2,IRF7,C9,IFNG,GBP2,GENE_298,STPG1,NEDD4,AAMP,TLR5,Gene_305,RNASEL,EIF5B,ETV7,TUBGCP6,DUSP3,DUSP3,IDO1,STPG1,IL18R1,GRN,MX1,STPG1,STPG1,STPG1,CXCL10,G0S2,STPG1,Gene_2959,FCGBP,POLDIP2,STPG1,GBP1,HP,BLK,BLK,ARG1,APOL1,S100A9,gene_name9,CTD-2529O21.1,GBP2,IFIT2,STPG1,IFITM3,MLKL
C5,CASP1,FAS,GBP6,FCGR1A,GBP5,NIPAL3,HLA-B,NIPAL3,ARG1,C1QA,GBP5,TAP1,NIPAL3,NIPAL3,CREB5,TUBGCP6,A2ML1,NIPAL3,FCGBP,STAT2,NIPAL3,NIPAL3,PTPRC,SOCS1,CASP1,TRAV27,CXCL11,CFTR,HP,FCGR1A,NIPAL3,NIPAL3,WTAP,CXCL10,BATF2,TUBGCP6,CD19,IL1B,ADAR,NIPAL3,TNFRSF10C,NIPAL3,NIPAL3,GBP1,GBP6,NIPAL3,CD40,NIPAL3,NEDD4,NIPAL3,ATP10A,SOCS1,BATF2,GBP2,OAS1,GBP1,CXCL9,STAT2,GENE_297,NIPAL3,IL15,AADAC,CCL5,Gene_177,THBS1,CMPK2,CD1C,STAT1,RAB20,ETV7,CXCL10,NIPAL3,IL18RAP,EIF2AK2,OAS1,NIPAL3,NIPAL3,NIPAL3,IDO1,JUN,NIPAL3,Gene_16133,KLF12,KMT2E,NIPAL3,STAT1,AIM2,BNIP3L,GBP1,ID3,BATF2,ERG,gene_name10,PACERR,KLF2,GBP2,NIPAL3,P2RY14,ATP5I
