seed_1_all,seed_2_all,seed_3_all,seed_4_all,seed_5_all,seed_6_all,seed_7_all,seed_8_all,seed_9_all,seed_10_all,seed_11_all,seed_12_all,seed_13_all,seed_14_all,seed_15_all,seed_16_all,seed_17_all,seed_18_all,seed_19_all,seed_20_all,seed_21_all,seed_22_all,seed_23_all,seed_24_all,seed_25_all,seed_26_all,seed_27_all,seed_28_all,seed_29_all,seed_30_all,seed_31_all,seed_32_all,seed_33_all,seed_34_all,seed_35_all,seed_36_all,seed_37_all,seed_38_all,seed_39_all,seed_40_all,seed_41_all,seed_42_all,seed_43_all,seed_44_all,seed_45_all,seed_46_all,seed_47_all,seed_48_all,seed_49_all,seed_50_all,seed_51_all,seed_52_all,seed_53_all,seed_54_all,seed_55_all,seed_56_all,seed_57_all,seed_58_all,seed_59_all,seed_60_all,seed_61_all,seed_62_all,seed_63_all,seed_64_all,seed_65_all,seed_66_all,seed_67_all,seed_68_all,seed_69_all,seed_70_all,seed_71_all,seed_72_all,seed_73_all,seed_74_all,seed_75_all,seed_76_all,seed_77_all,seed_78_all,seed_79_all,seed_80_all,seed_81_all,seed_82_all,seed_83_all,seed_84_all,seed_85_all,seed_86_all,seed_87_all,seed_88_all,seed_89_all,seed_90_all,seed_91_all,seed_92_all,seed_93_all,seed_94_all,seed_95_all,seed_96_all,seed_97_all,seed_98_all,seed_99_all,seed_100_all
DPM1,MIR4538,RYR3,DPM1,RYR3,5S_rRNA,MIR4538,MIR4538,DPM1,AC104984.4,DPM1,COX7B2,MIR4538,DPM1,AC104984.4,DPM1,RP11-385A18.1,DPM1,RAC1P9,MIR4538,DPM1,MIR4538,COX7B2,RYR3,CTA-204B4.2,COX7B2,DPM1,DPM1,COX7B2,MIR4538,DPM1,RP11-259O18.5,MAPKAPK3,DPM1,MIR4538,DPM1,RP11-252E2.2,DPM1,5S_rRNA,MIR4538,MIR4538,TRAJ59,RP5-1166H10.4,5S_rRNA,DPM1,yR211F11.2,MTCO1P10,DPM1,COX7B2,DPM1,DPM1,MIR4538,MIR4538,CTD-2651B20.9,COX7B2,RYR3,DPM1,5S_rRNA,RP11-758N13.3,COX7B2,ZNF34,COX7B2,DPM1,DPM1,MIR4538,MIR4538,HRAT17,DPM1,RYR3,DPM1,DPM1,BRD7P6,DPM1,DPM1,DPM1,DPM1,AC104984.4,DPM1,MIR4538,DPM1,DPM1,DPM1,AC104984.4,DPM1,AC104984.4,RBBP4,CTD-2201E9.2,MIR4538,MIR4538,DPM1,DPM1,5S_rRNA,DPM1,DPM1,DPM1,DPM1,MIR4538,DRC7,COX7B2,ZNF516-AS1
SCYL3,RP11-119F7.6,MIR6835,SCYL3,MIR6835,5S_rRNA,RP11-119F7.6,RP11-119F7.6,SCYL3,SNORD14A,SCYL3,RNA5SP308,RP11-119F7.6,SCYL3,SNORD14A,SCYL3,MIR3935,SCYL3,AC096582.9,RP11-119F7.6,SCYL3,RP11-119F7.6,RNA5SP308,MIR6835,IL21,RNA5SP308,SCYL3,SCYL3,RNA5SP308,RP11-119F7.6,SCYL3,DNAJB3,TSFM,SCYL3,RP11-119F7.6,SCYL3,IL21,SCYL3,5_8S_rRNA,RP11-119F7.6,RP11-119F7.6,RP1-15D23.2,TLX1NB,5_8S_rRNA,SCYL3,snoZ196,PIPOX,SCYL3,RNA5SP308,SCYL3,SCYL3,RP11-119F7.6,RP11-119F7.6,ZNF355P,RNA5SP308,MIR6835,SCYL3,5S_rRNA,RP11-503C24.1,RNA5SP308,WDR20,RNA5SP308,SCYL3,SCYL3,RP11-119F7.6,RP11-119F7.6,PCGF3,SCYL3,MIR6835,SCYL3,SCYL3,COILP1,SCYL3,SCYL3,SCYL3,SCYL3,SNORD14A,SCYL3,RP11-119F7.6,SCYL3,SCYL3,SCYL3,SNORD14A,SCYL3,SNORD14A,RP11-45A16.4,RP11-680F8.4,RP11-119F7.6,RP11-119F7.6,SCYL3,SCYL3,5_8S_rRNA,SCYL3,SCYL3,SCYL3,SCYL3,RP11-119F7.6,CCDC162P,RNA5SP308,AC006538.4
C1orf112,TCL6,SLC17A9,C1orf112,SLC17A9,5S_rRNA,TCL6,TCL6,C1orf112,TCL6,C1orf112,AC002401.1,TCL6,C1orf112,TCL6,C1orf112,SAPCD2P2,C1orf112,LZIC,TCL6,C1orf112,TCL6,AC002401.1,SLC17A9,AURKA,AC002401.1,C1orf112,C1orf112,AC002401.1,TCL6,C1orf112,RP11-25J23.4,CBX7,C1orf112,TCL6,C1orf112,AURKA,C1orf112,7SK,TCL6,TCL6,RNU6-23P,AC073094.4,7SK,C1orf112,hsa-mir-423,RN7SL260P,C1orf112,AC002401.1,C1orf112,C1orf112,TCL6,TCL6,AF241725.6,AC002401.1,SLC17A9,C1orf112,5S_rRNA,AC068831.18,AC002401.1,VPS9D1-AS1,AC002401.1,C1orf112,C1orf112,TCL6,TCL6,RP11-352J13.1,C1orf112,SLC17A9,C1orf112,C1orf112,MTREX,C1orf112,C1orf112,C1orf112,C1orf112,TCL6,C1orf112,TCL6,C1orf112,C1orf112,C1orf112,TCL6,C1orf112,TCL6,TTLL9,MEF2C-AS2,TCL6,TCL6,C1orf112,C1orf112,7SK,C1orf112,C1orf112,C1orf112,C1orf112,TCL6,SLC25A42,AC002401.1,ENSG10010135768.1
FGR,RP11-301G23.1,RSU1P3,FGR,RSU1P3,5S_rRNA,RP11-301G23.1,RP11-301G23.1,FGR,GPX1P2,FGR,FAM166AP3,RP11-301G23.1,FGR,GPX1P2,FGR,VASP,FGR,CTD-2571L23.9,RP11-301G23.1,FGR,RP11-301G23.1,FAM166AP3,RSU1P3,MIR6792,FAM166AP3,FGR,FGR,FAM166AP3,RP11-301G23.1,FGR,EIF4G2,GNAQ,FGR,RP11-301G23.1,FGR,ENSG10010134105.1,FGR,A1BG,RP11-301G23.1,RP11-301G23.1,C16orf78,IQSEC3,A1BG,FGR,hsa-mir-1253,LINC01082,FGR,FAM166AP3,FGR,FGR,RP11-301G23.1,RP11-301G23.1,ENSG10010140140.1,FAM166AP3,RSU1P3,FGR,5S_rRNA,ENSG10010135574.1,FAM166AP3,VPS25,FAM166AP3,FGR,FGR,RP11-301G23.1,RP11-301G23.1,MIR4787,FGR,RSU1P3,FGR,FGR,METTL4,FGR,FGR,FGR,FGR,GPX1P2,FGR,RP11-301G23.1,FGR,FGR,FGR,GPX1P2,FGR,GPX1P2,RP11-392O17.3,GCAT,RP11-301G23.1,RP11-301G23.1,FGR,FGR,A1BG,FGR,FGR,FGR,FGR,RP11-301G23.1,CHKB,FAM166AP3,MIR4789
CFH,NPM1P20,CTD-2308N23.4,CFH,CTD-2308N23.4,5S_rRNA,NPM1P20,NPM1P20,CFH,RP11-588K22.2,CFH,ANAPC1P3,NPM1P20,CFH,RP11-588K22.2,CFH,RP11-445J9.1,CFH,MIR4447,NPM1P20,CFH,NPM1P20,ANAPC1P3,CTD-2308N23.4,Y_RNA,ANAPC1P3,CFH,CFH,ANAPC1P3,NPM1P20,CFH,RNU6-637P,PCDHGA1,CFH,NPM1P20,CFH,RNA5SP259,CFH,A1BG-AS1,NPM1P20,NPM1P20,RP11-322M19.5,LINC01975,A1BG-AS1,CFH,bP-2189O9.5,TAS2R18,CFH,ANAPC1P3,CFH,CFH,NPM1P20,NPM1P20,MYO5C,ANAPC1P3,CTD-2308N23.4,CFH,5S_rRNA,DENND10,ANAPC1P3,VN1R13P,ANAPC1P3,CFH,CFH,NPM1P20,NPM1P20,CYCSP38,CFH,CTD-2308N23.4,CFH,CFH,RP5-879K22.2,CFH,CFH,CFH,CFH,RP11-588K22.2,CFH,NPM1P20,CFH,CFH,CFH,RP11-588K22.2,CFH,RP11-588K22.2,SLITRK5,CTC-304I17.5,NPM1P20,NPM1P20,CFH,CFH,A1BG-AS1,CFH,CFH,CFH,CFH,NPM1P20,SLC25A39,ANAPC1P3,RP11-343P9.1
FUCA2,FAM216A,RP11-386G21.2,FUCA2,RP11-386G21.2,5S_rRNA,FAM216A,FAM216A,FUCA2,H1-3,FUCA2,MACO1,HMGN2P25,FUCA2,RPS13,FUCA2,MTCO1P12,FUCA2,RP11-433J22.2,SNORA17,UBE2J1,FAM216A,MACO1,RP11-386G21.2,LRRC14,MACO1,FUCA2,FUCA2,MACO1,FAM216A,FUCA2,LINC01230,SCD,FUCA2,FAM216A,FUCA2,RNU1-75P,FUCA2,A1CF,FAM216A,RP11-288I21.1,RNU6-196P,AL049758.2,A1CF,FUCA2,ZNF638,RP11-401E14.3,FUCA2,MACO1,FUCA2,FUCA2,FAM216A,AC112220.2,LMO3,MACO1,RP11-386G21.2,FUCA2,5S_rRNA,AC000081.2,MACO1,UBE2L2,MACO1,FUCA2,FUCA2,FAM216A,RP11-221N13.3,RP5-1024G6.5,FUCA2,RP11-386G21.2,FUCA2,FUCA2,RP4-796B4.3,FUCA2,FUCA2,FUCA2,FUCA2,RNU6-1062P,FUCA2,FAM216A,FUCA2,FUCA2,FUCA2,RNU6-1062P,FUCA2,RNU6-1062P,RP11-56P9.10,OR4X7P,FAM216A,FAM216A,FUCA2,FUCA2,A1CF,FUCA2,FUCA2,FUCA2,FUCA2,AL590822.2,PSME3,MACO1,ENSG10010136167.1
GCLC,RP11-218M11.7,RP11-163O19.1,GCLC,RP11-163O19.1,5S_rRNA,RP11-218M11.7,RP11-218M11.7,GCLC,SRD5A3,GCLC,HRAS,MTCO3P12,GCLC,RPS28,GCLC,PPIC,GCLC,CAPSL,RNU6ATAC,CA5BP1,RP11-218M11.7,HRAS,RP11-163O19.1,C9orf16,HRAS,GCLC,GCLC,HRAS,RP11-218M11.7,GCLC,AP001065.5,LRRTM2,GCLC,RP11-218M11.7,GCLC,FAM43B,GCLC,A2M,RP11-218M11.7,PRNT,TRBV5-3,AC002383.2,A2M,GCLC,ZNF593,KCNJ1,GCLC,HRAS,GCLC,GCLC,RP11-218M11.7,LY6E,CTD-2655K5.1,HRAS,RP11-163O19.1,GCLC,5S_rRNA,WASH9P,HRAS,UBE2E2,HRAS,GCLC,GCLC,RP11-218M11.7,KRT8P32,USP12P1,GCLC,RP11-163O19.1,GCLC,GCLC,MTCO2P12,GCLC,GCLC,GCLC,GCLC,RP11-380J14.4,GCLC,RP11-218M11.7,GCLC,GCLC,GCLC,RP11-380J14.4,GCLC,RP11-380J14.4,SLC25A1,B4GALT1,RP11-218M11.7,RP11-218M11.7,GCLC,GCLC,A2M,GCLC,GCLC,GCLC,GCLC,C1orf194,PCGF3,HRAS,POLR2E
NFYA,IFNL3P1,LOXL1,NFYA,LOXL1,5S_rRNA,IFNL3P1,IFNL3P1,NFYA,RP11-177H13.2,NFYA,ATXN8OS,ZNF93,NFYA,RN7SL831P,NFYA,IFITM3,NFYA,MYB,SPINK5,HES4,IFNL3P1,ATXN8OS,LOXL1,POTEG,ATXN8OS,NFYA,NFYA,ATXN8OS,IFNL3P1,NFYA,KCNIP4,GPR75,NFYA,IFNL3P1,NFYA,SCN3A,NFYA,A2M-AS1,IFNL3P1,AC015802.4,RPL10P7,GPX2,A2M-AS1,NFU1,ZNF587,PPP6R2P1,NFYA,ATXN8OS,NFYA,NFYA,IFNL3P1,SLC9B2,TMEM225B,ATXN8OS,LOXL1,NFYA,5S_rRNA,TLCD3A,ATXN8OS,TPSAB1,ATXN8OS,NFYA,NFYA,IFNL3P1,RP11-696P8.3,SC5D,NFYA,LOXL1,NFYA,NFYA,RP11-303E16.7,NFYA,NFYA,NFYA,NFYA,RP11-378I6.2,NFYA,IFNL3P1,NFYA,NFYA,NFYA,RP11-378I6.2,NFYA,RP11-378I6.2,CTA-299D3.8,SSH1,IFNL3P1,IFNL3P1,NFYA,NFYA,A2M-AS1,NFYA,NFYA,NFYA,NFYA,AP000442.1,TNFAIP3,ATXN8OS,DDIT4L
STPG1,FOXD4L4,RP4-705F19.1,STPG1,RP4-705F19.1,5S_rRNA,FOXD4L4,FOXD4L4,STPG1,TRIM54,STPG1,ST13P19,DEFB1,STPG1,RP11-276H19.1,STPG1,RIN2,STPG1,CCL27,H3F3C,CYP2U1,FOXD4L4,ST13P19,RP4-705F19.1,GUCY1B3,ST13P19,STPG1,STPG1,ST13P19,FOXD4L4,STPG1,CTD-2506F9.1,ST7,STPG1,FOXD4L4,STPG1,RP1-197B17.4,STPG1,A2ML1,FOXD4L4,CTD-2008L17.2,TRBV21-1,TRAV41,A2ML1,TARDBP,ZNF567,OR5M13P,STPG1,ST13P19,STPG1,STPG1,FOXD4L4,HLA-H,RP11-196G11.6,ST13P19,RP4-705F19.1,STPG1,5S_rRNA,CTD-2357A8.2,ST13P19,TCAF2C,ST13P19,STPG1,STPG1,FOXD4L4,RP11-90C1.2,RP11-52A20.2,STPG1,RP4-705F19.1,STPG1,STPG1,RP11-883G14.3,STPG1,STPG1,STPG1,STPG1,FOXD4L4,STPG1,FOXD4L4,STPG1,STPG1,STPG1,FOXD4L4,STPG1,FOXD4L4,FXYD7,RP11-91K11.2,FOXD4L4,FOXD4L4,STPG1,STPG1,A2ML1,STPG1,STPG1,STPG1,STPG1,Z83851.3,AKIRIN1,ST13P19,RP4-592A1.4
NIPAL3,RP11-466H18.1,LINC01889,NIPAL3,LINC01889,5S_rRNA,RP11-466H18.1,RP11-466H18.1,NIPAL3,CCDC89,NIPAL3,DEFA6,RNU6-452P,NIPAL3,RN7SL779P,NIPAL3,EIF3L,NIPAL3,C22orf31,PRSS45,TMEM52,RP11-466H18.1,DEFA6,LINC01889,CCDC38,DEFA6,NIPAL3,NIPAL3,DEFA6,RP11-466H18.1,NIPAL3,RP11-263K19.5,FAM221B,NIPAL3,RP11-466H18.1,NIPAL3,RAB11FIP5,NIPAL3,A2ML1-AS1,RP11-466H18.1,CCL4,RP11-383D7.3,IL3,A2ML1-AS1,CKAP5,ZNF547,SLC46A3,NIPAL3,DEFA6,NIPAL3,NIPAL3,RP11-466H18.1,ANXA3,LINC02530,DEFA6,LINC01889,NIPAL3,5S_rRNA,OPRL1,DEFA6,TAS2R16,DEFA6,NIPAL3,NIPAL3,RP11-466H18.1,MIR6823,RP11-359E3.4,NIPAL3,LINC01889,NIPAL3,NIPAL3,RP11-5C23.1,NIPAL3,NIPAL3,NIPAL3,NIPAL3,MTND4P2,NIPAL3,RP11-466H18.1,NIPAL3,NIPAL3,NIPAL3,MTND4P2,NIPAL3,MTND4P2,SDCBP2-AS1,GATA4,RP11-466H18.1,RP11-466H18.1,NIPAL3,NIPAL3,A2ML1-AS1,NIPAL3,NIPAL3,NIPAL3,NIPAL3,MIR519E,HMG20B,DEFA6,RRAS
ENPP4,IGLV2-18,LINC00489,ENPP4,LINC00489,5_8S_rRNA,MIR195,MIR195,ENPP4,RPS10P17,ENPP4,AP000697.6,DNAJA4,ENPP4,LCE1A,ENPP4,ZNF208,ENPP4,FCRL4,RP11-529H20.4,SAMD11,MIR195,AP000697.6,LINC00489,SLC35G2,AP000697.6,ENPP4,ENPP4,AP000697.6,MIR195,ENPP4,ATP8B4,SLC12A7,ENPP4,MIR195,ENPP4,RP11-715F3.2,ENPP4,A2ML1-AS2,MIR195,RP11-396F22.1,TRBJ2-3,TMEM177,A2ML1-AS2,HES1,ZNF540,LINC00571,ENPP4,AP000697.6,ENPP4,ENPP4,RP11-473M20.14,DCAF12,MIR6868,AP000697.6,LINC00489,ENPP4,5_8S_rRNA,TRBV6-2,AP000697.6,SUMO3,AP000697.6,ENPP4,ENPP4,MIR195,MIR4760,RN7SL786P,ENPP4,LINC00489,ENPP4,ENPP4,DDIT4,ENPP4,ENPP4,ENPP4,ENPP4,RP11-144F15.1,ENPP4,MIR195,ENPP4,ENPP4,ENPP4,RP11-543L14.2,ENPP4,RP11-543L14.2,GNL3,ZNF250,MIR195,MIR195,ENPP4,ENPP4,A2ML1-AS2,ENPP4,ENPP4,ENPP4,ENPP4,AL592183.1,NLRP12,AP000697.6,KB-1107E3.1
SEMA3F,LDHAL6A,ENSG10010135223.1,SEMA3F,ENSG10010135223.1,5_8S_rRNA,RP11-244B22.10,RP11-244B22.10,SEMA3F,CD248,SEMA3F,RP11-210K20.2,C16orf82,SEMA3F,RP11-149I2.1,SEMA3F,SH2D3C,SEMA3F,GASK1B,RP11-551L14.4,NOC2L,RP11-244B22.10,RP11-210K20.2,ENSG10010135223.1,SYT3,RP11-210K20.2,SEMA3F,SEMA3F,RP11-210K20.2,RP11-244B22.10,SEMA3F,AC007785.3,ARL10,SEMA3F,RP11-244B22.10,SEMA3F,RP11-322E11.2,SEMA3F,A2MP1,RP11-244B22.10,MIR3131,TRGV9,AC026979.6,A2MP1,RRM1,ZNF500,AC016903.1,SEMA3F,RP11-210K20.2,SEMA3F,SEMA3F,RP11-291B21.2,HLA-DPA1,TRIM43,RP11-210K20.2,ENSG10010135223.1,SEMA3F,5_8S_rRNA,RP11-503C24.4,RP11-210K20.2,SRP68P2,RP11-210K20.2,SEMA3F,SEMA3F,RP11-244B22.10,RNU6-326P,RP11-145J21.1,SEMA3F,ENSG10010135223.1,SEMA3F,SEMA3F,LINC02684,SEMA3F,SEMA3F,SEMA3F,SEMA3F,RP11-202J19.4,SEMA3F,RP11-244B22.10,SEMA3F,SEMA3F,SEMA3F,LINC00032,SEMA3F,LINC00032,SNORD115-31,AC022400.1,RP11-244B22.10,RP11-244B22.10,SEMA3F,SEMA3F,A2MP1,SEMA3F,SEMA3F,SEMA3F,SEMA3F,AC104771.1,CDKN2AIPNL,RP11-210K20.2,VWDE
CFTR,OR4M1,OR52X1P,CFTR,OR52X1P,5_8S_rRNA,AC068286.1,AC068286.1,CFTR,SCARNA17,CFTR,ZNF865,RPL17-C18orf32,CFTR,RPL22L1,CFTR,ZNF837,CFTR,RNU7-172P,RP11-374A9.1,KLHL17,AC068286.1,ZNF865,OR52X1P,ADAMTS3,ZNF865,CFTR,CFTR,ZNF865,AC068286.1,CFTR,EDEM3,GTF3C4,CFTR,AC068286.1,CFTR,ENSG10010139745.1,CFTR,A3GALT2,AC068286.1,AC018521.32,TRBV7-8,PSMA3-AS1,A3GALT2,RAVER1,ZNF44,IGHV1-17,CFTR,ZNF865,CFTR,CFTR,C20orf203,BCL6,MTCO3P11,ZNF865,OR52X1P,CFTR,5_8S_rRNA,LINC01215,ZNF865,SNORD18,ZNF865,CFTR,CFTR,AC068286.1,RP11-490G2.1,ALMS1P1,CFTR,OR52X1P,CFTR,CFTR,RNU6-904P,CFTR,CFTR,CFTR,CFTR,ARHGAP5,CFTR,AC068286.1,CFTR,CFTR,CFTR,RP11-440G9.1,CFTR,RP11-440G9.1,MIR5194,RP11-479I13.2,AC068286.1,AC068286.1,CFTR,CFTR,A3GALT2,CFTR,CFTR,CFTR,CFTR,CTB-102E17.1,PYCR1,ZNF865,CCDC13-AS1
ANKIB1,PTGDR,RP11-325K2.1,ANKIB1,RP11-325K2.1,5_8S_rRNA,RP5-858B6.4,RP5-858B6.4,ANKIB1,ARL6IP1P1,ANKIB1,AC098831.4,RP11-792A8.4,ANKIB1,RP11-137H2.4,ANKIB1,ATF4,ANKIB1,SILC1,RP1-197P21.3,PLEKHN1,RP5-858B6.4,AC098831.4,RP11-325K2.1,SNORD51,AC098831.4,ANKIB1,ANKIB1,AC098831.4,RP5-858B6.4,ANKIB1,PPP1R26,ZNF445,ANKIB1,RP5-858B6.4,ANKIB1,TAS2R16,ANKIB1,A4GALT,RP5-858B6.4,CD74,IGLV6-57,LINC01960,A4GALT,DUSP13,ZNF384,LINC01168,ANKIB1,AC098831.4,ANKIB1,ANKIB1,AC073410.2,LUCAT1,ANKRD1,AC098831.4,RP11-325K2.1,ANKIB1,5_8S_rRNA,SMG1P2,AC098831.4,SNORA70E,AC098831.4,ANKIB1,ANKIB1,RP5-858B6.4,U6,RP11-364B14.3,ANKIB1,RP11-325K2.1,ANKIB1,ANKIB1,PLPPR2,ANKIB1,ANKIB1,ANKIB1,ANKIB1,C15orf54,ANKIB1,RP5-858B6.4,ANKIB1,ANKIB1,ANKIB1,STAU2,ANKIB1,STAU2,RP1-63P18.2,RNU6-473P,RP5-858B6.4,RP5-858B6.4,ANKIB1,ANKIB1,A4GALT,ANKIB1,ANKIB1,ANKIB1,ANKIB1,LINC00486,RRP1,AC098831.4,HMGN1P9
CYP51A1,TIGIT,SPATA12,CYP51A1,SPATA12,5_8S_rRNA,STAU2,STAU2,CYP51A1,AC015691.13,CYP51A1,SNORD115-15,ZNRF3,CYP51A1,RPL12P38,CYP51A1,NDUFB7,CYP51A1,RN7SL543P,AC006273.5,PERM1,STAU2,SNORD115-15,SPATA12,ANKRD20A4,SNORD115-15,CYP51A1,CYP51A1,SNORD115-15,STAU2,CYP51A1,RP11-14N7.2,PIKFYVE,CYP51A1,STAU2,CYP51A1,RP13-895J2.7,CYP51A1,A4GNT,STAU2,RP11-454P21.1,RPL17P46,LINC02169,A4GNT,PHAX,ZNF292,7SK,CYP51A1,SNORD115-15,CYP51A1,CYP51A1,AC092069.1,KLRC2,DLEU2,SNORD115-15,SPATA12,CYP51A1,5_8S_rRNA,IGKV3-11,SNORD115-15,SNORA70C,SNORD115-15,CYP51A1,CYP51A1,STAU2,RPL13AP3,MTND6P20,CYP51A1,SPATA12,CYP51A1,CYP51A1,EPS15,CYP51A1,CYP51A1,CYP51A1,CYP51A1,SNORA18,CYP51A1,STAU2,CYP51A1,CYP51A1,CYP51A1,CTD-2301A4.1,CYP51A1,CTD-2301A4.1,GAS2,SERPINB7,STAU2,STAU2,CYP51A1,CYP51A1,A4GNT,CYP51A1,CYP51A1,CYP51A1,CYP51A1,MIR3656,RBM12,SNORD115-15,RP11-390K5.6
