seed_1_all,seed_2_all,seed_3_all,seed_4_all,seed_5_all,seed_6_all,seed_7_all,seed_8_all,seed_9_all,seed_10_all,seed_11_all,seed_12_all,seed_13_all,seed_14_all,seed_15_all,seed_16_all,seed_17_all,seed_18_all,seed_19_all,seed_20_all,seed_21_all,seed_22_all,seed_23_all,seed_24_all,seed_25_all,seed_26_all,seed_27_all,seed_28_all,seed_29_all,seed_30_all,seed_31_all,seed_32_all,seed_33_all,seed_34_all,seed_35_all,seed_36_all,seed_37_all,seed_38_all,seed_39_all,seed_40_all,seed_41_all,seed_42_all,seed_43_all,seed_44_all,seed_45_all,seed_46_all,seed_47_all,seed_48_all,seed_49_all,seed_50_all,seed_51_all,seed_52_all,seed_53_all,seed_54_all,seed_55_all,seed_56_all,seed_57_all,seed_58_all,seed_59_all,seed_60_all,seed_61_all,seed_62_all,seed_63_all,seed_64_all,seed_65_all,seed_66_all,seed_67_all,seed_68_all,seed_69_all,seed_70_all,seed_71_all,seed_72_all,seed_73_all,seed_74_all,seed_75_all,seed_76_all,seed_77_all,seed_78_all,seed_79_all,seed_80_all,seed_81_all,seed_82_all,seed_83_all,seed_84_all,seed_85_all,seed_86_all,seed_87_all,seed_88_all,seed_89_all,seed_90_all,seed_91_all,seed_92_all,seed_93_all,seed_94_all,seed_95_all,seed_96_all,seed_97_all,seed_98_all,seed_99_all,seed_100_all
GBP5,GBP5,GBP5,BATF2,GBP1,IFI44L,GBP5,GBP5,GBP5,GBP5,GBP5,GBP5,GBP5,FCGR1A,GBP5,GBP5,IFIT3,GBP5,IFI44L,GBP5,GBP5,FCGR1A,IFNG,FCGR1A,GBP5,IFNG,GBP5,GBP5,GBP5,STAT1,GBP1,GBP5,GBP5,GBP5,GBP5,GBP5,GBP5,GBP5,GBP5,GBP5,IFNG,AIM2,GBP5,GBP5,GBP5,GBP2,BATF2,GBP5,CXCL10,IFNG,GBP5,GBP5,GBP5,GBP5,GBP5,FCGR1A,GBP5,GBP5,IFI27,CXCL10,DUSP3,IFI44,GBP5,GBP5,GBP5,GBP5,GBP5,GBP5,GBP5,GBP5,GBP5,BATF2,GBP5,BATF2,BATF2,DUSP3,GBP5,IFI44L,IFI27,IFI44,GBP5,GBP5,IFNG,GBP5,FCGR1A,IFI44L,GBP5,IFI44L,GBP5,FCGR1A,GBP5,FCGR1A,GBP5,GBP5,GBP5,GBP5,GBP5,GBP5,FCGR1A,IFI44L
FCGR1A,FCGR1A,DUSP3,ETV7,GBP2,IFI44,DUSP3,DUSP3,DUSP3,FCGR1A,GBP1,DUSP3,GBP1,GBP5,FCGR1A,DUSP3,IFIT1,FCGR1A,IFI27,DUSP3,DUSP3,BATF2,TNF,FCGR1B,FCGR1A,CXCL10,DUSP3,DUSP3,FCGR1A,CXCL10,GBP3,DUSP3,BATF2,FCGR1A,GBP1,GBP1,GBP1,STAT1,CXCL10,DUSP3,CXCL10,BATF2,DUSP3,FCGR1A,DUSP3,FCGR1B,GBP5,DUSP3,IFI44L,CXCL10,IFI44L,RAB20,FCGR1A,DUSP3,DUSP3,GBP5,DUSP3,DUSP3,FCGR1A,CXCL9,KLF2,IFI44L,DUSP3,GBP1,DUSP3,GBP4,IFI44L,GBP1,DUSP3,FCGR1A,GBP1,GBP5,GBP2,SERPING1,GBP5,RAB11FIP1,IFI44L,CXCL10,IFI44L,IFI44L,GBP2,DUSP3,STAT1,DUSP3,FCGR1B,FCGR1A,FCGR1A,CXCL10,GBP1,GBP1,DUSP3,GBP5,DUSP3,DUSP3,GBP1,DUSP3,BATF2,DUSP3,STAT1,IFI44
FCGR1B,DUSP3,KLF2,GBP1,GBP3,ISG15,KLF2,KLF2,KLF2,DUSP3,FCGR1A,KLF2,GBP4,GBP6,BATF2,KLF2,IFIT2,BATF2,IFIT3,KLF2,KLF2,IFI44,IL6,GBP1,BATF2,CXCL9,KLF2,KLF2,BATF2,DUSP3,GBP4,KLF2,KLRB1,IFI44L,GBP4,GBP2,GBP4,GBP1,CXCL9,KLF2,CXCL9,FCGR1B,KLF2,IFITM3,KLF2,SERPING1,KCNJ2,KLF2,BATF2,GBP5,IFI44,BATF2,IFI44L,KLF2,KLF2,SERPING1,KLF2,KLF2,GBP1,FCGR1A,GBP2,IFI6,KLF2,FCGR1A,KLF2,GBP2,FCGR1A,FCGR1A,KLF2,FCGR1B,GBP2,FCGR1A,FCGR1A,FCGR1A,FCGR1A,BATF2,CXCL10,GBP5,IFI44,IFIT1,FCGR1B,KLF2,STAT2,KLF2,DUSP3,GBP5,BATF2,FCGR1A,GBP2,GBP5,KLF2,GBP6,KLF2,FCGR1B,FCGR1A,KLF2,FCGR1A,KLF2,CXCL10,IFIT3
STAT1,IFI44L,BATF2,GBP2,GBP4,IFI27,BATF2,IFI27,BATF2,KLF2,CXCL10,FCGR1A,IFI44L,C1QB,GBP1,FCGR1A,IFITM3,KLF2,ISG15,GBP2,FCGR1A,CXCL10,CXCL10,GBP2,GBP2,BATF2,FCGR1A,FCGR1A,SERPING1,KLF2,GBP6,GBP1,IFI44L,IFIT3,GBP3,GBP6,GBP2,CXCL10,GBP1,GBP1,GBP5,HP,BATF2,IFI44L,GBP2,TUBGCP6,FCGR1A,BATF2,FCGR1A,BATF2,IFIT3,GBP1,CXCL10,FCGR1A,BATF2,EPSTI1,FCGR1A,FCGR1A,CXCL10,SOCS3,FCGR1B,IFIT1,IFI27,STAT1,RAB33A,GBP1,IFITM3,GBP2,MYO1B,SERPING1,BATF2,GBP1,FCGR1B,IFITM3,DUSP3,IFI27,FCGR1A,GBP1,IFI35,IFIT2,SERPING1,GBP1,IRF1,GBP1,KLF2,GBP1,GBP1,GBP2,GBP3,IFI44,FCGR1A,C1QB,BATF2,GBP2,IFI44L,GBP2,GBP1,BATF2,IFITM3,IFIT1
CXCL10,IFI44,ETV7,GBP5,GBP5,IFIT3,GBP1,CXCL10,GBP1,GBP1,IFITM3,GBP1,IFI44,FCGR1B,IFI44,CXCL10,IFITM1,SERPING1,GBP5,FCGR1B,BATF2,ISG15,CXCL9,GBP3,GBP1,FCGR1A,FCGR1B,BATF2,GBP2,FCGR1A,GBP7,IFITM3,STAT1,ISG15,GBP2,FCGR1A,STAT1,IFI44L,GBP2,GBP2,IDO1,TLR5,CXCL10,IFI44,FCGR1B,TRMT2A,IFITM3,SERPING1,IFIT3,SERPING1,RSAD2,GBP2,CXCL9,BATF2,FCGR1A,BATF2,BATF2,IFI44L,IFI44L,MARCO,SERPING1,IFIT2,CXCL10,IFITM3,IDO1,BATF2,GBP1,GBP4,ANKRD22,BATF2,FCGR1A,GBP2,SERPING1,DUSP3,KLF2,IFIT3,STAT1,FCGR1A,IFIT1,IFIT3,DUSP3,GBP2,IRF7,GBP2,EPSTI1,GBP4,GBP2,IFITM3,GBP4,IFIT3,CXCL10,FCGR1B,FCGR1A,SERPING1,IFI44,FCGR1A,DUSP3,IFI44L,ISG15,IFIT2
CXCL9,BATF2,FCGR1C,SCARF1,IFI27,IFIT1,ANKRD22,GBP1,FCGR1B,IFI44L,ISG15,IFI44L,IFI27,ANKRD22,IFI44L,CXCL9,IFITM2,ANKRD22,CXCL10,SERPING1,SERPING1,IFITM3,IL1B,GBP4,FCGR1B,STAT1,SERPING1,LAMP3,CXCL10,BATF2,IFI27,P2RY14,IFITM3,IFI44,IFIT3,FCGR1B,IRF7,IFI27,IFIT3,FCGR1A,FCGR1A,GBP5,IFI44,BATF2,SERPING1,SDR39U1,IFI27,FCGR1A,OAS1,FCGR1A,FCGR1A,FCGR1A,BATF2,SERPING1,FCGR1B,GBP1,SERPING1,FAM89A,IFIT3,S100A8,IFITM3,IFIT3,CXCL9,IFIT3,BATF2,ANKRD22,CXCL10,IFI44L,SEPTIN9,GBP1,STAT1,GBP3,DUSP3,KLF2,GBP1,GBP1,IFITM3,FCGR1B,IFIT3,IFIT5,KLF2,GBP3,IRF9,GBP4,BATF2,IFI44,GBP4,BATF2,IFI44L,BATF2,CXCL11,SEPTIN4,SERPING1,C1QB,ISG15,BATF2,KLF2,IFI44,IFI44L,IFI27
CXCL11,ISG15,GBP1,SERPING1,IFI27L1,CXCL10,FCGR1A,GBP2,ANKRD22,GBP2,IFIT1,IFI44,IFI6,BATF2,IFIT3,CXCL11,IFI44,DUSP3,FCGR1A,TUBGCP6,RAB20,IFIT3,STAT1,GBP6,IFI27,SIGLEC1,TUBGCP6,SAMD9L,IFIT3,IFI44L,IFI27L1,ID3,SERPING1,OAS3,IFIT2,STAT1,ISG15,IFITM3,IFITM3,FCGR1B,STAT1,GBP1,IFI44L,GBP1,BATF2,DUSP3,IFI44L,FCGR1B,CXCL9,FCGR1B,STAT1,FCGR1B,GBP4,BST2,SERPING1,GBP2,LAMP3,IFI27,ISG15,S100A9,BCL2A1,IFITM1,BATF2,EPSTI1,LTF,CXCL10,CXCL9,IFI44,BATF2,GBP2,GBP4,GBP4,KLF2,ANKRD22,STAT1,GBP2,OAS1,STAT1,IFIT2,IFITM1,TUBGCP6,GBP4,ISG15,IFIT3,OAS1,IFIT3,GBP3,STAT1,IFI44,SERPING1,CXCL9,ANKRD22,UBE2L6,RSAD2,IFIT3,CXCL10,IFIT3,IFIT1,IFI27,ISG15
CCL8,IFIT3,GBP2,STAT1,IFI35,CXCL9,FCGR1B,IFI44L,GBP2,IFITM3,IFIT3,IFIT1,IFIT3,DUSP3,IFIT1,STAT1,IFI44L,AIM2,GBP1,TRMT2A,APOL1,IFIT2,ISG15,STAT1,IFIT3,IRF1,RAB20,IFIT3,IFI44L,IFI44,IFI35,BATF2,IFI35,CXCL10,IFIT1,ISG15,MX1,IL1B,ISG15,SERPING1,SOCS3,GBP2,FCGR1A,CXCL10,CXCL10,KLF2,OAS1,FCGR1C,GBP1,IRF1,IFITM3,LILRB1,IFIT3,TXNIP,GBP2,IFI44L,ANKRD22,IFI44,CXCL9,GBP1,BATF2,IFITM2,ISG15,CXCL10,FCGR1A,CXCL9,STAT1,IFIT1,GBP6,STAT1,IFI44L,IFIT1,BLK,STAT1,IRF7,GBP4,ISG15,IRF7,IFITM1,IFITM2,TRMT2A,GBP6,IFI44,IFITM3,ANKRD22,IFIT1,CXCL10,IRF7,IFI6,CXCL10,IFIT3,APOL1,CXCL10,STAT1,IFIT2,IFITM3,ISG15,IFIT2,LAMP3,ISG20
CCL2,IFIT1,SCARF1,TAP1,IFI44,CXCL11,IFIT3,IFIT3,FCGR1A,IFI27,CXCL9,IFIT3,IFIT1,KLF2,ISG15,IFIT3,IFI27,BCL2,IFIT1,SDR39U1,CXCL10,MX1,IFI44L,STAT2,SERPING1,IRF7,IFI27,IFIT2,OAS1,IFIT3,IFI44,FCGR1A,GBP1,STAT1,IFI44L,CXCL10,MX2,CCL2,BATF2,BATF2,BATF2,GBP3,GBP1,RAB20,ISG15,ANKRD22,CXCL10,GBP6,HLA-DRA,IRF7,IFIT1,IL1B,STAT1,IFITM3,OAS1,SIGLEC1,GBP1,IFIT1,STAT1,GBP2,IFI44L,IFITM3,OAS1,IFI27,FCGR1B,CXCL11,OAS1,IFIT2,IFI44L,CXCL10,EPSTI1,IFIT2,CD1C,TAP1,OAS1,GBP6,IL1B,IFIT3,IFITM3,IFITM3,SDR39U1,FCGR1A,IFI44L,IFI44L,GBP1,IFIT2,CXCL9,OAS1,IFI27,CXCL9,IFIT2,BATF2,CXCL9,JAK2,IFIT1,IFI44L,CXCL10,IFIT3,CXCL9,OAS1
IFIT3,OAS1,SERPING1,TRAFD1,IFI44L,STAT1,IFI44L,FCGR1A,SERPING1,IFIT3,OAS3,IFITM1,IFIT2,RASGRP2,CXCL10,IFIT2,IFI6,C1QB,IFI44,ANKRD22,IFI44L,IFI27,IFIT3,SERPING1,DUSP3,ISG15,IFI35,IFI44L,ISG15,ISG15,IFI44L,STAT1,GBP2,GBP1,IFI44,CXCL9,OAS1,GBP2,IFI44L,ANKRD22,GBP1,GBP4,GBP2,DUSP3,IFI27,APOL1,CXCL9,GBP1,ISG15,STAT1,IFI6,TNF,IRF7,CXCL10,OAS3,CXCL10,CXCL10,IFIT3,OASL,GBP4,IFIT1,IRF7,OAS3,BATF2,IFITM3,IFI44L,OAS3,IFIT3,FCGR1A,IFI44L,IFIT3,IFIT3,GAS6,C1QB,ISG15,STAT1,SERPING1,IFIT1,STAT1,IFI27,BATF2,FCGR1B,IFIT1,FCGR1A,FCGR1C,IFIT5,CXCL11,ISG15,IFIT3,IFI44L,IFIT1,ETV7,IFIT3,GBP1,OAS1,IFI6,STAT1,RSAD2,IFIT3,OAS2
