"","Seed","FilledRows","Deviation","Model","Condition","PromptLength","CondPrompt"
"1","seed_1_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"2","seed_2_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"3","seed_3_all",201,1,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"4","seed_4_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"5","seed_5_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"6","seed_6_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"7","seed_7_all",219,19,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"8","seed_8_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"9","seed_9_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"10","seed_10_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"11","seed_11_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"12","seed_12_all",199,-1,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"13","seed_13_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"14","seed_14_all",218,18,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"15","seed_15_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"16","seed_16_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"17","seed_17_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"18","seed_18_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"19","seed_19_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"20","seed_20_all",224,24,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"21","seed_21_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"22","seed_22_all",195,-5,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"23","seed_23_all",203,3,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"24","seed_24_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"25","seed_25_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"26","seed_26_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"27","seed_27_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
"28","seed_28_all",200,0,"ChatGPT o3","KD/MIS-C","Long","KD/MIS-C · Long"
