"","seed","gpt_informed_accuracy","gpt_naive_accuracy","claude_naive_accuracy","claude_informed_accuracy","EXTRATREES_accuracy","GLMNETLasso_accuracy","GLMNETRidge_accuracy","NNET_accuracy","RF_accuracy","Condition"
"1",1,0.836734693877551,0.755102040816326,0.612244897959184,0.591836734693878,0.877551020408163,0.897959183673469,0.877551020408163,0.857142857142857,0.877551020408163,"KD"
"2",2,0.795918367346939,0.836734693877551,0.469387755102041,0.551020408163265,0.857142857142857,0.877551020408163,0.897959183673469,0.836734693877551,0.836734693877551,"KD"
"3",3,0.897959183673469,0.836734693877551,0.571428571428571,0.551020408163265,0.795918367346939,0.857142857142857,0.877551020408163,0.877551020408163,0.795918367346939,"KD"
"4",4,0.795918367346939,0.836734693877551,0.489795918367347,0.530612244897959,0.857142857142857,0.816326530612245,0.836734693877551,0.836734693877551,0.857142857142857,"KD"
"5",5,0.918367346938776,0.938775510204082,0.591836734693878,0.612244897959184,0.877551020408163,0.877551020408163,0.836734693877551,0.836734693877551,0.877551020408163,"KD"
"6",6,0.816326530612245,0.816326530612245,0.653061224489796,0.571428571428571,0.836734693877551,0.795918367346939,0.857142857142857,0.918367346938776,0.816326530612245,"KD"
"7",7,0.857142857142857,0.816326530612245,0.591836734693878,0.489795918367347,0.877551020408163,0.857142857142857,0.816326530612245,0.857142857142857,0.877551020408163,"KD"
"8",8,0.877551020408163,0.918367346938776,0.673469387755102,0.693877551020408,0.918367346938776,0.897959183673469,0.897959183673469,0.897959183673469,0.918367346938776,"KD"
"9",9,0.795918367346939,0.877551020408163,0.551020408163265,0.510204081632653,0.897959183673469,0.897959183673469,0.918367346938776,0.918367346938776,0.918367346938776,"KD"
"10",10,0.816326530612245,0.673469387755102,0.673469387755102,0.551020408163265,0.775510204081633,0.816326530612245,0.857142857142857,0.755102040816326,0.755102040816326,"KD"
"11",11,0.836734693877551,0.857142857142857,0.63265306122449,0.428571428571429,0.816326530612245,0.918367346938776,0.918367346938776,0.938775510204082,0.857142857142857,"KD"
"12",12,0.897959183673469,0.877551020408163,0.469387755102041,0.530612244897959,0.857142857142857,0.938775510204082,0.897959183673469,0.857142857142857,0.857142857142857,"KD"
"13",13,0.938775510204082,0.938775510204082,0.469387755102041,0.73469387755102,0.938775510204082,0.897959183673469,0.877551020408163,0.897959183673469,0.918367346938776,"KD"
"14",14,0.857142857142857,0.816326530612245,0.520833333333333,0.714285714285714,0.918367346938776,0.877551020408163,0.857142857142857,0.877551020408163,0.795918367346939,"KD"
"15",15,0.857142857142857,0.877551020408163,0.489795918367347,0.73469387755102,0.816326530612245,0.918367346938776,0.959183673469388,0.897959183673469,0.857142857142857,"KD"
"16",16,0.857142857142857,0.857142857142857,0.653061224489796,0.653061224489796,0.775510204081633,0.836734693877551,0.816326530612245,0.918367346938776,0.775510204081633,"KD"
"17",17,0.571428571428571,0.816326530612245,0.591836734693878,0.448979591836735,0.836734693877551,0.857142857142857,0.857142857142857,0.857142857142857,0.836734693877551,"KD"
"18",18,0.918367346938776,0.897959183673469,0.469387755102041,0.693877551020408,0.816326530612245,0.73469387755102,0.795918367346939,0.795918367346939,0.857142857142857,"KD"
"19",19,0.857142857142857,0.693877551020408,0.591836734693878,0.408163265306122,0.897959183673469,0.857142857142857,0.938775510204082,0.938775510204082,0.816326530612245,"KD"
"20",20,0.897959183673469,0.816326530612245,0.530612244897959,0.469387755102041,0.918367346938776,0.918367346938776,0.897959183673469,0.877551020408163,0.938775510204082,"KD"
"21",21,0.877551020408163,0.877551020408163,0.63265306122449,0.571428571428571,0.877551020408163,0.73469387755102,0.836734693877551,0.918367346938776,0.938775510204082,"KD"
"22",22,0.857142857142857,0.816326530612245,0.693877551020408,0.448979591836735,0.836734693877551,0.877551020408163,0.816326530612245,0.918367346938776,0.816326530612245,"KD"
