"Condition","Model","Pathway","Score"
"KD","Claude","REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION",78.7651969619561
"KD","Claude","REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKBKE",202.847961079945
"KD","Claude","REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES",96.561431879651
"KD","Claude","REACTOME_ADAPTIVE_IMMUNE_SYSTEM",112.468273229008
"KD","Claude","REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION",159.698928494207
"KD","Claude","REACTOME_ANTIMICROBIAL_PEPTIDES",130.077337036761
"KD","Claude","REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES",202.19767428039
"KD","Claude","REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION",135.709901204658
"KD","Claude","REACTOME_APOPTOSIS",65.2780405238507
"KD","Claude","REACTOME_BACTERIAL_INFECTION_PATHWAYS",55.0759528316143
"KD","Claude","REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS",5.26932449813376
"KD","Claude","REACTOME_CARDIAC_CONDUCTION",38.3181021499313
"KD","Claude","REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS",-13.8519177809503
"KD","Claude","REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND",64.7413584207039
"KD","Claude","REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY",65.3845232011123
"KD","Claude","REACTOME_CELLULAR_RESPONSES_TO_STIMULI",81.7554690736341
"KD","Claude","REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS",69.720471674827
"KD","Claude","REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS",-58.8144387008022
"KD","Claude","REACTOME_CELLULAR_SENESCENCE",203.892598402444
"KD","Claude","REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL",143.172177647381
"KD","Claude","REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES",170.111260285157
"KD","Claude","REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS",147.317771877716
"KD","Claude","REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION",142.89952722437
"KD","Claude","REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS",-24.7480885209816
"KD","Claude","REACTOME_CLEC7A_DECTIN_1_SIGNALING",169.466433590027
"KD","Claude","REACTOME_COLLAGEN_DEGRADATION",33.1345032978675
"KD","Claude","REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION",226.452415589878
"KD","Claude","REACTOME_COMPLEMENT_CASCADE",109.44915141169
"KD","Claude","REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER",35.0051319230648
"KD","Claude","REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY",111.400106829126
"KD","Claude","REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS",44.964911437141
"KD","Claude","REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM",187.388787059491
"KD","Claude","REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA",200.330614405443
"KD","Claude","REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS",150.91859176176
"KD","Claude","REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA",169.785673444263
"KD","Claude","REACTOME_DEATH_RECEPTOR_SIGNALING",108.430475693619
"KD","Claude","REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX",33.4919030403047
"KD","Claude","REACTOME_DEUBIQUITINATION",72.3761321558306
"KD","Claude","REACTOME_DEVELOPMENTAL_BIOLOGY",29.6841575034125
"KD","Claude","REACTOME_DISEASES_OF_IMMUNE_SYSTEM",236.181655263722
"KD","Claude","REACTOME_DISEASES_OF_METABOLISM",-35.1520009180094
"KD","Claude","REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH",-15.839665552425
